Wavelength	Optical power
nm	dBm
1521	-91.54
1521.07	-120
1521.14	-90.15
1521.21	-83.53
1521.28	-120
1521.35	-120
1521.42	-120
1521.49	-85.72
1521.56	-88.45
1521.63	-120
1521.7	-120
1521.77	-120
1521.84	-120
1521.91	-84.19
1521.98	-120
1522.05	-84.67
1522.12	-120
1522.19	-92.4
1522.26	-81.44
1522.33	-84.85
1522.4	-87.02
1522.47	-120
1522.54	-120
1522.61	-120
1522.68	-120
1522.75	-120
1522.82	-87.22
1522.89	-84.14
1522.96	-82.86
1523.03	-89.89
1523.1	-90.5
1523.17	-120
1523.24	-88.26
1523.31	-87.03
1523.38	-81.06
1523.45	-86.94
1523.52	-120
1523.59	-84.64
1523.66	-82.5
1523.73	-86.18
1523.8	-83.23
1523.87	-85.64
1523.94	-88.57
1524.01	-83.1
1524.08	-98.65
1524.15	-120
1524.22	-106.18
1524.29	-120
1524.36	-120
1524.43	-120
1524.5	-82.84
1524.57	-86
1524.64	-82.37
1524.71	-96.47
1524.78	-120
1524.85	-82.81
1524.92	-120
1524.99	-120
1525.06	-82.19
1525.13	-86.09
1525.2	-83.46
1525.27	-91.54
1525.34	-120
1525.41	-86.07
1525.48	-87.55
1525.55	-120
1525.62	-83.77
1525.69	-120
1525.76	-82.49
1525.83	-120
1525.9	-87.6
1525.97	-89.55
1526.04	-87.83
1526.11	-88.54
1526.18	-82.14
1526.25	-88.19
1526.32	-87.42
1526.39	-82.35
1526.46	-82.9
1526.53	-120
1526.6	-120
1526.67	-90.41
1526.74	-82.11
1526.81	-85.42
1526.88	-120
1526.95	-85.27
1527.02	-83.71
1527.09	-120
1527.16	-83.46
1527.23	-92.69
1527.3	-120
1527.37	-87.36
1527.44	-82.96
1527.51	-87.21
1527.58	-88.22
1527.65	-83.34
1527.72	-84.25
1527.79	-91.71
1527.86	-82.32
1527.93	-120
1528	-87.43
1528.07	-87.03
1528.14	-86.81
1528.21	-85.24
1528.28	-83.69
1528.35	-91.51
1528.42	-82.16
1528.49	-120
1528.56	-120
1528.63	-85.68
1528.7	-87.9
1528.77	-84.61
1528.84	-86.64
1528.91	-83.91
1528.98	-84.06
1529.05	-95.78
1529.12	-82.71
1529.19	-82.61
1529.26	-86.26
1529.33	-83.53
1529.4	-84.83
1529.47	-120
1529.54	-80.89
1529.61	-85.09
1529.68	-82.34
1529.75	-82.05
1529.82	-83.4
1529.89	-90.28
1529.96	-88.4
1530.03	-81.13
1530.1	-81.04
1530.17	-110.97
1530.24	-85.62
1530.31	-82.17
1530.38	-85.68
1530.45	-84.29
1530.52	-83.95
1530.59	-84.47
1530.66	-86.67
1530.73	-86.67
1530.8	-81.59
1530.87	-83.47
1530.94	-83.61
1531.01	-87.54
1531.08	-82.18
1531.15	-82.36
1531.22	-82.81
1531.29	-89.11
1531.36	-80.76
1531.43	-79.62
1531.5	-79.36
1531.57	-82.5
1531.64	-79.52
1531.71	-84.2
1531.78	-83.13
1531.85	-80.85
1531.92	-82.67
1531.99	-83.25
1532.06	-81.25
1532.13	-80.05
1532.2	-80.48
1532.27	-81.31
1532.34	-82.05
1532.41	-78.06
1532.48	-79.07
1532.55	-79.52
1532.62	-77.25
1532.69	-77.9
1532.76	-76.17
1532.83	-77.85
1532.9	-77.81
1532.97	-77.29
1533.04	-77.41
1533.11	-77.85
1533.18	-75.87
1533.25	-77.88
1533.32	-75.76
1533.39	-75.38
1533.46	-75.81
1533.53	-75.13
1533.6	-75.4
1533.67	-74.98
1533.74	-74.42
1533.81	-73.89
1533.88	-73.8
1533.95	-73.5
1534.02	-73.65
1534.09	-72.69
1534.16	-73
1534.23	-72.09
1534.3	-71.9
1534.37	-72.06
1534.44	-71.52
1534.51	-71.25
1534.58	-70.92
1534.65	-70.7
1534.72	-70.59
1534.79	-70.17
1534.86	-70.05
1534.93	-69.59
1535	-69.71
1535.07	-69.27
1535.14	-69.36
1535.21	-69.03
1535.28	-68.93
1535.35	-68.8
1535.42	-68.43
1535.49	-68.56
1535.56	-68.47
1535.63	-68.23
1535.7	-68.12
1535.77	-68.06
1535.84	-67.92
1535.91	-67.98
1535.98	-67.9
1536.05	-67.86
1536.12	-67.77
1536.19	-67.78
1536.26	-67.72
1536.33	-67.57
1536.4	-67.6
1536.47	-67.58
1536.54	-67.54
1536.61	-67.52
1536.68	-67.44
1536.75	-67.51
1536.82	-67.36
1536.89	-67.38
1536.96	-67.41
1537.03	-67.4
1537.1	-67.44
1537.17	-67.36
1537.24	-67.42
1537.31	-67.3
1537.38	-67.37
1537.45	-67.2
1537.52	-67.29
1537.59	-67.07
1537.66	-67.06
1537.73	-66.99
1537.8	-66.91
1537.87	-66.99
1537.94	-66.89
1538.01	-66.89
1538.08	-66.92
1538.15	-66.7
1538.22	-66.64
1538.29	-66.43
1538.36	-66.4
1538.43	-66.26
1538.5	-66.15
1538.57	-66.01
1538.64	-65.99
1538.71	-65.75
1538.78	-65.69
1538.85	-65.51
1538.92	-65.4
1538.99	-65.21
1539.06	-65.11
1539.13	-64.98
1539.2	-64.81
1539.27	-64.68
1539.34	-64.59
1539.41	-64.37
1539.48	-64.21
1539.55	-64.08
1539.62	-63.87
1539.69	-63.7
1539.76	-63.52
1539.83	-63.33
1539.9	-63.16
1539.97	-63.04
1540.04	-62.83
1540.11	-62.71
1540.18	-62.57
1540.25	-62.36
1540.32	-62.23
1540.39	-62.07
1540.46	-61.91
1540.53	-61.71
1540.6	-61.59
1540.67	-61.46
1540.74	-61.24
1540.81	-61.05
1540.88	-60.93
1540.95	-60.77
1541.02	-60.65
1541.09	-60.5
1541.16	-60.37
1541.23	-60.26
1541.3	-60.12
1541.37	-60
1541.44	-59.87
1541.51	-59.74
1541.58	-59.62
1541.65	-59.46
1541.72	-59.35
1541.79	-59.17
1541.86	-59.07
1541.93	-58.93
1542	-58.84
1542.07	-58.74
1542.14	-58.63
1542.21	-58.61
1542.28	-58.49
1542.35	-58.41
1542.42	-58.36
1542.49	-58.29
1542.56	-58.22
1542.63	-58.15
1542.7	-58.06
1542.77	-57.98
1542.84	-57.9
1542.91	-57.85
1542.98	-57.79
1543.05	-57.75
1543.12	-57.72
1543.19	-57.7
1543.26	-57.68
1543.33	-57.66
1543.4	-57.69
1543.47	-57.69
1543.54	-57.66
1543.61	-57.64
1543.68	-57.64
1543.75	-57.63
1543.82	-57.61
1543.89	-57.61
1543.96	-57.58
1544.03	-57.58
1544.1	-57.54
1544.17	-57.59
1544.24	-57.63
1544.31	-57.64
1544.38	-57.67
1544.45	-57.72
1544.52	-57.76
1544.59	-57.83
1544.66	-57.84
1544.73	-57.88
1544.8	-57.87
1544.87	-57.92
1544.94	-57.93
1545.01	-57.93
1545.08	-57.94
1545.15	-57.95
1545.22	-57.99
1545.29	-58.06
1545.36	-58.1
1545.43	-58.2
1545.5	-58.27
1545.57	-58.33
1545.64	-58.38
1545.71	-58.41
1545.78	-58.49
1545.85	-58.54
1545.92	-58.58
1545.99	-58.63
1546.06	-58.66
1546.13	-58.64
1546.2	-58.65
1546.27	-58.66
1546.34	-58.7
1546.41	-58.78
1546.48	-58.85
1546.55	-58.96
1546.62	-59.06
1546.69	-59.13
1546.76	-59.22
1546.83	-59.28
1546.9	-59.33
1546.97	-59.38
1547.04	-59.42
1547.11	-59.45
1547.18	-59.47
1547.25	-59.48
1547.32	-59.46
1547.39	-59.49
1547.46	-59.53
1547.53	-59.6
1547.6	-59.69
1547.67	-59.78
1547.74	-59.85
1547.81	-59.96
1547.88	-59.99
1547.95	-60.03
1548.02	-60.09
1548.09	-60.13
1548.16	-60.14
1548.23	-60.17
1548.3	-60.19
1548.37	-60.19
1548.44	-60.16
1548.51	-60.14
1548.58	-60.19
1548.65	-60.26
1548.72	-60.37
1548.79	-60.46
1548.86	-60.52
1548.93	-60.57
1549	-60.62
1549.07	-60.68
1549.14	-60.7
1549.21	-60.72
1549.28	-60.75
1549.35	-60.74
1549.42	-60.74
1549.49	-60.72
1549.56	-60.63
1549.63	-60.65
1549.7	-60.68
1549.77	-60.75
1549.84	-60.83
1549.91	-60.92
1549.98	-60.92
1550.05	-61.02
1550.12	-61.04
1550.19	-61.07
1550.26	-61.06
1550.33	-61.07
1550.4	-61.05
1550.47	-61.05
1550.54	-61.04
1550.61	-60.96
1550.68	-60.91
1550.75	-60.83
1550.82	-60.89
1550.89	-60.93
1550.96	-61
1551.03	-61.05
1551.1	-61.1
1551.17	-61.18
1551.24	-61.13
1551.31	-61.18
1551.38	-61.17
1551.45	-61.17
1551.52	-61.12
1551.59	-61.09
1551.66	-61.04
1551.73	-60.95
1551.8	-60.86
1551.87	-60.8
1551.94	-60.83
1552.01	-60.91
1552.08	-60.95
1552.15	-61.07
1552.22	-61.12
1552.29	-61.16
1552.36	-61.15
1552.43	-61.16
1552.5	-61.16
1552.57	-61.15
1552.64	-61.14
1552.71	-61.1
1552.78	-61.02
1552.85	-60.93
1552.92	-60.83
1552.99	-60.8
1553.06	-60.82
1553.13	-60.84
1553.2	-60.94
1553.27	-61.01
1553.34	-61.05
1553.41	-61.08
1553.48	-61.14
1553.55	-61.1
1553.62	-61.13
1553.69	-61.14
1553.76	-61.11
1553.83	-61.04
1553.9	-60.99
1553.97	-60.84
1554.04	-60.65
1554.11	-60.44
1554.18	-60.29
1554.25	-60.39
1554.32	-60.63
1554.39	-60.8
1554.46	-60.96
1554.53	-61.08
1554.6	-61.13
1554.67	-61.14
1554.74	-61.17
1554.81	-61.21
1554.88	-61.18
1554.95	-61.21
1555.02	-61.18
1555.09	-61.23
1555.16	-61.21
1555.23	-61.19
1555.3	-61.22
1555.37	-61.16
1555.44	-61.11
1555.51	-61.08
1555.58	-60.96
1555.65	-60.72
1555.72	-59.58
1555.79	-49.85
1555.86	-26.9
1555.93	-45.53
1556	-58.81
1556.07	-60.36
1556.14	-60.79
1556.21	-60.94
1556.28	-60.98
1556.35	-61.07
1556.42	-61.06
