Wavelength	Optical power
nm	dBm
1521	-120
1521.07	-120
1521.14	-94.46
1521.21	-120
1521.28	-120
1521.35	-120
1521.42	-120
1521.49	-89.88
1521.56	-120
1521.63	-120
1521.7	-88.04
1521.77	-94.65
1521.84	-93.57
1521.91	-84.27
1521.98	-120
1522.05	-83.75
1522.12	-88.3
1522.19	-120
1522.26	-92.46
1522.33	-120
1522.4	-92.33
1522.47	-91.42
1522.54	-120
1522.61	-84.1
1522.68	-89.03
1522.75	-89.35
1522.82	-85.41
1522.89	-84.97
1522.96	-86.47
1523.03	-120
1523.1	-120
1523.17	-120
1523.24	-87.35
1523.31	-85.3
1523.38	-120
1523.45	-120
1523.52	-89.33
1523.59	-83.15
1523.66	-120
1523.73	-120
1523.8	-86.66
1523.87	-86.11
1523.94	-87.23
1524.01	-90.77
1524.08	-120
1524.15	-84.89
1524.22	-87.19
1524.29	-91.86
1524.36	-90.98
1524.43	-120
1524.5	-120
1524.57	-120
1524.64	-83.3
1524.71	-120
1524.78	-120
1524.85	-88.93
1524.92	-120
1524.99	-88.02
1525.06	-83.51
1525.13	-84.41
1525.2	-120
1525.27	-88.62
1525.34	-86.21
1525.41	-86.73
1525.48	-84.5
1525.55	-87.43
1525.62	-86.99
1525.69	-120
1525.76	-85.19
1525.83	-120
1525.9	-120
1525.97	-94.51
1526.04	-83.96
1526.11	-120
1526.18	-120
1526.25	-120
1526.32	-85.4
1526.39	-120
1526.46	-85.83
1526.53	-120
1526.6	-120
1526.67	-89.71
1526.74	-86.62
1526.81	-86.53
1526.88	-120
1526.95	-85.82
1527.02	-120
1527.09	-84.94
1527.16	-85.23
1527.23	-86.82
1527.3	-90.38
1527.37	-82.56
1527.44	-95.27
1527.51	-88.17
1527.58	-120
1527.65	-85.23
1527.72	-120
1527.79	-81.55
1527.86	-83.37
1527.93	-120
1528	-87.95
1528.07	-88.18
1528.14	-89.63
1528.21	-120
1528.28	-120
1528.35	-86.78
1528.42	-82.92
1528.49	-120
1528.56	-81.72
1528.63	-88.54
1528.7	-84.41
1528.77	-120
1528.84	-89.55
1528.91	-120
1528.98	-90.37
1529.05	-92.34
1529.12	-120
1529.19	-120
1529.26	-120
