Wavelength	Optical power
nm	dBm
600	-120
602.304	-120
604.608	-85.15
606.913	-85.15
609.217	-80.88
611.521	-82.92
613.825	-78.29
616.129	-120
618.434	-120
620.738	-90.85
623.042	-90.85
625.346	-81.46
627.65	-75.23
629.955	-75.23
632.259	-79.34
634.563	-120
636.867	-120
639.171	-120
641.476	-120
643.78	-83.4
646.084	-80.37
648.388	-77.79
650.692	-76.59
652.997	-75.08
655.301	-75.61
657.605	-76.44
659.909	-78.43
662.213	-76.66
664.518	-75.22
666.822	-74.66
669.126	-75.06
671.43	-76.3
673.734	-76.82
676.039	-77.36
678.343	-77.52
680.647	-78.17
682.951	-77.19
685.255	-76.92
687.56	-76.79
689.864	-77.34
692.168	-75.71
694.472	-74.23
696.776	-73.27
699.081	-73.88
701.385	-74.01
703.689	-74.3
705.993	-73.77
708.297	-73.77
710.602	-73.84
712.906	-73.93
715.21	-74.07
717.514	-73.94
719.818	-73.8
722.123	-73.83
724.427	-74.09
726.731	-74.64
729.035	-74.6
731.339	-74.34
733.644	-74.16
735.948	-74.91
738.252	-75.42
740.556	-75.26
742.86	-74.89
745.165	-74.94
747.469	-75.08
749.773	-75.16
752.077	-75.27
754.381	-75.58
756.686	-75.39
758.99	-74.88
761.294	-74.36
763.598	-74.51
765.902	-74.36
768.207	-74.07
770.511	-73.62
772.815	-73.97
775.119	-74.44
777.423	-74.51
779.728	-74.38
782.032	-73.72
784.336	-73.5
786.64	-73.58
788.944	-74.17
791.249	-74.1
793.553	-73.28
795.857	-72.53
798.161	-72.6
800.465	-72.75
802.77	-73.41
805.074	-73.39
807.378	-73.58
809.682	-73.58
811.986	-72.97
814.291	-72.55
816.595	-72.27
818.899	-71.99
821.203	-72.06
823.507	-72.29
825.812	-72.75
828.116	-72.37
830.42	-71.41
832.724	-71.35
835.028	-71.67
837.333	-72.21
839.637	-72.33
841.941	-72.45
844.245	-72.55
846.549	-72.49
848.854	-72.16
851.158	-72.29
853.462	-72.15
855.766	-72.03
858.07	-71.77
860.375	-71.82
862.679	-72.08
864.983	-71.98
867.287	-71.98
869.591	-71.56
871.896	-71.67
874.2	-71.74
876.504	-72.25
878.808	-72.2
881.112	-72.27
883.417	-72.14
885.721	-72.26
888.025	-72.3
890.329	-72.35
892.633	-72.39
894.938	-72.32
897.242	-72.4
899.546	-72.44
901.85	-72.49
904.154	-72.59
906.459	-72.77
908.763	-72.78
911.067	-72.68
913.371	-72.55
915.675	-72.53
917.98	-72.45
920.284	-72.4
922.588	-72.33
924.892	-72.31
927.196	-72.15
929.501	-72.06
931.805	-72.01
934.109	-72.06
936.413	-72.09
938.717	-72.09
941.022	-72.05
943.326	-71.97
945.63	-71.86
947.934	-71.78
950.238	-71.74
952.543	-71.71
954.847	-71.64
957.151	-71.55
959.455	-71.5
961.759	-71.45
964.064	-71.44
966.368	-71.44
968.672	-71.45
970.976	-71.45
973.28	-71.42
975.585	-71.4
977.889	-71.36
980.193	-71.34
982.497	-71.3
984.801	-71.24
987.106	-71.2
989.41	-71.19
991.714	-71.22
994.018	-71.19
996.322	-71.14
998.627	-71.07
1000.93	-71.01
1003.23	-70.95
1005.54	-70.91
1007.84	-70.84
1010.15	-70.8
1012.45	-70.7
1014.76	-70.69
1017.06	-70.59
1019.36	-70.49
1021.67	-70.33
1023.97	-70.19
1026.28	-70.08
1028.58	-70.01
1030.89	-69.96
1033.19	-69.95
1035.49	-69.96
1037.8	-69.97
1040.1	-69.98
1042.41	-69.98
1044.71	-70.04
1047.01	-70.11
1049.32	-70.21
1051.62	-70.29
1053.93	-70.49
1056.23	-70.61
1058.54	-70.75
1060.84	-70.9
1063.14	-71.04
1065.45	-71.14
1067.75	-71.15
1070.06	-71.19
1072.36	-71.23
1074.67	-71.31
1076.97	-71.37
1079.27	-71.41
1081.58	-71.47
1083.88	-71.52
1086.19	-71.56
1088.49	-71.57
1090.79	-71.57
1093.1	-71.59
1095.4	-71.61
1097.71	-71.63
1100.01	-71.64
1102.32	-71.65
1104.62	-71.65
1106.92	-71.68
1109.23	-71.69
1111.53	-71.71
1113.84	-71.72
1116.14	-71.76
1118.44	-71.79
1120.75	-71.86
1123.05	-71.92
1125.36	-71.99
1127.66	-72.06
1129.97	-72.21
1132.27	-72.42
1134.57	-72.71
1136.88	-73.02
1139.18	-73.43
1141.49	-73.85
1143.79	-74.23
1146.1	-74.44
1148.4	-74.48
1150.7	-74.46
1153.01	-74.49
1155.31	-74.6
1157.62	-74.85
1159.92	-75.27
1162.22	-75.79
1164.53	-76.38
1166.83	-76.93
1169.14	-77.49
1171.44	-78.05
1173.75	-78.74
1176.05	-79.49
1178.35	-80.31
1180.66	-81.35
1182.96	-82.51
1185.27	-83.64
1187.57	-83.55
1189.88	-82.66
1192.18	-81.56
1194.48	-80.76
1196.79	-80.2
1199.09	-79.94
1201.4	-79.78
1203.7	-79.76
1206	-79.84
1208.31	-79.87
1210.61	-79.8
1212.92	-79.58
1215.22	-79.36
1217.53	-79.15
1219.83	-78.86
1222.13	-78.48
1224.44	-78.08
1226.74	-77.71
1229.05	-77.39
1231.35	-77.06
1233.65	-76.78
1235.96	-76.52
1238.26	-76.3
1240.57	-76.04
1242.87	-75.82
1245.18	-75.62
1247.48	-75.49
1249.78	-75.35
1252.09	-75.3
1254.39	-75.21
1256.7	-75.09
1259	-74.98
1261.31	-74.88
1263.61	-74.85
1265.91	-74.84
1268.22	-74.79
1270.52	-74.74
1272.83	-74.68
1275.13	-74.68
1277.43	-74.65
1279.74	-74.61
1282.04	-74.57
1284.35	-74.54
1286.65	-74.53
1288.96	-74.51
1291.26	-74.5
1293.56	-74.47
1295.87	-74.46
1298.17	-74.44
1300.48	-74.43
1302.78	-74.38
1305.09	-74.33
1307.39	-74.31
1309.69	-74.33
1312	-74.35
1314.3	-74.38
1316.61	-74.42
1318.91	-74.49
1321.21	-74.54
1323.52	-74.62
1325.82	-74.73
1328.13	-74.9
1330.43	-75.09
1332.74	-75.3
1335.04	-75.53
1337.34	-75.74
1339.65	-76
1341.95	-76.3
1344.26	-76.68
1346.56	-77.07
1348.86	-77.6
1351.17	-78.3
1353.47	-79.22
1355.78	-80.07
1358.08	-80.7
1360.39	-81.1
1362.69	-81.4
1364.99	-81.75
1367.3	-82.08
1369.6	-82.69
1371.91	-83.56
1374.21	-84.57
1376.52	-84.96
1378.82	-85.14
1381.12	-85.74
1383.43	-86.73
1385.73	-87.51
1388.04	-87.84
1390.34	-87.94
1392.64	-88.45
1394.95	-88.54
1397.25	-88.69
1399.56	-88.58
1401.86	-89.35
1404.17	-90.04
1406.47	-90.75
1408.77	-90.48
1411.08	-90.92
1413.38	-92.98
1415.69	-94.84
1417.99	-95.89
1420.3	-92.74
1422.6	-91.97
1424.9	-91.31
1427.21	-92.38
1429.51	-93.24
1431.82	-92.89
1434.12	-91.84
1436.42	-90.83
1438.73	-91.96
1441.03	-92.83
1443.34	-95.02
1445.64	-93.62
1447.95	-93.65
1450.25	-91.43
1452.55	-92.28
1454.86	-91.63
1457.16	-93.81
1459.47	-93.53
1461.77	-93.36
1464.07	-92.34
1466.38	-92.51
1468.68	-92.86
1470.99	-93.59
1473.29	-92.21
1475.6	-92.67
1477.9	-92.37
1480.2	-93.33
1482.51	-92.54
1484.81	-92.65
1487.12	-93.61
1489.42	-95.5
1491.73	-96.7
1494.03	-94.26
1496.33	-94.67
1498.64	-93.78
1500.94	-93.43
1503.25	-92.34
1505.55	-92.39
1507.85	-92.82
1510.16	-93.98
1512.46	-92.51
1514.77	-92.07
1517.07	-92.21
1519.38	-95.43
1521.68	-99.68
1523.98	-95.15
1526.29	-94.11
1528.59	-93.44
1530.9	-93.23
1533.2	-91.71
1535.51	-91.59
1537.81	-92.83
1540.11	-94.56
1542.42	-94.26
1544.72	-93
1547.03	-91.99
1549.33	-91.04
1551.63	-91.03
1553.94	-91.38
1556.24	-93.05
1558.55	-93.13
1560.85	-92.84
1563.16	-92.01
1565.46	-92.04
1567.76	-93.36
1570.07	-95.34
1572.37	-95.03
1574.68	-92.75
1576.98	-92.19
1579.28	-93.03
1581.59	-93.45
1583.89	-91.95
1586.2	-91.1
1588.5	-91.29
1590.81	-91.46
1593.11	-91.51
1595.41	-91.42
1597.72	-91.58
1600.02	-91.24
1602.33	-91.73
1604.63	-91.06
1606.94	-90.75
1609.24	-90.85
1611.54	-92.35
1613.85	-95.03
1616.15	-93.78
1618.46	-91.63
1620.76	-90.85
1623.06	-91.58
1625.37	-92.64
1627.67	-92.65
1629.98	-92.66
1632.28	-94.04
1634.59	-95.36
1636.89	-94.17
1639.19	-93.71
1641.5	-92.49
1643.8	-92.7
1646.11	-91.38
1648.41	-90.81
1650.72	-90.8
1653.02	-90.97
1655.32	-92.81
1657.63	-92.86
1659.93	-92.37
1662.24	-91.74
1664.54	-90.58
1666.84	-90.71
1669.15	-88.97
1671.45	-89.55
1673.76	-89.02
1676.06	-89.12
1678.37	-88.28
1680.67	-87.24
1682.97	-87.11
1685.28	-86.42
1687.58	-86.14
1689.89	-85.48
1692.19	-86.45
1694.49	-86.22
1696.8	-87.76
1699.1	-86.06
1701.41	-87.63
1703.71	-87.67
1706.02	-87
1708.32	-86.96
1710.62	-84.21
1712.93	-83.32
1715.23	-80.64
1717.54	-80.06
1719.84	-80.7
1722.15	-81.84
1724.45	-81.7
1726.75	-79.41
1729.06	-79.76
1731.36	-80.09
1733.67	-80.69
1735.97	-79.58
1738.27	-80.13
1740.58	-79.55
1742.88	-77.66
1745.19	-76.8
1747.49	-76.54
1749.8	-79.17
1752.1	-81.57
