Wavelength	Optical power
nm	dBm
600	-120
602.304	-120
604.608	-120
606.913	-120
609.217	-120
611.521	-120
613.825	-120
616.129	-120
618.434	-120
620.738	-80.49
623.042	-120
625.346	-85.04
627.65	-120
629.955	-120
632.259	-90.02
634.563	-120
636.867	-120
639.171	-77.98
641.476	-83.46
643.78	-120
646.084	-79.38
648.388	-120
650.692	-86.63
652.997	-120
655.301	-84.58
657.605	-84.14
659.909	-120
662.213	-82.79
664.518	-78.89
666.822	-78.11
669.126	-120
671.43	-120
673.734	-77.32
676.039	-84.32
678.343	-78.58
680.647	-75.33
682.951	-86.29
685.255	-120
687.56	-120
689.864	-74.92
692.168	-120
694.472	-120
696.776	-120
699.081	-83.63
701.385	-120
703.689	-85.34
705.993	-120
708.297	-120
710.602	-81.09
712.906	-76.32
715.21	-120
717.514	-82.58
719.818	-120
722.123	-120
724.427	-120
726.731	-76.76
729.035	-86.69
731.339	-80.13
733.644	-81.8
735.948	-82.99
738.252	-84.04
740.556	-84.32
742.86	-120
745.165	-88.56
747.469	-120
749.773	-83.17
752.077	-81.96
754.381	-84.16
756.686	-83.46
758.99	-87.49
761.294	-80.72
763.598	-83.45
765.902	-83.06
768.207	-82.28
770.511	-120
772.815	-120
775.119	-120
777.423	-77.99
779.728	-79.55
782.032	-76.3
784.336	-120
786.64	-120
788.944	-80.78
791.249	-76.2
793.553	-82.61
795.857	-94.89
798.161	-77.69
800.465	-99.93
802.77	-80.7
805.074	-78.82
807.378	-83.84
809.682	-81.35
811.986	-79.42
814.291	-120
816.595	-78.2
818.899	-79.3
821.203	-79.04
823.507	-78.15
825.812	-120
828.116	-77.23
830.42	-79.32
832.724	-78.59
835.028	-80.81
837.333	-89.16
839.637	-84.48
841.941	-120
844.245	-79.88
846.549	-80.33
848.854	-79.74
851.158	-85.2
853.462	-80.87
855.766	-79.84
858.07	-99.6
860.375	-82.71
862.679	-80.06
864.983	-84.11
867.287	-77.24
869.591	-81.79
871.896	-79.45
874.2	-79.37
876.504	-76.9
878.808	-78.11
881.112	-80.8
883.417	-85.77
885.721	-80.81
888.025	-80.2
890.329	-80.25
892.633	-81.63
894.938	-79.72
897.242	-89.04
899.546	-79.63
901.85	-81.42
904.154	-81.23
906.459	-82.34
908.763	-81.37
911.067	-82.69
913.371	-82.15
915.675	-85.89
917.98	-82.6
920.284	-81.31
922.588	-80.59
924.892	-81.34
927.196	-82.96
929.501	-81.54
931.805	-81.87
934.109	-81.29
936.413	-82.53
938.717	-82.69
941.022	-81.57
943.326	-81.95
945.63	-83.12
947.934	-83.54
950.238	-83.64
952.543	-82.39
954.847	-81.61
957.151	-83.57
959.455	-83.53
961.759	-84.32
964.064	-83.86
966.368	-83.66
968.672	-84.97
970.976	-84.58
973.28	-83.24
975.585	-83.83
977.889	-84.14
980.193	-83.86
982.497	-84.38
984.801	-84.64
987.106	-84.1
989.41	-83.34
991.714	-84.48
994.018	-82.6
996.322	-83.22
998.627	-84.04
1000.93	-82.53
1003.23	-82.43
1005.54	-81.63
1007.84	-80.73
1010.15	-82.01
1012.45	-82.64
1014.76	-80.86
1017.06	-80.77
1019.36	-80.68
1021.67	-80.78
1023.97	-80.79
1026.28	-80.01
1028.58	-80.01
1030.89	-80.39
1033.19	-80
1035.49	-79.83
1037.8	-80.48
1040.1	-79.54
1042.41	-80.15
1044.71	-79.7
1047.01	-79.43
1049.32	-79.3
1051.62	-80.3
1053.93	-80.22
1056.23	-80.05
1058.54	-81.54
1060.84	-80.52
1063.14	-81.1
1065.45	-80.72
1067.75	-80.41
1070.06	-80.38
1072.36	-80.55
1074.67	-81.41
1076.97	-82.23
1079.27	-81.57
1081.58	-81.19
1083.88	-81.58
1086.19	-80.48
1088.49	-80.36
1090.79	-80.48
1093.1	-80.91
1095.4	-81.55
1097.71	-81.39
1100.01	-81.14
1102.32	-80.66
1104.62	-81.35
1106.92	-81.38
1109.23	-80.75
1111.53	-82.08
1113.84	-81.98
1116.14	-81.7
1118.44	-81.57
1120.75	-83.17
1123.05	-81.7
1125.36	-81.83
1127.66	-82.62
1129.97	-84.2
1132.27	-84.69
1134.57	-83.96
1136.88	-84.57
1139.18	-85.72
1141.49	-85.89
1143.79	-85.87
1146.1	-86.65
1148.4	-88.06
1150.7	-90.72
1153.01	-86.89
1155.31	-85.8
1157.62	-91.57
1159.92	-92.37
1162.22	-86.88
1164.53	-101.44
1166.83	-88.26
1169.14	-92.66
1171.44	-88.56
1173.75	-87.07
1176.05	-92.38
1178.35	-89.02
1180.66	-88.9
1182.96	-120
1185.27	-92.06
1187.57	-120
1189.88	-88.63
1192.18	-96.03
1194.48	-90.46
1196.79	-97.11
1199.09	-90.01
1201.4	-88.15
1203.7	-94.18
1206	-120
1208.31	-88.42
1210.61	-85.28
1212.92	-88.2
1215.22	-93.01
1217.53	-89.17
1219.83	-88.27
1222.13	-88.27
1224.44	-85.72
1226.74	-87.78
1229.05	-92.63
1231.35	-91.82
1233.65	-90.72
1235.96	-88.32
1238.26	-87.28
1240.57	-86.83
1242.87	-85.88
1245.18	-87.95
1247.48	-88.83
1249.78	-88.59
1252.09	-86.19
1254.39	-86.13
1256.7	-85.2
1259	-87.69
1261.31	-89.48
1263.61	-88.07
1265.91	-88.3
1268.22	-85.42
1270.52	-87.56
1272.83	-88.93
1275.13	-87.97
1277.43	-85.55
1279.74	-87.19
1282.04	-84.97
1284.35	-86.74
1286.65	-87.71
1288.96	-89.91
1291.26	-88.17
1293.56	-87.79
1295.87	-89.33
1298.17	-90.66
1300.48	-118.29
1302.78	-90.37
1305.09	-95.12
1307.39	-89.12
1309.69	-94.17
1312	-93.65
1314.3	-120
1316.61	-90.15
1318.91	-94.62
1321.21	-97.24
1323.52	-91.63
1325.82	-96.28
1328.13	-91.35
1330.43	-99.14
1332.74	-91.54
1335.04	-91.59
1337.34	-120
1339.65	-120
1341.95	-94.38
1344.26	-120
1346.56	-91.66
1348.86	-94.19
1351.17	-89.85
1353.47	-120
1355.78	-89.66
1358.08	-120
1360.39	-90.74
1362.69	-97.24
1364.99	-87.38
1367.3	-120
1369.6	-89.62
1371.91	-88.78
1374.21	-87.84
1376.52	-91.3
1378.82	-102.29
1381.12	-92.16
1383.43	-87.25
1385.73	-91.23
1388.04	-96.35
1390.34	-88.07
1392.64	-120
1394.95	-86.96
1397.25	-97.5
1399.56	-120
1401.86	-88.93
1404.17	-89.46
1406.47	-90.4
1408.77	-100.3
1411.08	-89.71
1413.38	-87.41
1415.69	-90.45
1417.99	-90.32
1420.3	-92.71
1422.6	-87.61
1424.9	-89.62
1427.21	-94.28
1429.51	-120
1431.82	-120
1434.12	-93.8
1436.42	-89.85
1438.73	-89.94
1441.03	-93.78
1443.34	-88.27
1445.64	-88.41
1447.95	-91.43
1450.25	-89.62
1452.55	-108.21
1454.86	-90.54
1457.16	-91.38
1459.47	-92.74
1461.77	-86.17
1464.07	-92.2
1466.38	-86.95
1468.68	-90.46
1470.99	-88.09
1473.29	-101.15
1475.6	-104.04
1477.9	-93.06
1480.2	-100.15
1482.51	-88.51
1484.81	-101.7
1487.12	-86.29
1489.42	-88.02
1491.73	-90.45
1494.03	-91.8
1496.33	-89.02
1498.64	-94.29
1500.94	-88.76
1503.25	-94.47
1505.55	-88.52
1507.85	-88.93
1510.16	-91.08
1512.46	-89.03
1514.77	-90.05
1517.07	-90.28
1519.38	-101.63
1521.68	-87.77
1523.98	-101.76
1526.29	-94.79
1528.59	-102.84
1530.9	-91.62
1533.2	-92
1535.51	-87.87
1537.81	-90.11
1540.11	-92.84
1542.42	-91.5
1544.72	-89.42
1547.03	-90.92
1549.33	-92.36
1551.63	-86.91
1553.94	-89.25
1556.24	-89.98
1558.55	-89.14
1560.85	-93.04
1563.16	-88.99
1565.46	-89.02
1567.76	-92.69
1570.07	-87.74
1572.37	-91.22
1574.68	-97.64
1576.98	-92.96
1579.28	-89.62
1581.59	-91.3
1583.89	-93.46
1586.2	-95.25
1588.5	-89.86
1590.81	-87.19
1593.11	-88.18
1595.41	-120
1597.72	-90.55
1600.02	-95.97
1602.33	-90.96
1604.63	-88.29
1606.94	-88.41
1609.24	-99.5
1611.54	-92.99
1613.85	-87.19
1616.15	-89.86
1618.46	-91.81
1620.76	-89.41
1623.06	-91.48
1625.37	-88.77
1627.67	-93.38
1629.98	-86.75
1632.28	-87.96
1634.59	-88.7
1636.89	-86.59
1639.19	-86.39
1641.5	-90.99
1643.8	-88.18
1646.11	-91.92
1648.41	-90.49
1650.72	-91.39
1653.02	-89.61
1655.32	-87.27
1657.63	-88.19
1659.93	-88.88
1662.24	-90.54
1664.54	-90.79
1666.84	-86.25
1669.15	-97.69
1671.45	-86.93
1673.76	-120
1676.06	-84.69
1678.37	-86.11
1680.67	-85.13
1682.97	-87.52
1685.28	-83.87
1687.58	-120
1689.89	-80.23
1692.19	-84.16
1694.49	-82.72
1696.8	-86.64
1699.1	-98.99
1701.41	-79.59
1703.71	-78.06
1706.02	-80.5
1708.32	-79.97
1710.62	-82.31
1712.93	-84.99
1715.23	-80.49
1717.54	-79.19
1719.84	-78.63
1722.15	-77.88
1724.45	-120
1726.75	-76.2
1729.06	-75.97
1731.36	-76.96
1733.67	-77.34
1735.97	-73.79
1738.27	-75.09
1740.58	-73.51
1742.88	-75.01
1745.19	-71.69
1747.49	-74.87
1749.8	-120
1752.1	-74.2
