Wavelength	Optical power
nm	dBm
600	-120
602.304	-120
604.608	-120
606.913	-120
609.217	-120
611.521	-120
613.825	-120
616.129	-120
618.434	-120
620.738	-120
623.042	-120
625.346	-120
627.65	-120
629.955	-120
632.259	-86.42
634.563	-120
636.867	-81.97
639.171	-120
641.476	-87.7
643.78	-82.25
646.084	-78.55
648.388	-82.45
650.692	-78.75
652.997	-84.59
655.301	-84.39
657.605	-80.74
659.909	-81.94
662.213	-78.77
664.518	-77.53
666.822	-77.01
669.126	-77.17
671.43	-77.41
673.734	-78.71
676.039	-81.01
678.343	-77.88
680.647	-78.02
682.951	-76.28
685.255	-76.04
687.56	-76.35
689.864	-75.65
692.168	-76.2
694.472	-75.76
696.776	-76.48
699.081	-75.42
701.385	-74.8
703.689	-74.86
705.993	-75.34
708.297	-74.41
710.602	-75.12
712.906	-75.23
715.21	-75.6
717.514	-74.73
719.818	-74.53
722.123	-74.38
724.427	-74.91
726.731	-74.41
729.035	-74.78
731.339	-75.17
733.644	-75.45
735.948	-75.44
738.252	-75.03
740.556	-74.98
742.86	-75.04
745.165	-74.96
747.469	-74.92
749.773	-74.69
752.077	-74.67
754.381	-74.71
756.686	-75.24
758.99	-75.08
761.294	-74.52
763.598	-74.54
765.902	-74.77
768.207	-74.35
770.511	-75.23
772.815	-74.32
775.119	-74.64
777.423	-74.37
779.728	-74.01
782.032	-73.86
784.336	-74.61
786.64	-74.36
788.944	-74.04
791.249	-73.48
793.553	-74.09
795.857	-74.2
798.161	-73.55
800.465	-73.32
802.77	-74.04
805.074	-73.64
807.378	-73.52
809.682	-73.16
811.986	-72.95
814.291	-73.14
816.595	-73.05
818.899	-73.74
821.203	-73.1
823.507	-73.18
825.812	-73.65
828.116	-73.58
830.42	-73.66
832.724	-73.49
835.028	-72.88
837.333	-73.33
839.637	-72.97
841.941	-72.97
844.245	-73.16
846.549	-72.91
848.854	-72.88
851.158	-73.13
853.462	-73.11
855.766	-72.95
858.07	-72.74
860.375	-72.87
862.679	-72.62
864.983	-72.75
867.287	-72.34
869.591	-72.55
871.896	-72.54
874.2	-72.54
876.504	-72.47
878.808	-72.75
881.112	-72.67
883.417	-72.71
885.721	-72.54
888.025	-72.59
890.329	-72.61
892.633	-72.43
894.938	-72.43
897.242	-72.37
899.546	-72.3
901.85	-72.3
904.154	-72.13
906.459	-72.17
908.763	-72.23
911.067	-72.11
913.371	-72.15
915.675	-72.2
917.98	-72.21
920.284	-72.14
922.588	-72.06
924.892	-72.02
927.196	-71.97
929.501	-71.89
931.805	-71.88
934.109	-71.85
936.413	-71.86
938.717	-71.89
941.022	-71.86
943.326	-71.81
945.63	-71.77
947.934	-71.69
950.238	-71.65
952.543	-71.59
954.847	-71.56
957.151	-71.45
959.455	-71.37
961.759	-71.24
964.064	-71.23
966.368	-71.16
968.672	-71.12
970.976	-71.1
973.28	-71.09
975.585	-71.04
977.889	-70.96
980.193	-70.9
982.497	-70.84
984.801	-70.75
987.106	-70.67
989.41	-70.61
991.714	-70.56
994.018	-70.47
996.322	-70.42
998.627	-70.38
1000.93	-70.31
1003.23	-70.2
1005.54	-70.1
1007.84	-70
1010.15	-69.86
1012.45	-69.83
1014.76	-69.77
1017.06	-69.7
1019.36	-69.63
1021.67	-69.54
1023.97	-69.45
1026.28	-69.39
1028.58	-69.33
1030.89	-69.31
1033.19	-69.33
1035.49	-69.34
1037.8	-69.39
1040.1	-69.42
1042.41	-69.4
1044.71	-69.4
1047.01	-69.48
1049.32	-69.62
1051.62	-69.73
1053.93	-69.86
1056.23	-69.97
1058.54	-70.07
1060.84	-70.23
1063.14	-70.4
1065.45	-70.58
1067.75	-70.62
1070.06	-70.63
1072.36	-70.75
1074.67	-70.85
1076.97	-70.89
1079.27	-70.94
1081.58	-71.01
1083.88	-71.12
1086.19	-71.15
1088.49	-71.19
1090.79	-71.23
1093.1	-71.27
1095.4	-71.28
1097.71	-71.31
1100.01	-71.33
1102.32	-71.32
1104.62	-71.37
1106.92	-71.36
1109.23	-71.44
1111.53	-71.38
1113.84	-71.39
1116.14	-71.41
1118.44	-71.48
1120.75	-71.43
1123.05	-71.52
1125.36	-71.51
1127.66	-71.51
1129.97	-71.51
1132.27	-71.55
1134.57	-71.55
1136.88	-71.54
1139.18	-71.52
1141.49	-71.55
1143.79	-71.58
1146.1	-71.59
1148.4	-71.54
1150.7	-71.54
1153.01	-71.54
1155.31	-71.56
1157.62	-71.59
1159.92	-71.56
1162.22	-71.56
1164.53	-71.6
1166.83	-71.62
1169.14	-71.6
1171.44	-71.61
1173.75	-71.62
1176.05	-71.67
1178.35	-71.64
1180.66	-71.69
1182.96	-71.69
1185.27	-71.7
1187.57	-71.71
1189.88	-71.74
1192.18	-71.73
1194.48	-71.76
1196.79	-71.77
1199.09	-71.76
1201.4	-71.76
1203.7	-71.73
1206	-71.75
1208.31	-71.8
1210.61	-71.88
1212.92	-71.84
1215.22	-71.83
1217.53	-71.83
1219.83	-71.75
1222.13	-71.77
1224.44	-71.8
1226.74	-71.77
1229.05	-71.73
1231.35	-71.75
1233.65	-71.78
1235.96	-71.81
1238.26	-71.77
1240.57	-71.81
1242.87	-71.76
1245.18	-71.8
1247.48	-71.78
1249.78	-71.83
1252.09	-71.82
1254.39	-71.86
1256.7	-71.81
1259	-71.78
1261.31	-71.83
1263.61	-71.85
1265.91	-71.9
1268.22	-71.94
1270.52	-71.96
1272.83	-71.99
1275.13	-72.04
1277.43	-72.1
1279.74	-72.11
1282.04	-72.14
1284.35	-72.17
1286.65	-72.23
1288.96	-72.24
1291.26	-72.25
1293.56	-72.28
1295.87	-72.32
1298.17	-72.34
1300.48	-72.33
1302.78	-72.26
1305.09	-72.19
1307.39	-72.16
1309.69	-72.16
1312	-72.14
1314.3	-72.12
1316.61	-72.08
1318.91	-72.06
1321.21	-72.02
1323.52	-72.04
1325.82	-72.01
1328.13	-72.03
1330.43	-72.07
1332.74	-72.09
1335.04	-72.1
1337.34	-72.08
1339.65	-72.1
1341.95	-72.07
1344.26	-72.04
1346.56	-71.98
1348.86	-71.91
1351.17	-71.89
1353.47	-71.84
1355.78	-71.75
1358.08	-71.75
1360.39	-71.85
1362.69	-71.85
1364.99	-72.1
1367.3	-72.04
1369.6	-71.83
1371.91	-71.91
1374.21	-72.09
1376.52	-72.08
1378.82	-71.84
1381.12	-71.86
1383.43	-72.01
1385.73	-72.04
1388.04	-72.16
1390.34	-72.06
1392.64	-71.86
1394.95	-71.88
1397.25	-71.68
1399.56	-71.76
1401.86	-71.57
1404.17	-71.79
1406.47	-71.82
1408.77	-72
1411.08	-71.87
1413.38	-71.91
1415.69	-71.78
1417.99	-71.85
1420.3	-71.88
1422.6	-71.89
1424.9	-71.88
1427.21	-71.93
1429.51	-71.97
1431.82	-72.05
1434.12	-72.02
1436.42	-71.97
1438.73	-72
1441.03	-71.98
1443.34	-71.95
1445.64	-71.99
1447.95	-71.92
1450.25	-71.93
1452.55	-71.83
1454.86	-71.88
1457.16	-71.82
1459.47	-71.82
1461.77	-71.76
1464.07	-71.72
1466.38	-71.7
1468.68	-71.71
1470.99	-71.69
1473.29	-71.75
1475.6	-71.8
1477.9	-71.78
1480.2	-71.76
1482.51	-71.74
1484.81	-71.74
1487.12	-71.77
1489.42	-71.82
1491.73	-71.84
1494.03	-71.87
1496.33	-71.89
1498.64	-71.87
1500.94	-71.85
1503.25	-71.81
1505.55	-71.76
1507.85	-71.74
1510.16	-71.72
1512.46	-71.71
1514.77	-71.66
1517.07	-71.68
1519.38	-71.68
1521.68	-71.65
1523.98	-71.62
1526.29	-71.6
1528.59	-71.6
1530.9	-71.59
1533.2	-71.61
1535.51	-71.63
1537.81	-71.62
1540.11	-71.65
1542.42	-71.67
1544.72	-71.64
1547.03	-71.7
1549.33	-71.69
1551.63	-71.72
1553.94	-71.71
1556.24	-71.74
1558.55	-71.77
1560.85	-71.73
1563.16	-71.75
1565.46	-71.76
1567.76	-71.73
1570.07	-71.74
1572.37	-71.74
1574.68	-71.7
1576.98	-71.67
1579.28	-71.64
1581.59	-71.61
1583.89	-71.61
1586.2	-71.59
1588.5	-71.6
1590.81	-71.59
1593.11	-71.59
1595.41	-71.55
1597.72	-71.55
1600.02	-71.56
1602.33	-71.55
1604.63	-71.53
1606.94	-71.56
1609.24	-71.56
1611.54	-71.56
1613.85	-71.53
1616.15	-71.55
1618.46	-71.54
1620.76	-71.56
1623.06	-71.57
1625.37	-71.6
1627.67	-71.62
1629.98	-71.62
1632.28	-71.66
1634.59	-71.67
1636.89	-71.67
1639.19	-71.71
1641.5	-71.69
1643.8	-71.69
1646.11	-71.72
1648.41	-71.72
1650.72	-71.74
1653.02	-71.79
1655.32	-71.83
1657.63	-71.94
1659.93	-72.08
1662.24	-72.13
1664.54	-72.2
1666.84	-72.23
1669.15	-72.33
1671.45	-72.37
1673.76	-72.38
1676.06	-72.46
1678.37	-72.46
1680.67	-72.48
1682.97	-72.37
1685.28	-72.48
1687.58	-72.4
1689.89	-72.42
1692.19	-72.44
1694.49	-72.36
1696.8	-72.43
1699.1	-72.29
1701.41	-72.23
1703.71	-72.33
1706.02	-72.38
1708.32	-72.44
1710.62	-72.4
1712.93	-72.25
1715.23	-72.59
1717.54	-72.07
1719.84	-72.72
1722.15	-71.95
1724.45	-72.71
1726.75	-72.13
1729.06	-72.57
1731.36	-72.44
1733.67	-72.82
1735.97	-72.94
1738.27	-71.25
1740.58	-71.78
1742.88	-72.37
1745.19	-71.86
1747.49	-73.14
1749.8	-72.64
1752.1	-120
