Wavelength	Optical power
nm	dBm
600	-120
602.304	-120
604.608	-120
606.913	-77.5
609.217	-73.44
611.521	-84.72
613.825	-120
616.129	-120
618.434	-80.86
620.738	-120
623.042	-73.66
625.346	-86.09
627.65	-120
629.955	-75.03
632.259	-75.66
634.563	-120
636.867	-120
639.171	-120
641.476	-120
643.78	-120
646.084	-82.79
648.388	-89.25
650.692	-120
652.997	-76.2
655.301	-75.02
657.605	-80.13
659.909	-120
662.213	-79.47
664.518	-87.67
666.822	-76.66
669.126	-77.32
671.43	-76.27
673.734	-120
676.039	-80.66
678.343	-74.67
680.647	-74.98
682.951	-75.44
685.255	-75.31
687.56	-76
689.864	-90.22
692.168	-76.9
694.472	-75.11
696.776	-75.08
699.081	-76.02
701.385	-78.54
703.689	-77.36
705.993	-75.14
708.297	-72.9
710.602	-77.49
712.906	-74.63
715.21	-77.64
717.514	-73.94
719.818	-75.13
722.123	-76.87
724.427	-75.04
726.731	-75.11
729.035	-74.47
731.339	-76.47
733.644	-73.79
735.948	-73.97
738.252	-74.43
740.556	-74.93
742.86	-75.88
745.165	-73.73
747.469	-74.25
749.773	-75.32
752.077	-76.79
754.381	-75.15
756.686	-75.43
758.99	-74.37
761.294	-74.78
763.598	-74.15
765.902	-73.76
768.207	-74.95
770.511	-74.63
772.815	-74.62
775.119	-75.86
777.423	-74.3
779.728	-74.83
782.032	-74.02
784.336	-72.86
786.64	-73.78
788.944	-74.1
791.249	-73.92
793.553	-73.58
795.857	-74.82
798.161	-74.07
800.465	-76.29
802.77	-73.14
805.074	-73.23
807.378	-72.51
809.682	-73.1
811.986	-71.59
814.291	-72.69
816.595	-72.49
818.899	-71.92
821.203	-72.69
823.507	-71.92
825.812	-72.36
828.116	-71.73
830.42	-72.18
832.724	-72.38
835.028	-71.27
837.333	-73.12
839.637	-71.83
841.941	-72.94
844.245	-72.89
846.549	-71.83
848.854	-72.71
851.158	-72.5
853.462	-72.41
855.766	-73.38
858.07	-72.47
860.375	-73.75
862.679	-72.47
864.983	-72.81
867.287	-72.38
869.591	-71.77
871.896	-71.81
874.2	-72.34
876.504	-71.78
878.808	-72.11
881.112	-72.12
883.417	-71.92
885.721	-72.17
888.025	-71.89
890.329	-72.04
892.633	-72.49
894.938	-72.38
897.242	-72.45
899.546	-72.33
901.85	-72.37
904.154	-72.21
906.459	-72.16
908.763	-72.33
911.067	-72.05
913.371	-72.07
915.675	-72.32
917.98	-72.25
920.284	-72.2
922.588	-71.96
924.892	-72.32
927.196	-72.35
929.501	-72.47
931.805	-72.35
934.109	-72.55
936.413	-72.61
938.717	-72.7
941.022	-72.85
943.326	-72.94
945.63	-73.09
947.934	-73.06
950.238	-73.41
952.543	-73.5
954.847	-73.88
957.151	-74.03
959.455	-74.28
961.759	-74.42
964.064	-74.65
966.368	-74.81
968.672	-74.52
970.976	-74.71
973.28	-74.74
975.585	-74.72
977.889	-74.72
980.193	-74.75
982.497	-74.49
984.801	-74.35
987.106	-74.14
989.41	-73.93
991.714	-73.91
994.018	-73.7
996.322	-73.68
998.627	-73.33
1000.93	-73.23
1003.23	-72.95
1005.54	-72.75
1007.84	-72.42
1010.15	-72.15
1012.45	-72.04
1014.76	-71.88
1017.06	-71.71
1019.36	-71.5
1021.67	-71.29
1023.97	-70.99
1026.28	-70.89
1028.58	-70.65
1030.89	-70.5
1033.19	-70.54
1035.49	-70.45
1037.8	-70.4
1040.1	-70.31
1042.41	-70.28
1044.71	-70.29
1047.01	-70.26
1049.32	-70.27
1051.62	-70.39
1053.93	-70.53
1056.23	-70.69
1058.54	-70.75
1060.84	-70.82
1063.14	-70.93
1065.45	-71
1067.75	-71.08
1070.06	-71.08
1072.36	-71.1
1074.67	-71.15
1076.97	-71.3
1079.27	-71.55
1081.58	-71.48
1083.88	-71.62
1086.19	-71.65
1088.49	-71.89
1090.79	-71.98
1093.1	-72.02
1095.4	-72.04
1097.71	-72.06
1100.01	-72.16
1102.32	-72.12
1104.62	-72.28
1106.92	-72.38
1109.23	-72.38
1111.53	-72.55
1113.84	-72.46
1116.14	-72.58
1118.44	-72.74
1120.75	-72.78
1123.05	-72.92
1125.36	-73.09
1127.66	-73.08
1129.97	-73.54
1132.27	-73.81
1134.57	-74.02
1136.88	-74.36
1139.18	-74.99
1141.49	-75.76
1143.79	-76.38
1146.1	-77.15
1148.4	-77.68
1150.7	-78.93
1153.01	-79.04
1155.31	-79.74
1157.62	-80.98
1159.92	-81.15
1162.22	-80.79
1164.53	-81.18
1166.83	-80.84
1169.14	-80.49
1171.44	-80.91
1173.75	-81.49
1176.05	-81.43
1178.35	-81.55
1180.66	-81.59
1182.96	-81.52
1185.27	-81.76
1187.57	-82.38
1189.88	-81.17
1192.18	-81.46
1194.48	-81.93
1196.79	-81.97
1199.09	-82.12
1201.4	-81.71
1203.7	-82.88
1206	-81.97
1208.31	-82.74
1210.61	-81.23
1212.92	-81.11
1215.22	-81.07
1217.53	-80.6
1219.83	-80.91
1222.13	-81.24
1224.44	-80.77
1226.74	-80.9
1229.05	-80.01
1231.35	-80.58
1233.65	-80.25
1235.96	-80.42
1238.26	-80.39
1240.57	-79.74
1242.87	-79.24
1245.18	-79.52
1247.48	-79.51
1249.78	-79.69
1252.09	-79.69
1254.39	-79.16
1256.7	-78.68
1259	-79.33
1261.31	-78.74
1263.61	-79.05
1265.91	-79.16
1268.22	-78.82
1270.52	-79.04
1272.83	-79
1275.13	-79.11
1277.43	-79.24
1279.74	-79.44
1282.04	-79.59
1284.35	-78.89
1286.65	-79.22
1288.96	-79.56
1291.26	-80.22
1293.56	-80.2
1295.87	-80.8
1298.17	-80.33
1300.48	-80.56
1302.78	-80.72
1305.09	-80.99
1307.39	-81.5
1309.69	-81.38
1312	-81.51
1314.3	-82.87
1316.61	-83.1
1318.91	-82.75
1321.21	-83.31
1323.52	-85.85
1325.82	-86.51
1328.13	-84.76
1330.43	-85.27
1332.74	-88.22
1335.04	-88.66
1337.34	-89.98
1339.65	-88.13
1341.95	-94.02
1344.26	-89.08
1346.56	-88.9
1348.86	-92.21
1351.17	-101.31
1353.47	-91.42
1355.78	-89.33
1358.08	-90.76
1360.39	-120
1362.69	-89.3
1364.99	-103.7
1367.3	-96.68
1369.6	-90.91
1371.91	-92.41
1374.21	-91.38
1376.52	-120
1378.82	-98.67
1381.12	-88.61
1383.43	-87.39
1385.73	-86.11
1388.04	-87.35
1390.34	-88.69
1392.64	-89.38
1394.95	-120
1397.25	-120
1399.56	-90.43
1401.86	-96.27
1404.17	-106.41
1406.47	-88.8
1408.77	-90.72
1411.08	-90.06
1413.38	-92.51
1415.69	-96.38
1417.99	-93.41
1420.3	-94.93
1422.6	-97.1
1424.9	-120
1427.21	-120
1429.51	-120
1431.82	-96.88
1434.12	-93.88
1436.42	-93.21
1438.73	-92.3
1441.03	-99.55
1443.34	-120
1445.64	-120
1447.95	-120
1450.25	-97.86
1452.55	-88.93
1454.86	-104.63
1457.16	-91.15
1459.47	-120
1461.77	-90.89
1464.07	-120
1466.38	-120
1468.68	-120
1470.99	-88.67
1473.29	-120
1475.6	-90.72
1477.9	-90.35
1480.2	-90.73
1482.51	-97.87
1484.81	-90.24
1487.12	-89.7
1489.42	-120
1491.73	-99
1494.03	-120
1496.33	-99.63
1498.64	-92.59
1500.94	-108.47
1503.25	-92
1505.55	-87.53
1507.85	-89.92
1510.16	-93.44
1512.46	-120
1514.77	-90.44
1517.07	-120
1519.38	-120
1521.68	-96.46
1523.98	-101.81
1526.29	-91.03
1528.59	-112.91
1530.9	-108.47
1533.2	-120
1535.51	-89.31
1537.81	-120
1540.11	-96.95
1542.42	-97.02
1544.72	-120
1547.03	-94.71
1549.33	-86.91
1551.63	-96.16
1553.94	-120
1556.24	-95.66
1558.55	-120
1560.85	-90.42
1563.16	-91.56
1565.46	-90.57
1567.76	-88.81
1570.07	-98.3
1572.37	-120
1574.68	-92.63
1576.98	-120
1579.28	-120
1581.59	-120
1583.89	-97.43
1586.2	-120
1588.5	-92.33
1590.81	-90.83
1593.11	-97.74
1595.41	-120
1597.72	-89.8
1600.02	-97.04
1602.33	-120
1604.63	-104.84
1606.94	-120
1609.24	-120
1611.54	-97.26
1613.85	-91.04
1616.15	-89.22
1618.46	-120
1620.76	-89.33
1623.06	-90.91
1625.37	-120
1627.67	-92.02
1629.98	-86.96
1632.28	-89.45
1634.59	-120
1636.89	-120
1639.19	-120
1641.5	-93.7
1643.8	-93.81
1646.11	-120
1648.41	-89.73
1650.72	-92.86
1653.02	-120
1655.32	-97.74
1657.63	-97.57
1659.93	-100.45
1662.24	-120
1664.54	-95.76
1666.84	-93.37
1669.15	-87.76
1671.45	-94.37
1673.76	-94.3
1676.06	-92.54
1678.37	-86.6
1680.67	-88.38
1682.97	-88.34
1685.28	-88.57
1687.58	-89.8
1689.89	-120
1692.19	-87.84
1694.49	-82.99
1696.8	-86.99
1699.1	-88.32
1701.41	-85.26
1703.71	-120
1706.02	-120
1708.32	-84.06
1710.62	-94.59
1712.93	-120
1715.23	-120
1717.54	-82.79
1719.84	-78.93
1722.15	-87.15
1724.45	-120
1726.75	-79.69
1729.06	-120
1731.36	-120
1733.67	-83.32
1735.97	-78.8
1738.27	-79.22
1740.58	-75.95
1742.88	-99.65
1745.19	-87.53
1747.49	-120
1749.8	-74.8
