Wavelength	Optical power
nm	dBm
600	-120
602.304	-120
604.608	-120
606.913	-120
609.217	-120
611.521	-120
613.825	-120
616.129	-120
618.434	-120
620.738	-120
623.042	-120
625.346	-120
627.65	-120
629.955	-120
632.259	-120
634.563	-77.81
636.867	-120
639.171	-120
641.476	-120
643.78	-120
646.084	-120
648.388	-120
650.692	-79.26
652.997	-120
655.301	-120
657.605	-120
659.909	-81.23
662.213	-120
664.518	-120
666.822	-76.32
669.126	-76.99
671.43	-98.34
673.734	-81.4
676.039	-120
678.343	-78.51
680.647	-77.76
682.951	-85.06
685.255	-79.79
687.56	-79.76
689.864	-78.89
692.168	-79.26
694.472	-77.58
696.776	-78.19
699.081	-75.17
701.385	-76.09
703.689	-80.18
705.993	-78.77
708.297	-79.09
710.602	-76.99
712.906	-74.37
715.21	-76.12
717.514	-74.74
719.818	-77.28
722.123	-75.05
724.427	-79.04
726.731	-77.16
729.035	-75.9
731.339	-76.06
733.644	-75.26
735.948	-76.3
738.252	-75.18
740.556	-74.93
742.86	-75.45
745.165	-75.61
747.469	-74.34
749.773	-76.11
752.077	-75.76
754.381	-76.41
756.686	-75.93
758.99	-74.71
761.294	-75
763.598	-73.97
765.902	-74.73
768.207	-74.18
770.511	-74.68
772.815	-75.27
775.119	-74.15
777.423	-75.51
779.728	-74.27
782.032	-75.24
784.336	-74.54
786.64	-75.32
788.944	-76.68
791.249	-73.96
793.553	-74.41
795.857	-75.11
798.161	-74.23
800.465	-74.65
802.77	-74.38
805.074	-72.81
807.378	-74.59
809.682	-75.28
811.986	-74.65
814.291	-72.47
816.595	-74.59
818.899	-73.82
821.203	-73.27
823.507	-74.44
825.812	-73.83
828.116	-72.32
830.42	-74.08
832.724	-74.03
835.028	-73.23
837.333	-72.31
839.637	-73.16
841.941	-73.03
844.245	-72.81
846.549	-73.41
848.854	-72.74
851.158	-73.26
853.462	-73.25
855.766	-72.6
858.07	-72.84
860.375	-72.94
862.679	-72.37
864.983	-73.7
867.287	-72.44
869.591	-73.34
871.896	-72.66
874.2	-72.49
876.504	-72.66
878.808	-72.73
881.112	-72.72
883.417	-73.09
885.721	-73.03
888.025	-72.79
890.329	-72.48
892.633	-72.79
894.938	-72.91
897.242	-73
899.546	-72.5
901.85	-72.41
904.154	-72.38
906.459	-72.49
908.763	-72.54
911.067	-72.58
913.371	-72.47
915.675	-72.76
917.98	-72.42
920.284	-72.53
922.588	-72.69
924.892	-72.62
927.196	-72.6
929.501	-72.64
931.805	-72.6
934.109	-72.77
936.413	-72.93
938.717	-72.89
941.022	-73.22
943.326	-73.45
945.63	-73.41
947.934	-73.78
950.238	-73.76
952.543	-74.09
954.847	-74.37
957.151	-74.69
959.455	-74.87
961.759	-75.01
964.064	-74.73
966.368	-74.75
968.672	-74.84
970.976	-74.85
973.28	-74.71
975.585	-74.75
977.889	-74.89
980.193	-74.83
982.497	-74.47
984.801	-74.54
987.106	-74.28
989.41	-74.13
991.714	-74
994.018	-73.87
996.322	-73.66
998.627	-73.57
1000.93	-73.4
1003.23	-73.21
1005.54	-73.03
1007.84	-72.72
1010.15	-72.42
1012.45	-72.49
1014.76	-72.23
1017.06	-72.04
1019.36	-71.82
1021.67	-71.55
1023.97	-71.26
1026.28	-71.07
1028.58	-70.93
1030.89	-70.86
1033.19	-70.63
1035.49	-70.62
1037.8	-70.68
1040.1	-70.56
1042.41	-70.48
1044.71	-70.38
1047.01	-70.42
1049.32	-70.53
1051.62	-70.6
1053.93	-70.66
1056.23	-70.75
1058.54	-70.93
1060.84	-71.03
1063.14	-71.05
1065.45	-71.14
1067.75	-71.24
1070.06	-71.24
1072.36	-71.36
1074.67	-71.48
1076.97	-71.48
1079.27	-71.64
1081.58	-71.64
1083.88	-71.84
1086.19	-71.88
1088.49	-71.91
1090.79	-71.99
1093.1	-72.14
1095.4	-72.23
1097.71	-72.32
1100.01	-72.3
1102.32	-72.4
1104.62	-72.52
1106.92	-72.54
1109.23	-72.72
1111.53	-72.73
1113.84	-72.84
1116.14	-72.89
1118.44	-73.1
1120.75	-73.21
1123.05	-73.27
1125.36	-73.53
1127.66	-73.69
1129.97	-73.82
1132.27	-74.23
1134.57	-74.51
1136.88	-75.3
1139.18	-75.89
1141.49	-76.82
1143.79	-77.28
1146.1	-77.66
1148.4	-79.46
1150.7	-79.85
1153.01	-80.7
1155.31	-80.77
1157.62	-80.58
1159.92	-80.73
1162.22	-81.69
1164.53	-81.99
1166.83	-81.91
1169.14	-82.33
1171.44	-82.49
1173.75	-82.2
1176.05	-82.39
1178.35	-82.84
1180.66	-81.47
1182.96	-81.53
1185.27	-81.65
1187.57	-81.7
1189.88	-82.05
1192.18	-81.73
1194.48	-81.38
1196.79	-82.91
1199.09	-82.37
1201.4	-82.49
1203.7	-81.89
1206	-81.26
1208.31	-81.53
1210.61	-81.43
1212.92	-82.32
1215.22	-81.51
1217.53	-82.33
1219.83	-81.5
1222.13	-81.31
1224.44	-81.36
1226.74	-82.51
1229.05	-80.94
1231.35	-81.48
1233.65	-81.15
1235.96	-81.07
1238.26	-81.16
1240.57	-81.27
1242.87	-80.69
1245.18	-81.51
1247.48	-80.19
1249.78	-80.45
1252.09	-81.23
1254.39	-80.97
1256.7	-81
1259	-80.21
1261.31	-80.87
1263.61	-80.35
1265.91	-80.51
1268.22	-80.55
1270.52	-80.64
1272.83	-80.78
1275.13	-80.72
1277.43	-80.71
1279.74	-80.66
1282.04	-81.65
1284.35	-81.26
1286.65	-81.73
1288.96	-81.98
1291.26	-82.17
1293.56	-83.04
1295.87	-82.03
1298.17	-82.39
1300.48	-83.1
1302.78	-83.13
1305.09	-83.46
1307.39	-83.65
1309.69	-83.08
1312	-85.38
1314.3	-86.18
1316.61	-88.21
1318.91	-85.75
1321.21	-86.83
1323.52	-88.23
1325.82	-87.56
1328.13	-87.3
1330.43	-88.1
1332.74	-111.29
1335.04	-93.29
1337.34	-114.34
1339.65	-90.44
1341.95	-89.78
1344.26	-92.86
1346.56	-91.4
1348.86	-120
1351.17	-91.69
1353.47	-89.94
1355.78	-89.25
1358.08	-120
1360.39	-94.28
1362.69	-93.13
1364.99	-93.74
1367.3	-92.41
1369.6	-89.91
1371.91	-88.14
1374.21	-120
1376.52	-92.79
1378.82	-104.25
1381.12	-102.37
1383.43	-120
1385.73	-90.3
1388.04	-94.2
1390.34	-88.82
1392.64	-120
1394.95	-120
1397.25	-120
1399.56	-120
1401.86	-120
1404.17	-97.64
1406.47	-120
1408.77	-120
1411.08	-93.16
1413.38	-94.8
1415.69	-94.59
1417.99	-99.52
1420.3	-100.93
1422.6	-94.52
1424.9	-94.22
1427.21	-97.41
1429.51	-93.15
1431.82	-94.45
1434.12	-89.63
1436.42	-120
1438.73	-120
1441.03	-96.18
1443.34	-93.44
1445.64	-104.05
1447.95	-91.49
1450.25	-120
1452.55	-91.35
1454.86	-120
1457.16	-91.58
1459.47	-89.44
1461.77	-88.55
1464.07	-103.29
1466.38	-93.1
1468.68	-95.05
1470.99	-120
1473.29	-97.9
1475.6	-87.83
1477.9	-99.59
1480.2	-99.3
1482.51	-92.2
1484.81	-120
1487.12	-92.34
1489.42	-99.85
1491.73	-93.05
1494.03	-120
1496.33	-92.43
1498.64	-95.22
1500.94	-120
1503.25	-120
1505.55	-94.4
1507.85	-106.63
1510.16	-92.86
1512.46	-120
1514.77	-89.91
1517.07	-120
1519.38	-91.01
1521.68	-93.62
1523.98	-94.02
1526.29	-92.37
1528.59	-93.84
1530.9	-96.19
1533.2	-93.72
1535.51	-92.69
1537.81	-120
1540.11	-104.01
1542.42	-89.32
1544.72	-94.82
1547.03	-91.44
1549.33	-88.83
1551.63	-89.48
1553.94	-120
1556.24	-98.41
1558.55	-102.8
1560.85	-91.76
1563.16	-92.45
1565.46	-92.98
1567.76	-95.75
1570.07	-91.38
1572.37	-99.33
1574.68	-91.32
1576.98	-92.68
1579.28	-89.66
1581.59	-91.81
1583.89	-88.27
1586.2	-92.71
1588.5	-120
1590.81	-90.93
1593.11	-97.47
1595.41	-90.25
1597.72	-120
1600.02	-88.89
1602.33	-90.41
1604.63	-96.34
1606.94	-111.31
1609.24	-90.38
1611.54	-94.08
1613.85	-88.21
1616.15	-93.03
1618.46	-120
1620.76	-97.54
1623.06	-88.04
1625.37	-92.34
1627.67	-92.61
1629.98	-120
1632.28	-97.12
1634.59	-92.68
1636.89	-92.98
1639.19	-93.84
1641.5	-120
1643.8	-93.44
1646.11	-120
1648.41	-89.88
1650.72	-120
1653.02	-89.83
1655.32	-90.6
1657.63	-120
1659.93	-120
1662.24	-92.52
1664.54	-92.8
1666.84	-120
1669.15	-91.6
1671.45	-120
1673.76	-120
1676.06	-91.21
1678.37	-120
1680.67	-92.11
1682.97	-120
1685.28	-120
1687.58	-120
1689.89	-84.56
1692.19	-87.83
1694.49	-85.64
1696.8	-120
1699.1	-85.68
1701.41	-85.23
1703.71	-83.39
1706.02	-120
1708.32	-120
1710.62	-84.33
1712.93	-120
1715.23	-91.23
1717.54	-80.18
1719.84	-120
1722.15	-120
1724.45	-120
1726.75	-120
1729.06	-120
1731.36	-84.11
1733.67	-78.77
1735.97	-82.6
1738.27	-74.51
1740.58	-87.93
1742.88	-120
1745.19	-120
1747.49	-120
1749.8	-74.6
