Wavelength	Optical power
nm	dBm
940.1	-72.33
940.125	-72.11
940.15	-72.3
940.175	-72.41
940.2	-72.44
940.225	-71.82
940.25	-71.67
940.275	-71.51
940.3	-72.19
940.325	-72.39
940.35	-72.68
940.375	-72.53
940.4	-72.79
940.425	-73.43
940.45	-72.64
940.475	-72.2
940.5	-72.52
940.525	-72.63
940.55	-72.87
940.575	-72.71
940.6	-72.36
940.625	-72.62
940.65	-72.44
940.675	-71.73
940.7	-71.93
940.725	-72.2
940.75	-72.36
940.775	-72.62
940.8	-73.25
940.825	-73.29
940.85	-73.44
940.875	-73.09
940.9	-72.89
940.925	-73.13
940.95	-72.93
940.975	-73.02
941	-73.12
941.025	-72.84
941.05	-71.94
941.075	-71.45
941.1	-71.28
941.125	-71.27
941.15	-71.26
941.175	-71.48
941.2	-72.1
941.225	-72.44
941.25	-73.03
941.275	-73.07
941.3	-73.15
941.325	-73.03
941.35	-72.46
941.375	-71.99
941.4	-72.55
941.425	-72.4
941.45	-72
941.475	-71.94
941.5	-72
941.525	-72.48
941.55	-72.4
941.575	-72.19
941.6	-72.29
941.625	-72.66
941.65	-73.34
941.675	-73.51
941.7	-72.95
941.725	-73.18
941.75	-72.57
941.775	-72.51
941.8	-72.74
941.825	-72.67
941.85	-72.32
941.875	-72.92
941.9	-72.5
941.925	-73.1
941.95	-73.24
941.975	-73.25
942	-73.12
942.025	-72.27
942.05	-72.32
942.075	-72.67
942.1	-72.9
942.125	-72.99
942.15	-72.76
942.175	-72.75
942.2	-73.89
942.225	-72.62
942.25	-72.92
942.275	-72.21
942.3	-71.82
942.325	-71.3
942.35	-71.07
942.375	-70.81
942.4	-71.19
942.425	-70.91
942.45	-71.31
942.475	-71.91
942.5	-72.47
942.525	-72.49
942.55	-72.63
942.575	-73.46
942.6	-73.56
942.625	-73.35
942.65	-72.55
942.675	-72.64
942.7	-73.08
942.725	-73.48
942.75	-73.14
942.775	-73.96
942.8	-74.27
942.825	-74.67
942.85	-74.26
942.875	-73.47
942.9	-72.74
942.925	-72.94
942.95	-72.44
942.975	-71.94
943	-71.93
943.025	-72.37
943.05	-72.74
943.075	-73.14
943.1	-72.49
943.125	-72.58
943.15	-72.44
943.175	-72.12
943.2	-71.76
943.225	-71.56
943.25	-71.48
943.275	-71.24
943.3	-70.97
943.325	-71.55
943.35	-71.7
943.375	-71.7
943.4	-71.92
943.425	-71.97
943.45	-72.81
943.475	-72.88
943.5	-72.72
943.525	-73.01
943.55	-73.39
943.575	-73.3
943.6	-73.41
943.625	-73.26
943.65	-73.74
943.675	-73.23
943.7	-72.49
943.725	-72.06
943.75	-72.01
943.775	-72.43
943.8	-72.14
943.825	-71.98
943.85	-72.54
943.875	-73.19
943.9	-73.44
943.925	-73.65
943.95	-73.44
943.975	-73.93
944	-73.15
944.025	-72.08
944.05	-71.97
944.075	-71.93
944.1	-71.89
944.125	-71.44
944.15	-70.76
944.175	-70.83
944.2	-71.25
944.225	-71.23
944.25	-71.31
944.275	-70.7
944.3	-71
944.325	-71.08
944.35	-71.3
944.375	-70.91
944.4	-70.62
944.425	-70.84
944.45	-71.36
944.475	-70.77
944.5	-70.94
944.525	-70.76
944.55	-70.83
944.575	-70.99
944.6	-70.82
944.625	-70.67
944.65	-71.05
944.675	-71.23
944.7	-70.92
944.725	-70.73
944.75	-71.07
944.775	-70.56
944.8	-70.58
944.825	-70.5
944.85	-70.25
944.875	-70.58
944.9	-71.14
944.925	-70.39
944.95	-70.45
944.975	-70.42
945	-70.12
945.025	-70.15
945.05	-70.07
945.075	-70.13
945.1	-70.69
945.125	-70.88
945.15	-70.79
945.175	-70.86
945.2	-70.73
945.225	-70.47
945.25	-70.03
945.275	-69.84
945.3	-69.48
945.325	-69.27
945.35	-69.1
945.375	-69.22
945.4	-69.29
945.425	-69.61
945.45	-69.37
945.475	-69.48
945.5	-69.79
945.525	-70
945.55	-69.91
945.575	-69.7
945.6	-69.45
945.625	-69.85
945.65	-69.85
945.675	-69.63
945.7	-69.55
945.725	-69.34
945.75	-69.45
945.775	-69.18
945.8	-68.91
945.825	-68.97
945.85	-68.88
945.875	-69.03
945.9	-69.25
945.925	-69.57
945.95	-69.61
945.975	-69.19
946	-69.14
946.025	-69.24
946.05	-69.07
946.075	-69.12
946.1	-68.91
946.125	-68.92
946.15	-69.43
946.175	-69.36
946.2	-69.35
946.225	-69.54
946.25	-69.27
946.275	-69.07
946.3	-68.85
946.325	-68.61
946.35	-68.39
946.375	-68.32
946.4	-68.28
946.425	-68.2
946.45	-68.32
946.475	-68.45
946.5	-68.3
946.525	-68.4
946.55	-68.24
946.575	-67.89
946.6	-67.77
946.625	-67.78
946.65	-67.81
946.675	-67.95
946.7	-68.1
946.725	-68.26
946.75	-68.45
946.775	-68.54
946.8	-68.53
946.825	-68.41
946.85	-68.37
946.875	-68.08
946.9	-68.08
946.925	-68.11
946.95	-68.15
946.975	-68.06
947	-67.91
947.025	-67.87
947.05	-67.95
947.075	-67.8
947.1	-67.84
947.125	-67.68
947.15	-67.7
947.175	-67.83
947.2	-67.86
947.225	-67.89
947.25	-67.81
947.275	-67.54
947.3	-67.53
947.325	-67.33
947.35	-67.25
947.375	-67.23
947.4	-67.32
947.425	-67.4
947.45	-67.44
947.475	-67.52
947.5	-67.54
947.525	-67.55
947.55	-67.34
947.575	-67.19
947.6	-67.09
947.625	-67.09
947.65	-66.98
947.675	-66.99
947.7	-66.93
947.725	-66.91
947.75	-66.83
947.775	-66.74
947.8	-66.6
947.825	-66.69
947.85	-66.62
947.875	-66.74
947.9	-66.87
947.925	-66.89
947.95	-67.06
947.975	-67.1
948	-66.9
948.025	-66.72
948.05	-66.49
948.075	-66.29
948.1	-66.2
948.125	-66.04
948.15	-65.84
948.175	-65.73
948.2	-65.69
948.225	-65.62
948.25	-65.67
948.275	-65.6
948.3	-65.46
948.325	-65.53
948.35	-65.61
948.375	-65.66
948.4	-65.74
948.425	-65.7
948.45	-65.76
948.475	-65.91
948.5	-65.94
948.525	-65.9
948.55	-65.87
948.575	-65.8
948.6	-65.72
948.625	-65.68
948.65	-65.56
948.675	-65.51
948.7	-65.52
948.725	-65.6
948.75	-65.59
948.775	-65.65
948.8	-65.58
948.825	-65.5
948.85	-65.51
948.875	-65.39
948.9	-65.31
948.925	-65.29
948.95	-65.26
948.975	-65.16
949	-65.15
949.025	-65.06
949.05	-65.01
949.075	-64.87
949.1	-64.78
949.125	-64.72
949.15	-64.73
949.175	-64.74
949.2	-64.83
949.225	-64.89
949.25	-65.06
949.275	-65.11
949.3	-65.05
949.325	-65.04
949.35	-65.19
949.375	-65.1
949.4	-65.1
949.425	-64.98
949.45	-65.01
949.475	-65.07
949.5	-65.04
949.525	-64.88
949.55	-64.82
949.575	-64.74
949.6	-64.77
949.625	-64.67
949.65	-64.57
949.675	-64.6
949.7	-64.53
949.725	-64.49
949.75	-64.43
949.775	-64.3
949.8	-64.28
949.825	-64.25
949.85	-64.19
949.875	-64.16
949.9	-64.1
949.925	-64.07
949.95	-63.96
949.975	-63.79
950	-63.65
950.025	-63.5
950.05	-63.43
950.075	-63.37
950.1	-63.33
950.125	-63.36
950.15	-63.44
950.175	-63.51
950.2	-63.6
950.225	-63.59
950.25	-63.71
950.275	-63.79
950.3	-63.8
950.325	-63.81
950.35	-63.77
950.375	-63.7
950.4	-63.69
950.425	-63.49
950.45	-63.19
950.475	-62.99
950.5	-62.77
950.525	-62.56
950.55	-62.33
950.575	-62.07
950.6	-61.82
950.625	-61.66
950.65	-61.52
950.675	-61.46
950.7	-61.37
950.725	-61.32
950.75	-61.3
950.775	-61.29
950.8	-61.3
950.825	-61.32
950.85	-61.31
950.875	-61.38
950.9	-61.45
950.925	-61.5
950.95	-61.53
950.975	-61.57
951	-61.56
951.025	-61.51
951.05	-61.41
951.075	-61.3
951.1	-61.23
951.125	-61.12
951.15	-61
951.175	-60.92
951.2	-60.8
951.225	-60.68
951.25	-60.57
951.275	-60.49
951.3	-60.45
951.325	-60.41
951.35	-60.33
951.375	-60.29
951.4	-60.28
951.425	-60.27
951.45	-60.23
951.475	-60.25
951.5	-60.28
951.525	-60.33
951.55	-60.38
951.575	-60.39
951.6	-60.35
951.625	-60.27
951.65	-60.15
951.675	-59.97
951.7	-59.69
951.725	-59.41
951.75	-59.19
951.775	-59.03
951.8	-58.87
951.825	-58.72
951.85	-58.54
951.875	-58.34
951.9	-58.12
951.925	-57.85
951.95	-57.58
951.975	-57.34
952	-57.21
952.025	-56.72
952.05	-54.71
952.075	-53.67
952.1	-52
952.125	-47.39
952.15	-41.99
952.175	-39.55
952.2	-39.27
952.225	-39.31
952.25	-39.34
952.275	-39.41
952.3	-39.87
952.325	-42.35
952.35	-49.63
952.375	-54.03
952.4	-52.69
952.425	-50.24
952.45	-43.6
952.475	-39.39
952.5	-37.63
952.525	-37.25
952.55	-35.9
952.575	-33.87
952.6	-32.84
952.625	-33.02
952.65	-33.67
952.675	-34.24
952.7	-34.34
952.725	-35.11
952.75	-37.53
952.775	-39.82
952.8	-38.34
952.825	-37.08
952.85	-35.7
952.875	-33.23
952.9	-31.57
952.925	-31.06
952.95	-31.09
952.975	-31.31
953	-31.56
953.025	-32.04
953.05	-33.79
953.075	-36.62
953.1	-37.86
953.125	-37.06
953.15	-35.42
953.175	-34.27
953.2	-32.34
953.225	-30.91
953.25	-29.94
953.275	-28.86
953.3	-28.29
953.325	-27.95
953.35	-27.36
953.375	-26.63
953.4	-26.15
953.425	-26.25
953.45	-26.58
953.475	-26.96
953.5	-27.15
953.525	-27.41
