Wavelength	Optical power
nm	dBm
1061.5	-120
1061.51	-120
1061.51	-120
1061.52	-90.46
1061.52	-90.46
1061.53	-90.46
1061.53	-91.81
1061.54	-88.81
1061.54	-88.81
1061.55	-86.54
1061.55	-88.81
1061.56	-88.8
1061.56	-86.25
1061.57	-85.58
1061.57	-86.76
1061.58	-86.31
1061.58	-90.93
1061.59	-94.62
1061.59	-84.86
1061.6	-85.44
1061.6	-88.87
1061.61	-84
1061.61	-88.87
1061.62	-85.97
1061.62	-90.52
1061.63	-86.61
1061.63	-88.14
1061.63	-90.52
1061.64	-90.52
1061.64	-85.9
1061.65	-120
1061.65	-120
1061.66	-87.57
1061.66	-92.21
1061.67	-92.21
1061.67	-92.2
1061.68	-92.2
1061.68	-92.2
1061.69	-87.57
1061.69	-120
1061.7	-120
1061.7	-120
1061.71	-120
1061.71	-120
1061.72	-120
1061.72	-101.31
1061.73	-82.81
1061.73	-79.8
1061.74	-84.42
1061.74	-84.42
1061.75	-84.42
1061.76	-79.76
1061.76	-79.8
1061.77	-82.81
1061.77	-120
1061.78	-120
1061.78	-120
1061.79	-120
1061.79	-88.95
1061.8	-88.95
1061.8	-88.95
1061.81	-88.95
1061.81	-88.95
1061.82	-97.03
1061.82	-88.32
1061.83	-97.02
1061.83	-97.02
1061.84	-97.01
1061.84	-97.01
1061.85	-89.67
1061.85	-90.54
1061.86	-90.54
1061.86	-90.54
1061.87	-90.54
1061.87	-90.54
1061.88	-85.92
1061.88	-91.3
1061.88	-91.3
1061.89	-91.29
1061.89	-91.29
1061.9	-91.29
1061.9	-91.29
1061.91	-91.29
1061.91	-120
1061.92	-120
1061.92	-93
1061.93	-92.49
1061.93	-92.49
1061.94	-92.49
1061.94	-92.48
1061.95	-92.48
1061.95	-92.48
1061.96	-101.97
1061.96	-120
1061.97	-84.39
1061.97	-81.38
1061.98	-86.01
1061.98	-86.01
1061.99	-86.01
1061.99	-86.01
1062	-81.3
1062.01	-84.08
1062.01	-95.65
1062.02	-95.65
1062.02	-95.65
1062.03	-95.65
1062.03	-87.94
1062.04	-88.32
1062.04	-88.74
1062.05	-88.74
1062.05	-88.74
1062.06	-88.74
1062.06	-88.74
1062.07	-94.01
1062.07	-94.01
1062.08	-94.01
1062.08	-94.01
1062.09	-94.01
1062.09	-87.19
1062.1	-88.05
1062.1	-85.58
1062.11	-85.56
1062.11	-85.55
1062.12	-84.49
1062.12	-80.07
1062.13	-81
1062.13	-81.29
1062.13	-81.5
1062.14	-81.5
1062.14	-81.51
1062.15	-84.56
1062.15	-120
1062.16	-120
1062.16	-87.85
1062.17	-92.48
1062.17	-92.48
1062.18	-92.48
1062.18	-95.19
1062.19	-95.19
1062.19	-87.12
1062.2	-95.18
1062.2	-95.18
1062.21	-95.18
1062.21	-95.18
1062.22	-120
1062.22	-120
1062.23	-120
1062.23	-120
1062.24	-120
1062.24	-120
1062.25	-120
1062.26	-120
1062.26	-120
1062.27	-120
1062.27	-120
1062.28	-120
1062.28	-85.27
1062.29	-89.91
1062.29	-89.91
1062.3	-89.91
1062.3	-89.91
1062.31	-89.91
1062.31	-85.27
1062.32	-88.64
1062.32	-88.65
1062.33	-88.64
1062.33	-88.64
1062.34	-88.64
1062.34	-88.64
1062.35	-88.64
1062.35	-88.21
1062.36	-92.83
1062.36	-84.72
1062.37	-89.35
1062.37	-89.35
1062.38	-89.35
1062.38	-83.11
1062.38	-89.35
1062.39	-82.41
1062.39	-90.88
1062.4	-90.88
1062.4	-90.88
1062.41	-90.88
1062.41	-90.88
1062.42	-86.25
1062.42	-87.19
1062.43	-91.82
1062.43	-91.82
1062.44	-91.81
1062.44	-91.81
1062.45	-91.81
1062.45	-85.15
1062.46	-89.4
1062.46	-97.52
1062.47	-97.51
1062.47	-97.51
1062.48	-97.5
1062.48	-88.77
1062.49	-91.82
1062.49	-87.06
1062.5	-89.46
1062.51	-90.47
1062.51	-90.47
1062.52	-90.47
1062.52	-83.15
1062.53	-83.17
1062.53	-91.96
1062.54	-88.14
1062.54	-92.49
1062.55	-89.48
1062.55	-89.48
1062.56	-87.54
1062.56	-89.48
1062.57	-89.48
1062.57	-89.48
1062.58	-90.57
1062.58	-92.03
1062.59	-90.03
1062.59	-90.03
1062.6	-90.03
1062.6	-86.36
1062.61	-87.48
1062.61	-88.32
1062.62	-89.36
1062.62	-91
1062.63	-91
1062.63	-86.36
1062.63	-120
1062.64	-120
1062.64	-120
1062.65	-120
1062.65	-120
1062.66	-120
1062.66	-120
1062.67	-94.25
1062.67	-94.25
1062.68	-94.25
1062.68	-94.25
1062.69	-94.25
1062.69	-83.74
1062.7	-87.13
1062.7	-83.64
1062.71	-98.36
1062.71	-95.35
1062.72	-95.34
1062.72	-80.76
1062.73	-85.66
1062.73	-83.2
1062.74	-85.51
1062.74	-85.74
1062.75	-97.02
1062.76	-83.02
1062.76	-89.14
1062.77	-95.49
1062.77	-88.26
1062.78	-89.16
1062.78	-89.16
1062.79	-89.16
1062.79	-89.16
1062.8	-84.44
1062.8	-84.53
1062.81	-86.18
1062.81	-90.81
1062.82	-90.81
1062.82	-90.64
1062.83	-90.64
1062.83	-92.92
1062.84	-85.3
1062.84	-98.36
1062.85	-98.35
1062.85	-91.62
1062.86	-97.51
1062.86	-89.11
1062.87	-92.68
1062.87	-91.44
1062.88	-92.68
1062.88	-92.68
1062.88	-87.97
1062.89	-87.94
1062.89	-103.71
1062.9	-103.71
1062.9	-103.71
1062.91	-103.71
1062.91	-88.61
1062.92	-85.53
1062.92	-85.6
1062.93	-85.6
1062.93	-85.6
1062.94	-85.6
1062.94	-85.6
1062.95	-88.61
1062.95	-120
1062.96	-120
1062.96	-120
1062.97	-120
1062.97	-120
1062.98	-120
1062.98	-120
1062.99	-120
1062.99	-84.29
1063	-82.38
1063.01	-87.01
1063.01	-84.85
1063.02	-89.48
1063.02	-89.48
1063.03	-80.43
1063.03	-82.73
1063.04	-89.48
1063.04	-83.39
1063.05	-88.85
1063.05	-88.85
1063.06	-88.85
1063.06	-85.7
1063.07	-90.33
1063.07	-86.52
1063.08	-90.33
1063.08	-90.33
1063.09	-90.33
1063.09	-85.7
1063.1	-120
1063.1	-120
1063.11	-120
1063.11	-120
1063.12	-90.27
1063.12	-87.26
1063.13	-85.35
1063.13	-84.99
1063.13	-84.99
1063.14	-84.99
1063.14	-82.97
