Wavelength	Optical power
nm	dBm
1061.5	-78.63
1061.51	-79.42
1061.51	-80.08
1061.52	-79.07
1061.52	-80.25
1061.53	-84.65
1061.53	-80.66
1061.54	-79.09
1061.54	-79.33
1061.55	-76.79
1061.55	-92.53
1061.56	-77.43
1061.56	-77.55
1061.57	-78.15
1061.57	-85.32
1061.58	-79.94
1061.58	-84.07
1061.59	-79.05
1061.59	-80.11
1061.6	-80.91
1061.6	-85.97
1061.61	-85.97
1061.61	-80.93
1061.62	-87.4
1061.62	-82.23
1061.63	-82.72
1061.63	-82.17
1061.63	-79.38
1061.64	-76.2
1061.64	-79.26
1061.65	-76.52
1061.65	-84.29
1061.66	-76.45
1061.66	-76.58
1061.67	-76.7
1061.67	-81.64
1061.68	-86.95
1061.68	-76.54
1061.69	-76.74
1061.69	-77.19
1061.7	-78.2
1061.7	-79.54
1061.71	-79.36
1061.71	-80.18
1061.72	-80.14
1061.72	-82.78
1061.73	-82.62
1061.73	-82.9
1061.74	-79.36
1061.74	-79.96
1061.75	-78.45
1061.76	-77.64
1061.76	-77.3
1061.77	-77.7
1061.77	-78.15
1061.78	-78.44
1061.78	-77.86
1061.79	-77.87
1061.79	-79.67
1061.8	-79.91
1061.8	-80.03
1061.81	-79.49
1061.81	-79.87
1061.82	-80.59
1061.82	-84.57
1061.83	-79.2
1061.83	-78.94
1061.84	-78.93
1061.84	-78.92
1061.85	-79.24
1061.85	-80.04
1061.86	-78.79
1061.86	-79.85
1061.87	-84.33
1061.87	-84.79
1061.88	-87.4
1061.88	-81.48
1061.88	-81.37
1061.89	-84.4
1061.89	-91.58
1061.9	-91.58
1061.9	-91.58
1061.91	-82.22
1061.91	-82.06
1061.92	-79.63
1061.92	-84.26
1061.93	-84.49
1061.93	-80.99
1061.94	-76.33
1061.94	-77.01
1061.95	-77.35
1061.95	-81.59
1061.96	-76.27
1061.96	-76.81
1061.97	-77.67
1061.97	-78.74
1061.98	-78.65
1061.98	-77.83
1061.99	-79.67
1061.99	-79.4
1062	-79.74
1062.01	-80.01
1062.01	-80.31
1062.02	-78.89
1062.02	-81.21
1062.03	-80.29
1062.03	-92.25
1062.04	-92.25
1062.04	-92.25
1062.05	-80.24
1062.05	-82.62
1062.06	-84.35
1062.06	-82.43
1062.07	-80.94
1062.07	-80.15
1062.08	-76.59
1062.08	-77.1
1062.09	-79.09
1062.09	-79.09
1062.1	-80.89
1062.1	-82.89
1062.11	-81.61
1062.11	-83.72
1062.12	-83.66
1062.12	-86.38
1062.13	-91.01
1062.13	-79.35
1062.13	-78.97
1062.14	-80.31
1062.14	-83.73
1062.15	-81.87
1062.15	-87.4
1062.16	-83.24
1062.16	-83.25
1062.17	-87.88
1062.17	-84.62
1062.18	-84.13
1062.18	-85.53
1062.19	-87.35
1062.19	-79.7
1062.2	-83.59
1062.2	-86.18
1062.21	-79.56
1062.21	-87.79
1062.22	-80.36
1062.22	-81.33
1062.23	-82.34
1062.23	-81.17
1062.24	-81.9
1062.24	-82.79
1062.25	-86.29
1062.26	-80.87
1062.26	-77.7
1062.27	-77.85
1062.27	-78
1062.28	-78.34
1062.28	-77.39
1062.29	-77.8
1062.29	-78.27
1062.3	-77.72
1062.3	-78.43
1062.31	-83.06
1062.31	-77.02
1062.32	-78.22
1062.32	-78.43
1062.33	-78.04
1062.33	-78.89
1062.34	-78.69
1062.34	-78.55
1062.35	-78.42
1062.35	-78.42
1062.36	-78.05
1062.36	-79.71
1062.37	-79.12
1062.37	-83.1
1062.38	-83.51
1062.38	-82.98
1062.38	-81.4
1062.39	-81.33
1062.39	-80.26
1062.4	-84.6
1062.4	-87.96
1062.41	-84.96
1062.41	-80.5
1062.42	-77.39
1062.42	-83.38
1062.43	-78.32
1062.43	-78.6
1062.44	-78.02
1062.44	-77.52
1062.45	-79.78
1062.45	-84.87
1062.46	-82.17
1062.46	-79.16
1062.47	-77.16
1062.47	-77.09
1062.48	-81.13
1062.48	-76.58
1062.49	-76.14
1062.49	-77.35
1062.5	-87.12
1062.51	-76.66
1062.51	-76.74
1062.52	-76.83
1062.52	-76.89
1062.53	-82.9
1062.53	-78.26
1062.54	-78.53
1062.54	-79.17
1062.55	-79.61
1062.55	-81.25
1062.56	-81.73
1062.56	-79.77
1062.57	-79.47
1062.57	-75.96
1062.58	-75.89
1062.58	-75.82
1062.59	-74.88
1062.59	-75.88
1062.6	-76.64
1062.6	-77
1062.61	-76.87
1062.61	-76.42
1062.62	-76.01
1062.62	-77.61
1062.63	-76.7
1062.63	-77.25
1062.63	-77.08
1062.64	-77.64
1062.64	-79.1
1062.65	-81.33
1062.65	-90.71
1062.66	-81
1062.66	-81.39
1062.67	-78.76
1062.67	-78.87
1062.68	-78.2
1062.68	-76.85
1062.69	-76.04
1062.69	-75.78
1062.7	-75.96
1062.7	-75.82
1062.71	-75.54
1062.71	-75.29
1062.72	-75.55
1062.72	-76.25
1062.73	-76.43
1062.73	-76.7
1062.74	-77.03
1062.74	-77.34
1062.75	-77.67
1062.76	-78.75
1062.76	-78.09
1062.77	-78.46
1062.77	-78.96
1062.78	-79.45
1062.78	-79.04
1062.79	-80.58
1062.79	-78.68
1062.8	-79.5
1062.8	-85.21
1062.81	-80.58
1062.81	-81.41
1062.82	-84.42
1062.82	-95.83
1062.83	-94.9
1062.83	-87.85
1062.84	-85.02
1062.84	-89.65
1062.85	-91.43
1062.85	-83.09
1062.86	-83.32
1062.86	-81.41
1062.87	-79.24
1062.87	-79.77
1062.88	-81.37
1062.88	-81.48
1062.88	-76.97
1062.89	-76.44
1062.89	-76.25
1062.9	-77.6
1062.9	-76.74
1062.91	-78.18
1062.91	-77.93
1062.92	-77.69
1062.92	-77.85
1062.93	-80.88
1062.93	-78.51
1062.94	-80.2
1062.94	-79.74
1062.95	-80.11
1062.95	-80.05
1062.96	-80.37
1062.96	-79.81
1062.97	-78.92
1062.97	-79.07
1062.98	-79.66
1062.98	-80.33
1062.99	-81.38
1062.99	-81.28
1063	-82.28
1063.01	-84.73
1063.01	-82.53
1063.02	-80.78
1063.02	-78.48
1063.03	-78.82
1063.03	-77.98
1063.04	-78.27
1063.04	-79.22
1063.05	-79.11
1063.05	-80.21
1063.06	-83.17
1063.06	-79.84
1063.07	-82.56
1063.07	-81.62
1063.08	-78.12
1063.08	-86.1
1063.09	-85.96
1063.09	-78.87
1063.1	-80.05
1063.1	-79.64
1063.11	-86.25
1063.11	-83.19
1063.12	-82.17
1063.12	-81.34
1063.13	-78.64
1063.13	-87.17
1063.13	-79.07
1063.14	-84.88
1063.14	-78.49
1063.15	-78.14
1063.15	-78.75
1063.16	-77.8
1063.16	-77.44
1063.17	-77.22
1063.17	-75.22
1063.18	-75.68
1063.18	-75.88
1063.19	-81.03
1063.19	-76.09
1063.2	-77.75
1063.2	-78.62
1063.21	-85.38
1063.21	-77.51
1063.22	-77.11
1063.22	-77.24
1063.23	-76.12
1063.23	-76.5
1063.24	-76.12
1063.24	-76.18
1063.25	-76.73
1063.26	-77.6
1063.26	-78.65
1063.27	-84.44
1063.27	-79.34
1063.28	-80.33
1063.28	-79.81
1063.29	-80.62
1063.29	-81.62
1063.3	-88.93
1063.3	-86.06
1063.31	-88.76
1063.31	-81.42
1063.32	-89.25
1063.32	-85.54
1063.33	-82.53
1063.33	-87.15
1063.34	-82.65
1063.34	-79.38
1063.35	-84.98
1063.35	-80.57
1063.36	-79.92
1063.36	-80.73
1063.37	-85.36
1063.37	-78.45
1063.38	-82.42
1063.38	-84.1
1063.38	-78.69
1063.39	-79.8
1063.39	-86.24
1063.4	-80.19
1063.4	-82.4
1063.41	-81.8
1063.41	-81.89
1063.42	-82.21
1063.42	-82.21
1063.43	-78.1
1063.43	-79.14
1063.44	-79.93
1063.44	-78.42
1063.45	-80.84
1063.45	-80.89
1063.46	-77.47
1063.46	-77.96
1063.47	-77.96
1063.47	-77.53
1063.48	-77.12
1063.48	-77.51
1063.49	-76.78
1063.49	-80.47
1063.5	-80.96
1063.51	-75.73
1063.51	-76.49
1063.52	-77.49
1063.52	-77.05
1063.53	-76.83
1063.53	-79.04
1063.54	-77.66
1063.54	-85.44
1063.55	-85.41
1063.55	-77.52
1063.56	-79.35
1063.56	-82.57
1063.57	-82.33
1063.57	-82.32
1063.58	-85.61
1063.58	-84.07
