time,sec	res, Ohm
0	1E+18
0.094	1E+18
0.187	1E+18
0.281	1E+18
0.375	1E+18
0.468	1E+18
0.562	1E+18
0.655	1E+18
0.749	1E+18
0.843	1E+18
0.936	1E+18
1.03	1E+18
1.123	1E+18
1.217	1E+18
1.311	1E+18
1.404	1E+18
1.498	1E+18
1.591	1E+18
1.685	1E+18
1.779	1E+18
1.872	1E+18
1.966	1E+18
2.059	1E+18
2.153	1E+18
2.247	1E+18
2.34	1E+18
2.434	1E+18
2.527	1E+18
2.637	0.10939
2.73	0.02556
2.824	0.01555
2.917	0.01459
3.011	0.01447
3.105	0.01447
3.198	0.01443
3.292	0.01441
3.385	0.01439
3.479	0.01437
3.573	0.01436
3.666	0.01436
3.76	0.01434
3.853	0.01433
3.947	0.01432
4.041	0.01431
4.134	0.0143
4.228	0.0143
4.321	0.01429
4.415	0.01428
4.509	0.01428
4.602	0.01427
4.696	0.01426
4.789	0.01426
4.883	0.01425
4.977	0.01424
5.07	0.01423
5.164	0.01423
5.257	0.01422
5.351	0.01422
5.445	0.01421
5.538	0.0142
5.632	0.0142
5.725	0.01419
5.819	0.01418
5.913	0.01418
6.006	0.01417
6.1	0.01416
6.193	0.01416
6.287	0.01415
6.381	0.01415
6.474	0.01414
6.568	0.01413
6.661	0.01412
6.755	0.01412
6.849	0.01411
6.942	0.01411
7.036	0.0141
7.129	0.0141
7.223	0.01409
7.317	0.01408
7.41	0.01407
7.504	0.01407
7.597	0.01407
7.691	0.01406
7.785	0.01406
7.878	0.01405
7.972	0.01404
8.065	0.01404
8.159	0.01404
8.253	0.01403
8.346	0.01402
8.44	0.01402
8.533	0.01401
8.627	0.01401
8.721	0.01401
8.814	0.014
8.908	0.01399
9.001	0.01399
9.095	0.01398
9.189	0.01398
9.282	0.01398
9.376	0.01397
9.469	0.01396
9.563	0.01396
9.657	0.01395
9.75	0.01395
9.844	0.01395
9.937	0.01394
10.031	0.01394
10.125	0.01393
10.218	0.01393
10.312	0.01393
10.405	0.01392
10.499	0.01392
10.593	0.01391
10.686	0.01391
10.78	0.01391
10.873	0.0139
10.967	0.0139
11.061	0.01389
11.154	0.01389
11.248	0.01388
11.341	0.01388
11.435	0.01388
11.529	0.01388
11.622	0.01387
11.716	0.01386
11.809	0.01386
11.903	0.01386
11.997	0.01385
12.09	0.01385
12.184	0.01384
12.277	0.01384
12.371	0.01384
12.465	0.01384
12.558	0.01383
12.652	0.01382
12.745	0.01382
12.839	0.01382
12.933	0.01382
13.026	0.01381
13.12	0.0138
