time,sec	res, Ohm
0	1E+18
0.094	1E+18
0.187	1E+18
0.281	1E+18
0.375	1E+18
0.468	1E+18
0.562	1E+18
0.655	1E+18
0.749	1E+18
0.843	1E+18
0.936	1E+18
1.03	1E+18
1.123	1E+18
1.217	1E+18
1.311	1E+18
1.404	1E+18
1.498	1E+18
1.591	1E+18
1.685	1E+18
1.779	1E+18
1.872	1E+18
1.966	1E+18
2.059	1E+18
2.153	1E+18
2.247	1E+18
2.34	1E+18
2.434	1E+18
2.527	1E+18
2.621	1E+18
2.715	1E+18
2.808	1E+18
2.902	1E+18
2.995	1E+18
3.089	1E+18
3.183	1E+18
3.276	1E+18
3.37	1E+18
3.463	1E+18
3.573	0.009791
3.666	0.004196
3.76	0.003625
3.853	0.003572
3.947	0.003566
4.041	0.003566
4.134	0.003565
4.228	0.003564
4.321	0.003563
4.415	0.003562
4.509	0.003562
4.602	0.003562
4.696	0.003561
4.789	0.003561
4.883	0.00356
4.977	0.00356
5.07	0.003559
5.164	0.003559
5.257	0.003559
5.351	0.003559
5.445	0.003559
5.538	0.003558
5.632	0.003557
5.725	0.003557
5.819	0.003557
5.913	0.003557
6.006	0.003557
6.1	0.003557
6.193	0.003557
6.287	0.003557
6.381	0.003556
6.474	0.003556
6.568	0.003556
6.661	0.003556
6.755	0.003556
6.849	0.003556
6.942	0.003555
7.036	0.003555
7.129	0.003555
7.223	0.003555
7.317	0.003554
7.41	0.003554
7.504	0.003554
7.597	0.003554
7.691	0.003554
7.785	0.003554
7.878	0.003554
7.972	0.003554
8.065	0.003554
8.159	0.003553
8.253	0.003553
8.346	0.003553
8.44	0.003553
8.533	0.003553
8.627	0.003552
8.721	0.003553
8.814	0.003552
8.908	0.003552
9.001	0.003552
9.095	0.003552
9.189	0.003552
9.282	0.003552
9.376	0.003551
9.469	0.003551
9.563	0.003551
9.657	0.003551
9.75	0.003551
9.844	0.003551
9.937	0.003551
10.031	0.003551
10.125	0.003551
10.218	0.003551
10.312	0.003551
10.405	0.003551
10.499	0.00355
10.593	0.00355
10.686	0.00355
10.78	0.00355
10.873	0.00355
10.967	0.00355
11.061	0.00355
11.154	0.00355
11.248	0.00355
11.341	0.00355
11.435	0.00355
11.529	0.003549
11.622	0.00355
11.716	0.00355
11.809	0.003549
11.903	0.003549
11.997	0.003549
12.09	0.003549
12.184	0.003549
12.277	0.003549
12.371	0.003549
12.465	0.003549
12.558	0.003548
12.652	0.003548
12.745	0.003548
12.839	0.003548
12.933	0.003548
13.026	0.003548
13.12	0.003548
