Wavelength	Optical power
nm	dBm
1521	-82.3
1521.07	-82.22
1521.14	-85.77
1521.21	-82.38
1521.28	-82.12
1521.35	-80.86
1521.42	-81.63
1521.49	-81.78
1521.56	-94.96
1521.63	-82.4
1521.7	-81.71
1521.77	-81.51
1521.84	-83.2
1521.91	-84.81
1521.98	-82.25
1522.05	-81.15
1522.12	-79.69
1522.19	-80.71
1522.26	-84.41
1522.33	-82.56
1522.4	-84.2
1522.47	-80.91
1522.54	-80.62
1522.61	-83.33
1522.68	-82.74
1522.75	-82.61
1522.82	-82.11
1522.89	-82.31
1522.96	-81.67
1523.03	-85.76
1523.1	-81.41
1523.17	-82.73
1523.24	-81.33
1523.31	-82.46
1523.38	-82.71
1523.45	-80.3
1523.52	-81.18
1523.59	-79.12
1523.66	-83.84
1523.73	-79.24
1523.8	-81.93
1523.87	-81.24
1523.94	-87.6
1524.01	-82.67
1524.08	-79.52
1524.15	-83.06
1524.22	-84.38
1524.29	-82.11
1524.36	-83.85
1524.43	-80.93
1524.5	-80.37
1524.57	-82.71
1524.64	-81.98
1524.71	-83.06
1524.78	-80.65
1524.85	-85.53
1524.92	-81.2
1524.99	-86.17
1525.06	-84.24
1525.13	-83.93
1525.2	-81.36
1525.27	-81.71
1525.34	-83.02
1525.41	-80.7
1525.48	-79.68
1525.55	-79.91
1525.62	-81.49
1525.69	-84.89
1525.76	-95.14
1525.83	-82.12
1525.9	-80.37
1525.97	-82.05
1526.04	-81.51
1526.11	-79.97
1526.18	-81.78
1526.25	-80.3
1526.32	-81.61
1526.39	-81.84
1526.46	-83.63
1526.53	-81.92
1526.6	-84.07
1526.67	-85.04
1526.74	-79.63
1526.81	-82.31
1526.88	-82.08
1526.95	-80.75
1527.02	-82.19
1527.09	-83.73
1527.16	-79.82
1527.23	-120
1527.3	-83.31
1527.37	-81.1
1527.44	-79.51
1527.51	-80.23
1527.58	-81.06
1527.65	-81.59
1527.72	-83.6
1527.79	-84.02
1527.86	-80.47
1527.93	-82.33
1528	-81.56
1528.07	-81.03
1528.14	-84.08
1528.21	-79.88
1528.28	-82.35
1528.35	-82.35
1528.42	-81.94
1528.49	-83.82
1528.56	-84.53
1528.63	-88.39
1528.7	-79.14
1528.77	-87.12
1528.84	-81.28
1528.91	-82.98
1528.98	-85.09
1529.05	-82.66
1529.12	-84.33
1529.19	-82.49
1529.26	-82.12
1529.33	-82.24
1529.4	-80.75
1529.47	-81.22
1529.54	-82.11
1529.61	-79.9
1529.68	-81.34
1529.75	-80.58
1529.82	-80.91
1529.89	-81.44
1529.96	-84.7
1530.03	-83.54
1530.1	-80.97
1530.17	-83.77
1530.24	-82.93
1530.31	-80.52
1530.38	-81.59
1530.45	-83.28
1530.52	-81.87
1530.59	-82.44
1530.66	-78.86
1530.73	-89.14
1530.8	-80.37
1530.87	-83.29
1530.94	-80.51
1531.01	-79.39
1531.08	-80.8
1531.15	-81.27
1531.22	-79.52
1531.29	-81.61
1531.36	-81.31
1531.43	-80.19
1531.5	-80.89
1531.57	-81.63
1531.64	-85.42
1531.71	-81.89
1531.78	-79.98
1531.85	-79.55
1531.92	-83.1
1531.99	-83.98
1532.06	-79.81
1532.13	-82
1532.2	-84.02
1532.27	-82.16
1532.34	-82.31
1532.41	-80.84
1532.48	-80.68
1532.55	-82.28
1532.62	-81.67
1532.69	-80.14
1532.76	-79.4
1532.83	-84.88
1532.9	-81.55
1532.97	-82.73
1533.04	-80.78
1533.11	-83.71
1533.18	-81.46
1533.25	-80.71
1533.32	-81.68
1533.39	-80.61
1533.46	-80.24
1533.53	-78.21
1533.6	-80.59
1533.67	-81.83
1533.74	-82.33
1533.81	-80.03
1533.88	-79.52
1533.95	-79.43
1534.02	-80.34
1534.09	-80.03
1534.16	-80.03
1534.23	-79.14
1534.3	-80.72
1534.37	-78.02
1534.44	-81.27
1534.51	-80.02
1534.58	-80.04
1534.65	-80.14
1534.72	-79.03
1534.79	-79.33
1534.86	-78.72
1534.93	-78.61
1535	-78.41
1535.07	-77.89
1535.14	-78.76
1535.21	-78.12
1535.28	-77.88
1535.35	-76.91
1535.42	-77.26
1535.49	-77
1535.56	-77.3
1535.63	-77.63
1535.7	-77.02
1535.77	-76.41
1535.84	-76.47
1535.91	-76.72
1535.98	-76.4
1536.05	-76.3
1536.12	-76.69
1536.19	-76.34
1536.26	-75.72
1536.33	-74.91
1536.4	-74.9
1536.47	-75.81
1536.54	-74.76
1536.61	-74.93
1536.68	-75.13
1536.75	-75.13
1536.82	-74.76
1536.89	-74.2
1536.96	-75.22
1537.03	-74.22
1537.1	-75.42
1537.17	-74.94
1537.24	-74.65
1537.31	-74.77
1537.38	-74.38
1537.45	-73.81
1537.52	-73.62
1537.59	-73.41
1537.66	-73.32
1537.73	-73.38
1537.8	-73.4
1537.87	-73.29
1537.94	-73.37
1538.01	-73.02
1538.08	-73.55
1538.15	-73.27
1538.22	-73.54
1538.29	-73.09
1538.36	-72.86
1538.43	-72.84
1538.5	-72.3
1538.57	-71.97
1538.64	-71.54
1538.71	-71.05
1538.78	-71.33
1538.85	-71.33
1538.92	-71.51
1538.99	-71.35
1539.06	-71.23
1539.13	-71.25
1539.2	-71.25
1539.27	-71.17
1539.34	-71.04
1539.41	-70.72
1539.48	-70.48
1539.55	-69.91
1539.62	-69.6
1539.69	-69.22
1539.76	-69.11
1539.83	-68.94
1539.9	-69
1539.97	-68.96
1540.04	-69.02
1540.11	-69.14
1540.18	-69.03
1540.25	-69
1540.32	-68.7
1540.39	-68.66
1540.46	-68.45
1540.53	-68.12
1540.6	-67.68
1540.67	-67.2
1540.74	-66.8
1540.81	-66.42
1540.88	-66.23
1540.95	-66.21
1541.02	-66.18
1541.09	-66.41
1541.16	-66.51
1541.23	-66.5
1541.3	-66.54
1541.37	-66.41
1541.44	-66.45
1541.51	-66.27
1541.58	-65.9
1541.65	-65.71
1541.72	-65.19
1541.79	-64.78
1541.86	-64.32
1541.93	-64.06
1542	-63.89
1542.07	-63.89
1542.14	-63.96
1542.21	-64.09
1542.28	-64.24
1542.35	-64.37
1542.42	-64.45
1542.49	-64.42
1542.56	-64.29
1542.63	-64.18
1542.7	-63.94
1542.77	-63.58
1542.84	-63.15
1542.91	-62.75
1542.98	-62.44
1543.05	-62.22
1543.12	-62.27
1543.19	-62.36
1543.26	-62.58
1543.33	-62.86
1543.4	-63.03
1543.47	-63.1
1543.54	-63.15
1543.61	-63.13
1543.68	-63.12
1543.75	-62.9
1543.82	-62.62
1543.89	-62.29
1543.96	-61.89
1544.03	-61.56
1544.1	-61.36
1544.17	-61.3
1544.24	-61.43
1544.31	-61.72
1544.38	-61.98
1544.45	-62.25
1544.52	-62.45
1544.59	-62.56
1544.66	-62.63
1544.73	-62.53
1544.8	-62.44
1544.87	-62.17
1544.94	-61.86
1545.01	-61.5
1545.08	-61.02
1545.15	-60.65
1545.22	-60.58
1545.29	-60.73
1545.36	-61.13
1545.43	-61.54
1545.5	-62
1545.57	-62.33
1545.64	-62.51
1545.71	-62.69
1545.78	-62.71
1545.85	-62.63
1545.92	-62.45
1545.99	-62.19
1546.06	-61.79
1546.13	-61.23
1546.2	-60.66
1546.27	-60.25
1546.34	-60.16
1546.41	-60.39
1546.48	-60.84
1546.55	-61.36
1546.62	-61.83
1546.69	-62.21
1546.76	-62.42
1546.83	-62.63
1546.9	-62.66
1546.97	-62.61
1547.04	-62.48
1547.11	-62.15
1547.18	-61.73
1547.25	-61.16
1547.32	-60.64
1547.39	-60.25
1547.46	-60.25
1547.53	-60.52
1547.6	-61.1
1547.67	-61.6
1547.74	-62.06
1547.81	-62.45
1547.88	-62.68
1547.95	-62.77
1548.02	-62.76
1548.09	-62.77
1548.16	-62.58
1548.23	-62.29
1548.3	-61.8
1548.37	-61.21
1548.44	-60.65
1548.51	-60.29
1548.58	-60.3
1548.65	-60.67
1548.72	-61.11
1548.79	-61.67
1548.86	-62.12
1548.93	-62.44
1549	-62.63
1549.07	-62.79
1549.14	-62.79
1549.21	-62.66
1549.28	-62.45
1549.35	-62.13
1549.42	-61.52
1549.49	-60.89
1549.56	-60.36
1549.63	-60.16
1549.7	-60.33
1549.77	-60.74
1549.84	-61.29
1549.91	-61.86
1549.98	-62.25
1550.05	-62.55
1550.12	-62.81
1550.19	-62.84
1550.26	-62.81
1550.33	-62.66
1550.4	-62.43
1550.47	-62
1550.54	-61.49
1550.61	-60.8
1550.68	-60.21
1550.75	-59.96
1550.82	-60.03
1550.89	-60.49
1550.96	-61.07
1551.03	-61.54
1551.1	-61.93
1551.17	-62.24
1551.24	-62.44
1551.31	-62.45
1551.38	-62.41
1551.45	-62.24
1551.52	-61.93
1551.59	-61.43
1551.66	-60.82
1551.73	-60.11
1551.8	-59.44
1551.87	-59.19
1551.94	-59.39
1552.01	-59.91
1552.08	-60.58
1552.15	-61.11
1552.22	-61.59
1552.29	-61.96
1552.36	-62.14
1552.43	-62.16
1552.5	-62.16
1552.57	-62.01
1552.64	-61.68
1552.71	-61.26
1552.78	-60.64
1552.85	-59.94
1552.92	-59.18
1552.99	-58.84
1553.06	-58.9
1553.13	-59.32
1553.2	-59.99
1553.27	-60.58
1553.34	-61.02
1553.41	-61.44
1553.48	-61.73
1553.55	-61.79
1553.62	-61.77
1553.69	-61.73
1553.76	-61.39
1553.83	-60.96
1553.9	-60.25
1553.97	-59.21
1554.04	-58
1554.11	-56.91
1554.18	-56.42
1554.25	-56.86
1554.32	-57.94
1554.39	-59.12
1554.46	-60.24
1554.53	-61.07
1554.6	-61.73
1554.67	-62.21
1554.74	-62.6
1554.81	-62.87
1554.88	-63.03
1554.95	-63.11
1555.02	-63.26
1555.09	-63.18
1555.16	-63.07
1555.23	-62.98
1555.3	-62.8
1555.37	-62.44
1555.44	-61.97
1555.51	-61.27
1555.58	-60.15
1555.65	-58.18
1555.72	-52.87
1555.79	-37.39
1555.86	-17.2
1555.93	-39.85
1556	-53.82
1556.07	-57.78
1556.14	-59.55
1556.21	-60.76
1556.28	-61.45
1556.35	-61.92
1556.42	-62.22
1556.49	-62.29
1556.56	-62.32
1556.63	-62.08
1556.7	-61.83
1556.77	-61.33
1556.84	-60.54
1556.91	-59.46
1556.98	-57.89
1557.05	-55.75
1557.12	-53.65
1557.19	-53.39
1557.26	-54.99
1557.33	-57.06
1557.4	-58.72
1557.47	-59.84
1557.54	-60.59
1557.61	-61.1
1557.68	-61.31
1557.75	-61.35
1557.82	-61.27
1557.89	-60.98
1557.96	-60.42
1558.03	-59.67
1558.1	-58.79
1558.17	-57.29
1558.24	-55.75
1558.31	-54.53
1558.38	-54.56
1558.45	-55.83
1558.52	-57.37
1558.59	-58.59
1558.66	-59.55
1558.73	-60.18
1558.8	-60.54
1558.87	-60.7
1558.94	-60.66
1559.01	-60.44
1559.08	-60.08
1559.15	-59.46
1559.22	-58.63
1559.29	-57.42
1559.36	-56.09
1559.43	-54.92
1559.5	-54.6
1559.57	-55.34
1559.64	-56.5
1559.71	-57.83
1559.78	-58.8
1559.85	-59.42
1559.92	-59.87
1559.99	-60.05
1560.06	-60.07
1560.13	-59.91
