Wavelength	Optical power
nm	dBm
1546	-62.3
1546.02	-62.16
1546.04	-62
1546.06	-61.66
1546.08	-61.51
1546.1	-61.24
1546.12	-60.88
1546.14	-60.65
1546.16	-60.43
1546.18	-60.22
1546.2	-60.01
1546.22	-59.83
1546.24	-59.68
1546.26	-59.58
1546.28	-59.52
1546.3	-59.48
1546.32	-59.45
1546.34	-59.48
1546.36	-59.59
1546.38	-59.68
1546.4	-59.79
1546.42	-59.99
1546.44	-60.16
1546.46	-60.34
1546.48	-60.58
1546.5	-60.78
1546.52	-60.99
1546.54	-61.25
1546.56	-61.39
1546.58	-61.58
1546.6	-61.82
1546.62	-61.98
1546.64	-62.13
1546.66	-62.32
1546.68	-62.41
1546.7	-62.59
1546.72	-62.71
1546.74	-62.79
1546.76	-62.83
1546.78	-62.94
1546.8	-63.04
1546.82	-63.04
1546.84	-63.12
1546.86	-63.12
1546.88	-63.17
1546.9	-63.11
1546.92	-63.09
1546.94	-63.02
1546.96	-62.99
1546.98	-62.9
1547	-62.87
1547.02	-62.71
1547.04	-62.59
1547.06	-62.43
1547.08	-62.3
1547.1	-62.15
1547.12	-61.93
1547.14	-61.72
1547.16	-61.56
1547.18	-61.27
1547.2	-61.04
1547.22	-60.81
1547.24	-60.52
1547.26	-60.28
1547.28	-60.09
1547.3	-59.82
1547.32	-59.66
1547.34	-59.51
1547.36	-59.35
1547.38	-59.27
1547.4	-59.25
1547.42	-59.22
1547.44	-59.25
1547.46	-59.3
1547.48	-59.41
1547.5	-59.54
1547.52	-59.71
1547.54	-59.93
1547.56	-60.12
1547.58	-60.32
1547.6	-60.58
1547.62	-60.75
1547.64	-60.97
1547.66	-61.16
1547.68	-61.36
1547.7	-61.5
1547.72	-61.73
1547.74	-61.94
1547.76	-62.04
1547.78	-62.21
1547.8	-62.37
1547.82	-62.53
1547.84	-62.59
1547.86	-62.66
1547.88	-62.77
1547.9	-62.86
1547.92	-62.82
1547.94	-62.91
1547.96	-62.89
1547.98	-62.92
1548	-62.88
1548.02	-62.89
1548.04	-62.93
1548.06	-62.88
1548.08	-62.79
1548.1	-62.71
1548.12	-62.59
1548.14	-62.47
1548.16	-62.36
1548.18	-62.21
1548.2	-62.08
1548.22	-61.9
1548.24	-61.67
1548.26	-61.47
1548.28	-61.21
1548.3	-60.95
1548.32	-60.75
1548.34	-60.48
1548.36	-60.23
1548.38	-59.97
1548.4	-59.79
1548.42	-59.52
1548.44	-59.4
1548.46	-59.16
1548.48	-59.09
1548.5	-59
1548.52	-58.98
1548.54	-58.99
1548.56	-59.01
1548.58	-59.13
1548.6	-59.21
1548.62	-59.36
1548.64	-59.52
1548.66	-59.67
1548.68	-59.85
1548.7	-60.11
1548.72	-60.27
1548.74	-60.47
1548.76	-60.68
1548.78	-60.93
1548.8	-61.11
1548.82	-61.33
1548.84	-61.48
1548.86	-61.62
1548.88	-61.82
1548.9	-61.98
1548.92	-62.02
1548.94	-62.17
1548.96	-62.25
1548.98	-62.32
1549	-62.37
1549.02	-62.47
1549.04	-62.48
1549.06	-62.49
1549.08	-62.53
1549.1	-62.53
1549.12	-62.53
1549.14	-62.45
1549.16	-62.43
1549.18	-62.33
1549.2	-62.24
1549.22	-62.15
1549.24	-62.05
1549.26	-61.95
1549.28	-61.77
1549.3	-61.64
1549.32	-61.47
1549.34	-61.27
1549.36	-61.06
1549.38	-60.89
1549.4	-60.57
1549.42	-60.35
1549.44	-60.01
1549.46	-59.8
1549.48	-59.58
1549.5	-59.33
1549.52	-59.12
1549.54	-58.96
1549.56	-58.77
1549.58	-58.7
1549.6	-58.64
1549.62	-58.62
1549.64	-58.65
1549.66	-58.7
1549.68	-58.79
1549.7	-58.95
1549.72	-59.07
1549.74	-59.28
1549.76	-59.45
1549.78	-59.7
1549.8	-59.92
1549.82	-60.16
1549.84	-60.36
1549.86	-60.61
1549.88	-60.83
1549.9	-61.05
1549.92	-61.24
1549.94	-61.37
1549.96	-61.51
1549.98	-61.74
1550	-61.79
1550.02	-62.04
1550.04	-62.11
1550.06	-62.18
1550.08	-62.35
1550.1	-62.41
1550.12	-62.45
1550.14	-62.51
1550.16	-62.48
1550.18	-62.53
1550.2	-62.48
1550.22	-62.49
1550.24	-62.43
1550.26	-62.42
1550.28	-62.36
1550.3	-62.25
1550.32	-62.2
1550.34	-62.09
1550.36	-61.99
1550.38	-61.88
1550.4	-61.73
1550.42	-61.55
1550.44	-61.34
1550.46	-61.17
1550.48	-60.91
1550.5	-60.71
1550.52	-60.48
1550.54	-60.18
1550.56	-59.94
1550.58	-59.67
1550.6	-59.45
1550.62	-59.22
1550.64	-58.98
1550.66	-58.79
1550.68	-58.66
1550.7	-58.53
1550.72	-58.43
1550.74	-58.39
1550.76	-58.43
1550.78	-58.47
1550.8	-58.57
1550.82	-58.74
1550.84	-58.83
1550.86	-59.02
1550.88	-59.26
1550.9	-59.45
1550.92	-59.63
1550.94	-59.87
1550.96	-60.09
1550.98	-60.36
1551	-60.48
1551.02	-60.72
1551.04	-60.94
1551.06	-61.07
1551.08	-61.2
1551.1	-61.44
1551.12	-61.57
1551.14	-61.66
1551.16	-61.8
1551.18	-61.85
1551.2	-61.94
1551.22	-62.05
1551.24	-62.06
1551.26	-62.1
1551.28	-62.12
1551.3	-62.14
1551.32	-62.11
1551.34	-62.08
1551.36	-62.09
1551.38	-61.97
1551.4	-61.91
1551.42	-61.84
1551.44	-61.76
1551.46	-61.64
1551.48	-61.52
1551.5	-61.34
1551.52	-61.16
1551.54	-61.07
1551.56	-60.8
1551.58	-60.6
1551.6	-60.36
1551.62	-60.12
1551.64	-59.89
1551.66	-59.59
1551.68	-59.3
1551.7	-59.09
1551.72	-58.77
1551.74	-58.51
1551.76	-58.32
1551.78	-58.1
1551.8	-57.96
1551.82	-57.83
1551.84	-57.77
1551.86	-57.76
1551.88	-57.8
1551.9	-57.89
1551.92	-58.01
1551.94	-58.16
1551.96	-58.37
1551.98	-58.56
1552	-58.82
1552.02	-59.04
1552.04	-59.27
1552.06	-59.59
1552.08	-59.8
1552.1	-60.01
1552.12	-60.26
1552.14	-60.44
1552.16	-60.7
1552.18	-60.88
1552.2	-61.06
1552.22	-61.26
1552.24	-61.37
1552.26	-61.53
1552.28	-61.69
1552.3	-61.76
1552.32	-61.85
1552.34	-61.91
1552.36	-61.97
1552.38	-62.03
1552.4	-62.05
1552.42	-62.07
1552.44	-62.08
1552.46	-62.08
1552.48	-62.06
1552.5	-62.03
1552.52	-61.95
1552.54	-61.89
1552.56	-61.78
1552.58	-61.73
1552.6	-61.63
1552.62	-61.42
1552.64	-61.3
1552.66	-61.15
1552.68	-60.96
1552.7	-60.76
1552.72	-60.5
1552.74	-60.28
1552.76	-60.05
