Wavelength	Optical power
nm	dBm
1506	-75.43
1506.1	-76.11
1506.2	-76.72
1506.3	-76.78
1506.4	-75.66
1506.5	-75.41
1506.6	-76.21
1506.7	-74.84
1506.8	-76.53
1506.9	-75.52
1507	-75.78
1507.1	-76.16
1507.2	-75.49
1507.3	-75.89
1507.4	-76.06
1507.5	-75.02
1507.6	-75.28
1507.7	-75.58
1507.8	-75.56
1507.9	-75.47
1508	-75.62
1508.1	-75.92
1508.2	-75.21
1508.3	-75.34
1508.4	-75.86
1508.5	-75.62
1508.6	-75.54
1508.7	-75.63
1508.8	-75.21
1508.9	-75.36
1509	-74.81
1509.1	-75.22
1509.2	-74.68
1509.3	-75.26
1509.4	-74.71
1509.5	-74.85
1509.6	-75.2
1509.7	-74.65
1509.8	-74.26
1509.9	-75.09
1510	-75.26
1510.1	-75.04
1510.2	-74.65
1510.3	-74.88
1510.4	-74.79
1510.5	-74.13
1510.6	-74.84
1510.7	-75.01
1510.8	-74.42
1510.9	-74.2
1511	-75.24
1511.1	-74.2
1511.2	-74.82
1511.3	-74.32
1511.4	-74.11
1511.5	-74.31
1511.6	-74.53
1511.7	-74.5
1511.8	-74.06
1511.9	-74.29
1512	-73.73
1512.1	-73.88
1512.2	-74.08
1512.3	-73.8
1512.4	-74.12
1512.5	-73.9
1512.6	-74.16
1512.7	-73.55
1512.8	-74.39
1512.9	-74.15
1513	-74.11
1513.1	-73.34
1513.2	-73.44
1513.3	-72.89
1513.4	-73.83
1513.5	-73.25
1513.6	-74.17
1513.7	-73.32
1513.8	-73.9
1513.9	-73.22
1514	-73.85
1514.1	-73.14
1514.2	-73.36
1514.3	-73.51
1514.4	-73.43
1514.5	-73.18
1514.6	-73.87
1514.7	-73.09
1514.8	-73.36
1514.9	-73.07
1515	-72.96
1515.1	-73.26
1515.2	-72.81
1515.3	-72.82
1515.4	-73.03
1515.5	-72.64
1515.6	-72.93
1515.7	-73.09
1515.8	-73.06
1515.9	-72.98
1516	-72.96
1516.1	-72.81
1516.2	-72.41
1516.3	-72.73
1516.4	-72.16
1516.5	-72.26
1516.6	-72.26
1516.7	-72.68
1516.8	-72.46
1516.9	-72.75
1517	-72.97
1517.1	-72.56
1517.2	-71.94
1517.3	-72.23
1517.4	-71.83
1517.5	-71.96
1517.6	-71.73
1517.7	-72.01
1517.8	-72.2
1517.9	-72.11
1518	-72.53
1518.1	-71.83
1518.2	-71.77
1518.3	-71.37
1518.4	-71.68
1518.5	-71.8
1518.6	-72.13
1518.7	-71.65
1518.8	-71.69
1518.9	-71.8
1519	-71.55
1519.1	-71.64
1519.2	-71.26
1519.3	-71.18
1519.4	-71.23
1519.5	-71.06
1519.6	-71.26
1519.7	-71.21
1519.8	-71.3
1519.9	-71.44
1520	-71.43
1520.1	-71.36
1520.2	-71.15
1520.3	-70.81
1520.4	-70.82
1520.5	-70.72
1520.6	-70.66
1520.7	-70.59
1520.8	-70.8
1520.9	-70.94
1521	-71.14
1521.1	-70.98
1521.2	-70.87
1521.3	-70.99
1521.4	-70.59
1521.5	-70.36
1521.6	-70.28
1521.7	-70.19
1521.8	-70.32
1521.9	-70.56
1522	-70.47
1522.1	-70.62
1522.2	-70.68
1522.3	-70.46
1522.4	-70.12
1522.5	-69.87
1522.6	-69.74
1522.7	-69.92
1522.8	-69.71
1522.9	-69.86
1523	-70.14
1523.1	-69.93
1523.2	-70.28
1523.3	-69.87
1523.4	-69.8
1523.5	-69.61
1523.6	-69.41
1523.7	-69.3
1523.8	-69.3
1523.9	-69.41
1524	-69.54
1524.1	-69.59
1524.2	-70.01
1524.3	-69.64
1524.4	-69.51
1524.5	-69.35
1524.6	-69.08
1524.7	-68.89
1524.8	-68.79
1524.9	-68.86
1525	-68.91
1525.1	-69.05
1525.2	-69.42
1525.3	-69.24
1525.4	-69.14
1525.5	-69.24
1525.6	-68.75
1525.7	-68.69
1525.8	-68.58
1525.9	-68.38
1526	-68.76
1526.1	-68.63
1526.2	-68.89
1526.3	-68.93
1526.4	-69
1526.5	-68.95
1526.6	-68.77
1526.7	-68.29
1526.8	-68.07
1526.9	-68.01
1527	-67.94
1527.1	-68.13
1527.2	-68.49
1527.3	-68.42
1527.4	-68.53
1527.5	-68.58
1527.6	-68.35
1527.7	-68.19
1527.8	-67.77
1527.9	-67.51
1528	-67.53
1528.1	-67.6
1528.2	-67.92
1528.3	-68.21
1528.4	-68.12
1528.5	-68.26
1528.6	-68.11
1528.7	-67.96
1528.8	-67.53
1528.9	-67.11
1529	-67.03
1529.1	-67.05
1529.2	-67.17
1529.3	-67.46
1529.4	-67.68
1529.5	-67.76
1529.6	-67.75
1529.7	-67.65
1529.8	-67.38
1529.9	-67.04
1530	-66.67
1530.1	-66.62
1530.2	-66.69
1530.3	-66.79
1530.4	-67.13
1530.5	-67.42
1530.6	-67.65
1530.7	-67.35
1530.8	-67.2
1530.9	-66.73
1531	-66.43
1531.1	-66.22
1531.2	-66.09
1531.3	-66.21
1531.4	-66.49
1531.5	-66.98
1531.6	-67.14
1531.7	-67.24
1531.8	-67.07
1531.9	-66.64
1532	-66.23
1532.1	-65.91
1532.2	-65.64
1532.3	-65.72
1532.4	-66
1532.5	-66.39
1532.6	-66.68
1532.7	-66.85
1532.8	-66.8
1532.9	-66.58
1533	-66.28
1533.1	-65.82
1533.2	-65.36
1533.3	-65.28
1533.4	-65.36
1533.5	-65.6
1533.6	-65.99
1533.7	-66.34
1533.8	-66.59
1533.9	-66.48
1534	-66.08
1534.1	-65.71
1534.2	-65.2
1534.3	-64.85
1534.4	-64.7
1534.5	-64.8
1534.6	-65.24
1534.7	-65.64
1534.8	-65.95
1534.9	-66.22
1535	-66.02
1535.1	-65.82
1535.2	-65.19
1535.3	-64.74
1535.4	-64.36
1535.5	-64.26
1535.6	-64.44
1535.7	-64.89
1535.8	-65.33
1535.9	-65.68
1536	-65.77
1536.1	-65.74
1536.2	-65.31
1536.3	-64.81
1536.4	-64.27
1536.5	-63.88
1536.6	-63.89
1536.7	-64.24
1536.8	-64.63
1536.9	-65.06
1537	-65.44
1537.1	-65.57
1537.2	-65.34
1537.3	-64.78
1537.4	-64.24
1537.5	-63.66
1537.6	-63.39
1537.7	-63.51
1537.8	-63.88
1537.9	-64.39
1538	-64.85
1538.1	-65.23
1538.2	-65.14
1538.3	-64.8
1538.4	-64.27
1538.5	-63.56
1538.6	-63.02
1538.7	-62.73
1538.8	-62.98
1538.9	-63.48
1539	-64.06
1539.1	-64.58
1539.2	-64.89
1539.3	-64.88
1539.4	-64.53
1539.5	-63.9
1539.6	-63.2
1539.7	-62.63
1539.8	-62.47
1539.9	-62.81
1540	-63.33
1540.1	-63.93
1540.2	-64.37
1540.3	-64.62
1540.4	-64.53
1540.5	-64.13
1540.6	-63.39
1540.7	-62.62
1540.8	-61.99
1540.9	-61.95
1541	-62.36
1541.1	-63.03
1541.2	-63.69
1541.3	-64.17
1541.4	-64.51
1541.5	-64.47
1541.6	-64.04
1541.7	-63.32
1541.8	-62.43
1541.9	-61.7
1542	-61.56
1542.1	-61.91
1542.2	-62.55
1542.3	-63.14
1542.4	-63.68
1542.5	-63.87
1542.6	-63.82
1542.7	-63.34
1542.8	-62.58
1542.9	-61.75
1543	-61.3
1543.1	-61.29
1543.2	-61.78
1543.3	-62.46
1543.4	-63.12
1543.5	-63.5
1543.6	-63.64
1543.7	-63.49
1543.8	-62.97
1543.9	-62.13
1544	-61.34
1544.1	-60.87
1544.2	-61.05
1544.3	-61.63
1544.4	-62.36
1544.5	-62.93
1544.6	-63.22
1544.7	-63.33
1544.8	-63.05
1544.9	-62.44
1545	-61.51
1545.1	-60.56
1545.2	-60.14
1545.3	-60.54
1545.4	-61.42
1545.5	-62.4
1545.6	-63.13
1545.7	-63.46
1545.8	-63.53
1545.9	-63.19
1546	-62.44
1546.1	-61.31
1546.2	-60.15
1546.3	-59.48
1546.4	-59.77
1546.5	-60.68
1546.6	-61.71
1546.7	-62.45
1546.8	-63.02
1546.9	-63.11
1547	-62.87
1547.1	-62.25
1547.2	-61.16
1547.3	-59.9
1547.4	-59.25
1547.5	-59.48
1547.6	-60.47
1547.7	-61.44
1547.8	-62.3
1547.9	-62.78
1548	-62.94
1548.1	-62.74
1548.2	-62.12
1548.3	-61.05
1548.4	-59.86
1548.5	-59.06
1548.6	-59.19
1548.7	-60.05
1548.8	-61.01
1548.9	-61.87
1549	-62.38
1549.1	-62.51
1549.2	-62.3
1549.3	-61.74
1549.4	-60.69
1549.5	-59.4
1549.6	-58.67
1549.7	-58.88
1549.8	-59.8
1549.9	-60.94
1550	-61.82
1550.1	-62.28
1550.2	-62.51
1550.3	-62.29
1550.4	-61.79
1550.5	-60.81
1550.6	-59.55
1550.7	-58.58
1550.8	-58.55
1550.9	-59.35
1551	-60.4
1551.1	-61.32
1551.2	-61.93
1551.3	-62.11
1551.4	-61.96
1551.5	-61.45
1551.6	-60.45
1551.7	-59.17
1551.8	-58.04
1551.9	-57.87
1552	-58.75
1552.1	-59.9
1552.2	-60.97
1552.3	-61.73
1552.4	-62.06
1552.5	-62.03
1552.6	-61.67
1552.7	-60.84
1552.8	-59.63
1552.9	-58.25
1553	-57.69
1553.1	-58.11
1553.2	-59.21
1553.3	-60.44
1553.4	-61.27
1553.5	-61.81
1553.6	-62
1553.7	-61.71
1553.8	-61
1553.9	-59.68
1554	-57.73
1554.1	-55.75
1554.2	-55.3
1554.3	-56.77
1554.4	-58.83
1554.5	-60.79
1554.6	-62.32
1554.7	-63.39
1554.8	-64.36
1554.9	-64.94
1555	-65.09
1555.1	-65.15
1555.2	-64.85
1555.3	-64.37
1555.4	-63.47
1555.5	-61.95
1555.6	-59.41
1555.7	-53.27
1555.8	-28.68
1555.9	-32.09
1556	-52.7
1556.1	-58.66
1556.2	-61.33
1556.3	-62.84
1556.4	-63.72
1556.5	-64.06
1556.6	-63.84
1556.7	-63.23
1556.8	-61.99
1556.9	-59.98
1557	-56.96
1557.1	-53.48
1557.2	-53.22
1557.3	-56.38
1557.4	-59.32
1557.5	-61.21
1557.6	-62.37
1557.7	-62.99
1557.8	-62.91
1557.9	-62.3
1558	-61.06
1558.1	-59.13
1558.2	-56.62
1558.3	-54.57
1558.4	-54.98
1558.5	-57.47
1558.6	-59.8
1558.7	-61.39
1558.8	-62.31
1558.9	-62.58
1559	-62.28
1559.1	-61.42
1559.2	-59.93
1559.3	-57.98
1559.4	-55.76
1559.5	-55.13
1559.6	-56.62
1559.7	-58.87
1559.8	-60.65
1559.9	-61.75
1560	-62.24
1560.1	-62.14
1560.2	-61.46
1560.3	-60.18
1560.4	-58.24
1560.5	-55.92
1560.6	-54.72
1560.7	-55.79
1560.8	-58.06
1560.9	-60.17
1561	-61.51
1561.1	-62.17
1561.2	-62.28
1561.3	-61.79
1561.4	-60.75
1561.5	-59.09
1561.6	-56.96
1561.7	-55.09
1561.8	-55.34
1561.9	-57.3
1562	-59.46
1562.1	-61.04
1562.2	-61.88
1562.3	-62.11
1562.4	-61.8
1562.5	-60.85
1562.6	-59.42
1562.7	-57.39
1562.8	-55.33
1562.9	-55.08
1563	-56.83
1563.1	-58.98
1563.2	-60.79
1563.3	-61.81
1563.4	-62.26
1563.5	-62.01
1563.6	-61.28
1563.7	-59.98
1563.8	-57.96
1563.9	-55.58
1564	-54.34
1564.1	-55.83
1564.2	-58.19
1564.3	-60.28
1564.4	-61.59
1564.5	-62.19
1564.6	-62.23
1564.7	-61.72
1564.8	-60.6
1564.9	-58.9
1565	-56.58
1565.1	-54.66
1565.2	-55.08
1565.3	-57.27
1565.4	-59.46
1565.5	-61.07
1565.6	-61.9
1565.7	-62.13
1565.8	-61.78
1565.9	-60.93
1566	-59.45
1566.1	-57.35
1566.2	-55.44
1566.3	-55.19
1566.4	-56.87
1566.5	-59.02
1566.6	-60.64
1566.7	-61.67
1566.8	-62.12
1566.9	-61.87
1567	-61.15
1567.1	-59.84
1567.2	-57.88
1567.3	-55.88
1567.4	-55.14
1567.5	-56.44
1567.6	-58.5
1567.7	-60.28
1567.8	-61.46
1567.9	-62.07
1568	-62.11
1568.1	-61.53
1568.2	-60.45
1568.3	-58.61
1568.4	-56.58
1568.5	-55.23
1568.6	-55.91
1568.7	-58
1568.8	-59.8
1568.9	-61.25
1569	-62.11
1569.1	-62.27
1569.2	-61.83
1569.3	-60.86
1569.4	-59.19
1569.5	-57.12
1569.6	-55.15
1569.7	-55.21
1569.8	-57.18
1569.9	-59.32
1570	-60.99
1570.1	-62.07
1570.2	-62.48
1570.3	-62.29
1570.4	-61.52
1570.5	-60.16
1570.6	-58.31
1570.7	-56
1570.8	-55.11
1570.9	-56.42
1571	-58.53
1571.1	-60.41
1571.2	-61.7
1571.3	-62.39
1571.4	-62.48
1571.5	-61.91
1571.6	-60.84
1571.7	-59.19
1571.8	-57.09
1571.9	-55.55
1572	-55.97
1572.1	-57.89
1572.2	-59.82
1572.3	-61.31
1572.4	-62.25
1572.5	-62.56
1572.6	-62.29
1572.7	-61.46
1572.8	-59.97
1572.9	-58.07
1573	-56.14
1573.1	-55.79
1573.2	-57.41
1573.3	-59.4
1573.4	-60.96
1573.5	-62.17
1573.6	-62.7
1573.7	-62.74
1573.8	-62.04
1573.9	-60.86
1574	-59.13
1574.1	-56.97
1574.2	-55.66
1574.3	-56.58
1574.4	-58.66
1574.5	-60.48
1574.6	-61.88
1574.7	-62.66
1574.8	-62.93
1574.9	-62.59
1575	-61.71
1575.1	-60.19
1575.2	-58.22
1575.3	-56.36
1575.4	-56.23
1575.5	-57.92
1575.6	-59.92
1575.7	-61.42
1575.8	-62.52
1575.9	-63.01
1576	-62.95
1576.1	-62.31
1576.2	-61.05
1576.3	-59.35
1576.4	-57.33
1576.5	-56.3
1576.6	-57.33
1576.7	-59.18
1576.8	-60.98
1576.9	-62.29
1577	-62.99
1577.1	-63.18
1577.2	-62.87
1577.3	-61.97
1577.4	-60.53
1577.5	-58.53
1577.6	-56.93
1577.7	-56.88
1577.8	-58.47
1577.9	-60.29
1578	-61.88
1578.1	-62.86
1578.2	-63.34
1578.3	-63.36
1578.4	-62.64
1578.5	-61.51
1578.6	-59.87
1578.7	-58.06
1578.8	-57.08
1578.9	-57.89
1579	-59.63
1579.1	-61.33
