Wavelength	Optical power
nm	dBm
1555	-62.92
1555	-62.39
1555	-62.39
1555.01	-62.66
1555.01	-62.66
1555.01	-62.58
1555.01	-62.58
1555.01	-62.73
1555.02	-62.73
1555.02	-62.73
1555.02	-62.19
1555.02	-62.19
1555.02	-62.48
1555.03	-62.48
1555.03	-62.69
1555.03	-62.69
1555.03	-62.69
1555.03	-62.68
1555.04	-62.68
1555.04	-62.4
1555.04	-62.4
1555.04	-62.37
1555.04	-62.37
1555.05	-62.46
1555.05	-62.46
1555.05	-62.46
1555.05	-63.19
1555.05	-63.19
1555.06	-62.26
1555.06	-62.26
1555.06	-63.14
1555.06	-63.14
1555.06	-63.14
1555.07	-62.82
1555.07	-62.82
1555.07	-62.95
1555.07	-62.95
1555.07	-63
1555.08	-63
1555.08	-62.47
1555.08	-62.47
1555.08	-62.47
1555.08	-62.95
1555.09	-62.95
1555.09	-62.8
1555.09	-62.8
1555.09	-62.92
1555.09	-62.92
1555.1	-62.92
1555.1	-62.36
1555.1	-62.36
1555.1	-62.44
1555.1	-62.44
1555.11	-62.62
1555.11	-62.62
1555.11	-62.95
1555.11	-62.95
1555.11	-62.95
1555.12	-62.56
1555.12	-62.56
1555.12	-62.82
1555.12	-62.82
1555.12	-63.19
1555.13	-63.19
1555.13	-63.19
1555.13	-62.3
1555.13	-62.3
1555.13	-62.87
1555.14	-62.87
1555.14	-62.6
1555.14	-62.6
1555.14	-62.6
1555.14	-62.61
1555.15	-62.61
1555.15	-62.97
1555.15	-62.97
1555.15	-62.46
1555.15	-62.46
1555.16	-62.58
1555.16	-62.58
1555.16	-62.58
1555.16	-62.69
1555.16	-62.69
1555.17	-62.64
1555.17	-62.64
1555.17	-62.44
1555.17	-62.44
1555.17	-62.44
1555.18	-62.54
1555.18	-62.54
1555.18	-62.54
1555.18	-62.54
1555.18	-62.56
1555.19	-62.56
1555.19	-62.74
1555.19	-62.74
1555.19	-62.74
1555.19	-62.52
1555.2	-62.52
1555.2	-62.21
1555.2	-62.21
1555.2	-62.73
1555.2	-62.73
1555.21	-62.73
1555.21	-62.85
1555.21	-62.85
1555.21	-62.39
1555.21	-62.39
1555.22	-62.88
1555.22	-62.88
1555.22	-62.68
1555.22	-62.68
1555.22	-62.68
1555.23	-62.52
1555.23	-62.52
1555.23	-62.52
1555.23	-62.52
1555.23	-62.19
1555.24	-62.19
1555.24	-62.19
1555.24	-62.51
1555.24	-62.51
1555.24	-62.54
1555.25	-62.54
1555.25	-62.8
1555.25	-62.8
1555.25	-62.59
1555.25	-62.59
1555.26	-62.59
1555.26	-62.52
1555.26	-62.52
1555.26	-62.38
1555.26	-62.38
1555.27	-62.84
1555.27	-62.84
1555.27	-62.84
1555.27	-62.63
1555.27	-62.63
1555.28	-62.72
1555.28	-62.72
1555.28	-62.1
1555.28	-62.1
1555.28	-62.51
1555.29	-62.51
1555.29	-62.51
1555.29	-62.51
1555.29	-62.51
1555.29	-62.69
1555.3	-62.69
1555.3	-62.39
1555.3	-62.39
1555.3	-62.39
1555.3	-62.75
1555.31	-62.75
1555.31	-62.37
1555.31	-62.37
1555.31	-62.56
1555.31	-62.56
1555.32	-62.75
1555.32	-62.75
1555.32	-62.75
1555.32	-62.53
1555.32	-62.53
1555.33	-62.85
1555.33	-62.85
1555.33	-62.2
1555.33	-62.2
1555.33	-62.2
1555.34	-62.87
1555.34	-62.87
1555.34	-62.56
1555.34	-62.56
1555.34	-62.56
1555.35	-62.56
1555.35	-62.56
1555.35	-62.36
1555.35	-62.36
1555.35	-62.28
1555.36	-62.28
1555.36	-62.2
1555.36	-62.2
1555.36	-62.17
1555.36	-62.17
1555.37	-62.17
1555.37	-62.22
1555.37	-62.22
1555.37	-62.2
1555.37	-62.2
1555.38	-62.18
1555.38	-62.18
1555.38	-62.18
1555.38	-62.05
1555.38	-62.05
1555.39	-62.3
1555.39	-62.3
1555.39	-62.47
1555.39	-62.47
1555.39	-62.6
1555.4	-62.6
1555.4	-62.6
1555.4	-62.33
1555.4	-62.33
1555.4	-61.97
1555.41	-61.97
1555.41	-62.05
1555.41	-62.05
1555.41	-62.05
1555.41	-62.4
1555.42	-62.4
1555.42	-61.98
1555.42	-61.98
1555.42	-61.96
1555.42	-61.96
1555.43	-62.17
1555.43	-62.17
1555.43	-62.17
1555.43	-61.96
1555.43	-61.96
1555.44	-62.18
1555.44	-62.18
1555.44	-62.23
1555.44	-62.23
1555.44	-62.23
1555.45	-61.69
1555.45	-61.69
1555.45	-61.62
1555.45	-61.62
1555.45	-61.98
1555.46	-61.98
1555.46	-61.89
1555.46	-61.89
1555.46	-61.89
1555.46	-61.76
1555.47	-61.76
1555.47	-61.6
1555.47	-61.6
1555.47	-61.85
1555.47	-61.85
1555.48	-61.85
1555.48	-61.53
1555.48	-61.53
1555.48	-61.84
1555.48	-61.84
1555.49	-61.59
1555.49	-61.59
1555.49	-61.29
1555.49	-61.29
1555.49	-61.29
1555.5	-61.7
1555.5	-61.7
1555.5	-61.53
1555.5	-61.53
1555.5	-61.44
1555.51	-61.44
1555.51	-61.44
1555.51	-61.7
1555.51	-61.7
1555.51	-61.17
1555.52	-61.17
1555.52	-61.43
1555.52	-61.43
1555.52	-61.48
1555.52	-61.48
1555.53	-61.48
1555.53	-61.21
1555.53	-61.21
1555.53	-61.19
1555.53	-61.19
1555.54	-61.02
1555.54	-61.02
1555.54	-61.02
1555.54	-60.94
1555.54	-60.94
1555.55	-61.25
1555.55	-61.25
1555.55	-61.24
1555.55	-61.24
1555.55	-61.24
1555.56	-61.2
1555.56	-61.2
1555.56	-60.96
1555.56	-60.96
1555.56	-60.95
1555.57	-60.95
1555.57	-60.52
1555.57	-60.52
1555.57	-60.52
1555.57	-61.14
1555.58	-61.14
1555.58	-60.84
1555.58	-60.84
1555.58	-60.61
1555.58	-60.61
1555.59	-60.61
1555.59	-60.46
1555.59	-60.46
1555.59	-60.45
1555.59	-60.45
1555.6	-60.27
1555.6	-60.27
1555.6	-60.14
1555.6	-60.14
1555.6	-60.14
1555.61	-60.48
1555.61	-60.48
1555.61	-60.02
1555.61	-60.02
1555.61	-59.96
1555.62	-59.96
1555.62	-59.96
1555.62	-60.07
1555.62	-60.07
1555.62	-59.89
1555.63	-59.89
1555.63	-59.62
1555.63	-59.62
1555.63	-59.36
1555.63	-59.36
1555.64	-59.36
1555.64	-59.63
1555.64	-59.63
1555.64	-59.38
1555.64	-59.38
1555.65	-59.18
1555.65	-59.18
1555.65	-59.18
1555.65	-59.31
1555.65	-59.31
1555.66	-58.95
1555.66	-58.95
1555.66	-58.91
1555.66	-58.91
1555.66	-58.76
1555.67	-58.76
1555.67	-58.76
1555.67	-58.54
1555.67	-58.54
1555.67	-58.41
1555.68	-58.41
1555.68	-58.34
1555.68	-58.34
1555.68	-58.34
1555.68	-58.04
1555.69	-58.04
1555.69	-57.86
1555.69	-57.86
1555.69	-57.7
1555.69	-57.7
1555.7	-57.47
1555.7	-57.47
1555.7	-57.47
1555.7	-57.23
1555.7	-57.23
1555.71	-57.05
1555.71	-57.05
1555.71	-56.81
1555.71	-56.81
1555.71	-56.81
1555.72	-56.39
1555.72	-56.39
1555.72	-56.33
1555.72	-56.33
1555.72	-55.99
1555.73	-55.99
1555.73	-55.45
1555.73	-55.45
1555.73	-55.45
1555.73	-55.11
1555.74	-55.11
1555.74	-54.72
1555.74	-54.72
1555.74	-54.13
1555.74	-54.13
1555.75	-54.13
1555.75	-53.7
1555.75	-53.7
1555.75	-53.16
1555.75	-53.16
1555.76	-52.53
1555.76	-52.53
1555.76	-52.53
1555.76	-51.96
1555.76	-51.96
1555.77	-51.27
1555.77	-51.27
1555.77	-50.42
1555.77	-50.42
1555.77	-49.46
1555.78	-49.46
1555.78	-49.46
1555.78	-48.63
1555.78	-48.63
1555.78	-47.36
1555.79	-47.36
1555.79	-46.29
1555.79	-46.29
1555.79	-46.29
1555.79	-45.27
1555.8	-45.27
1555.8	-44.31
1555.8	-44.31
1555.8	-43.44
1555.8	-43.44
1555.81	-42.67
1555.81	-42.67
1555.81	-42.67
1555.81	-42.22
1555.81	-42.22
1555.82	-41.5
1555.82	-41.5
1555.82	-40.78
1555.82	-40.78
1555.82	-40.78
1555.83	-40.19
1555.83	-40.19
1555.83	-39.49
1555.83	-39.49
1555.83	-38.26
1555.84	-38.26
1555.84	-36.61
1555.84	-36.61
1555.84	-36.61
1555.84	-35.47
1555.85	-35.47
1555.85	-33.9
1555.85	-33.9
1555.85	-31.95
1555.85	-31.95
1555.86	-31.95
1555.86	-30.5
1555.86	-30.5
1555.86	-29.12
1555.86	-29.12
1555.87	-26.58
1555.87	-26.58
1555.87	-23.67
1555.87	-23.67
1555.87	-23.67
1555.88	-20.7
1555.88	-20.7
1555.88	-18.84
1555.88	-18.84
1555.88	-18
1555.89	-18
1555.89	-18
1555.89	-17.64
1555.89	-17.64
1555.89	-17.73
1555.9	-17.73
1555.9	-18.04
1555.9	-18.04
1555.9	-18.5
1555.9	-18.5
1555.91	-18.5
1555.91	-19
1555.91	-19
1555.91	-19.75
1555.91	-19.75
1555.92	-20.77
1555.92	-20.77
1555.92	-20.77
1555.92	-22.01
1555.92	-22.01
1555.93	-22.96
1555.93	-22.96
1555.93	-24.11
1555.93	-24.11
1555.93	-24.11
1555.94	-24.87
1555.94	-24.87
1555.94	-23.76
1555.94	-23.76
1555.94	-22.12
1555.95	-22.12
1555.95	-21.22
1555.95	-21.22
1555.95	-21.22
1555.95	-18.83
1555.96	-18.83
1555.96	-14.24
1555.96	-14.24
1555.96	-10.46
1555.96	-10.46
1555.97	-10.46
1555.97	-8.07
1555.97	-8.07
1555.97	-6.97
1555.97	-6.97
1555.98	-6.36
1555.98	-6.36
1555.98	-6.45
1555.98	-6.45
1555.98	-6.45
1555.99	-6.87
1555.99	-6.87
1555.99	-7.4
1555.99	-7.4
1555.99	-8.33
1556	-8.33
1556	-8.33
1556	-9.33
1556	-9.33
1556	-10.72
1556.01	-10.72
1556.01	-12.75
1556.01	-12.75
1556.01	-15.16
1556.01	-15.16
1556.02	-15.16
1556.02	-18.63
1556.02	-18.63
1556.02	-21.51
1556.02	-21.51
1556.03	-25.19
1556.03	-25.19
1556.03	-25.19
1556.03	-28.46
1556.03	-28.46
1556.04	-30.69
1556.04	-30.69
1556.04	-32.46
1556.04	-32.46
1556.04	-34.74
1556.05	-34.74
1556.05	-34.74
1556.05	-36.27
1556.05	-36.27
1556.05	-36.6
1556.06	-36.6
1556.06	-37.17
1556.06	-37.17
1556.06	-37.17
1556.06	-38.7
1556.07	-38.7
1556.07	-39.33
1556.07	-39.33
1556.07	-39.79
1556.07	-39.79
1556.08	-40.48
1556.08	-40.48
1556.08	-40.48
1556.08	-41.14
1556.08	-41.14
1556.09	-41.85
1556.09	-41.85
1556.09	-43.12
1556.09	-43.12
1556.09	-43.12
1556.1	-43.72
1556.1	-43.72
1556.1	-43.31
1556.1	-43.31
1556.1	-43.94
1556.11	-43.94
1556.11	-46.13
1556.11	-46.13
1556.11	-46.13
1556.11	-47.88
1556.12	-47.88
1556.12	-48.26
1556.12	-48.26
1556.12	-49.16
1556.12	-49.16
1556.13	-49.16
1556.13	-50.28
1556.13	-50.28
1556.13	-50.75
1556.13	-50.75
1556.14	-51.25
1556.14	-51.25
1556.14	-51.72
1556.14	-51.72
1556.14	-51.72
1556.15	-52.1
1556.15	-52.1
1556.15	-52.52
1556.15	-52.52
1556.15	-53.4
1556.16	-53.4
1556.16	-53.4
1556.16	-54.59
1556.16	-54.59
1556.16	-54.96
1556.17	-54.96
1556.17	-55.42
1556.17	-55.42
1556.17	-55.94
1556.17	-55.94
1556.18	-55.94
1556.18	-56.05
1556.18	-56.05
1556.18	-56.34
1556.18	-56.34
1556.19	-56.76
1556.19	-56.76
1556.19	-56.76
1556.19	-57.02
1556.19	-57.02
1556.2	-57.45
1556.2	-57.45
1556.2	-57.61
1556.2	-57.61
1556.2	-58.15
1556.21	-58.15
1556.21	-58.15
1556.21	-58.54
1556.21	-58.54
1556.21	-58.64
1556.22	-58.64
1556.22	-58.7
1556.22	-58.7
1556.22	-58.7
1556.22	-58.89
1556.23	-58.89
1556.23	-59.14
1556.23	-59.14
1556.23	-59.33
1556.23	-59.33
1556.24	-59.31
1556.24	-59.31
1556.24	-59.31
1556.24	-59.48
1556.24	-59.48
1556.25	-59.68
1556.25	-59.68
1556.25	-59.56
1556.25	-59.56
1556.25	-59.56
1556.26	-59.73
1556.26	-59.73
1556.26	-59.83
1556.26	-59.83
1556.26	-60.12
1556.27	-60.12
1556.27	-60.23
1556.27	-60.23
1556.27	-60.23
1556.27	-60.2
1556.28	-60.2
1556.28	-59.97
1556.28	-59.97
1556.28	-60.37
1556.28	-60.37
1556.29	-60.37
1556.29	-60.91
1556.29	-60.91
1556.29	-60.49
1556.29	-60.49
1556.3	-60.63
1556.3	-60.63
1556.3	-61.09
1556.3	-61.09
1556.3	-61.09
1556.31	-60.95
1556.31	-60.95
1556.31	-60.72
1556.31	-60.72
1556.31	-60.81
1556.32	-60.81
1556.32	-60.81
1556.32	-61.32
1556.32	-61.32
1556.32	-61
1556.33	-61
1556.33	-61.14
1556.33	-61.14
1556.33	-61.14
1556.33	-61.13
1556.34	-61.13
1556.34	-61.49
1556.34	-61.49
1556.34	-61.44
1556.34	-61.44
1556.35	-61.31
1556.35	-61.31
1556.35	-61.31
1556.35	-61.62
1556.35	-61.62
1556.36	-61.41
1556.36	-61.41
1556.36	-61.25
1556.36	-61.25
1556.36	-61.25
1556.37	-61.4
1556.37	-61.4
1556.37	-61.65
1556.37	-61.65
1556.37	-61.47
1556.38	-61.47
1556.38	-61.63
1556.38	-61.63
1556.38	-61.63
1556.38	-61.81
1556.39	-61.81
1556.39	-61.71
1556.39	-61.71
1556.39	-61.67
1556.39	-61.67
1556.4	-61.67
1556.4	-61.79
1556.4	-61.79
1556.4	-61.61
1556.4	-61.61
1556.41	-61.8
1556.41	-61.8
1556.41	-61.66
1556.41	-61.66
1556.41	-61.66
1556.42	-61.51
1556.42	-61.51
1556.42	-62.01
1556.42	-62.01
1556.42	-62.26
1556.43	-62.26
1556.43	-62.26
1556.43	-61.99
1556.43	-61.99
1556.43	-61.81
1556.44	-61.81
1556.44	-62.06
1556.44	-62.06
1556.44	-62.18
1556.44	-62.18
1556.45	-62.18
1556.45	-61.82
1556.45	-61.82
1556.45	-62.45
1556.45	-62.45
1556.46	-61.59
1556.46	-61.59
1556.46	-61.59
1556.46	-62.18
1556.46	-62.18
1556.47	-62.08
1556.47	-62.08
1556.47	-62.2
1556.47	-62.2
1556.47	-62.2
1556.48	-62.2
1556.48	-62.2
1556.48	-62.07
1556.48	-62.07
1556.48	-61.64
1556.49	-61.64
1556.49	-62.24
1556.49	-62.24
1556.49	-62.24
1556.49	-61.83
1556.5	-61.83
1556.5	-62.32
1556.5	-62.32
1556.5	-62.33
1556.5	-62.33
1556.51	-62.53
1556.51	-62.53
1556.51	-62.53
1556.51	-62.14
1556.51	-62.14
1556.52	-62.18
1556.52	-62.18
1556.52	-62.36
1556.52	-62.36
1556.52	-62.36
1556.53	-62.14
1556.53	-62.14
1556.53	-62.14
1556.53	-62.14
1556.53	-62.03
1556.54	-62.03
1556.54	-62.11
1556.54	-62.11
1556.54	-62.11
1556.54	-62.19
1556.55	-62.19
1556.55	-62.26
1556.55	-62.26
1556.55	-62.26
1556.55	-62.26
1556.56	-62.26
1556.56	-62.09
1556.56	-62.09
1556.56	-62.13
1556.56	-62.13
1556.57	-62.15
1556.57	-62.15
1556.57	-62.23
1556.57	-62.23
1556.57	-62.23
1556.58	-62.27
1556.58	-62.27
1556.58	-62.36
1556.58	-62.36
1556.58	-62.49
1556.59	-62.49
1556.59	-62.49
1556.59	-62.16
1556.59	-62.16
1556.59	-62.43
1556.6	-62.43
1556.6	-62
1556.6	-62
1556.6	-62.4
1556.6	-62.4
1556.61	-62.4
1556.61	-62.26
1556.61	-62.26
1556.61	-62.42
1556.61	-62.42
1556.62	-62.29
1556.62	-62.29
1556.62	-62.29
1556.62	-62
1556.62	-62
1556.63	-62.66
1556.63	-62.66
1556.63	-62.08
1556.63	-62.08
1556.63	-62.11
1556.64	-62.11
1556.64	-62.11
1556.64	-62.37
1556.64	-62.37
1556.64	-61.97
1556.65	-61.97
1556.65	-62.04
1556.65	-62.04
1556.65	-62.04
1556.65	-62.28
1556.66	-62.28
1556.66	-62.38
1556.66	-62.38
1556.66	-62.3
1556.66	-62.3
1556.67	-62.2
1556.67	-62.2
1556.67	-62.2
1556.67	-62.34
1556.67	-62.34
1556.68	-61.96
1556.68	-61.96
1556.68	-62.21
1556.68	-62.21
1556.68	-62.21
1556.69	-61.99
1556.69	-61.99
1556.69	-62.25
1556.69	-62.25
1556.69	-62.39
1556.7	-62.39
1556.7	-62.16
1556.7	-62.16
1556.7	-62.16
1556.7	-62.54
1556.71	-62.54
1556.71	-62.25
1556.71	-62.25
1556.71	-62.62
1556.71	-62.62
1556.72	-62.62
1556.72	-62.36
1556.72	-62.36
1556.72	-61.73
1556.72	-61.73
1556.73	-62.08
1556.73	-62.08
1556.73	-62.18
1556.73	-62.18
1556.73	-62.18
1556.74	-61.82
1556.74	-61.82
1556.74	-62.24
1556.74	-62.24
1556.74	-62.11
1556.75	-62.11
1556.75	-62.11
1556.75	-62.04
1556.75	-62.04
1556.75	-61.84
1556.76	-61.84
1556.76	-61.95
1556.76	-61.95
1556.76	-61.95
1556.76	-62.04
1556.77	-62.04
1556.77	-61.79
1556.77	-61.79
1556.77	-61.96
1556.77	-61.96
1556.78	-61.68
1556.78	-61.68
1556.78	-61.68
1556.78	-61.76
1556.78	-61.76
1556.79	-62.01
1556.79	-62.01
1556.79	-62.04
1556.79	-62.04
1556.79	-62.04
1556.8	-61.85
1556.8	-61.85
1556.8	-61.9
1556.8	-61.9
1556.8	-62.18
1556.81	-62.18
1556.81	-61.85
1556.81	-61.85
1556.81	-61.85
1556.81	-61.86
1556.82	-61.86
1556.82	-61.75
1556.82	-61.75
1556.82	-61.75
1556.82	-61.75
1556.83	-61.75
1556.83	-61.78
1556.83	-61.78
1556.83	-62.09
1556.83	-62.09
1556.84	-61.41
1556.84	-61.41
1556.84	-61.4
1556.84	-61.4
1556.84	-61.4
1556.85	-61.65
1556.85	-61.65
1556.85	-61.67
1556.85	-61.67
1556.85	-61.4
1556.86	-61.4
1556.86	-61.4
1556.86	-61.53
1556.86	-61.53
1556.86	-61.23
1556.87	-61.23
1556.87	-61.51
1556.87	-61.51
1556.87	-61.07
1556.87	-61.07
1556.88	-61.07
1556.88	-61.35
1556.88	-61.35
1556.88	-61.43
1556.88	-61.43
1556.89	-61.01
1556.89	-61.01
1556.89	-61.01
1556.89	-61.27
1556.89	-61.27
1556.9	-61.01
1556.9	-61.01
1556.9	-61.26
1556.9	-61.26
1556.9	-60.99
1556.91	-60.99
1556.91	-60.99
1556.91	-61.06
1556.91	-61.06
1556.91	-60.77
1556.92	-60.77
1556.92	-60.95
1556.92	-60.95
1556.92	-60.95
1556.92	-60.91
1556.93	-60.91
1556.93	-60.76
1556.93	-60.76
1556.93	-60.43
1556.93	-60.43
1556.94	-60.58
1556.94	-60.58
1556.94	-60.58
1556.94	-60.4
1556.94	-60.4
1556.95	-60.56
1556.95	-60.56
