Wavelength	Optical power
nm	dBm
1555	-65.1
1555	-64.23
1555	-64.23
1555.01	-64.6
1555.01	-64.6
1555.01	-64.16
1555.01	-64.16
1555.01	-64.84
1555.02	-64.84
1555.02	-64.84
1555.02	-64.71
1555.02	-64.71
1555.02	-64.72
1555.03	-64.72
1555.03	-64.35
1555.03	-64.35
1555.03	-64.35
1555.03	-64.48
1555.04	-64.48
1555.04	-64.97
1555.04	-64.97
1555.04	-64.9
1555.04	-64.9
1555.05	-65.56
1555.05	-65.56
1555.05	-65.56
1555.05	-65.14
1555.05	-65.14
1555.06	-64.54
1555.06	-64.54
1555.06	-64.11
1555.06	-64.11
1555.06	-64.11
1555.07	-65.05
1555.07	-65.05
1555.07	-64.38
1555.07	-64.38
1555.07	-64.49
1555.08	-64.49
1555.08	-64.54
1555.08	-64.54
1555.08	-64.54
1555.08	-64.33
1555.09	-64.33
1555.09	-64.47
1555.09	-64.47
1555.09	-64.56
1555.09	-64.56
1555.1	-64.56
1555.1	-64.51
1555.1	-64.51
1555.1	-64.31
1555.1	-64.31
1555.11	-64.79
1555.11	-64.79
1555.11	-65.72
1555.11	-65.72
1555.11	-65.72
1555.12	-64.92
1555.12	-64.92
1555.12	-64.39
1555.12	-64.39
1555.12	-64.56
1555.13	-64.56
1555.13	-64.56
1555.13	-64.59
1555.13	-64.59
1555.13	-65.22
1555.14	-65.22
1555.14	-65.7
1555.14	-65.7
1555.14	-65.7
1555.14	-65.74
1555.15	-65.74
1555.15	-64.65
1555.15	-64.65
1555.15	-64.62
1555.15	-64.62
1555.16	-64.7
1555.16	-64.7
1555.16	-64.7
1555.16	-64.81
1555.16	-64.81
1555.17	-64.33
1555.17	-64.33
1555.17	-65.2
1555.17	-65.2
1555.17	-65.2
1555.18	-64.55
1555.18	-64.55
1555.18	-65.68
1555.18	-65.68
1555.18	-64.52
1555.19	-64.52
1555.19	-64.92
1555.19	-64.92
1555.19	-64.92
1555.19	-64.44
1555.2	-64.44
1555.2	-65.24
1555.2	-65.24
1555.2	-64.15
1555.2	-64.15
1555.21	-64.15
1555.21	-64.6
1555.21	-64.6
1555.21	-65
1555.21	-65
1555.22	-64.55
1555.22	-64.55
1555.22	-64.96
1555.22	-64.96
1555.22	-64.96
1555.23	-64.42
1555.23	-64.42
1555.23	-64.4
1555.23	-64.4
1555.23	-64.29
1555.24	-64.29
1555.24	-64.29
1555.24	-64.71
1555.24	-64.71
1555.24	-64.72
1555.25	-64.72
1555.25	-64.9
1555.25	-64.9
1555.25	-64.78
1555.25	-64.78
1555.26	-64.78
1555.26	-64.38
1555.26	-64.38
1555.26	-64.89
1555.26	-64.89
1555.27	-64.71
1555.27	-64.71
1555.27	-64.71
1555.27	-64.55
1555.27	-64.55
1555.28	-64.54
1555.28	-64.54
1555.28	-64.71
1555.28	-64.71
1555.28	-64.83
1555.29	-64.83
1555.29	-64.83
1555.29	-64.94
1555.29	-64.94
1555.29	-65.03
1555.3	-65.03
1555.3	-64.45
1555.3	-64.45
1555.3	-64.45
1555.3	-64.55
1555.31	-64.55
1555.31	-63.93
1555.31	-63.93
1555.31	-64.08
1555.31	-64.08
1555.32	-64.02
1555.32	-64.02
1555.32	-64.02
1555.32	-64.2
1555.32	-64.2
1555.33	-64.5
1555.33	-64.5
1555.33	-64.35
1555.33	-64.35
1555.33	-64.35
1555.34	-64.39
1555.34	-64.39
1555.34	-64.63
1555.34	-64.63
1555.34	-64.95
1555.35	-64.95
1555.35	-64.95
1555.35	-64.15
1555.35	-64.15
1555.35	-64.73
1555.36	-64.73
1555.36	-63.73
1555.36	-63.73
1555.36	-64.71
1555.36	-64.71
1555.37	-64.71
1555.37	-64.41
1555.37	-64.41
1555.37	-64.11
1555.37	-64.11
1555.38	-64.78
1555.38	-64.78
1555.38	-64.78
1555.38	-63.61
1555.38	-63.61
1555.39	-64.2
1555.39	-64.2
1555.39	-64.55
1555.39	-64.55
1555.39	-63.98
1555.4	-63.98
1555.4	-63.98
1555.4	-63.98
1555.4	-63.98
1555.4	-64.1
1555.41	-64.1
1555.41	-64.26
1555.41	-64.26
1555.41	-64.26
1555.41	-64.09
1555.42	-64.09
1555.42	-63.81
1555.42	-63.81
1555.42	-63.64
1555.42	-63.64
1555.43	-63.57
1555.43	-63.57
1555.43	-63.57
1555.43	-64.44
1555.43	-64.44
1555.44	-63.82
1555.44	-63.82
1555.44	-63.62
1555.44	-63.62
1555.44	-63.62
1555.45	-63.94
1555.45	-63.94
1555.45	-64.08
1555.45	-64.08
1555.45	-64.65
1555.46	-64.65
1555.46	-64.37
1555.46	-64.37
1555.46	-64.37
1555.46	-63.79
1555.47	-63.79
1555.47	-63.93
1555.47	-63.93
1555.47	-63.66
1555.47	-63.66
1555.48	-63.66
1555.48	-63.75
1555.48	-63.75
1555.48	-63.77
1555.48	-63.77
1555.49	-63.52
1555.49	-63.52
1555.49	-63.48
1555.49	-63.48
1555.49	-63.48
1555.5	-63.5
1555.5	-63.5
1555.5	-64.34
1555.5	-64.34
1555.5	-63.79
1555.51	-63.79
1555.51	-63.79
1555.51	-63.68
1555.51	-63.68
1555.51	-63.74
1555.52	-63.74
1555.52	-63.08
1555.52	-63.08
1555.52	-63.58
1555.52	-63.58
1555.53	-63.58
1555.53	-62.94
1555.53	-62.94
1555.53	-63.46
1555.53	-63.46
1555.54	-63.45
1555.54	-63.45
1555.54	-63.45
1555.54	-63.51
1555.54	-63.51
1555.55	-63.12
1555.55	-63.12
1555.55	-63.17
1555.55	-63.17
1555.55	-63.17
1555.56	-63.09
1555.56	-63.09
1555.56	-63.35
1555.56	-63.35
1555.56	-63.39
1555.57	-63.39
1555.57	-63.19
1555.57	-63.19
1555.57	-63.19
1555.57	-62.88
1555.58	-62.88
1555.58	-62.95
1555.58	-62.95
1555.58	-63.14
1555.58	-63.14
1555.59	-63.14
1555.59	-63.63
1555.59	-63.63
1555.59	-62.85
1555.59	-62.85
1555.6	-62.83
1555.6	-62.83
1555.6	-63.03
1555.6	-63.03
1555.6	-63.03
1555.61	-62.79
1555.61	-62.79
1555.61	-62.71
1555.61	-62.71
1555.61	-62.32
1555.62	-62.32
1555.62	-62.32
1555.62	-62.19
1555.62	-62.19
1555.62	-62.31
1555.63	-62.31
1555.63	-62.13
1555.63	-62.13
1555.63	-62.23
1555.63	-62.23
1555.64	-62.23
1555.64	-61.8
1555.64	-61.8
1555.64	-61.92
1555.64	-61.92
1555.65	-61.9
1555.65	-61.9
1555.65	-61.9
1555.65	-61.68
1555.65	-61.68
1555.66	-61.97
1555.66	-61.97
1555.66	-61.41
1555.66	-61.41
1555.66	-61.32
1555.67	-61.32
1555.67	-61.32
1555.67	-61.07
1555.67	-61.07
1555.67	-61.29
1555.68	-61.29
1555.68	-60.84
1555.68	-60.84
1555.68	-60.84
1555.68	-60.81
1555.69	-60.81
1555.69	-60.27
1555.69	-60.27
1555.69	-60.17
1555.69	-60.17
1555.7	-60.2
1555.7	-60.2
1555.7	-60.2
1555.7	-60.12
1555.7	-60.12
1555.71	-59.97
1555.71	-59.97
1555.71	-59.45
1555.71	-59.45
1555.71	-59.45
1555.72	-59.55
1555.72	-59.55
1555.72	-59.14
1555.72	-59.14
1555.72	-58.85
1555.73	-58.85
1555.73	-58.35
1555.73	-58.35
1555.73	-58.35
1555.73	-58.11
1555.74	-58.11
1555.74	-57.67
1555.74	-57.67
1555.74	-56.77
1555.74	-56.77
1555.75	-56.77
1555.75	-56.36
1555.75	-56.36
1555.75	-55.73
1555.75	-55.73
1555.76	-55.2
1555.76	-55.2
1555.76	-55.2
1555.76	-54.45
1555.76	-54.45
1555.77	-53.82
1555.77	-53.82
1555.77	-52.91
1555.77	-52.91
1555.77	-51.9
1555.78	-51.9
1555.78	-51.9
1555.78	-50.9
1555.78	-50.9
1555.78	-49.43
1555.79	-49.43
1555.79	-48.12
1555.79	-48.12
1555.79	-48.12
1555.79	-46.95
1555.8	-46.95
1555.8	-45.96
1555.8	-45.96
1555.8	-45.11
1555.8	-45.11
1555.81	-44.3
1555.81	-44.3
1555.81	-44.3
1555.81	-43.87
1555.81	-43.87
1555.82	-43.27
1555.82	-43.27
1555.82	-42.62
1555.82	-42.62
1555.82	-42.62
1555.83	-41.91
1555.83	-41.91
1555.83	-41.31
1555.83	-41.31
1555.83	-40.06
1555.84	-40.06
1555.84	-38.29
1555.84	-38.29
1555.84	-38.29
1555.84	-37.03
1555.85	-37.03
1555.85	-35.55
1555.85	-35.55
1555.85	-33.39
1555.85	-33.39
1555.86	-33.39
1555.86	-31.95
1555.86	-31.95
1555.86	-30.69
1555.86	-30.69
1555.87	-28.3
1555.87	-28.3
1555.87	-25.39
1555.87	-25.39
1555.87	-25.39
1555.88	-22.56
1555.88	-22.56
1555.88	-20.37
1555.88	-20.37
1555.88	-19.45
1555.89	-19.45
1555.89	-19.45
1555.89	-19.05
1555.89	-19.05
1555.89	-19.1
1555.9	-19.1
1555.9	-19.36
1555.9	-19.36
1555.9	-19.83
1555.9	-19.83
1555.91	-19.83
1555.91	-20.61
1555.91	-20.61
1555.91	-21.53
1555.91	-21.53
1555.92	-22.54
1555.92	-22.54
1555.92	-22.54
1555.92	-23.92
1555.92	-23.92
1555.93	-25.65
1555.93	-25.65
1555.93	-28.01
1555.93	-28.01
1555.93	-28.01
1555.94	-30.39
1555.94	-30.39
1555.94	-32.17
1555.94	-32.17
1555.94	-33.03
1555.95	-33.03
1555.95	-33.38
1555.95	-33.38
1555.95	-33.38
1555.95	-32.7
1555.96	-32.7
1555.96	-28.87
1555.96	-28.87
1555.96	-25.67
1555.96	-25.67
1555.97	-25.67
1555.97	-22.96
1555.97	-22.96
1555.97	-21.83
1555.97	-21.83
1555.98	-21.35
1555.98	-21.35
1555.98	-21.23
1555.98	-21.23
1555.98	-21.23
1555.99	-21.47
1555.99	-21.47
1555.99	-22.21
1555.99	-22.21
1555.99	-22.79
1556	-22.79
1556	-22.79
1556	-24.07
1556	-24.07
1556	-25.26
1556.01	-25.26
1556.01	-27.22
1556.01	-27.22
1556.01	-29.39
1556.01	-29.39
1556.02	-29.39
1556.02	-32.65
1556.02	-32.65
1556.02	-35.73
1556.02	-35.73
1556.03	-39.2
1556.03	-39.2
1556.03	-39.2
1556.03	-42.63
1556.03	-42.63
1556.04	-45.17
1556.04	-45.17
1556.04	-46.76
1556.04	-46.76
1556.04	-48.67
1556.05	-48.67
1556.05	-48.67
1556.05	-50.11
1556.05	-50.11
1556.05	-50.56
1556.06	-50.56
1556.06	-51.15
1556.06	-51.15
1556.06	-51.15
1556.06	-52.09
1556.07	-52.09
1556.07	-52.77
1556.07	-52.77
1556.07	-53.19
1556.07	-53.19
1556.08	-53.72
1556.08	-53.72
1556.08	-53.72
1556.08	-54.2
1556.08	-54.2
1556.09	-54.61
1556.09	-54.61
1556.09	-55.57
1556.09	-55.57
1556.09	-55.57
1556.1	-56.17
1556.1	-56.17
1556.1	-56.1
1556.1	-56.1
1556.1	-56.35
1556.11	-56.35
1556.11	-57.52
1556.11	-57.52
1556.11	-57.52
1556.11	-58.58
1556.12	-58.58
1556.12	-58.74
1556.12	-58.74
1556.12	-59.15
1556.12	-59.15
1556.13	-59.15
1556.13	-59.52
1556.13	-59.52
1556.13	-59.84
1556.13	-59.84
1556.14	-60
1556.14	-60
1556.14	-59.99
1556.14	-59.99
1556.14	-59.99
1556.15	-60.6
1556.15	-60.6
1556.15	-60.42
1556.15	-60.42
1556.15	-60.78
1556.16	-60.78
1556.16	-60.78
1556.16	-61.52
1556.16	-61.52
1556.16	-61.38
1556.17	-61.38
1556.17	-61.39
1556.17	-61.39
1556.17	-61.52
1556.17	-61.52
1556.18	-61.52
1556.18	-61.58
1556.18	-61.58
1556.18	-61.7
1556.18	-61.7
1556.19	-62.26
1556.19	-62.26
1556.19	-62.26
1556.19	-62.11
1556.19	-62.11
1556.2	-62.58
1556.2	-62.58
1556.2	-62.27
1556.2	-62.27
1556.2	-62.43
1556.21	-62.43
1556.21	-62.43
1556.21	-62.56
1556.21	-62.56
1556.21	-62.93
1556.22	-62.93
1556.22	-62.68
1556.22	-62.68
1556.22	-62.68
1556.22	-62.5
1556.23	-62.5
1556.23	-62.81
1556.23	-62.81
1556.23	-62.73
1556.23	-62.73
1556.24	-62.96
1556.24	-62.96
1556.24	-62.96
1556.24	-62.65
1556.24	-62.65
1556.25	-63.04
1556.25	-63.04
1556.25	-63.17
1556.25	-63.17
1556.25	-63.17
1556.26	-63.27
1556.26	-63.27
1556.26	-63.18
1556.26	-63.18
1556.26	-63.64
1556.27	-63.64
1556.27	-63.79
1556.27	-63.79
1556.27	-63.79
1556.27	-63.2
1556.28	-63.2
1556.28	-63.06
1556.28	-63.06
1556.28	-63.66
1556.28	-63.66
1556.29	-63.66
1556.29	-63.17
1556.29	-63.17
1556.29	-63.18
1556.29	-63.18
1556.3	-63.67
1556.3	-63.67
1556.3	-63.72
1556.3	-63.72
1556.3	-63.72
1556.31	-63.4
1556.31	-63.4
1556.31	-63.44
1556.31	-63.44
1556.31	-63.01
1556.32	-63.01
1556.32	-63.01
1556.32	-63.29
1556.32	-63.29
1556.32	-64.04
1556.33	-64.04
1556.33	-63.78
1556.33	-63.78
1556.33	-63.78
1556.33	-63.34
1556.34	-63.34
1556.34	-64
1556.34	-64
1556.34	-63.48
1556.34	-63.48
1556.35	-64.14
1556.35	-64.14
1556.35	-64.14
1556.35	-64.21
1556.35	-64.21
1556.36	-63.76
