Wavelength	Optical power
nm	dBm
600	-120
602.304	-120
604.608	-120
606.913	-120
609.217	-120
611.521	-120
613.825	-120
616.129	-120
618.434	-120
620.738	-120
623.042	-120
625.346	-120
627.65	-80.68
629.955	-120
632.259	-120
634.563	-120
636.867	-78.56
639.171	-90.89
641.476	-78.37
643.78	-85.01
646.084	-120
648.388	-120
650.692	-120
652.997	-120
655.301	-79.22
657.605	-120
659.909	-83.12
662.213	-120
664.518	-120
666.822	-120
669.126	-120
671.43	-120
673.734	-120
676.039	-120
678.343	-120
680.647	-120
682.951	-120
685.255	-120
687.56	-120
689.864	-120
692.168	-120
694.472	-87.94
696.776	-120
699.081	-120
701.385	-120
703.689	-120
705.993	-94.25
708.297	-120
710.602	-120
712.906	-120
715.21	-83.65
717.514	-85.98
719.818	-120
722.123	-120
724.427	-88.51
726.731	-120
729.035	-77.56
731.339	-120
733.644	-120
735.948	-120
738.252	-82.6
740.556	-120
742.86	-84.34
745.165	-120
747.469	-84.5
749.773	-120
752.077	-120
754.381	-120
756.686	-82.82
758.99	-84.1
761.294	-120
763.598	-120
765.902	-120
768.207	-120
770.511	-120
772.815	-120
775.119	-120
777.423	-82.72
779.728	-120
782.032	-95.8
784.336	-85.13
786.64	-120
788.944	-120
791.249	-120
793.553	-120
795.857	-120
798.161	-79.36
800.465	-120
802.77	-77.68
805.074	-88.53
807.378	-78.59
809.682	-120
811.986	-120
814.291	-83.45
816.595	-120
818.899	-89.14
821.203	-87.68
823.507	-120
825.812	-82.41
828.116	-120
830.42	-92
832.724	-90.08
835.028	-81.99
837.333	-120
839.637	-77.57
841.941	-83.35
844.245	-84.45
846.549	-120
848.854	-81.14
851.158	-82.46
853.462	-87.46
855.766	-120
858.07	-84.08
860.375	-84.54
862.679	-120
864.983	-120
867.287	-81.92
869.591	-120
871.896	-120
874.2	-94.96
876.504	-82.08
878.808	-120
881.112	-86.12
883.417	-120
885.721	-120
888.025	-85.96
890.329	-120
892.633	-88.51
894.938	-84.61
897.242	-84.42
899.546	-87.51
901.85	-97.24
904.154	-86.82
906.459	-83.5
908.763	-120
911.067	-86.06
913.371	-90.1
915.675	-120
917.98	-89.23
920.284	-87.3
922.588	-90.38
924.892	-85.42
927.196	-96.41
929.501	-120
931.805	-88.1
934.109	-90.97
936.413	-92.04
938.717	-89.16
941.022	-85.41
943.326	-89.52
945.63	-87.46
947.934	-120
950.238	-86.94
952.543	-120
954.847	-90.11
957.151	-91.36
959.455	-93.35
961.759	-92.1
964.064	-89.67
966.368	-91.16
968.672	-88.33
970.976	-99
973.28	-90.28
975.585	-89.22
977.889	-89.42
980.193	-90.1
982.497	-87.33
984.801	-120
987.106	-94.77
989.41	-120
991.714	-120
994.018	-120
996.322	-91.86
998.627	-87.91
1000.93	-84.53
1003.23	-86.39
1005.54	-89.07
1007.84	-120
1010.15	-87.4
1012.45	-88.46
1014.76	-88.43
1017.06	-90.73
1019.36	-86.13
1021.67	-89.09
1023.97	-83.81
1026.28	-85.92
1028.58	-87.96
1030.89	-88.76
1033.19	-86.22
1035.49	-88.3
1037.8	-86.11
1040.1	-85.75
1042.41	-87.85
1044.71	-83.69
1047.01	-83.5
1049.32	-89.17
1051.62	-86.2
1053.93	-89.41
1056.23	-88.49
1058.54	-85.4
1060.84	-102.39
1063.14	-88.33
1065.45	-85.41
1067.75	-120
1070.06	-88.38
1072.36	-83.5
1074.67	-84.79
1076.97	-85.02
1079.27	-88.76
1081.58	-86.48
1083.88	-92.25
1086.19	-92.09
1088.49	-88.18
1090.79	-120
1093.1	-89.8
1095.4	-90.13
1097.71	-89.87
1100.01	-92.47
1102.32	-89.54
1104.62	-88.02
1106.92	-86.46
1109.23	-86.98
1111.53	-91.23
1113.84	-86.67
1116.14	-90.49
1118.44	-89.52
1120.75	-89.66
1123.05	-92.94
1125.36	-89.51
1127.66	-89.87
1129.97	-99.97
1132.27	-120
1134.57	-92.84
1136.88	-89.69
1139.18	-88.15
1141.49	-102.46
1143.79	-120
1146.1	-92.41
1148.4	-120
1150.7	-99.12
1153.01	-120
1155.31	-93.14
1157.62	-120
1159.92	-92.64
1162.22	-120
1164.53	-89.28
1166.83	-94.32
1169.14	-120
1171.44	-120
1173.75	-90.65
1176.05	-92.41
1178.35	-120
1180.66	-120
1182.96	-93.88
1185.27	-120
1187.57	-120
1189.88	-95.6
1192.18	-120
1194.48	-95.28
1196.79	-94.88
1199.09	-103.5
1201.4	-99.51
1203.7	-120
1206	-88.51
1208.31	-100.73
1210.61	-87.24
1212.92	-100.47
1215.22	-120
1217.53	-93.39
1219.83	-109.46
1222.13	-91.12
1224.44	-90.44
1226.74	-89.24
1229.05	-120
1231.35	-90.75
1233.65	-90.19
1235.96	-90.03
1238.26	-94.33
1240.57	-96.25
1242.87	-95.89
1245.18	-96.69
1247.48	-90.82
1249.78	-120
1252.09	-94.06
1254.39	-120
1256.7	-92.82
1259	-120
1261.31	-90.19
1263.61	-93.47
1265.91	-92.98
1268.22	-87.56
1270.52	-120
1272.83	-104.07
1275.13	-120
1277.43	-90.42
1279.74	-93.46
1282.04	-89.44
1284.35	-88.74
1286.65	-87.57
1288.96	-101.9
1291.26	-97.93
1293.56	-97.86
1295.87	-120
1298.17	-120
1300.48	-120
1302.78	-120
1305.09	-120
1307.39	-92.91
1309.69	-120
1312	-95.9
1314.3	-93.24
1316.61	-120
1318.91	-120
1321.21	-120
1323.52	-120
1325.82	-90.09
1328.13	-120
1330.43	-120
1332.74	-120
1335.04	-120
1337.34	-120
1339.65	-102.65
1341.95	-120
1344.26	-120
1346.56	-120
1348.86	-93.35
1351.17	-120
1353.47	-90.94
1355.78	-120
1358.08	-120
1360.39	-120
1362.69	-95.26
1364.99	-91.1
1367.3	-120
1369.6	-91.98
1371.91	-120
1374.21	-98.11
1376.52	-96.83
1378.82	-120
1381.12	-92.2
1383.43	-120
1385.73	-120
1388.04	-120
1390.34	-120
1392.64	-120
1394.95	-120
1397.25	-120
1399.56	-120
1401.86	-92.47
1404.17	-120
1406.47	-89.67
1408.77	-120
1411.08	-95.55
1413.38	-120
1415.69	-92.39
1417.99	-120
1420.3	-92.59
1422.6	-120
1424.9	-120
1427.21	-90.25
1429.51	-120
1431.82	-120
1434.12	-92.79
1436.42	-90.51
1438.73	-120
1441.03	-89.74
1443.34	-120
1445.64	-91.67
1447.95	-120
1450.25	-120
1452.55	-120
1454.86	-120
1457.16	-120
1459.47	-120
1461.77	-91.77
1464.07	-99.74
1466.38	-120
1468.68	-120
1470.99	-120
1473.29	-93.79
1475.6	-120
1477.9	-120
1480.2	-120
1482.51	-120
1484.81	-97.46
1487.12	-98.39
1489.42	-96.76
1491.73	-120
1494.03	-120
1496.33	-89.85
1498.64	-90.12
1500.94	-120
1503.25	-91.38
1505.55	-120
1507.85	-96.55
1510.16	-100.4
1512.46	-120
1514.77	-92.84
1517.07	-95.64
1519.38	-120
1521.68	-93.92
1523.98	-101.17
1526.29	-90.08
1528.59	-98.75
1530.9	-96.08
1533.2	-120
1535.51	-95.25
1537.81	-120
1540.11	-120
1542.42	-120
1544.72	-91.4
1547.03	-103.25
1549.33	-94.08
1551.63	-100.24
1553.94	-98.12
1556.24	-120
1558.55	-120
1560.85	-120
1563.16	-120
1565.46	-120
1567.76	-97.01
1570.07	-99.59
1572.37	-120
1574.68	-120
1576.98	-120
1579.28	-120
1581.59	-92.68
1583.89	-120
1586.2	-120
1588.5	-120
1590.81	-120
1593.11	-120
1595.41	-91.79
1597.72	-120
1600.02	-94.93
1602.33	-104.94
1604.63	-107.01
1606.94	-120
1609.24	-105.94
1611.54	-95.22
1613.85	-95.74
1616.15	-120
1618.46	-120
1620.76	-120
1623.06	-120
1625.37	-120
1627.67	-120
1629.98	-120
1632.28	-95.14
1634.59	-120
1636.89	-120
1639.19	-89.44
1641.5	-120
1643.8	-102.75
1646.11	-120
1648.41	-99.78
1650.72	-120
1653.02	-91.56
1655.32	-93.69
1657.63	-120
1659.93	-120
1662.24	-120
1664.54	-120
1666.84	-120
1669.15	-120
1671.45	-120
1673.76	-120
1676.06	-120
1678.37	-88.05
1680.67	-87.18
1682.97	-89.71
1685.28	-120
1687.58	-120
1689.89	-120
1692.19	-88.07
1694.49	-120
1696.8	-120
1699.1	-88.14
1701.41	-120
1703.71	-82.16
1706.02	-120
1708.32	-98.79
1710.62	-120
1712.93	-120
1715.23	-79.66
1717.54	-79.48
1719.84	-120
1722.15	-120
1724.45	-82.79
1726.75	-120
1729.06	-78.02
1731.36	-81.34
1733.67	-120
1735.97	-120
1738.27	-120
1740.58	-120
1742.88	-120
1745.19	-120
1747.49	-120
1749.8	-89.23
1752.1	-78.58
