Wavelength	Optical power
nm	dBm
600	0
602.304	-120
604.608	-120
606.913	-120
609.217	-120
611.521	-120
613.825	-120
616.129	-120
618.434	-76.77
620.738	-80.26
623.042	-120
625.346	-120
627.65	-74.39
629.955	-81.3
632.259	-120
634.563	-120
636.867	-120
639.171	-74.8
641.476	-79.19
643.78	-83.51
646.084	-81.19
648.388	-77.22
650.692	-75.18
652.997	-78.33
655.301	-77.54
657.605	-75.92
659.909	-77.46
662.213	-79.07
664.518	-77.79
666.822	-78.38
669.126	-80.05
671.43	-78.75
673.734	-120
676.039	-76.36
678.343	-85.42
680.647	-120
682.951	-85.33
685.255	-76.45
687.56	-75.89
689.864	-76.42
692.168	-77.2
694.472	-73.73
696.776	-75.05
699.081	-74.86
701.385	-75.69
703.689	-73.76
705.993	-74.92
708.297	-75.49
710.602	-74.5
712.906	-75.52
715.21	-78.34
717.514	-74.1
719.818	-74.83
722.123	-74.96
724.427	-75.28
726.731	-73.82
729.035	-74.91
731.339	-74.72
733.644	-75.03
735.948	-76.29
738.252	-76.25
740.556	-74.34
742.86	-74.06
745.165	-76.18
747.469	-75.42
749.773	-74.76
752.077	-75.13
754.381	-77.07
756.686	-76.03
758.99	-75.77
761.294	-74.42
763.598	-74.4
765.902	-74.63
768.207	-74.41
770.511	-75.41
772.815	-75.13
775.119	-73.65
777.423	-74.47
779.728	-76.33
782.032	-73.97
784.336	-73.44
786.64	-74.13
788.944	-75.45
791.249	-74.44
793.553	-74.99
795.857	-74.31
798.161	-75.01
800.465	-74.1
802.77	-73.1
805.074	-73.25
807.378	-75.11
809.682	-75.67
811.986	-75.89
814.291	-73.33
816.595	-73.76
818.899	-72.67
821.203	-72.99
823.507	-73.49
825.812	-74.18
828.116	-73.43
830.42	-73.84
832.724	-74.83
835.028	-73.8
837.333	-73.52
839.637	-74.56
841.941	-73.4
844.245	-73.55
846.549	-74.83
848.854	-74.98
851.158	-73.59
853.462	-73.79
855.766	-74.06
858.07	-73.37
860.375	-73.49
862.679	-73.38
864.983	-74.44
867.287	-73.04
869.591	-72.9
871.896	-73.11
874.2	-72.81
876.504	-73.23
878.808	-73.12
881.112	-73.09
883.417	-72.07
885.721	-72.39
888.025	-72.53
890.329	-72.38
892.633	-72.77
894.938	-73
897.242	-72.86
899.546	-73.12
901.85	-72.73
904.154	-72.83
906.459	-72.7
908.763	-72.45
911.067	-72.71
913.371	-72.7
915.675	-72.54
917.98	-72.44
920.284	-72.81
922.588	-72.49
924.892	-72.42
927.196	-72.56
929.501	-72.65
931.805	-72.54
934.109	-72.72
936.413	-72.84
938.717	-73.15
941.022	-73.03
943.326	-73.11
945.63	-73.29
947.934	-73.35
950.238	-73.44
952.543	-73.71
954.847	-73.82
957.151	-74.15
959.455	-74.27
961.759	-74.42
964.064	-74.41
966.368	-74.54
968.672	-74.54
970.976	-74.39
973.28	-74.5
975.585	-74.71
977.889	-74.47
980.193	-74.43
982.497	-74.39
984.801	-74.23
987.106	-74.03
989.41	-73.91
991.714	-73.94
994.018	-73.88
996.322	-73.6
998.627	-73.51
1000.93	-73.29
1003.23	-72.97
1005.54	-72.89
1007.84	-72.69
1010.15	-72.49
1012.45	-72.37
1014.76	-72.23
1017.06	-71.94
1019.36	-71.81
1021.67	-71.53
1023.97	-71.24
1026.28	-71.19
1028.58	-71.06
1030.89	-71.05
1033.19	-70.91
1035.49	-70.91
1037.8	-70.77
1040.1	-70.68
1042.41	-70.65
1044.71	-70.64
1047.01	-70.72
1049.32	-70.71
1051.62	-70.91
1053.93	-70.94
1056.23	-71.07
1058.54	-71.31
1060.84	-71.29
1063.14	-71.45
1065.45	-71.46
1067.75	-71.54
1070.06	-71.54
1072.36	-71.59
1074.67	-71.7
1076.97	-71.76
1079.27	-71.88
1081.58	-71.87
1083.88	-72.02
1086.19	-72.13
1088.49	-72.16
1090.79	-72.22
1093.1	-72.23
1095.4	-72.2
1097.71	-72.38
1100.01	-72.47
1102.32	-72.57
1104.62	-72.49
1106.92	-72.65
1109.23	-72.7
1111.53	-72.81
1113.84	-72.78
1116.14	-72.83
1118.44	-72.82
1120.75	-72.99
1123.05	-73.1
1125.36	-73.2
1127.66	-73.48
1129.97	-73.58
1132.27	-73.73
1134.57	-74.07
1136.88	-74.41
1139.18	-75.08
1141.49	-75.73
1143.79	-76.21
1146.1	-76.92
1148.4	-77.53
1150.7	-78.7
1153.01	-78.97
1155.31	-79.37
1157.62	-79.56
1159.92	-79.87
1162.22	-79.64
1164.53	-80.66
1166.83	-80.2
1169.14	-81.28
1171.44	-81.39
1173.75	-80.59
1176.05	-81.46
1178.35	-81.43
1180.66	-81.68
1182.96	-81.28
1185.27	-81.74
1187.57	-82.28
1189.88	-82.26
