Wavelength	Optical power
nm	dBm
600	-120
602.304	-120
604.608	-120
606.913	-120
609.217	-120
611.521	-120
613.825	-120
616.129	-120
618.434	-120
620.738	-120
623.042	-120
625.346	-120
627.65	-120
629.955	-120
632.259	-120
634.563	-120
636.867	-120
639.171	-120
641.476	-120
643.78	-85.36
646.084	-81.79
648.388	-79.07
650.692	-85.02
652.997	-84.41
655.301	-92.18
657.605	-83.56
659.909	-81.75
662.213	-84.58
664.518	-83.47
666.822	-78.93
669.126	-82.02
671.43	-83.64
673.734	-78.32
676.039	-80.38
678.343	-82.58
680.647	-79.22
682.951	-79.2
685.255	-78.83
687.56	-76.59
689.864	-76.89
692.168	-75.47
694.472	-75.55
696.776	-76.44
699.081	-75.49
701.385	-76.49
703.689	-75.13
705.993	-75.06
708.297	-75.22
710.602	-75.29
712.906	-74.51
715.21	-75.19
717.514	-75.04
719.818	-74.95
722.123	-75.44
724.427	-75.14
726.731	-74.84
729.035	-74.98
731.339	-75.29
733.644	-75.14
735.948	-75.42
738.252	-75.87
740.556	-75.48
742.86	-74.9
745.165	-75.05
747.469	-74.38
749.773	-75.02
752.077	-75.06
754.381	-74.78
756.686	-74.91
758.99	-75.31
761.294	-74.87
763.598	-74.98
765.902	-74.33
768.207	-74.81
770.511	-74.31
772.815	-74.21
775.119	-74.19
777.423	-74.07
779.728	-74.25
782.032	-74.13
784.336	-74.11
786.64	-74.07
788.944	-73.76
791.249	-73.53
793.553	-73.74
795.857	-73.8
798.161	-73.68
800.465	-73.83
802.77	-73.85
805.074	-73.55
807.378	-72.82
809.682	-74.11
811.986	-73.75
814.291	-73.06
816.595	-73.21
818.899	-73.49
821.203	-73.07
823.507	-73.36
825.812	-73.23
828.116	-72.79
830.42	-73.29
832.724	-73.34
835.028	-73.27
837.333	-73.02
839.637	-72.94
841.941	-73.08
844.245	-73.91
846.549	-72.98
848.854	-72.85
851.158	-73.11
853.462	-73.13
855.766	-72.73
858.07	-72.75
860.375	-72.79
862.679	-72.79
864.983	-72.69
867.287	-72.56
869.591	-73.02
871.896	-72.7
874.2	-72.75
876.504	-72.66
878.808	-72.71
881.112	-72.88
883.417	-72.92
885.721	-72.74
888.025	-72.65
890.329	-72.66
892.633	-72.52
894.938	-72.78
897.242	-72.57
899.546	-72.61
901.85	-72.76
904.154	-72.59
906.459	-72.49
908.763	-72.53
911.067	-72.42
913.371	-72.56
915.675	-72.63
917.98	-72.53
920.284	-72.58
922.588	-72.58
924.892	-72.55
927.196	-72.58
929.501	-72.64
931.805	-72.74
934.109	-72.92
936.413	-73.06
938.717	-73.17
941.022	-73.31
943.326	-73.49
945.63	-73.64
947.934	-73.75
950.238	-73.92
952.543	-74.3
954.847	-74.62
957.151	-74.8
959.455	-74.95
961.759	-75.04
964.064	-75.1
966.368	-75.17
968.672	-75.08
970.976	-75.1
973.28	-75.04
975.585	-75.07
977.889	-74.89
980.193	-74.83
982.497	-74.72
984.801	-74.56
987.106	-74.43
989.41	-74.28
991.714	-74.11
994.018	-73.97
996.322	-73.81
998.627	-73.66
1000.93	-73.5
1003.23	-73.29
1005.54	-73.07
1007.84	-72.83
1010.15	-72.59
1012.45	-72.44
1014.76	-72.25
1017.06	-72.06
1019.36	-71.91
1021.67	-71.67
1023.97	-71.47
1026.28	-71.32
1028.58	-71.16
1030.89	-71.04
1033.19	-70.91
1035.49	-70.87
1037.8	-70.83
1040.1	-70.77
1042.41	-70.71
1044.71	-70.67
1047.01	-70.66
1049.32	-70.72
1051.62	-70.78
1053.93	-70.84
1056.23	-70.92
1058.54	-71.03
1060.84	-71.17
1063.14	-71.31
1065.45	-71.46
1067.75	-71.51
1070.06	-71.49
1072.36	-71.58
1074.67	-71.63
1076.97	-71.73
1079.27	-71.75
1081.58	-71.9
1083.88	-72.01
1086.19	-72.05
1088.49	-72.14
1090.79	-72.24
1093.1	-72.35
1095.4	-72.34
1097.71	-72.43
1100.01	-72.48
1102.32	-72.55
1104.62	-72.67
1106.92	-72.69
1109.23	-72.83
1111.53	-72.83
1113.84	-72.92
1116.14	-73.05
1118.44	-73.14
1120.75	-73.2
1123.05	-73.36
1125.36	-73.54
1127.66	-73.74
1129.97	-74.03
1132.27	-74.38
1134.57	-74.86
1136.88	-75.41
1139.18	-76.13
1141.49	-76.99
1143.79	-77.72
1146.1	-78.44
1148.4	-79.13
1150.7	-79.62
1153.01	-80.13
1155.31	-80.49
1157.62	-80.79
1159.92	-81.17
1162.22	-81.45
1164.53	-81.52
1166.83	-81.33
1169.14	-81.39
1171.44	-81.39
1173.75	-81.54
1176.05	-81.82
1178.35	-81.74
1180.66	-81.99
1182.96	-81.77
1185.27	-81.62
1187.57	-81.65
1189.88	-81.85
1192.18	-81.78
1194.48	-81.76
1196.79	-82.11
1199.09	-82.19
1201.4	-81.98
1203.7	-81.74
1206	-82.33
1208.31	-81.96
1210.61	-82.14
1212.92	-82.05
1215.22	-81.89
1217.53	-82
1219.83	-81.7
1222.13	-81.6
1224.44	-81.7
1226.74	-81.42
1229.05	-81.37
1231.35	-81.28
1233.65	-81.33
1235.96	-81.51
1238.26	-81.1
1240.57	-81.03
1242.87	-80.75
1245.18	-81.11
1247.48	-80.91
1249.78	-81.13
1252.09	-80.75
1254.39	-80.86
1256.7	-80.68
1259	-80.44
1261.31	-80.94
1263.61	-80.76
1265.91	-80.94
1268.22	-80.95
1270.52	-80.7
1272.83	-80.69
1275.13	-80.91
1277.43	-81.07
1279.74	-81.21
1282.04	-81.24
1284.35	-81.56
1286.65	-81.88
1288.96	-82.07
1291.26	-82.26
1293.56	-82.49
1295.87	-82.47
1298.17	-82.81
1300.48	-83.22
1302.78	-83.43
1305.09	-83.47
1307.39	-84.31
1309.69	-84.99
1312	-85.03
1314.3	-85.85
1316.61	-86.13
1318.91	-87.08
1321.21	-87.01
1323.52	-87.76
1325.82	-89.14
1328.13	-88.53
1330.43	-90.88
1332.74	-90.7
1335.04	-90.68
1337.34	-89.94
1339.65	-94.1
1341.95	-94.81
1344.26	-93.93
1346.56	-95.87
1348.86	-92.51
1351.17	-95.27
1353.47	-97.38
1355.78	-93.14
1358.08	-97.32
1360.39	-94.97
1362.69	-93.46
1364.99	-91.49
1367.3	-94.69
1369.6	-97.35
1371.91	-93
1374.21	-120
1376.52	-96.21
1378.82	-95.18
1381.12	-120
1383.43	-98.83
1385.73	-96.49
1388.04	-92.36
1390.34	-94.73
1392.64	-101.63
1394.95	-94.1
1397.25	-94.9
1399.56	-95.81
1401.86	-91.16
1404.17	-93.64
1406.47	-91.89
1408.77	-97.33
1411.08	-94.23
1413.38	-96.6
1415.69	-95.02
1417.99	-97.12
1420.3	-99.31
1422.6	-94.49
1424.9	-93.97
1427.21	-94.63
1429.51	-94.84
1431.82	-98.36
1434.12	-95.52
1436.42	-97.31
1438.73	-104.55
1441.03	-95.13
1443.34	-92.35
1445.64	-116.22
1447.95	-92.5
1450.25	-105.92
1452.55	-92.2
1454.86	-95.8
1457.16	-93.37
1459.47	-95.71
1461.77	-93.61
1464.07	-95.61
1466.38	-94.33
1468.68	-98.09
1470.99	-91.55
1473.29	-94.83
1475.6	-104.32
1477.9	-94.93
1480.2	-92.32
1482.51	-90.74
1484.81	-94.46
1487.12	-99.64
1489.42	-120
1491.73	-92.3
1494.03	-94.96
1496.33	-120
1498.64	-95.11
1500.94	-93.1
1503.25	-120
1505.55	-95.59
1507.85	-90.85
1510.16	-96.97
1512.46	-104.31
1514.77	-90.88
1517.07	-93.72
1519.38	-95.96
1521.68	-91.05
1523.98	-120
1526.29	-94.37
1528.59	-96.12
1530.9	-92.9
1533.2	-94.25
1535.51	-98.22
1537.81	-92.48
1540.11	-94.41
1542.42	-100.75
1544.72	-92.64
1547.03	-120
1549.33	-95.62
1551.63	-94.35
1553.94	-95.29
1556.24	-97.56
1558.55	-99.71
1560.85	-94.45
1563.16	-95.19
1565.46	-92.94
1567.76	-99.27
1570.07	-120
1572.37	-95.29
1574.68	-92.51
1576.98	-90.7
1579.28	-97.79
1581.59	-92.57
1583.89	-95.27
1586.2	-96.17
1588.5	-92.68
1590.81	-93.98
1593.11	-93.06
1595.41	-95.53
1597.72	-94.32
1600.02	-94.37
1602.33	-93.1
1604.63	-92.52
1606.94	-97.78
1609.24	-98.29
1611.54	-92.8
1613.85	-93.14
1616.15	-94.21
1618.46	-91.6
1620.76	-96.24
1623.06	-93.37
1625.37	-96.17
1627.67	-92.12
1629.98	-97.49
1632.28	-95.53
1634.59	-92.49
1636.89	-96.03
1639.19	-92.86
1641.5	-92.9
1643.8	-92.57
1646.11	-96.05
1648.41	-92.24
1650.72	-90.81
1653.02	-94.63
1655.32	-120
1657.63	-99.09
1659.93	-92.71
1662.24	-120
1664.54	-92.31
1666.84	-89.91
1669.15	-90.7
1671.45	-89.26
1673.76	-106.25
1676.06	-94.09
1678.37	-91.71
1680.67	-108.03
1682.97	-87.49
1685.28	-91.9
1687.58	-86.12
1689.89	-87.66
1692.19	-88.21
1694.49	-120
1696.8	-84.62
1699.1	-84.1
1701.41	-84.57
1703.71	-85.26
1706.02	-120
1708.32	-84.73
1710.62	-84.43
1712.93	-81.19
1715.23	-83.84
1717.54	-79.58
1719.84	-80.73
1722.15	-83.25
1724.45	-87.49
1726.75	-81.44
1729.06	-120
1731.36	-84.84
1733.67	-85.06
1735.97	-84.16
1738.27	-82.72
1740.58	-80.82
1742.88	-76.87
1745.19	-78.45
1747.49	-79.28
1749.8	-76
1752.1	-120
