Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.00018737790000000132e+003	0.00000000000000000000e+000	1.00000000000000000000e+003	8.77361337189999992980e-004	0.00000000000000000000e+000	1.08052200319999997191e+002	0.00000000000000000000e+000	-2.71879637041707352806e-004	0.00000000000000000000e+000	8.34172871147158745062e-004	0.00000000000000000000e+000	9.48999992338940501213e-001	1	1
5.99989794919999985723e+003	0.00000000000000000000e+000	6.00000000000000000000e+003	5.09137008340000002393e-003	0.00000000000000000000e+000	1.08825988769999995043e+002	0.00000000000000000000e+000	-1.64295977934824895608e-003	0.00000000000000000000e+000	4.81899704187338864814e-003	0.00000000000000000000e+000	1.20599999232217669487e+000	1	1
1.10002919920000003913e+004	0.00000000000000000000e+000	1.10000000000000000000e+004	9.28986072539999922781e-003	0.00000000000000000000e+000	1.08641685490000000414e+002	0.00000000000000000000e+000	-2.96949229589557779641e-003	0.00000000000000000000e+000	8.80247850335041763514e-003	0.00000000000000000000e+000	1.45799999241717159748e+000	1	1
1.60002890619999998307e+004	0.00000000000000000000e+000	1.60000000000000000000e+004	1.34768532590000007093e-002	0.00000000000000000000e+000	1.08512405400000005784e+002	0.00000000000000000000e+000	-4.27903493297739512952e-003	0.00000000000000000000e+000	1.27794927053845961545e-002	0.00000000000000000000e+000	1.70599999232217669487e+000	1	1
2.10002539060000017344e+004	0.00000000000000000000e+000	2.10000000000000000000e+004	1.76572371270000000321e-002	0.00000000000000000000e+000	1.08356674190000006774e+002	0.00000000000000000000e+000	-5.56081835474712699724e-003	0.00000000000000000000e+000	1.67587386811959872246e-002	0.00000000000000000000e+000	1.95299999241251498461e+000	1	1
2.60004531250000000000e+004	0.00000000000000000000e+000	2.60000000000000000000e+004	2.18260325490000003934e-002	0.00000000000000000000e+000	1.08132217409999995539e+002	0.00000000000000000000e+000	-6.79249759115663036269e-003	0.00000000000000000000e+000	2.07421713738976422337e-002	0.00000000000000000000e+000	2.20099999231752008200e+000	1	1
3.10006992189999982656e+004	0.00000000000000000000e+000	3.10000000000000000000e+004	2.59517636150000015338e-002	0.00000000000000000000e+000	1.07962387079999999173e+002	0.00000000000000000000e+000	-8.00333076213027155843e-003	0.00000000000000000000e+000	2.46868534131180275559e-002	0.00000000000000000000e+000	2.44699999236036092043e+000	1	1
3.60007226559999980964e+004	0.00000000000000000000e+000	3.60000000000000000000e+004	3.00747789439999996253e-002	0.00000000000000000000e+000	1.07802375789999999256e+002	0.00000000000000000000e+000	-9.19490515792904458681e-003	0.00000000000000000000e+000	2.86347000624619027476e-002	0.00000000000000000000e+000	2.69099999242462217808e+000	1	1
4.10004023440000019036e+004	0.00000000000000000000e+000	4.10000000000000000000e+004	3.42129729689999995124e-002	0.00000000000000000000e+000	1.07665084840000005784e+002	0.00000000000000000000e+000	-1.03820100185126572290e-002	0.00000000000000000000e+000	3.25997145287045056450e-002	0.00000000000000000000e+000	2.93999999237712472677e+000	1	1
4.60007734379999965313e+004	0.00000000000000000000e+000	4.60000000000000000000e+004	3.83243411780000015066e-002	0.00000000000000000000e+000	1.07528419490000004544e+002	0.00000000000000000000e+000	-1.15424786504050181507e-002	0.00000000000000000000e+000	3.65448534452211329371e-002	0.00000000000000000000e+000	3.18599999241996556520e+000	1	1
5.10007578120000034687e+004	0.00000000000000000000e+000	5.10000000000000000000e+004	4.24683168530000029750e-002	0.00000000000000000000e+000	1.07382781980000004296e+002	0.00000000000000000000e+000	-1.26875790404253879079e-002	0.00000000000000000000e+000	4.05287956201484250718e-002	0.00000000000000000000e+000	3.43399999232497066259e+000	1	1
5.60012890620000034687e+004	0.00000000000000000000e+000	5.60000000000000000000e+004	4.65736314650000010618e-002	0.00000000000000000000e+000	1.07233139039999997522e+002	0.00000000000000000000e+000	-1.37979268359467669575e-002	0.00000000000000000000e+000	4.44828097456477916660e-002	0.00000000000000000000e+000	3.68199999234639108181e+000	1	1
6.10009960940000019036e+004	0.00000000000000000000e+000	6.10000000000000000000e+004	5.06783984600000028675e-002	0.00000000000000000000e+000	1.07077484130000001983e+002	0.00000000000000000000e+000	-1.48824550730043362462e-002	0.00000000000000000000e+000	4.84439119133719259258e-002	0.00000000000000000000e+000	3.93099999241530895233e+000	1	1
6.60010312500000000000e+004	0.00000000000000000000e+000	6.60000000000000000000e+004	5.48240914939999990363e-002	0.00000000000000000000e+000	1.06921455379999997604e+002	0.00000000000000000000e+000	-1.59571240770567460143e-002	0.00000000000000000000e+000	5.24504642432447806821e-002	0.00000000000000000000e+000	4.17599999241065233946e+000	1	1
7.10012578119999961928e+004	0.00000000000000000000e+000	7.10000000000000000000e+004	5.89219294490000017328e-002	0.00000000000000000000e+000	1.06750419620000002396e+002	0.00000000000000000000e+000	-1.69814916051228663452e-002	0.00000000000000000000e+000	5.64218283367180079013e-002	0.00000000000000000000e+000	4.42299999238457530737e+000	1	1
7.60010234380000038072e+004	0.00000000000000000000e+000	7.60000000000000000000e+004	6.30595535039999988136e-002	0.00000000000000000000e+000	1.06596916199999995456e+002	0.00000000000000000000e+000	-1.80121263793836458578e-002	0.00000000000000000000e+000	6.04323637748594988395e-002	0.00000000000000000000e+000	4.66999999235849827528e+000	1	1
8.10017031250000000000e+004	0.00000000000000000000e+000	8.10000000000000000000e+004	6.71522542830000068736e-002	0.00000000000000000000e+000	1.06419441219999995951e+002	0.00000000000000000000e+000	-1.89817207671496741839e-002	0.00000000000000000000e+000	6.44136595141640011519e-002	0.00000000000000000000e+000	4.91399999242275953293e+000	1	1
8.60016718750000000000e+004	0.00000000000000000000e+000	8.60000000000000000000e+004	7.12358281020000067008e-002	0.00000000000000000000e+000	1.06241813660000005370e+002	0.00000000000000000000e+000	-1.99240777158514008327e-002	0.00000000000000000000e+000	6.83927944490529543531e-002	0.00000000000000000000e+000	5.15899999241810292006e+000	1	1
9.10015625000000000000e+004	0.00000000000000000000e+000	9.10000000000000000000e+004	7.53653198480000036108e-002	0.00000000000000000000e+000	1.06082847599999993804e+002	0.00000000000000000000e+000	-2.08782274109866293477e-002	0.00000000000000000000e+000	7.24156823897038892657e-002	0.00000000000000000000e+000	5.40599999239202588797e+000	1	1
9.60019296880000038072e+004	0.00000000000000000000e+000	9.60000000000000000000e+004	7.94461518529999966010e-002	0.00000000000000000000e+000	1.05901786799999996447e+002	0.00000000000000000000e+000	-2.17673860529194462821e-002	0.00000000000000000000e+000	7.64059680173813510207e-002	0.00000000000000000000e+000	5.64999999233987182379e+000	1	1
1.01001921879999994417e+005	0.00000000000000000000e+000	1.01000000000000000000e+005	8.35882276299999976699e-002	0.00000000000000000000e+000	1.05726089479999998844e+002	0.00000000000000000000e+000	-2.26556484574963780398e-002	0.00000000000000000000e+000	8.04593897024768467396e-002	0.00000000000000000000e+000	5.89799999236129224300e+000	1	1
1.06001937500000000000e+005	0.00000000000000000000e+000	1.06000000000000000000e+005	8.76571685079999968204e-002	0.00000000000000000000e+000	1.05550140380000001983e+002	0.00000000000000000000e+000	-2.34992678982539407451e-002	0.00000000000000000000e+000	8.44485855363249909855e-002	0.00000000000000000000e+000	6.14299999235663563013e+000	1	1
1.11001523440000004484e+005	0.00000000000000000000e+000	1.11000000000000000000e+005	9.17234346270000000523e-002	0.00000000000000000000e+000	1.05366600039999994465e+002	0.00000000000000000000e+000	-2.43061628694592156419e-002	0.00000000000000000000e+000	8.84443265921385363137e-002	0.00000000000000000000e+000	6.38999999233055859804e+000	1	1
