Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.00020544429999995373e+003	0.00000000000000000000e+000	1.00000000000000000000e+003	9.55902869459999992609e-005	0.00000000000000000000e+000	1.12474311830000004875e+002	0.00000000000000000000e+000	-3.65412175401633813865e-005	0.00000000000000000000e+000	8.83303027227976515637e-005	0.00000000000000000000e+000	9.15000074426643550396e-001	1	1
6.00013085940000019036e+003	0.00000000000000000000e+000	6.00000000000000000000e+003	5.28967182620000047136e-004	0.00000000000000000000e+000	1.09646804810000006114e+002	0.00000000000000000000e+000	-1.77849870812876232652e-004	0.00000000000000000000e+000	4.98172363485554765654e-004	0.00000000000000000000e+000	1.16500007442664355040e+000	1	1
1.09998300780000008672e+004	0.00000000000000000000e+000	1.10000000000000000000e+004	9.66353283729999980138e-004	0.00000000000000000000e+000	1.09684852599999999256e+002	0.00000000000000000000e+000	-3.25512544975195040626e-004	0.00000000000000000000e+000	9.09879251351257889099e-004	0.00000000000000000000e+000	1.41700007440522313118e+000	1	1
1.60004091800000005605e+004	0.00000000000000000000e+000	1.60000000000000000000e+004	1.40383315740000009890e-003	0.00000000000000000000e+000	1.09796020510000005288e+002	0.00000000000000000000e+000	-4.75439740600632442229e-004	0.00000000000000000000e+000	1.32087266111206055701e-003	0.00000000000000000000e+000	1.66500007442664355040e+000	1	1
2.10001855470000009518e+004	0.00000000000000000000e+000	2.10000000000000000000e+004	1.84051960239999998735e-003	0.00000000000000000000e+000	1.09885124210000000744e+002	0.00000000000000000000e+000	-6.26025833529142623247e-004	0.00000000000000000000e+000	1.73078134452991959716e-003	0.00000000000000000000e+000	1.91200007440056651831e+000	1	1
2.60002792970000009518e+004	0.00000000000000000000e+000	2.60000000000000000000e+004	2.27718986570000017644e-003	0.00000000000000000000e+000	1.09903999330000004875e+002	0.00000000000000000000e+000	-7.75258250227822752303e-004	0.00000000000000000000e+000	2.14116051007402991360e-003	0.00000000000000000000e+000	2.16200007440056651831e+000	1	1
3.10003906250000000000e+004	0.00000000000000000000e+000	3.10000000000000000000e+004	2.70957127210000011178e-003	0.00000000000000000000e+000	1.09971977229999993142e+002	0.00000000000000000000e+000	-9.25482458264026376302e-004	0.00000000000000000000e+000	2.54661710864338350357e-003	0.00000000000000000000e+000	2.41400007437914609909e+000	1	1
3.60003203120000034687e+004	0.00000000000000000000e+000	3.60000000000000000000e+004	3.14240180889999989530e-003	0.00000000000000000000e+000	1.10047248839999994630e+002	0.00000000000000000000e+000	-1.07719935042493606889e-003	0.00000000000000000000e+000	2.95200452032548348036e-003	0.00000000000000000000e+000	2.66100007435306906700e+000	1	1
4.10009140620000034687e+004	0.00000000000000000000e+000	4.10000000000000000000e+004	3.57599137350000017763e-003	0.00000000000000000000e+000	1.10140731810000005453e+002	0.00000000000000000000e+000	-1.23131103587751592615e-003	0.00000000000000000000e+000	3.35731848895404237990e-003	0.00000000000000000000e+000	2.90800007444340735674e+000	1	1
4.60007773440000019036e+004	0.00000000000000000000e+000	4.60000000000000000000e+004	4.00797557089999957614e-003	0.00000000000000000000e+000	1.10243240360000001488e+002	0.00000000000000000000e+000	-1.38678494992547276382e-003	0.00000000000000000000e+000	3.76041163698754947464e-003	0.00000000000000000000e+000	3.15700007439590990543e+000	1	1
5.10009804690000019036e+004	0.00000000000000000000e+000	5.10000000000000000000e+004	4.44275047629999995935e-003	0.00000000000000000000e+000	1.10325798030000001404e+002	0.00000000000000000000e+000	-1.54322438677521509530e-003	0.00000000000000000000e+000	4.16611213083927216932e-003	0.00000000000000000000e+000	3.40200007439125329256e+000	1	1
5.60009101559999980964e+004	0.00000000000000000000e+000	5.60000000000000000000e+004	4.87419823179999992663e-003	0.00000000000000000000e+000	1.10430335999999996943e+002	0.00000000000000000000e+000	-1.70142771942931921719e-003	0.00000000000000000000e+000	4.56759806883659524868e-003	0.00000000000000000000e+000	3.64900007436517626047e+000	1	1
6.10007851559999980964e+004	0.00000000000000000000e+000	6.10000000000000000000e+004	5.30573585999999982471e-003	0.00000000000000000000e+000	1.10486488339999993968e+002	0.00000000000000000000e+000	-1.85693566839622084541e-003	0.00000000000000000000e+000	4.97017333093402458033e-003	0.00000000000000000000e+000	3.89500007440801709890e+000	1	1
