Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
9.99945983889999979510e+002	0.00000000000000000000e+000	1.00000000000000000000e+003	7.54455268379999988149e-001	0.00000000000000000000e+000	5.55023651119999996695e+001	0.00000000000000000000e+000	4.27302513513950099622e-001	0.00000000000000000000e+000	6.21783976901140733595e-001	0.00000000000000000000e+000	9.09000009531155228615e-001	1	1
1.09997778319999997620e+003	0.00000000000000000000e+000	1.10000000000000000000e+003	7.78468370439999945987e-001	0.00000000000000000000e+000	5.30648536679999978105e+001	0.00000000000000000000e+000	4.67789947636453373736e-001	0.00000000000000000000e+000	6.22242371319884579606e-001	0.00000000000000000000e+000	1.15500000957399606705e+000	1	1
1.20003698729999996431e+003	0.00000000000000000000e+000	1.20000000000000000000e+003	7.98338353630000052696e-001	0.00000000000000000000e+000	5.09091224670000030983e+001	0.00000000000000000000e+000	5.03394046224445168569e-001	0.00000000000000000000e+000	6.19627760112827830064e-001	0.00000000000000000000e+000	1.40400000952649861574e+000	1	1
1.30000256349999995109e+003	0.00000000000000000000e+000	1.30000000000000000000e+003	8.15126359460000005086e-001	0.00000000000000000000e+000	4.90150375369999977693e+001	0.00000000000000000000e+000	5.34609540711999176033e-001	0.00000000000000000000e+000	6.15323996660473437892e-001	0.00000000000000000000e+000	1.65300000947900116444e+000	1	1
1.40001879880000001322e+003	0.00000000000000000000e+000	1.40000000000000000000e+003	8.29210221770000033281e-001	0.00000000000000000000e+000	4.73238868709999991324e+001	0.00000000000000000000e+000	5.62082828887114027694e-001	0.00000000000000000000e+000	6.09633074363679750007e-001	0.00000000000000000000e+000	1.90100000950042158365e+000	1	1
1.50005590819999997620e+003	0.00000000000000000000e+000	1.50000000000000000000e+003	8.41325521469999948465e-001	0.00000000000000000000e+000	4.57948036189999996282e+001	0.00000000000000000000e+000	5.86597502051520724997e-001	0.00000000000000000000e+000	6.03101984463393581137e-001	0.00000000000000000000e+000	2.14500000956468284130e+000	1	1
1.60002136229999996431e+003	0.00000000000000000000e+000	1.60000000000000000000e+003	8.51703345779999954068e-001	0.00000000000000000000e+000	4.44115142819999988433e+001	0.00000000000000000000e+000	6.08399012844136777289e-001	0.00000000000000000000e+000	5.96027877186232069029e-001	0.00000000000000000000e+000	2.39100000949110835791e+000	1	1
1.70008361820000004627e+003	0.00000000000000000000e+000	1.70000000000000000000e+003	8.60576450820000005137e-001	0.00000000000000000000e+000	4.31767158509999973148e+001	0.00000000000000000000e+000	6.27572593427800140553e-001	0.00000000000000000000e+000	5.88850123277776860142e-001	0.00000000000000000000e+000	2.63700000953394919634e+000	1	1
1.80000964359999989028e+003	0.00000000000000000000e+000	1.80000000000000000000e+003	8.68324637409999988691e-001	0.00000000000000000000e+000	4.20544586179999981823e+001	0.00000000000000000000e+000	6.44738425383121760426e-001	0.00000000000000000000e+000	5.81635658095083329933e-001	0.00000000000000000000e+000	2.89100000949110835791e+000	1	1
1.90020898439999996299e+003	0.00000000000000000000e+000	1.90000000000000000000e+003	8.75055611129999966202e-001	0.00000000000000000000e+000	4.10296897890000025200e+001	0.00000000000000000000e+000	6.60115287697805697142e-001	0.00000000000000000000e+000	5.74430265147773067014e-001	0.00000000000000000000e+000	3.14000000956002622843e+000	1	1
2.00000537110000004759e+003	0.00000000000000000000e+000	2.00000000000000000000e+003	8.81003141400000022720e-001	0.00000000000000000000e+000	4.00788497919999997521e+001	0.00000000000000000000e+000	6.74107596117578422579e-001	0.00000000000000000000e+000	5.67226131285617052313e-001	0.00000000000000000000e+000	3.38400000950787216425e+000	1	1
2.10004077150000011898e+003	0.00000000000000000000e+000	2.10000000000000000000e+003	8.86256873610000051045e-001	0.00000000000000000000e+000	3.92173271180000000413e+001	0.00000000000000000000e+000	6.86630459941668824797e-001	0.00000000000000000000e+000	5.60347978939215840555e-001	0.00000000000000000000e+000	3.63000000955071300268e+000	1	1
2.20011376950000021679e+003	0.00000000000000000000e+000	2.20000000000000000000e+003	8.90911281109999952932e-001	0.00000000000000000000e+000	3.84246444699999969430e+001	0.00000000000000000000e+000	6.97963256805557152873e-001	0.00000000000000000000e+000	5.53687820850740086698e-001	0.00000000000000000000e+000	3.87400000949855893850e+000	1	1
2.30019433590000016920e+003	0.00000000000000000000e+000	2.30000000000000000000e+003	8.94984722140000021895e-001	0.00000000000000000000e+000	3.76926956180000019003e+001	0.00000000000000000000e+000	7.08202747950496203089e-001	0.00000000000000000000e+000	5.47217069049731885677e-001	0.00000000000000000000e+000	4.12000000954139977694e+000	1	1
2.40033178709999992861e+003	0.00000000000000000000e+000	2.40000000000000000000e+003	8.98711740969999950401e-001	0.00000000000000000000e+000	3.70042495730000027265e+001	0.00000000000000000000e+000	7.17702998684284665387e-001	0.00000000000000000000e+000	5.40911452122169400525e-001	0.00000000000000000000e+000	4.36800000956282019615e+000	1	1
2.50000732419999985723e+003	0.00000000000000000000e+000	2.50000000000000000000e+003	9.02036964889999959283e-001	0.00000000000000000000e+000	3.63873825069999980997e+001	0.00000000000000000000e+000	7.26161825134650551483e-001	0.00000000000000000000e+000	5.35125863461182516012e-001	0.00000000000000000000e+000	4.61400000948924571276e+000	1	1
