Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
5.00002319339999985459e+002	0.00000000000000000000e+000	5.00000000000000000000e+002	4.63859469160000012218e-005	0.00000000000000000000e+000	1.09559539790000002313e+002	0.00000000000000000000e+000	-1.55293752949329105252e-005	0.00000000000000000000e+000	4.37092046855476091681e-005	0.00000000000000000000e+000	9.35000066761858761311e-001	1	1
4.50022705080000014277e+003	0.00000000000000000000e+000	4.50000000000000000000e+003	3.99186828869999975767e-004	0.00000000000000000000e+000	1.09490928650000000744e+002	0.00000000000000000000e+000	-1.33191711559074580425e-004	0.00000000000000000000e+000	3.76311164218191829267e-004	0.00000000000000000000e+000	1.18200006673578172922e+000	1	1
8.50029785160000028554e+003	0.00000000000000000000e+000	8.50000000000000000000e+003	7.51903571649999960709e-004	0.00000000000000000000e+000	1.09509132390000004875e+002	0.00000000000000000000e+000	-2.51103515325225388078e-004	0.00000000000000000000e+000	7.08735497665624906635e-004	0.00000000000000000000e+000	1.43500006676185876131e+000	1	1
1.25001416019999996934e+004	0.00000000000000000000e+000	1.25000000000000000000e+004	1.10240431969999995096e-003	0.00000000000000000000e+000	1.09587303160000004709e+002	0.00000000000000000000e+000	-3.69573077001567171142e-004	0.00000000000000000000e+000	1.03861014093297463270e-003	0.00000000000000000000e+000	1.68600006680935621262e+000	1	1
1.64999062500000000000e+004	0.00000000000000000000e+000	1.65000000000000000000e+004	1.45311944650000006256e-003	0.00000000000000000000e+000	1.09667373659999995539e+002	0.00000000000000000000e+000	-4.89060522012339533166e-004	0.00000000000000000000e+000	1.36834788398472852536e-003	0.00000000000000000000e+000	1.93500006676185876131e+000	1	1
2.05000039060000017344e+004	0.00000000000000000000e+000	2.05000000000000000000e+004	1.80341268419999993869e-003	0.00000000000000000000e+000	1.09735664369999994960e+002	0.00000000000000000000e+000	-6.08978542571412314460e-004	0.00000000000000000000e+000	1.69748120585208454349e-003	0.00000000000000000000e+000	2.18100006680469959974e+000	1	1
2.45005234380000001693e+004	0.00000000000000000000e+000	2.45000000000000000000e+004	2.15255329390000001502e-003	0.00000000000000000000e+000	1.09736961359999995125e+002	0.00000000000000000000e+000	-7.26922623814850541596e-004	0.00000000000000000000e+000	2.02609703174992921565e-003	0.00000000000000000000e+000	2.42800006677862256765e+000	1	1
2.85005878909999992175e+004	0.00000000000000000000e+000	2.85000000000000000000e+004	2.50083464199999999308e-003	0.00000000000000000000e+000	1.09766967769999993720e+002	0.00000000000000000000e+000	-8.45770760937297359436e-004	0.00000000000000000000e+000	2.35347524452049700408e-003	0.00000000000000000000e+000	2.67300006677396595478e+000	1	1
3.25007265619999998307e+004	0.00000000000000000000e+000	3.25000000000000000000e+004	2.84683983769999995883e-003	0.00000000000000000000e+000	1.09822402949999997190e+002	0.00000000000000000000e+000	-9.65379766530073506192e-004	0.00000000000000000000e+000	2.67815962330293210608e-003	0.00000000000000000000e+000	2.91900006670039147139e+000	1	1
3.65001601559999980964e+004	0.00000000000000000000e+000	3.65000000000000000000e+004	3.19279101680000013813e-003	0.00000000000000000000e+000	1.09888374330000004875e+002	0.00000000000000000000e+000	-1.08615149604554669591e-003	0.00000000000000000000e+000	3.00236396937426626777e-003	0.00000000000000000000e+000	3.16600006679072976112e+000	1	1
4.05006406250000000000e+004	0.00000000000000000000e+000	4.05000000000000000000e+004	3.54091450570000014497e-003	0.00000000000000000000e+000	1.09958557130000002644e+002	0.00000000000000000000e+000	-1.20865692522337470419e-003	0.00000000000000000000e+000	3.32824638117226127149e-003	0.00000000000000000000e+000	3.41300006676465272903e+000	1	1
4.45007265620000034687e+004	0.00000000000000000000e+000	4.45000000000000000000e+004	3.88598442080000019277e-003	0.00000000000000000000e+000	1.10035980219999999008e+002	0.00000000000000000000e+000	-1.33137769346363798312e-003	0.00000000000000000000e+000	3.65079557850720489570e-003	0.00000000000000000000e+000	3.66000006673857569695e+000	1	1
4.85005507809999980964e+004	0.00000000000000000000e+000	4.85000000000000000000e+004	4.23190323639999980282e-003	0.00000000000000000000e+000	1.10102546689999996943e+002	0.00000000000000000000e+000	-1.45451108581527949019e-003	0.00000000000000000000e+000	3.97409140603147831294e-003	0.00000000000000000000e+000	3.90800006675999611616e+000	1	1
5.25006992190000019036e+004	0.00000000000000000000e+000	5.25000000000000000000e+004	4.58035012710000018904e-003	0.00000000000000000000e+000	1.10196273800000000165e+002	0.00000000000000000000e+000	-1.58130694643828688742e-003	0.00000000000000000000e+000	4.29872953649924460090e-003	0.00000000000000000000e+000	4.15800006675999611616e+000	1	1
5.65009531250000000000e+004	0.00000000000000000000e+000	5.65000000000000000000e+004	4.92536881940000038915e-003	0.00000000000000000000e+000	1.10247200010000000248e+002	0.00000000000000000000e+000	-1.70452818623894101178e-003	0.00000000000000000000e+000	4.62102171272054697282e-003	0.00000000000000000000e+000	4.40400006680283695459e+000	1	1
6.05010156250000000000e+004	0.00000000000000000000e+000	6.05000000000000000000e+004	5.27113815769999962541e-003	0.00000000000000000000e+000	1.10292221069999996530e+002	0.00000000000000000000e+000	-1.82807437038775676824e-003	0.00000000000000000000e+000	4.94399045042487501889e-003	0.00000000000000000000e+000	4.65100006677675992250e+000	1	1
6.45011328120000034687e+004	0.00000000000000000000e+000	6.45000000000000000000e+004	5.62036177140000023367e-003	0.00000000000000000000e+000	1.10354286189999996282e+002	0.00000000000000000000e+000	-1.95489721369469056020e-003	0.00000000000000000000e+000	5.26942533159957451211e-003	0.00000000000000000000e+000	4.89600006677210330963e+000	1	1
6.85010625000000000000e+004	0.00000000000000000000e+000	6.85000000000000000000e+004	5.96558069810000039107e-003	0.00000000000000000000e+000	1.10402740480000005618e+002	0.00000000000000000000e+000	-2.07970193163147356111e-003	0.00000000000000000000e+000	5.59133194696143955016e-003	0.00000000000000000000e+000	5.14200006681494414806e+000	1	1
7.25007812500000000000e+004	0.00000000000000000000e+000	7.25000000000000000000e+004	6.31173187870000002714e-003	0.00000000000000000000e+000	1.10462081909999994878e+002	0.00000000000000000000e+000	-2.20650186341990158304e-003	0.00000000000000000000e+000	5.91348533737273522604e-003	0.00000000000000000000e+000	5.38800006674136966467e+000	1	1
7.65011328119999961928e+004	0.00000000000000000000e+000	7.65000000000000000000e+004	6.66126841679999959905e-003	0.00000000000000000000e+000	1.10511642460000004462e+002	0.00000000000000000000e+000	-2.33409296118919102475e-003	0.00000000000000000000e+000	6.23895079073270505954e-003	0.00000000000000000000e+000	5.64100006676744669676e+000	1	1
