Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.00002465819999997620e+003	0.00000000000000000000e+000	1.00000000000000000000e+003	8.93788635729999975110e-002	0.00000000000000000000e+000	1.02297828670000001239e+002	0.00000000000000000000e+000	-1.90371017310810783374e-002	0.00000000000000000000e+000	8.73279451909949461230e-002	0.00000000000000000000e+000	9.92000076337717473507e-001	1	1
1.49995483399999989160e+003	0.00000000000000000000e+000	1.50000000000000000000e+003	1.35925158860000006023e-001	0.00000000000000000000e+000	9.91090850829999965299e+001	0.00000000000000000000e+000	-2.15189378368140782349e-002	0.00000000000000000000e+000	1.34210968722722395752e-001	0.00000000000000000000e+000	1.21600007626693695784e+000	1	1
1.99995080570000004627e+003	0.00000000000000000000e+000	2.00000000000000000000e+003	1.84821084140000008178e-001	0.00000000000000000000e+000	9.56594390869999955385e+001	0.00000000000000000000e+000	-1.82261821053624518962e-002	0.00000000000000000000e+000	1.83920198533350676140e-001	0.00000000000000000000e+000	1.46500007633585482836e+000	1	1
2.50008789059999980964e+003	0.00000000000000000000e+000	2.50000000000000000000e+003	2.36884087319999991905e-001	0.00000000000000000000e+000	9.18467407229999963647e+001	0.00000000000000000000e+000	-7.63384985489426026034e-003	0.00000000000000000000e+000	2.36761050770227632345e-001	0.00000000000000000000e+000	1.71200007630977779627e+000	1	1
2.99994726559999980964e+003	0.00000000000000000000e+000	3.00000000000000000000e+003	2.92832404380000022037e-001	0.00000000000000000000e+000	8.76100616460000054531e+001	0.00000000000000000000e+000	1.22111769546214346538e-002	0.00000000000000000000e+000	2.92577689191016065973e-001	0.00000000000000000000e+000	1.96100007626228034496e+000	1	1
3.50017675779999990482e+003	0.00000000000000000000e+000	3.50000000000000000000e+003	3.53073596950000012651e-001	0.00000000000000000000e+000	8.27947921749999977692e+001	0.00000000000000000000e+000	4.42837031504107539459e-002	0.00000000000000000000e+000	3.50285481426931777360e-001	0.00000000000000000000e+000	2.20800007623620331287e+000	1	1
4.00004418949999990218e+003	0.00000000000000000000e+000	4.00000000000000000000e+003	4.17448729279999986019e-001	0.00000000000000000000e+000	7.73053131100000001652e+001	0.00000000000000000000e+000	9.17367641457808857819e-002	0.00000000000000000000e+000	4.07244162243669383106e-001	0.00000000000000000000e+000	2.45300007634796202183e+000	1	1
4.50010156250000000000e+003	0.00000000000000000000e+000	4.50000000000000000000e+003	4.84891414640000018021e-001	0.00000000000000000000e+000	7.10025405880000022307e+001	0.00000000000000000000e+000	1.57844883037762506728e-001	0.00000000000000000000e+000	4.58480835903067485138e-001	0.00000000000000000000e+000	2.69900007627438753843e+000	1	1
5.00008740229999966687e+003	0.00000000000000000000e+000	5.00000000000000000000e+003	5.52703082560000003021e-001	0.00000000000000000000e+000	6.38980407709999980170e+001	0.00000000000000000000e+000	2.43172717052212078448e-001	0.00000000000000000000e+000	4.96334289720920807110e-001	0.00000000000000000000e+000	2.94500007631722837687e+000	1	1
5.50007177729999966687e+003	0.00000000000000000000e+000	5.50000000000000000000e+003	6.16489052769999990034e-001	0.00000000000000000000e+000	5.59835281370000004131e+001	0.00000000000000000000e+000	3.44883230755422431901e-001	0.00000000000000000000e+000	5.10993453313204337718e-001	0.00000000000000000000e+000	3.19000007631257176399e+000	1	1
