Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
9.99930969239999967613e+002	0.00000000000000000000e+000	1.00000000000000000000e+003	8.86426568030000000542e-002	0.00000000000000000000e+000	1.02215919490000004544e+002	0.00000000000000000000e+000	-1.87564609611427998703e-002	0.00000000000000000000e+000	8.66355341491444191915e-002	0.00000000000000000000e+000	8.90999948489479720592e-001	1	1
1.50005883790000007139e+003	0.00000000000000000000e+000	1.50000000000000000000e+003	1.34800344709999991855e-001	0.00000000000000000000e+000	9.90111465450000025612e+001	0.00000000000000000000e+000	-2.11133172061903663652e-002	0.00000000000000000000e+000	1.33136624452047797051e-001	0.00000000000000000000e+000	1.14099994848947972059e+000	1	1
1.99998486329999991540e+003	0.00000000000000000000e+000	2.00000000000000000000e+003	1.83223277329999989504e-001	0.00000000000000000000e+000	9.54643020630000052051e+001	0.00000000000000000000e+000	-1.74475332359661228221e-002	0.00000000000000000000e+000	1.82390660231070894648e-001	0.00000000000000000000e+000	1.38999994855839759111e+000	1	1
2.49995727540000007139e+003	0.00000000000000000000e+000	2.50000000000000000000e+003	2.34901055689999999077e-001	0.00000000000000000000e+000	9.16889038089999957037e+001	0.00000000000000000000e+000	-6.92315340819551344742e-003	0.00000000000000000000e+000	2.34799011733787033052e-001	0.00000000000000000000e+000	1.63999994855839759111e+000	1	1
3.00007788089999985459e+003	0.00000000000000000000e+000	3.00000000000000000000e+003	2.90184617039999981358e-001	0.00000000000000000000e+000	8.73683166499999970256e+001	0.00000000000000000000e+000	1.33239476031641219944e-002	0.00000000000000000000e+000	2.89878568347022802509e-001	0.00000000000000000000e+000	1.89099994848947972059e+000	1	1
3.49994433590000016920e+003	0.00000000000000000000e+000	3.50000000000000000000e+003	3.49646568300000015750e-001	0.00000000000000000000e+000	8.24905014039999997522e+001	0.00000000000000000000e+000	4.56955121986641135678e-002	0.00000000000000000000e+000	3.46647721597688140971e-001	0.00000000000000000000e+000	2.13999994855839759111e+000	1	1
4.00004492190000019036e+003	0.00000000000000000000e+000	4.00000000000000000000e+003	4.14582312110000017480e-001	0.00000000000000000000e+000	7.72461471560000063619e+001	0.00000000000000000000e+000	9.15244530711478015972e-002	0.00000000000000000000e+000	4.04353518600371164560e-001	0.00000000000000000000e+000	2.38399994850624352694e+000	1	1
4.50031884770000033313e+003	0.00000000000000000000e+000	4.50000000000000000000e+003	4.82236474749999977085e-001	0.00000000000000000000e+000	7.10438385009999961994e+001	0.00000000000000000000e+000	1.56651933175589702651e-001	0.00000000000000000000e+000	4.56083533370432003817e-001	0.00000000000000000000e+000	2.63199994852766394615e+000	1	1
5.00008544919999985723e+003	0.00000000000000000000e+000	5.00000000000000000000e+003	5.50232946870000017014e-001	0.00000000000000000000e+000	6.39445762630000018589e+001	0.00000000000000000000e+000	2.41684532046595706989e-001	0.00000000000000000000e+000	4.94312535538663333501e-001	0.00000000000000000000e+000	2.87699994852300733328e+000	1	1
5.49999462889999995241e+003	0.00000000000000000000e+000	5.50000000000000000000e+003	6.15093290809999970747e-001	0.00000000000000000000e+000	5.60839271549999978106e+001	0.00000000000000000000e+000	3.43208486888385178037e-001	0.00000000000000000000e+000	5.10438723969156127325e-001	0.00000000000000000000e+000	3.12499994854442775249e+000	1	1
