Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.00001635739999994712e+003	0.00000000000000000000e+000	1.00000000000000000000e+003	8.86451154949999958754e-002	0.00000000000000000000e+000	1.02272171020000001818e+002	0.00000000000000000000e+000	-1.88420310659423335953e-002	0.00000000000000000000e+000	8.66194802941691183173e-002	0.00000000000000000000e+000	9.32999952347017824650e-001	1	1
2.00003271479999989424e+003	0.00000000000000000000e+000	2.00000000000000000000e+003	1.83290004730000011257e-001	0.00000000000000000000e+000	9.56303558350000031396e+001	0.00000000000000000000e+000	-1.79826077323559374577e-002	0.00000000000000000000e+000	1.82405733607986231259e-001	0.00000000000000000000e+000	1.18999995233025401831e+000	1	1
2.99984667970000009518e+003	0.00000000000000000000e+000	3.00000000000000000000e+003	2.90504038329999991763e-001	0.00000000000000000000e+000	8.75680389399999938860e+001	0.00000000000000000000e+000	1.23269606629648528079e-002	0.00000000000000000000e+000	2.90242385476091047103e-001	0.00000000000000000000e+000	1.44099995226133614779e+000	1	1
4.00024291989999983343e+003	0.00000000000000000000e+000	4.00000000000000000000e+003	4.14390683169999995972e-001	0.00000000000000000000e+000	7.72178497310000011566e+001	0.00000000000000000000e+000	9.16817484314206704310e-002	0.00000000000000000000e+000	4.04121386841450158656e-001	0.00000000000000000000e+000	1.69299995235633105040e+000	1	1
5.00001953119999961928e+003	0.00000000000000000000e+000	5.00000000000000000000e+003	5.48773944380000044951e-001	0.00000000000000000000e+000	6.37578201290000023960e+001	0.00000000000000000000e+000	2.42649339944168901395e-001	0.00000000000000000000e+000	4.92213510435301371260e-001	0.00000000000000000000e+000	1.93999995233025401831e+000	1	1
6.00019580080000014277e+003	0.00000000000000000000e+000	6.00000000000000000000e+003	6.65511369710000022515e-001	0.00000000000000000000e+000	4.73702354429999985541e+001	0.00000000000000000000e+000	4.50723087853088955068e-001	0.00000000000000000000e+000	4.89646894495877449405e-001	0.00000000000000000000e+000	2.18499995232559740543e+000	1	1
7.00029199220000009518e+003	0.00000000000000000000e+000	7.00000000000000000000e+003	7.24857628350000005035e-001	0.00000000000000000000e+000	2.99500751499999999794e+001	0.00000000000000000000e+000	6.28060688593788385425e-001	0.00000000000000000000e+000	3.61881683455080482847e-001	0.00000000000000000000e+000	2.43699995230417698622e+000	1	1
8.00011230470000009518e+003	0.00000000000000000000e+000	8.00000000000000000000e+003	7.16648280619999966667e-001	0.00000000000000000000e+000	1.42864809039999993701e+001	0.00000000000000000000e+000	6.94485205555684492751e-001	0.00000000000000000000e+000	1.76847554068132017946e-001	0.00000000000000000000e+000	2.68299995234701782465e+000	1	1
9.00029296880000038072e+003	0.00000000000000000000e+000	9.00000000000000000000e+003	6.68060421940000037644e-001	0.00000000000000000000e+000	1.72306716439999996204e+000	0.00000000000000000000e+000	6.67758348772530707649e-001	0.00000000000000000000e+000	2.00876829732591355437e-002	0.00000000000000000000e+000	2.92999995232094079256e+000	1	1
1.00003144530000008672e+004	0.00000000000000000000e+000	1.00000000000000000000e+004	6.07400536540000035579e-001	0.00000000000000000000e+000	-7.67360639570000024889e+000	0.00000000000000000000e+000	6.01961153167184681578e-001	0.00000000000000000000e+000	-8.11059915586578306090e-002	0.00000000000000000000e+000	3.17699995229486376047e+000	1	1
1.10000507809999999154e+004	0.00000000000000000000e+000	1.10000000000000000000e+004	5.49344062810000033359e-001	0.00000000000000000000e+000	-1.47101984019999996178e+001	0.00000000000000000000e+000	5.31337976654156829426e-001	0.00000000000000000000e+000	-1.39494996002236304466e-001	0.00000000000000000000e+000	3.42099995235912501812e+000	1	1
1.20002646480000003066e+004	0.00000000000000000000e+000	1.20000000000000000000e+004	4.98555928470000020436e-001	0.00000000000000000000e+000	-1.99712409969999988846e+001	0.00000000000000000000e+000	4.68574857790574839100e-001	0.00000000000000000000e+000	-1.70280992653691010119e-001	0.00000000000000000000e+000	3.66499995230697095394e+000	1	1
1.29996181639999995241e+004	0.00000000000000000000e+000	1.30000000000000000000e+004	4.55617696050000020591e-001	0.00000000000000000000e+000	-2.40141963959999991118e+001	0.00000000000000000000e+000	4.16181548636387954598e-001	0.00000000000000000000e+000	-1.85419533837533012655e-001	0.00000000000000000000e+000	3.90999995230231434107e+000	1	1
1.40001152340000007825e+004	0.00000000000000000000e+000	1.40000000000000000000e+004	4.19673293830000015969e-001	0.00000000000000000000e+000	-2.71782341000000009501e+001	0.00000000000000000000e+000	3.73337147912455813437e-001	0.00000000000000000000e+000	-1.91689977679362771879e-001	0.00000000000000000000e+000	4.15899995237123221159e+000	1	1
1.50002373050000005605e+004	0.00000000000000000000e+000	1.50000000000000000000e+004	3.89030009509999996631e-001	0.00000000000000000000e+000	-2.96926689149999987194e+001	0.00000000000000000000e+000	3.37948387706444253187e-001	0.00000000000000000000e+000	-1.92705048055222316616e-001	0.00000000000000000000e+000	4.40499995229765772820e+000	1	1
1.60004609380000001693e+004	0.00000000000000000000e+000	1.60000000000000000000e+004	3.62950593230000007061e-001	0.00000000000000000000e+000	-3.17351303099999988433e+001	0.00000000000000000000e+000	3.08685402525791019457e-001	0.00000000000000000000e+000	-1.90909547675068624883e-001	0.00000000000000000000e+000	4.64999995229300111532e+000	1	1
1.70002089840000007825e+004	0.00000000000000000000e+000	1.70000000000000000000e+004	3.40512961150000015298e-001	0.00000000000000000000e+000	-3.34949340820000003305e+001	0.00000000000000000000e+000	2.83965548528520295157e-001	0.00000000000000000000e+000	-1.87916587772442300608e-001	0.00000000000000000000e+000	4.89599995233584195375e+000	1	1
1.80001855470000009518e+004	0.00000000000000000000e+000	1.80000000000000000000e+004	3.21031987670000018564e-001	0.00000000000000000000e+000	-3.49402122500000018590e+001	0.00000000000000000000e+000	2.63166012730223053406e-001	0.00000000000000000000e+000	-1.83861868942494788293e-001	0.00000000000000000000e+000	5.14199995226226747036e+000	1	1
1.90005683590000007825e+004	0.00000000000000000000e+000	1.90000000000000000000e+004	3.04035544400000024012e-001	0.00000000000000000000e+000	-3.61928215029999975627e+001	0.00000000000000000000e+000	2.45367115248189493482e-001	0.00000000000000000000e+000	-1.79534372790800395014e-001	0.00000000000000000000e+000	5.38699995237402617931e+000	1	1
2.00000273439999982656e+004	0.00000000000000000000e+000	2.00000000000000000000e+004	2.88996666670000013077e-001	0.00000000000000000000e+000	-3.72798385620000019003e+001	0.00000000000000000000e+000	2.29950796970461529556e-001	0.00000000000000000000e+000	-1.75047720119459654375e-001	0.00000000000000000000e+000	5.63099995232187211514e+000	1	1
