Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
5.00013153079999995043e+002	0.00000000000000000000e+000	5.00000000000000000000e+002	8.48886013029999997315e-001	0.00000000000000000000e+000	1.44775533680000005887e+001	0.00000000000000000000e+000	8.21930196201019369617e-001	0.00000000000000000000e+000	2.12222090487590747676e-001	0.00000000000000000000e+000	9.11000005668029189110e-001	1	1
5.50010595699999976205e+003	0.00000000000000000000e+000	5.50000000000000000000e+003	5.96649467949999956495e-001	0.00000000000000000000e+000	-2.15516452789999988227e+001	0.00000000000000000000e+000	5.54935815532304754782e-001	0.00000000000000000000e+000	-2.19173055471045291620e-001	0.00000000000000000000e+000	1.16000000573694705963e+000	1	1
1.05000986329999996087e+004	0.00000000000000000000e+000	1.05000000000000000000e+004	4.01201069359999995534e-001	0.00000000000000000000e+000	-3.45894393920000027265e+001	0.00000000000000000000e+000	3.30285179117451144215e-001	0.00000000000000000000e+000	-2.27758640913930471283e-001	0.00000000000000000000e+000	1.40600000577978789806e+000	1	1
1.55001972659999992175e+004	0.00000000000000000000e+000	1.55000000000000000000e+004	3.02440434689999981810e-001	0.00000000000000000000e+000	-3.97358818049999982236e+001	0.00000000000000000000e+000	2.32576506706117180912e-001	0.00000000000000000000e+000	-1.93334903894396586965e-001	0.00000000000000000000e+000	1.65200000570621341467e+000	1	1
2.05005175779999990482e+004	0.00000000000000000000e+000	2.05000000000000000000e+004	2.45429500939999989395e-001	0.00000000000000000000e+000	-4.24966125489999981824e+001	0.00000000000000000000e+000	1.80959413642931499222e-001	0.00000000000000000000e+000	-1.65799066781643467117e-001	0.00000000000000000000e+000	1.89700000570155680180e+000	1	1
2.55004199220000009518e+004	0.00000000000000000000e+000	2.55000000000000000000e+004	2.07895204420000007106e-001	0.00000000000000000000e+000	-4.44973640440000011154e+001	0.00000000000000000000e+000	1.48288053514490369977e-001	0.00000000000000000000e+000	-1.45708850814620149983e-001	0.00000000000000000000e+000	2.14500000572297722101e+000	1	1
3.05004746090000007825e+004	0.00000000000000000000e+000	3.05000000000000000000e+004	1.80893942710000005247e-001	0.00000000000000000000e+000	-4.60442733759999995868e+001	0.00000000000000000000e+000	1.25558906664134134479e-001	0.00000000000000000000e+000	-1.30221271175165603795e-001	0.00000000000000000000e+000	2.39100000576581805944e+000	1	1
3.55003945309999980964e+004	0.00000000000000000000e+000	3.55000000000000000000e+004	1.60174027090000004048e-001	0.00000000000000000000e+000	-4.73376846310000019002e+001	0.00000000000000000000e+000	1.08546120395172487894e-001	0.00000000000000000000e+000	-1.17785647263937781615e-001	0.00000000000000000000e+000	2.63600000576116144657e+000	1	1
4.05010078120000034687e+004	0.00000000000000000000e+000	4.05000000000000000000e+004	1.43702626229999991248e-001	0.00000000000000000000e+000	-4.84379806520000002479e+001	0.00000000000000000000e+000	9.53366867273949258887e-002	0.00000000000000000000e+000	-1.07523769229141349935e-001	0.00000000000000000000e+000	2.88300000573508441448e+000	1	1
4.55007343750000000000e+004	0.00000000000000000000e+000	4.55000000000000000000e+004	1.30078405139999991880e-001	0.00000000000000000000e+000	-4.93844299320000033049e+001	0.00000000000000000000e+000	8.46785098449946427301e-002	0.00000000000000000000e+000	-9.87417918320157017575e-002	0.00000000000000000000e+000	3.13100000575650483370e+000	1	1
5.05004882809999980964e+004	0.00000000000000000000e+000	5.05000000000000000000e+004	1.18705116210000002908e-001	0.00000000000000000000e+000	-5.02086791990000023134e+001	0.00000000000000000000e+000	7.59704818490514188767e-002	0.00000000000000000000e+000	-9.12106929150993395172e-002	0.00000000000000000000e+000	3.37600000575184822083e+000	1	1
5.55009960940000019036e+004	0.00000000000000000000e+000	5.55000000000000000000e+004	1.08862698080000000478e-001	0.00000000000000000000e+000	-5.09137496949999999174e+001	0.00000000000000000000e+000	6.86367954186423434582e-002	0.00000000000000000000e+000	-8.44989783838637487090e-002	0.00000000000000000000e+000	3.62200000567827373743e+000	1	1
6.05013359379999965313e+004	0.00000000000000000000e+000	6.05000000000000000000e+004	1.00319229070000001669e-001	0.00000000000000000000e+000	-5.15507278440000007436e+001	0.00000000000000000000e+000	6.23806543639124216893e-002	0.00000000000000000000e+000	-7.85659066155875718263e-002	0.00000000000000000000e+000	3.86600000574253499508e+000	1	1
6.55011757809999980964e+004	0.00000000000000000000e+000	6.55000000000000000000e+004	9.28919836880000016066e-002	0.00000000000000000000e+000	-5.20887870789999993804e+001	0.00000000000000000000e+000	5.70765157352764243570e-002	0.00000000000000000000e+000	-7.32884164449771752237e-002	0.00000000000000000000e+000	4.11200000566896051168e+000	1	1
7.05013671880000038072e+004	0.00000000000000000000e+000	7.05000000000000000000e+004	8.62366184590000056653e-002	0.00000000000000000000e+000	-5.25551643370000007849e+001	0.00000000000000000000e+000	5.24316328524378275078e-002	0.00000000000000000000e+000	-6.84666213542796525671e-002	0.00000000000000000000e+000	4.36000000569038093090e+000	1	1
7.55009843750000000000e+004	0.00000000000000000000e+000	7.55000000000000000000e+004	8.03520008919999945141e-002	0.00000000000000000000e+000	-5.29408187869999977693e+001	0.00000000000000000000e+000	4.84233001493904399726e-002	0.00000000000000000000e+000	-6.41219779014185614630e-002	0.00000000000000000000e+000	4.61400000576395541430e+000	1	1
8.05008671880000038072e+004	0.00000000000000000000e+000	8.05000000000000000000e+004	7.49887302519999937589e-002	0.00000000000000000000e+000	-5.32821769709999983888e+001	0.00000000000000000000e+000	4.48338525711783272842e-002	0.00000000000000000000e+000	-6.01101932157355953179e-002	0.00000000000000000000e+000	4.86000000569038093090e+000	1	1
8.55013750000000000000e+004	0.00000000000000000000e+000	8.55000000000000000000e+004	7.01164379719999980578e-002	0.00000000000000000000e+000	-5.35699653630000014459e+001	0.00000000000000000000e+000	4.16379978232541622662e-002	0.00000000000000000000e+000	-5.64144663286998138130e-002	0.00000000000000000000e+000	5.10700000566430389881e+000	1	1
9.05016718750000000000e+004	0.00000000000000000000e+000	9.05000000000000000000e+004	6.57281503079999995798e-002	0.00000000000000000000e+000	-5.37901306150000024786e+001	0.00000000000000000000e+000	3.88285546820119203959e-002	0.00000000000000000000e+000	-5.30333205090634529633e-002	0.00000000000000000000e+000	5.35000000568106770515e+000	1	1
9.55016640619999961928e+004	0.00000000000000000000e+000	9.55000000000000000000e+004	6.16598501800000031725e-002	0.00000000000000000000e+000	-5.39827194209999987606e+001	0.00000000000000000000e+000	3.62577948711354583478e-002	0.00000000000000000000e+000	-4.98729328925290871233e-002	0.00000000000000000000e+000	5.59700000577140599489e+000	1	1
1.00501117190000004484e+005	0.00000000000000000000e+000	1.00500000000000000000e+005	5.79297542569999976414e-002	0.00000000000000000000e+000	-5.40681343079999976453e+001	0.00000000000000000000e+000	3.39945001808199601112e-002	0.00000000000000000000e+000	-4.69066134541030466121e-002	0.00000000000000000000e+000	5.84400000574532896280e+000	1	1
1.05501429690000004484e+005	0.00000000000000000000e+000	1.05500000000000000000e+005	5.44422380629999980162e-002	0.00000000000000000000e+000	-5.42292404169999997521e+001	0.00000000000000000000e+000	3.18238668577706107499e-002	0.00000000000000000000e+000	-4.41723757967267954827e-002	0.00000000000000000000e+000	6.09400000574532896280e+000	1	1
1.10501882809999995516e+005	0.00000000000000000000e+000	1.10500000000000000000e+005	5.11784665290000023719e-002	0.00000000000000000000e+000	-5.43093261719999986781e+001	0.00000000000000000000e+000	2.98579796152519290342e-002	0.00000000000000000000e+000	-4.15660497227626143935e-002	0.00000000000000000000e+000	6.33900000574067234993e+000	1	1
1.15502132809999995516e+005	0.00000000000000000000e+000	1.15500000000000000000e+005	4.81754280630000003560e-002	0.00000000000000000000e+000	-5.43580932619999970257e+001	0.00000000000000000000e+000	2.80726668344128994781e-002	0.00000000000000000000e+000	-3.91509545970126007775e-002	0.00000000000000000000e+000	6.58300000568851828575e+000	1	1
1.20501750000000000000e+005	0.00000000000000000000e+000	1.20500000000000000000e+005	4.53316606579999975546e-002	0.00000000000000000000e+000	-5.43442573550000034288e+001	0.00000000000000000000e+000	2.64244490997876321781e-002	0.00000000000000000000e+000	-3.68335166361399360402e-002	0.00000000000000000000e+000	6.82800000568386167288e+000	1	1
1.25502437500000000000e+005	0.00000000000000000000e+000	1.25500000000000000000e+005	4.26908843220000014385e-002	0.00000000000000000000e+000	-5.42813873289999975214e+001	0.00000000000000000000e+000	2.49231517624954497514e-002	0.00000000000000000000e+000	-3.46604689872772181447e-002	0.00000000000000000000e+000	7.07200000574812293053e+000	1	1
1.30502398440000004484e+005	0.00000000000000000000e+000	1.30500000000000000000e+005	4.01710122819999987387e-002	0.00000000000000000000e+000	-5.42094192500000033874e+001	0.00000000000000000000e+000	2.34929858966560489719e-002	0.00000000000000000000e+000	-3.25851168698244042510e-002	0.00000000000000000000e+000	7.31700000574346631765e+000	1	1
1.35502000000000000000e+005	0.00000000000000000000e+000	1.35500000000000000000e+005	3.78071628509999979606e-002	0.00000000000000000000e+000	-5.40996627809999992564e+001	0.00000000000000000000e+000	2.21692559234779734689e-002	0.00000000000000000000e+000	-3.06252453809168836973e-002	0.00000000000000000000e+000	7.56600000569596886635e+000	1	1
1.40502250000000000000e+005	0.00000000000000000000e+000	1.40500000000000000000e+005	3.55354063210000029049e-002	0.00000000000000000000e+000	-5.39435539250000033462e+001	0.00000000000000000000e+000	2.09155004899939413188e-002	0.00000000000000000000e+000	-2.87281559041235728946e-002	0.00000000000000000000e+000	7.80900000571273267269e+000	1	1
1.45502843750000000000e+005	0.00000000000000000000e+000	1.45500000000000000000e+005	3.33785787220000004782e-002	0.00000000000000000000e+000	-5.37714462280000020655e+001	0.00000000000000000000e+000	1.97269991014364619308e-002	0.00000000000000000000e+000	-2.69253602381226524176e-002	0.00000000000000000000e+000	8.05300000577699393034e+000	1	1
1.50502140619999991031e+005	0.00000000000000000000e+000	1.50500000000000000000e+005	3.13500799239999974888e-002	0.00000000000000000000e+000	-5.35389938349999994216e+001	0.00000000000000000000e+000	1.86305869407134318261e-002	0.00000000000000000000e+000	-2.52136618023980352277e-002	0.00000000000000000000e+000	8.29800000577233731747e+000	1	1
1.55502921880000008969e+005	0.00000000000000000000e+000	1.55500000000000000000e+005	2.93869655580000013750e-002	0.00000000000000000000e+000	-5.32590141299999970670e+001	0.00000000000000000000e+000	1.75792401156687136399e-002	0.00000000000000000000e+000	-2.35491838852802323756e-002	0.00000000000000000000e+000	8.54400000569876283407e+000	1	1
1.60502812500000000000e+005	0.00000000000000000000e+000	1.60500000000000000000e+005	2.75324881079999986278e-002	0.00000000000000000000e+000	-5.29201278689999980998e+001	0.00000000000000000000e+000	1.66001017618924925912e-002	0.00000000000000000000e+000	-2.19653027047654186843e-002	0.00000000000000000000e+000	8.79000000574160367250e+000	1	1
1.65502781250000000000e+005	0.00000000000000000000e+000	1.65500000000000000000e+005	2.57232580330000008828e-002	0.00000000000000000000e+000	-5.25291442870000011567e+001	0.00000000000000000000e+000	1.56489449895169455140e-002	0.00000000000000000000e+000	-2.04155951308643349162e-002	0.00000000000000000000e+000	9.03700000571552664042e+000	1	1
1.70502750000000000000e+005	0.00000000000000000000e+000	1.70500000000000000000e+005	2.39695683119999988775e-002	0.00000000000000000000e+000	-5.20649604800000034288e+001	0.00000000000000000000e+000	1.47357155598381653339e-002	0.00000000000000000000e+000	-1.89049964824957832110e-002	0.00000000000000000000e+000	9.28400000568944960833e+000	1	1
1.75503031250000000000e+005	0.00000000000000000000e+000	1.75500000000000000000e+005	2.23015863449999990342e-002	0.00000000000000000000e+000	-5.15326309200000025612e+001	0.00000000000000000000e+000	1.38731219271570910961e-002	0.00000000000000000000e+000	-1.74613069813723716106e-002	0.00000000000000000000e+000	9.52700000570621341467e+000	1	1
1.80502625000000000000e+005	0.00000000000000000000e+000	1.80500000000000000000e+005	2.06953920420000006541e-002	0.00000000000000000000e+000	-5.09291267400000009502e+001	0.00000000000000000000e+000	1.30439171247919635799e-002	0.00000000000000000000e+000	-1.60672174882160595510e-002	0.00000000000000000000e+000	9.77100000577047467232e+000	1	1
1.85502953119999991031e+005	0.00000000000000000000e+000	1.85500000000000000000e+005	1.91534422339999996221e-002	0.00000000000000000000e+000	-5.02239074709999968604e+001	0.00000000000000000000e+000	1.22541631501048367547e-002	0.00000000000000000000e+000	-1.47203884086591803293e-002	0.00000000000000000000e+000	1.00140000056708231568e+001	1	1
1.90503125000000000000e+005	0.00000000000000000000e+000	1.90500000000000000000e+005	1.76493879409999991636e-002	0.00000000000000000000e+000	-4.93989944460000032223e+001	0.00000000000000000000e+000	1.14860020027220642580e-002	0.00000000000000000000e+000	-1.34004721068095543346e-002	0.00000000000000000000e+000	1.02600000057136639953e+001	1	1
1.95503203119999991031e+005	0.00000000000000000000e+000	1.95500000000000000000e+005	1.62052903320000010745e-002	0.00000000000000000000e+000	-4.84126243589999987194e+001	0.00000000000000000000e+000	1.07564468464878548737e-002	0.00000000000000000000e+000	-1.21206553446211885011e-002	0.00000000000000000000e+000	1.05060000057565048337e+001	1	1
2.00503625000000000000e+005	0.00000000000000000000e+000	2.00500000000000000000e+005	1.47964498029999995399e-002	0.00000000000000000000e+000	-4.72725944519999998761e+001	0.00000000000000000000e+000	1.00395557987966749930e-002	0.00000000000000000000e+000	-1.08693259282968759938e-002	0.00000000000000000000e+000	1.07570000056875869632e+001	1	1
2.05503390619999991031e+005	0.00000000000000000000e+000	2.05500000000000000000e+005	1.34204020719999993910e-002	0.00000000000000000000e+000	-4.58778457639999999174e+001	0.00000000000000000000e+000	9.34315546531123281015e-003	0.00000000000000000000e+000	-9.63393158192265251782e-003	0.00000000000000000000e+000	1.10010000057518482208e+001	1	1
2.10503937500000000000e+005	0.00000000000000000000e+000	2.10500000000000000000e+005	1.21148256589999996080e-002	0.00000000000000000000e+000	-4.42374305729999974801e+001	0.00000000000000000000e+000	8.67972760131353882063e-003	0.00000000000000000000e+000	-8.45170571630133628249e-003	0.00000000000000000000e+000	1.12460000057471916080e+001	1	1
2.15503968750000000000e+005	0.00000000000000000000e+000	2.15500000000000000000e+005	1.08487252150000004769e-002	0.00000000000000000000e+000	-4.22308349609999993390e+001	0.00000000000000000000e+000	8.03286260678207075792e-003	0.00000000000000000000e+000	-7.29163610797598470137e-003	0.00000000000000000000e+000	1.14920000056736171246e+001	1	1
2.20503562500000000000e+005	0.00000000000000000000e+000	2.20500000000000000000e+005	9.64109413330000060427e-003	0.00000000000000000000e+000	-3.97456207279999986781e+001	0.00000000000000000000e+000	7.41294772733499043871e-003	0.00000000000000000000e+000	-6.16432494916926716072e-003	0.00000000000000000000e+000	1.17380000057164579630e+001	1	1
2.25503187500000000000e+005	0.00000000000000000000e+000	2.25500000000000000000e+005	8.47562402489999977551e-003	0.00000000000000000000e+000	-3.66057014470000012807e+001	0.00000000000000000000e+000	6.80387624504062097502e-003	0.00000000000000000000e+000	-5.05405487243995154428e-003	0.00000000000000000000e+000	1.19840000057592988014e+001	1	1
