Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
5.00008087160000002314e+002	0.00000000000000000000e+000	5.00000000000000000000e+002	7.82666448500000076771e-003	0.00000000000000000000e+000	1.95663318629999984921e+001	0.00000000000000000000e+000	7.37470912721535729745e-003	0.00000000000000000000e+000	2.62113377181074714076e-003	0.00000000000000000000e+000	9.11999939009547233582e-001	1	1
4.50002099610000004759e+003	0.00000000000000000000e+000	4.50000000000000000000e+003	7.09806289519999966675e-003	0.00000000000000000000e+000	1.99148101810000000000e+001	0.00000000000000000000e+000	6.67359954414326050909e-003	0.00000000000000000000e+000	2.41776053169578215504e-003	0.00000000000000000000e+000	1.15699993900489062071e+000	1	1
8.50024218750000000000e+003	0.00000000000000000000e+000	8.50000000000000000000e+003	7.43910996240000014362e-003	0.00000000000000000000e+000	2.00583610529999987193e+001	0.00000000000000000000e+000	6.98788149524777121857e-003	0.00000000000000000000e+000	2.55144454006994052600e-003	0.00000000000000000000e+000	1.41299993894062936306e+000	1	1
1.25000400389999995241e+004	0.00000000000000000000e+000	1.25000000000000000000e+004	7.10925692689999989132e-003	0.00000000000000000000e+000	2.02210998539999984303e+001	0.00000000000000000000e+000	6.67108357091333783323e-003	0.00000000000000000000e+000	2.45727044554843203003e-003	0.00000000000000000000e+000	1.65799993893597275019e+000	1	1
1.65003242189999982656e+004	0.00000000000000000000e+000	1.65000000000000000000e+004	7.20830354839999999650e-003	0.00000000000000000000e+000	2.04551048279999996282e+001	0.00000000000000000000e+000	6.75379344921244514216e-003	0.00000000000000000000e+000	2.51910978150042064519e-003	0.00000000000000000000e+000	1.90399993897881358862e+000	1	1
2.04999179689999982656e+004	0.00000000000000000000e+000	2.05000000000000000000e+004	7.22949346529999994915e-003	0.00000000000000000000e+000	2.06595840449999990085e+001	0.00000000000000000000e+000	6.76458742956354257964e-003	0.00000000000000000000e+000	2.55067298425460829356e-003	0.00000000000000000000e+000	2.14999993902165442705e+000	1	1
2.45004140619999998307e+004	0.00000000000000000000e+000	2.45000000000000000000e+004	7.14263413100000004591e-003	0.00000000000000000000e+000	2.07937278749999983063e+001	0.00000000000000000000e+000	6.67739541611423598200e-003	0.00000000000000000000e+000	2.53566811436014205236e-003	0.00000000000000000000e+000	2.40499993890989571810e+000	1	1
2.85006367189999982656e+004	0.00000000000000000000e+000	2.85000000000000000000e+004	7.24742980669999987964e-003	0.00000000000000000000e+000	2.09609508509999997727e+001	0.00000000000000000000e+000	6.76782717220399294977e-003	0.00000000000000000000e+000	2.59263460021286152798e-003	0.00000000000000000000e+000	2.65199993900023400784e+000	1	1
3.25004609380000001693e+004	0.00000000000000000000e+000	3.25000000000000000000e+004	7.16020446269999971678e-003	0.00000000000000000000e+000	2.11382961270000002685e+001	0.00000000000000000000e+000	6.67841370272640941219e-003	0.00000000000000000000e+000	2.58211509482151420000e-003	0.00000000000000000000e+000	2.89699993899557739496e+000	1	1
3.65008125000000000000e+004	0.00000000000000000000e+000	3.65000000000000000000e+004	7.11889006199999986590e-003	0.00000000000000000000e+000	2.13326950070000016524e+001	0.00000000000000000000e+000	6.63113072516773038867e-003	0.00000000000000000000e+000	2.58972991267020918871e-003	0.00000000000000000000e+000	3.14299993892200291157e+000	1	1
