Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
5.00010467530000028091e+002	0.00000000000000000000e+000	5.00000000000000000000e+002	8.35473388430000019067e-002	0.00000000000000000000e+000	1.94542999270000009915e+001	0.00000000000000000000e+000	7.87774076447500248843e-002	0.00000000000000000000e+000	2.78258489990860467811e-002	0.00000000000000000000e+000	9.22000032383948564529e-001	1	1
1.00011315920000004098e+003	0.00000000000000000000e+000	1.00000000000000000000e+003	8.35677608849999947749e-002	0.00000000000000000000e+000	1.95805206299999987607e+001	0.00000000000000000000e+000	7.87351581814997036890e-002	0.00000000000000000000e+000	2.80061694179471257216e-002	0.00000000000000000000e+000	1.17000003240536898375e+000	1	1
1.49995715330000007270e+003	0.00000000000000000000e+000	1.50000000000000000000e+003	8.36245343090000065045e-002	0.00000000000000000000e+000	1.96243076320000007229e+001	0.00000000000000000000e+000	7.87672078536135744642e-002	0.00000000000000000000e+000	2.80854002168876987211e-002	0.00000000000000000000e+000	1.42000003240536898375e+000	1	1
1.99997692869999991672e+003	0.00000000000000000000e+000	2.00000000000000000000e+003	8.36528390649999981088e-002	0.00000000000000000000e+000	1.96426944729999988226e+001	0.00000000000000000000e+000	7.87848485103807977259e-002	0.00000000000000000000e+000	2.81201907680431323344e-002	0.00000000000000000000e+000	1.66800003242678940296e+000	1	1
2.50007421879999992598e+003	0.00000000000000000000e+000	2.50000000000000000000e+003	8.36752355100000011490e-002	0.00000000000000000000e+000	1.96387310030000001859e+001	0.00000000000000000000e+000	7.88078872074881864318e-002	0.00000000000000000000e+000	2.81222678947801937865e-002	0.00000000000000000000e+000	1.91800003242678940296e+000	1	1
3.00004956050000009782e+003	0.00000000000000000000e+000	3.00000000000000000000e+003	8.36846083399999940422e-002	0.00000000000000000000e+000	1.96499290470000005371e+001	0.00000000000000000000e+000	7.88112164105895934840e-002	0.00000000000000000000e+000	2.81408216102943357917e-002	0.00000000000000000000e+000	2.16400003246963024139e+000	1	1
3.49999560549999978321e+003	0.00000000000000000000e+000	3.50000000000000000000e+003	8.36756154890000020119e-002	0.00000000000000000000e+000	1.96514225009999989879e+001	0.00000000000000000000e+000	7.88020138024311117553e-002	0.00000000000000000000e+000	2.81398516013221487719e-002	0.00000000000000000000e+000	2.41200003237463533878e+000	1	1
4.00006518550000009782e+003	0.00000000000000000000e+000	4.00000000000000000000e+003	8.36609750990000011761e-002	0.00000000000000000000e+000	1.96531734470000003512e+001	0.00000000000000000000e+000	7.87873662933722684887e-002	0.00000000000000000000e+000	2.81373358203915006903e-002	0.00000000000000000000e+000	2.65700003236997872591e+000	1	1
4.50017675779999990482e+003	0.00000000000000000000e+000	4.50000000000000000000e+003	8.36513489479999983178e-002	0.00000000000000000000e+000	1.96518974300000017763e+001	0.00000000000000000000e+000	7.87789274532041255972e-002	0.00000000000000000000e+000	2.81323438437479020346e-002	0.00000000000000000000e+000	2.90200003248173743486e+000	1	1
5.00029394529999990482e+003	0.00000000000000000000e+000	5.00000000000000000000e+003	8.36335048079999976434e-002	0.00000000000000000000e+000	1.96515159610000011980e+001	0.00000000000000000000e+000	7.87623099372018881104e-002	0.00000000000000000000e+000	2.81258183849982801306e-002	0.00000000000000000000e+000	3.14600003242958337069e+000	1	1
5.50006933589999971446e+003	0.00000000000000000000e+000	5.50000000000000000000e+003	8.36047381159999991596e-002	0.00000000000000000000e+000	1.96533508300000008262e+001	0.00000000000000000000e+000	7.87343183019248160637e-002	0.00000000000000000000e+000	2.81186656329230968976e-002	0.00000000000000000000e+000	3.39000003237742930651e+000	1	1
6.00026806639999995241e+003	0.00000000000000000000e+000	6.00000000000000000000e+003	8.35803300140000038354e-002	0.00000000000000000000e+000	1.96503849029999990705e+001	0.00000000000000000000e+000	7.87127871391173489224e-002	0.00000000000000000000e+000	2.81063819450521230892e-002	0.00000000000000000000e+000	3.63600003242027014494e+000	1	1
6.49999121089999971446e+003	0.00000000000000000000e+000	6.50000000000000000000e+003	8.35626050829999938996e-002	0.00000000000000000000e+000	1.96655254359999993596e+001	0.00000000000000000000e+000	7.86886661266303633067e-002	0.00000000000000000000e+000	2.81212160382354747767e-002	0.00000000000000000000e+000	3.88300003239419311285e+000	1	1
6.99999560550000023795e+003	0.00000000000000000000e+000	7.00000000000000000000e+003	8.35331231360000037167e-002	0.00000000000000000000e+000	1.96752967830000002891e+001	0.00000000000000000000e+000	7.86561084619302325338e-002	0.00000000000000000000e+000	2.81247091092371448440e-002	0.00000000000000000000e+000	4.12800003238953649998e+000	1	1
7.49999902339999971446e+003	0.00000000000000000000e+000	7.50000000000000000000e+003	8.35071876649999961240e-002	0.00000000000000000000e+000	1.96853256230000006610e+001	0.00000000000000000000e+000	7.86267646922956670030e-002	0.00000000000000000000e+000	2.81297398804165044162e-002	0.00000000000000000000e+000	4.37600003241095691919e+000	1	1
8.00026269529999990482e+003	0.00000000000000000000e+000	8.00000000000000000000e+003	8.34849104289999977002e-002	0.00000000000000000000e+000	1.96885051729999993597e+001	0.00000000000000000000e+000	7.86042286825451574916e-002	0.00000000000000000000e+000	2.81265977779093998001e-002	0.00000000000000000000e+000	4.62000003247521817684e+000	1	1
8.50050097660000028554e+003	0.00000000000000000000e+000	8.50000000000000000000e+003	8.34612920880000025425e-002	0.00000000000000000000e+000	1.96941356660000010947e+001	0.00000000000000000000e+000	7.85792274970613102703e-002	0.00000000000000000000e+000	2.81263627752245393143e-002	0.00000000000000000000e+000	4.86700003244914114475e+000	1	1
9.00029394529999990482e+003	0.00000000000000000000e+000	9.00000000000000000000e+003	8.34347829220000031247e-002	0.00000000000000000000e+000	1.97044639590000016938e+001	0.00000000000000000000e+000	7.85491991831312186267e-002	0.00000000000000000000e+000	2.81315891646746647770e-002	0.00000000000000000000e+000	5.11000003246590495110e+000	1	1
9.49968164059999980964e+003	0.00000000000000000000e+000	9.50000000000000000000e+003	8.34178328510000038909e-002	0.00000000000000000000e+000	1.97200145720000001859e+001	0.00000000000000000000e+000	7.85256051169033741921e-002	0.00000000000000000000e+000	2.81471877561779472432e-002	0.00000000000000000000e+000	5.35900003241840749979e+000	1	1
9.99989843750000000000e+003	0.00000000000000000000e+000	1.00000000000000000000e+004	8.33921805019999934361e-002	0.00000000000000000000e+000	1.97352333070000014459e+001	0.00000000000000000000e+000	7.84939803655775730773e-002	0.00000000000000000000e+000	2.81593823662109228601e-002	0.00000000000000000000e+000	5.60500003246124833822e+000	1	1
1.05001640619999998307e+004	0.00000000000000000000e+000	1.05000000000000000000e+004	8.33689272400000014329e-002	0.00000000000000000000e+000	1.97394847869999985335e+001	0.00000000000000000000e+000	7.84700038036782177020e-002	0.00000000000000000000e+000	2.81573530751585664189e-002	0.00000000000000000000e+000	5.85000003245659172535e+000	1	1
1.09995878909999992175e+004	0.00000000000000000000e+000	1.10000000000000000000e+004	8.33443626759999972586e-002	0.00000000000000000000e+000	1.97582321169999985955e+001	0.00000000000000000000e+000	7.84376680576967244551e-002	0.00000000000000000000e+000	2.81747230605591779395e-002	0.00000000000000000000e+000	6.09500003245193511248e+000	1	1
1.14997607420000003913e+004	0.00000000000000000000e+000	1.15000000000000000000e+004	8.33287090060000068537e-002	0.00000000000000000000e+000	1.97711772920000008469e+001	0.00000000000000000000e+000	7.84165694710510924326e-002	0.00000000000000000000e+000	2.81871491463476057937e-002	0.00000000000000000000e+000	6.33900003239978104830e+000	1	1
1.19999042969999991328e+004	0.00000000000000000000e+000	1.20000000000000000000e+004	8.33072960379999949421e-002	0.00000000000000000000e+000	1.97854938509999982443e+001	0.00000000000000000000e+000	7.83893749839060655082e-002	0.00000000000000000000e+000	2.81994940166580033980e-002	0.00000000000000000000e+000	6.58300003246404230595e+000	1	1
1.25003759769999996934e+004	0.00000000000000000000e+000	1.25000000000000000000e+004	8.32844376559999932663e-002	0.00000000000000000000e+000	1.97661285400000004131e+001	0.00000000000000000000e+000	7.83773900232966752588e-002	0.00000000000000000000e+000	2.81652674195041891059e-002	0.00000000000000000000e+000	6.83100003236904740334e+000	1	1
1.30003505860000004759e+004	0.00000000000000000000e+000	1.30000000000000000000e+004	8.32724571229999932509e-002	0.00000000000000000000e+000	1.98027420039999988433e+001	0.00000000000000000000e+000	7.83481036390681756520e-002	0.00000000000000000000e+000	2.82112880149720107736e-002	0.00000000000000000000e+000	7.07800003245938569307e+000	1	1
1.35000771480000003066e+004	0.00000000000000000000e+000	1.35000000000000000000e+004	8.33211913700000056382e-002	0.00000000000000000000e+000	1.98171691890000012393e+001	0.00000000000000000000e+000	7.83868456671256569335e-002	0.00000000000000000000e+000	2.82475371966192309592e-002	0.00000000000000000000e+000	7.32500003243330866098e+000	1	1
1.40003173829999996087e+004	0.00000000000000000000e+000	1.40000000000000000000e+004	8.32932442429999975175e-002	0.00000000000000000000e+000	1.98341712950000008675e+001	0.00000000000000000000e+000	7.83521707011416851385e-002	0.00000000000000000000e+000	2.82613142465669153758e-002	0.00000000000000000000e+000	7.56900003238115459681e+000	1	1
1.45003056639999995241e+004	0.00000000000000000000e+000	1.45000000000000000000e+004	8.32766070960000021062e-002	0.00000000000000000000e+000	1.98455677030000003924e+001	0.00000000000000000000e+000	7.83308987543958890054e-002	0.00000000000000000000e+000	2.82712502332340825939e-002	0.00000000000000000000e+000	7.81500003242399543524e+000	1	1
1.50001191409999992175e+004	0.00000000000000000000e+000	1.50000000000000000000e+004	8.32685530190000050554e-002	0.00000000000000000000e+000	1.98787784579999993184e+001	0.00000000000000000000e+000	7.83069243656685232136e-002	0.00000000000000000000e+000	2.83139103316282295109e-002	0.00000000000000000000e+000	8.05800003244075924158e+000	1	1
1.55000361329999996087e+004	0.00000000000000000000e+000	1.55000000000000000000e+004	8.32549929619999934394e-002	0.00000000000000000000e+000	1.98802833559999996282e+001	0.00000000000000000000e+000	7.82934287136006767938e-002	0.00000000000000000000e+000	2.83113559083806101691e-002	0.00000000000000000000e+000	8.30600003246217966080e+000	1	1
1.60000390619999998307e+004	0.00000000000000000000e+000	1.60000000000000000000e+004	8.32308679819999952532e-002	0.00000000000000000000e+000	1.99115104679999994630e+001	0.00000000000000000000e+000	7.82553041645359936940e-002	0.00000000000000000000e+000	2.83458066590645402227e-002	0.00000000000000000000e+000	8.55100003245752304792e+000	1	1
1.65003085939999982656e+004	0.00000000000000000000e+000	1.65000000000000000000e+004	8.32195356490000037741e-002	0.00000000000000000000e+000	1.99101295470000003718e+001	0.00000000000000000000e+000	7.82453323455227500727e-002	0.00000000000000000000e+000	2.83400613932622523483e-002	0.00000000000000000000e+000	8.79600003245286643505e+000	1	1
1.70006328119999998307e+004	0.00000000000000000000e+000	1.70000000000000000000e+004	8.32130536440000012632e-002	0.00000000000000000000e+000	1.99221096039999991945e+001	0.00000000000000000000e+000	7.82333108705248053694e-002	0.00000000000000000000e+000	2.83542125088151013290e-002	0.00000000000000000000e+000	9.03900003246963024139e+000	1	1
1.75000664060000017344e+004	0.00000000000000000000e+000	1.75000000000000000000e+004	8.32082480189999945663e-002	0.00000000000000000000e+000	1.99278430939999999794e+001	0.00000000000000000000e+000	7.82259552449391243334e-002	0.00000000000000000000e+000	2.83604031072937669278e-002	0.00000000000000000000e+000	9.28200003236997872591e+000	1	1
1.80004511720000009518e+004	0.00000000000000000000e+000	1.80000000000000000000e+004	8.31951424479999979145e-002	0.00000000000000000000e+000	1.99549274439999990705e+001	0.00000000000000000000e+000	7.82002214980761639618e-002	0.00000000000000000000e+000	2.83929055328058579932e-002	0.00000000000000000000e+000	9.53000003239139914513e+000	1	1
1.85002578119999998307e+004	0.00000000000000000000e+000	1.85000000000000000000e+004	8.31859782339999936918e-002	0.00000000000000000000e+000	1.99834194180000004337e+001	0.00000000000000000000e+000	7.81774801902567623157e-002	0.00000000000000000000e+000	2.84286574753281999495e-002	0.00000000000000000000e+000	9.77500003238674253225e+000	1	1
1.90004433590000007825e+004	0.00000000000000000000e+000	1.90000000000000000000e+004	8.31850469109999962614e-002	0.00000000000000000000e+000	1.99982872010000001239e+001	0.00000000000000000000e+000	7.81692253889844368420e-002	0.00000000000000000000e+000	2.84486244249422468022e-002	0.00000000000000000000e+000	1.00210000324295833707e+001	1	1
