Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
4.99998107909999987442e+002	0.00000000000000000000e+000	5.00000000000000000000e+002	4.41550546380000026592e-005	0.00000000000000000000e+000	1.09734054569999997852e+002	0.00000000000000000000e+000	-1.49091636985818020952e-005	0.00000000000000000000e+000	4.15618296985786715844e-005	0.00000000000000000000e+000	9.13000041968189179897e-001	1	1
1.50003723140000010972e+003	0.00000000000000000000e+000	1.50000000000000000000e+003	1.33100882520000013539e-004	0.00000000000000000000e+000	1.09618049619999993638e+002	0.00000000000000000000e+000	-4.46883942743794580006e-005	0.00000000000000000000e+000	1.25374608054344298174e-004	0.00000000000000000000e+000	1.16100004198960959911e+000	1	1
2.49999951169999985723e+003	0.00000000000000000000e+000	2.50000000000000000000e+003	2.21713125940000002146e-004	0.00000000000000000000e+000	1.09691215520000000083e+002	0.00000000000000000000e+000	-7.47064327244812060626e-005	0.00000000000000000000e+000	2.08747836213142253826e-004	0.00000000000000000000e+000	1.41200004192069172859e+000	1	1
3.49973828120000007402e+003	0.00000000000000000000e+000	3.50000000000000000000e+003	3.10302159049999988667e-004	0.00000000000000000000e+000	1.09633995060000003718e+002	0.00000000000000000000e+000	-1.04264760915475000551e-004	0.00000000000000000000e+000	2.92260653428288769053e-004	0.00000000000000000000e+000	1.66100004198960959911e+000	1	1
4.50019970699999976205e+003	0.00000000000000000000e+000	4.50000000000000000000e+003	3.99016134909999976594e-004	0.00000000000000000000e+000	1.09658424379999999587e+002	0.00000000000000000000e+000	-1.34233807337592111076e-004	0.00000000000000000000e+000	3.75759445504926113592e-004	0.00000000000000000000e+000	1.90800004196353256702e+000	1	1
5.50017578119999961928e+003	0.00000000000000000000e+000	5.50000000000000000000e+003	4.87372366480000015002e-004	0.00000000000000000000e+000	1.09642715449999997190e+002	0.00000000000000000000e+000	-1.63832060009437644734e-004	0.00000000000000000000e+000	4.59010762097556378452e-004	0.00000000000000000000e+000	2.15400004200637340546e+000	1	1
6.50027490229999966687e+003	0.00000000000000000000e+000	6.50000000000000000000e+003	5.75544603630000033145e-004	0.00000000000000000000e+000	1.09630676269999995043e+002	0.00000000000000000000e+000	-1.93357588190261103691e-004	0.00000000000000000000e+000	5.42092643241779488690e-004	0.00000000000000000000e+000	2.40100004198029637337e+000	1	1
7.50006640619999961928e+003	0.00000000000000000000e+000	7.50000000000000000000e+003	6.63557380899999966518e-004	0.00000000000000000000e+000	1.09623901369999998678e+002	0.00000000000000000000e+000	-2.22852094313120329067e-004	0.00000000000000000000e+000	6.25016273233844452291e-004	0.00000000000000000000e+000	2.64900004200171679258e+000	1	1
8.49998046880000038072e+003	0.00000000000000000000e+000	8.50000000000000000000e+003	7.52132327759999995929e-004	0.00000000000000000000e+000	1.09625068659999996612e+002	0.00000000000000000000e+000	-2.52613935887840642975e-004	0.00000000000000000000e+000	7.08441414555169789689e-004	0.00000000000000000000e+000	2.89600004197563976049e+000	1	1
9.50028613279999990482e+003	0.00000000000000000000e+000	9.50000000000000000000e+003	8.40371416419999957975e-004	0.00000000000000000000e+000	1.09651664729999993142e+002	0.00000000000000000000e+000	-2.82617642016547165624e-004	0.00000000000000000000e+000	7.91423645057919488907e-004	0.00000000000000000000e+000	3.14500004192814230919e+000	1	1
