Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.00003167719999999008e+003	0.00000000000000000000e+000	1.00000000000000000000e+003	8.79720173539999956676e-005	0.00000000000000000000e+000	1.09515106200000005288e+002	0.00000000000000000000e+000	-2.93875227910213922830e-005	0.00000000000000000000e+000	8.29183293460479325324e-005	0.00000000000000000000e+000	7.17999967630021274090e-001	1	1
3.00009375000000000000e+003	0.00000000000000000000e+000	3.00000000000000000000e+003	2.63124878980000001701e-004	0.00000000000000000000e+000	1.09612503050000000826e+002	0.00000000000000000000e+000	-8.83197354536229754622e-005	0.00000000000000000000e+000	2.47859488960260911355e-004	0.00000000000000000000e+000	9.17999967583455145359e-001	1	1
5.00000439449999976205e+003	0.00000000000000000000e+000	5.00000000000000000000e+003	4.39822440970000021979e-004	0.00000000000000000000e+000	1.09605529790000005619e+002	0.00000000000000000000e+000	-1.47579103049197814333e-004	0.00000000000000000000e+000	4.14323771854818148543e-004	0.00000000000000000000e+000	1.11599996755830943584e+000	1	1
7.00006201169999985723e+003	0.00000000000000000000e+000	7.00000000000000000000e+003	6.15496770479999994949e-004	0.00000000000000000000e+000	1.09671607969999996612e+002	0.00000000000000000000e+000	-2.07193850165135441069e-004	0.00000000000000000000e+000	5.79574829444013382186e-004	0.00000000000000000000e+000	1.31399996753316372633e+000	1	1
9.00019042970000009518e+003	0.00000000000000000000e+000	9.00000000000000000000e+003	7.90509453509999956283e-004	0.00000000000000000000e+000	1.09672966000000002396e+002	0.00000000000000000000e+000	-2.66125777439672295092e-004	0.00000000000000000000e+000	7.44367024169400432441e-004	0.00000000000000000000e+000	1.51299996755551546812e+000	1	1
1.10003867190000000846e+004	0.00000000000000000000e+000	1.10000000000000000000e+004	9.64890990870000023021e-004	0.00000000000000000000e+000	1.09722923280000003388e+002	0.00000000000000000000e+000	-3.25623567553570475094e-004	0.00000000000000000000e+000	9.08286252519422267031e-004	0.00000000000000000000e+000	1.70999996759928762913e+000	1	1
1.30006337889999995241e+004	0.00000000000000000000e+000	1.30000000000000000000e+004	1.13957666329999999545e-003	0.00000000000000000000e+000	1.09740829469999994217e+002	0.00000000000000000000e+000	-3.84910299242927880954e-004	0.00000000000000000000e+000	1.07260385654475492653e-003	0.00000000000000000000e+000	1.90599996759556233883e+000	1	1
1.50005732420000003913e+004	0.00000000000000000000e+000	1.50000000000000000000e+004	1.31459278049999997787e-003	0.00000000000000000000e+000	1.09800132750000003057e+002	0.00000000000000000000e+000	-4.45305249747913762387e-004	0.00000000000000000000e+000	1.23687404900000609553e-003	0.00000000000000000000e+000	2.10199996759183704853e+000	1	1
1.70000937500000000000e+004	0.00000000000000000000e+000	1.70000000000000000000e+004	1.48882518990000006602e-003	0.00000000000000000000e+000	1.09832542419999995786e+002	0.00000000000000000000e+000	-5.05117040924829303200e-004	0.00000000000000000000e+000	1.40052033939108352967e-003	0.00000000000000000000e+000	2.29799996758811175823e+000	1	1
1.90003886720000009518e+004	0.00000000000000000000e+000	1.90000000000000000000e+004	1.66303152219999996614e-003	0.00000000000000000000e+000	1.09885490419999996448e+002	0.00000000000000000000e+000	-5.65665853614807554416e-004	0.00000000000000000000e+000	1.56387211302109986263e-003	0.00000000000000000000e+000	2.49199996760580688715e+000	1	1
