Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
5.00008728029999986120e+002	0.00000000000000000000e+000	5.00000000000000000000e+002	5.33633174199999970309e-005	0.00000000000000000000e+000	1.15273262020000004213e+002	0.00000000000000000000e+000	-2.27827149592653950614e-005	0.00000000000000000000e+000	4.82554820217614247892e-005	0.00000000000000000000e+000	9.08000001916661858559e-001	1	1
4.50007568360000004759e+003	0.00000000000000000000e+000	4.50000000000000000000e+003	4.00822289519999993591e-004	0.00000000000000000000e+000	1.09627593989999994051e+002	0.00000000000000000000e+000	-1.34638291562050782437e-004	0.00000000000000000000e+000	3.77532830653582894206e-004	0.00000000000000000000e+000	1.15600000193808227777e+000	1	1
8.50027734380000038072e+003	0.00000000000000000000e+000	8.50000000000000000000e+003	7.55278102590000040804e-004	0.00000000000000000000e+000	1.09649818420000002561e+002	0.00000000000000000000e+000	-2.53977765418945304957e-004	0.00000000000000000000e+000	7.11294810134834227557e-004	0.00000000000000000000e+000	1.41000000189524143934e+000	1	1
1.25004394530000008672e+004	0.00000000000000000000e+000	1.25000000000000000000e+004	1.10778782980000003143e-003	0.00000000000000000000e+000	1.09739601140000004875e+002	0.00000000000000000000e+000	-3.74150757219260615780e-004	0.00000000000000000000e+000	1.04269127105066335484e-003	0.00000000000000000000e+000	1.66200000187382102013e+000	1	1
1.65000703119999998307e+004	0.00000000000000000000e+000	1.65000000000000000000e+004	1.46061484699999992107e-003	0.00000000000000000000e+000	1.09797126770000005536e+002	0.00000000000000000000e+000	-4.94696674323374138531e-004	0.00000000000000000000e+000	1.37428924600690462697e-003	0.00000000000000000000e+000	1.90800000191666185856e+000	1	1
2.05003183590000007825e+004	0.00000000000000000000e+000	2.05000000000000000000e+004	1.81320938279999990285e-003	0.00000000000000000000e+000	1.09881553650000000744e+002	0.00000000000000000000e+000	-6.16630401988356620369e-004	0.00000000000000000000e+000	1.70513788686359147803e-003	0.00000000000000000000e+000	2.15300000191200524569e+000	1	1
2.45006406250000000000e+004	0.00000000000000000000e+000	2.45000000000000000000e+004	2.16452358290000019744e-003	0.00000000000000000000e+000	1.09884277339999997025e+002	0.00000000000000000000e+000	-7.36200964765209458530e-004	0.00000000000000000000e+000	2.03547794888793345119e-003	0.00000000000000000000e+000	2.40200000186450779438e+000	1	1
2.85007968750000000000e+004	0.00000000000000000000e+000	2.85000000000000000000e+004	2.51560797909999986008e-003	0.00000000000000000000e+000	1.09924621579999993060e+002	0.00000000000000000000e+000	-8.57277832117487258688e-004	0.00000000000000000000e+000	2.36502816538651950556e-003	0.00000000000000000000e+000	2.64700000185985118151e+000	1	1
3.25007500000000000000e+004	0.00000000000000000000e+000	3.25000000000000000000e+004	2.86485720429999982800e-003	0.00000000000000000000e+000	1.09977706909999994878e+002	0.00000000000000000000e+000	-9.78791251767216355720e-004	0.00000000000000000000e+000	2.69246624611963825471e-003	0.00000000000000000000e+000	2.89600000192876905203e+000	1	1
3.65006835940000019036e+004	0.00000000000000000000e+000	3.65000000000000000000e+004	3.21384496060000014045e-003	0.00000000000000000000e+000	1.10042678829999999834e+002	0.00000000000000000000e+000	-1.10144888567482697808e-003	0.00000000000000000000e+000	3.01920681355545734992e-003	0.00000000000000000000e+000	3.13900000194553285837e+000	1	1
4.05006640620000034687e+004	0.00000000000000000000e+000	4.05000000000000000000e+004	3.56555148029999999584e-003	0.00000000000000000000e+000	1.10121360780000003388e+002	0.00000000000000000000e+000	-1.22658447056252142143e-003	0.00000000000000000000e+000	3.34793188330413616846e-003	0.00000000000000000000e+000	3.38700000185053795576e+000	1	1
4.45004257809999980964e+004	0.00000000000000000000e+000	4.45000000000000000000e+004	3.91511991620000030651e-003	0.00000000000000000000e+000	1.10195274350000005370e+002	0.00000000000000000000e+000	-1.35158068025814474822e-003	0.00000000000000000000e+000	3.67442425734683343272e-003	0.00000000000000000000e+000	3.63400000194087624550e+000	1	1
4.85005781250000000000e+004	0.00000000000000000000e+000	4.85000000000000000000e+004	4.26378427070000023957e-003	0.00000000000000000000e+000	1.10268218989999994051e+002	0.00000000000000000000e+000	-1.47704026134773663131e-003	0.00000000000000000000e+000	3.99977604040858015361e-003	0.00000000000000000000e+000	3.88100000191479921341e+000	1	1
5.25007812500000000000e+004	0.00000000000000000000e+000	5.25000000000000000000e+004	4.61627263579999971149e-003	0.00000000000000000000e+000	1.10358940119999999752e+002	0.00000000000000000000e+000	-1.60600236984230829163e-003	0.00000000000000000000e+000	4.32790127383894576013e-003	0.00000000000000000000e+000	4.12600000191014260054e+000	1	1
5.65009843750000000000e+004	0.00000000000000000000e+000	5.65000000000000000000e+004	4.96582500640000042147e-003	0.00000000000000000000e+000	1.10412643430000002809e+002	0.00000000000000000000e+000	-1.73197467324193534778e-003	0.00000000000000000000e+000	4.65399631772910396532e-003	0.00000000000000000000e+000	4.37000000185798853636e+000	1	1
6.05012382809999980964e+004	0.00000000000000000000e+000	6.05000000000000000000e+004	5.31479390339999972076e-003	0.00000000000000000000e+000	1.10464210510000000909e+002	0.00000000000000000000e+000	-1.85816991095807786116e-003	0.00000000000000000000e+000	4.97938136896822289984e-003	0.00000000000000000000e+000	4.61800000187940895557e+000	1	1
6.45007304690000019036e+004	0.00000000000000000000e+000	6.45000000000000000000e+004	5.66772837189999986046e-003	0.00000000000000000000e+000	1.10525024410000000330e+002	0.00000000000000000000e+000	-1.98719861102687788204e-003	0.00000000000000000000e+000	5.30793618819716712942e-003	0.00000000000000000000e+000	4.86400000192224979401e+000	1	1
6.85013203119999961928e+004	0.00000000000000000000e+000	6.85000000000000000000e+004	6.01696362719999957441e-003	0.00000000000000000000e+000	1.10579879759999997191e+002	0.00000000000000000000e+000	-2.11504024401375657211e-003	0.00000000000000000000e+000	5.63297932334657237147e-003	0.00000000000000000000e+000	5.10800000187009572983e+000	1	1
7.25015312500000000000e+004	0.00000000000000000000e+000	7.25000000000000000000e+004	6.36696582659999985726e-003	0.00000000000000000000e+000	1.10639373779999999670e+002	0.00000000000000000000e+000	-2.24425865389722830820e-003	0.00000000000000000000e+000	5.95831829726304728484e-003	0.00000000000000000000e+000	5.35300000186543911695e+000	1	1
