Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
5.00009185790000003635e+002	0.00000000000000000000e+000	5.00000000000000000000e+002	1.26521617860000006793e-005	0.00000000000000000000e+000	1.10268348689999996282e+002	0.00000000000000000000e+000	-4.38292974514556071364e-006	0.00000000000000000000e+000	1.18687457091403305665e-005	0.00000000000000000000e+000	9.18999891262501478195e-001	1	1
4.50008740229999966687e+003	0.00000000000000000000e+000	4.50000000000000000000e+003	1.06879117079999996364e-004	0.00000000000000000000e+000	1.09420448300000003883e+002	0.00000000000000000000e+000	-3.55370613431169691870e-005	0.00000000000000000000e+000	1.00798129639869253377e-004	0.00000000000000000000e+000	1.16699989128392189741e+000	1	1
8.50000585940000019036e+003	0.00000000000000000000e+000	8.50000000000000000000e+003	2.01090006159999987612e-004	0.00000000000000000000e+000	1.09408874510000003966e+002	0.00000000000000000000e+000	-6.68236553639087242596e-005	0.00000000000000000000e+000	1.89662304270601933531e-004	0.00000000000000000000e+000	1.42199989128857851028e+000	1	1
1.24999892579999996087e+004	0.00000000000000000000e+000	1.25000000000000000000e+004	2.94685683910000017962e-004	0.00000000000000000000e+000	1.09425552370000005453e+002	0.00000000000000000000e+000	-9.80070715968412608425e-005	0.00000000000000000000e+000	2.77910536357504932888e-004	0.00000000000000000000e+000	1.67199989128857851028e+000	1	1
1.65001875000000000000e+004	0.00000000000000000000e+000	1.65000000000000000000e+004	3.88181273590000022657e-004	0.00000000000000000000e+000	1.09492866520000006858e+002	0.00000000000000000000e+000	-1.29532001310797301868e-004	0.00000000000000000000e+000	3.65931908696650915087e-004	0.00000000000000000000e+000	1.93299989122897386551e+000	1	1
2.04998984380000001693e+004	0.00000000000000000000e+000	2.05000000000000000000e+004	4.81403287269999982049e-004	0.00000000000000000000e+000	1.09553627009999999586e+002	0.00000000000000000000e+000	-1.61120367639517545486e-004	0.00000000000000000000e+000	4.53640113003765199726e-004	0.00000000000000000000e+000	2.17699989129323512316e+000	1	1
2.44999023439999982656e+004	0.00000000000000000000e+000	2.45000000000000000000e+004	5.74232195500000018769e-004	0.00000000000000000000e+000	1.09547309880000000248e+002	0.00000000000000000000e+000	-1.92129517095931831800e-004	0.00000000000000000000e+000	5.41136639869482707205e-004	0.00000000000000000000e+000	2.42599989124573767185e+000	1	1
2.85004531250000000000e+004	0.00000000000000000000e+000	2.85000000000000000000e+004	6.66764739440000035915e-004	0.00000000000000000000e+000	1.09579139710000006858e+002	0.00000000000000000000e+000	-2.23438552896107706178e-004	0.00000000000000000000e+000	6.28212090651067010978e-004	0.00000000000000000000e+000	2.67099989124108105898e+000	1	1
3.25006718750000000000e+004	0.00000000000000000000e+000	3.25000000000000000000e+004	7.58768524970000030581e-004	0.00000000000000000000e+000	1.09620071409999994216e+002	0.00000000000000000000e+000	-2.54780458224686517238e-004	0.00000000000000000000e+000	7.14714343351221885990e-004	0.00000000000000000000e+000	2.91699989128392189741e+000	1	1
3.65006406250000000000e+004	0.00000000000000000000e+000	3.65000000000000000000e+004	8.50546930450000017790e-004	0.00000000000000000000e+000	1.09687629700000002231e+002	0.00000000000000000000e+000	-2.86542417376358445492e-004	0.00000000000000000000e+000	8.00826775240457366077e-004	0.00000000000000000000e+000	3.16499989130534231663e+000	1	1
4.05008359379999965313e+004	0.00000000000000000000e+000	4.05000000000000000000e+004	9.42957878580000003095e-004	0.00000000000000000000e+000	1.09760566710000006196e+002	0.00000000000000000000e+000	-3.18804871353720574185e-004	0.00000000000000000000e+000	8.87430568989615005740e-004	0.00000000000000000000e+000	3.41299989132676273584e+000	1	1
4.45003046879999965313e+004	0.00000000000000000000e+000	4.45000000000000000000e+004	1.03474745989999995094e-003	0.00000000000000000000e+000	1.09836265560000001074e+002	0.00000000000000000000e+000	-3.51124327454050279111e-004	0.00000000000000000000e+000	9.73351946851416620354e-004	0.00000000000000000000e+000	3.66199989127926528454e+000	1	1
4.85000859379999965313e+004	0.00000000000000000000e+000	4.85000000000000000000e+004	1.12613872619999992597e-003	0.00000000000000000000e+000	1.09909790040000004296e+002	0.00000000000000000000e+000	-3.83495484564043160464e-004	0.00000000000000000000e+000	1.05882937434052522112e-003	0.00000000000000000000e+000	3.91299989132676273584e+000	1	1
5.25009765620000034687e+004	0.00000000000000000000e+000	5.25000000000000000000e+004	1.21873617169999991575e-003	0.00000000000000000000e+000	1.10006164549999994051e+002	0.00000000000000000000e+000	-4.16955498232763580469e-004	0.00000000000000000000e+000	1.14519254656299598882e-003	0.00000000000000000000e+000	4.15599989122711122036e+000	1	1
5.65006054690000019036e+004	0.00000000000000000000e+000	5.65000000000000000000e+004	1.31031940689999991563e-003	0.00000000000000000000e+000	1.10064025880000002644e+002	0.00000000000000000000e+000	-4.49531239571609596457e-004	0.00000000000000000000e+000	1.23079592652396260961e-003	0.00000000000000000000e+000	4.39999989129137247801e+000	1	1
6.05011718750000000000e+004	0.00000000000000000000e+000	6.05000000000000000000e+004	1.40171882229999994127e-003	0.00000000000000000000e+000	1.10122062679999999091e+002	0.00000000000000000000e+000	-4.82221064149406994630e-004	0.00000000000000000000e+000	1.31616051531745627094e-003	0.00000000000000000000e+000	4.64799989131279289722e+000	1	1
6.45010039059999980964e+004	0.00000000000000000000e+000	6.45000000000000000000e+004	1.49425666310000005224e-003	0.00000000000000000000e+000	1.10188705440000006774e+002	0.00000000000000000000e+000	-5.15687637274175945772e-004	0.00000000000000000000e+000	1.40245115279688981232e-003	0.00000000000000000000e+000	4.89599989133421331644e+000	1	1
6.85009218750000000000e+004	0.00000000000000000000e+000	6.85000000000000000000e+004	1.58575922249999993162e-003	0.00000000000000000000e+000	1.10249671939999998926e+002	0.00000000000000000000e+000	-5.48849748057696532576e-004	0.00000000000000000000e+000	1.48774872401249524771e-003	0.00000000000000000000e+000	5.14399989123921841383e+000	1	1
7.25012656250000000000e+004	0.00000000000000000000e+000	7.25000000000000000000e+004	1.67720229360000003087e-003	0.00000000000000000000e+000	1.10318267820000002644e+002	0.00000000000000000000e+000	-5.82382723966890229923e-004	0.00000000000000000000e+000	1.57284388814720116692e-003	0.00000000000000000000e+000	5.39099989132955670357e+000	1	1
7.65013671880000038072e+004	0.00000000000000000000e+000	7.65000000000000000000e+004	1.76978798120000003526e-003	0.00000000000000000000e+000	1.10379714969999994878e+002	0.00000000000000000000e+000	-6.16311247677186948429e-004	0.00000000000000000000e+000	1.65900872342087486386e-003	0.00000000000000000000e+000	5.64299989130813628435e+000	1	1
8.05014843750000000000e+004	0.00000000000000000000e+000	8.05000000000000000000e+004	1.86068378389999994522e-003	0.00000000000000000000e+000	1.10432197569999999587e+002	0.00000000000000000000e+000	-6.49562235072209540401e-004	0.00000000000000000000e+000	1.74362067160160070026e-003	0.00000000000000000000e+000	5.88599989132490009069e+000	1	1
8.45015078119999961928e+004	0.00000000000000000000e+000	8.45000000000000000000e+004	1.95251521649999993865e-003	0.00000000000000000000e+000	1.10492042539999999917e+002	0.00000000000000000000e+000	-6.83531173982376599914e-004	0.00000000000000000000e+000	1.82896167397196053074e-003	0.00000000000000000000e+000	6.13399989122990518808e+000	1	1
