Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.00002508539999996628e+003	0.00000000000000000000e+000	1.00000000000000000000e+003	9.41713631619999955689e-004	0.00000000000000000000e+000	1.09081588749999994548e+002	0.00000000000000000000e+000	-3.07859562667605983748e-004	0.00000000000000000000e+000	8.89970254364177851616e-004	0.00000000000000000000e+000	9.13999900803901255131e-001	1	1
2.00008129880000001322e+003	0.00000000000000000000e+000	2.00000000000000000000e+003	1.87928869850000003668e-003	0.00000000000000000000e+000	1.09064559939999995208e+002	0.00000000000000000000e+000	-6.13838291064919901359e-004	0.00000000000000000000e+000	1.77621185806545113690e-003	0.00000000000000000000e+000	1.16299990087281912565e+000	1	1
3.00006030270000019300e+003	0.00000000000000000000e+000	3.00000000000000000000e+003	2.81784869729999982654e-003	0.00000000000000000000e+000	1.08983680730000003223e+002	0.00000000000000000000e+000	-9.16642808974631488270e-004	0.00000000000000000000e+000	2.66458950715310052479e-003	0.00000000000000000000e+000	1.41599990078248083591e+000	1	1
4.00009912110000004759e+003	0.00000000000000000000e+000	4.00000000000000000000e+003	3.75617621469999992539e-003	0.00000000000000000000e+000	1.08901535030000005122e+002	0.00000000000000000000e+000	-1.21678599346773533632e-003	0.00000000000000000000e+000	3.55363076331500094690e-003	0.00000000000000000000e+000	1.66499990085139870644e+000	1	1
5.00008593750000000000e+003	0.00000000000000000000e+000	5.00000000000000000000e+003	4.69606928530000040239e-003	0.00000000000000000000e+000	1.08812500000000000000e+002	0.00000000000000000000e+000	-1.51435171735455590021e-003	0.00000000000000000000e+000	4.44520028890525546739e-003	0.00000000000000000000e+000	1.91599990078248083591e+000	1	1
6.00017968750000000000e+003	0.00000000000000000000e+000	6.00000000000000000000e+003	5.63737330960000036090e-003	0.00000000000000000000e+000	1.08728546140000005948e+002	0.00000000000000000000e+000	-1.81007512480718191564e-003	0.00000000000000000000e+000	5.33887683640901430926e-003	0.00000000000000000000e+000	2.16299990087281912565e+000	1	1
7.00035693360000004759e+003	0.00000000000000000000e+000	7.00000000000000000000e+003	6.58257864420000015498e-003	0.00000000000000000000e+000	1.08650268550000006940e+002	0.00000000000000000000e+000	-2.10504731405760986060e-003	0.00000000000000000000e+000	6.23691569709393725529e-003	0.00000000000000000000e+000	2.41099990077782422304e+000	1	1
8.00033691410000028554e+003	0.00000000000000000000e+000	8.00000000000000000000e+003	7.53223756330000018128e-003	0.00000000000000000000e+000	1.08582374569999998926e+002	0.00000000000000000000e+000	-2.40028089064005115474e-003	0.00000000000000000000e+000	7.13955561334287270442e-003	0.00000000000000000000e+000	2.65799990086816251278e+000	1	1
9.00021679690000019036e+003	0.00000000000000000000e+000	9.00000000000000000000e+003	8.48731398580000045984e-003	0.00000000000000000000e+000	1.08479804990000005205e+002	0.00000000000000000000e+000	-2.69022689299621385606e-003	0.00000000000000000000e+000	8.04966943158265564595e-003	0.00000000000000000000e+000	2.90899990079924464226e+000	1	1
9.99999707029999990482e+003	0.00000000000000000000e+000	1.00000000000000000000e+004	9.44918673490000027293e-003	0.00000000000000000000e+000	1.08402915949999993472e+002	0.00000000000000000000e+000	-2.98308271099763204492e-003	0.00000000000000000000e+000	8.96595491235357110182e-003	0.00000000000000000000e+000	3.15399990079458802938e+000	1	1
1.09998779300000005605e+004	0.00000000000000000000e+000	1.10000000000000000000e+004	1.04177827020000002278e-002	0.00000000000000000000e+000	1.08308723450000002231e+002	0.00000000000000000000e+000	-3.27261073921082407817e-003	0.00000000000000000000e+000	9.89041027337553974030e-003	0.00000000000000000000e+000	3.40099990076851099730e+000	1	1
1.20002675780000008672e+004	0.00000000000000000000e+000	1.20000000000000000000e+004	1.13924257460000007830e-002	0.00000000000000000000e+000	1.08222595209999994381e+002	0.00000000000000000000e+000	-3.56251970594007602924e-003	0.00000000000000000000e+000	1.08210820957477405618e-002	0.00000000000000000000e+000	3.64799990085884928703e+000	1	1
1.30001064449999994395e+004	0.00000000000000000000e+000	1.30000000000000000000e+004	1.23769072819999992330e-002	0.00000000000000000000e+000	1.08111984250000006114e+002	0.00000000000000000000e+000	-3.84767360716698836667e-003	0.00000000000000000000e+000	1.17636406643494163121e-002	0.00000000000000000000e+000	3.89499990083277225494e+000	1	1
