Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
9.99877319339999985459e+002	0.00000000000000000000e+000	1.00000000000000000000e+003	9.15764629839999955152e-001	0.00000000000000000000e+000	8.75421714780000037592e+000	0.00000000000000000000e+000	9.05096257101047796390e-001	0.00000000000000000000e+000	1.39375832365823348891e-001	0.00000000000000000000e+000	9.14999908418394625187e-001	1	1
6.00016162110000004759e+003	0.00000000000000000000e+000	6.00000000000000000000e+003	5.94733655450000009424e-001	0.00000000000000000000e+000	-2.59973545070000007229e+001	0.00000000000000000000e+000	5.34555107937206064328e-001	0.00000000000000000000e+000	-2.60689388934726817837e-001	0.00000000000000000000e+000	1.16499990841839462519e+000	1	1
1.10002050780000008672e+004	0.00000000000000000000e+000	1.10000000000000000000e+004	3.96974116559999978815e-001	0.00000000000000000000e+000	-3.72009315490000034288e+001	0.00000000000000000000e+000	3.16197860908606187547e-001	0.00000000000000000000e+000	-2.40015336958733088712e-001	0.00000000000000000000e+000	1.41199990839231759310e+000	1	1
1.60002509769999996934e+004	0.00000000000000000000e+000	1.60000000000000000000e+004	3.00374984740000017247e-001	0.00000000000000000000e+000	-4.16020584110000015698e+001	0.00000000000000000000e+000	2.24612677729321252862e-001	0.00000000000000000000e+000	-1.99434892786641781992e-001	0.00000000000000000000e+000	1.66099990846123546362e+000	1	1
2.10003183590000007825e+004	0.00000000000000000000e+000	2.10000000000000000000e+004	2.44869425889999992041e-001	0.00000000000000000000e+000	-4.39548110960000002478e+001	0.00000000000000000000e+000	1.76278428871692566249e-001	0.00000000000000000000e+000	-1.69961616991089525808e-001	0.00000000000000000000e+000	1.90799990843515843153e+000	1	1
2.60004277340000007825e+004	0.00000000000000000000e+000	2.60000000000000000000e+004	2.08422139290000002498e-001	0.00000000000000000000e+000	-4.57393722529999990911e+001	0.00000000000000000000e+000	1.45462672216663813085e-001	0.00000000000000000000e+000	-1.49266202262292396741e-001	0.00000000000000000000e+000	2.15399990847799926996e+000	1	1
3.10004218750000000000e+004	0.00000000000000000000e+000	3.10000000000000000000e+004	1.82035520670000006138e-001	0.00000000000000000000e+000	-4.71453399660000016524e+001	0.00000000000000000000e+000	1.23809817744359743075e-001	0.00000000000000000000e+000	-1.33446842659189296443e-001	0.00000000000000000000e+000	2.40099990845192223787e+000	1	1
3.60005898440000019036e+004	0.00000000000000000000e+000	3.60000000000000000000e+004	1.61933705210000000729e-001	0.00000000000000000000e+000	-4.83385849000000007436e+001	0.00000000000000000000e+000	1.07641771387133752813e-001	0.00000000000000000000e+000	-1.20978402765449064016e-001	0.00000000000000000000e+000	2.65099990845192223787e+000	1	1
4.10009492190000019036e+004	0.00000000000000000000e+000	4.10000000000000000000e+004	1.46038129930000010193e-001	0.00000000000000000000e+000	-4.93689117429999981823e+001	0.00000000000000000000e+000	9.50980013724918860074e-002	0.00000000000000000000e+000	-1.10830977296102084484e-001	0.00000000000000000000e+000	2.89399990846868604422e+000	1	1
4.60008398440000019036e+004	0.00000000000000000000e+000	4.60000000000000000000e+004	1.32953152059999996082e-001	0.00000000000000000000e+000	-5.02696495060000003718e+001	0.00000000000000000000e+000	8.49803712103207181672e-002	0.00000000000000000000e+000	-1.02249093647061597978e-001	0.00000000000000000000e+000	3.13999990839511156082e+000	1	1
5.10009414059999980964e+004	0.00000000000000000000e+000	5.10000000000000000000e+004	1.22088022530000006594e-001	0.00000000000000000000e+000	-5.10582313540000001240e+001	0.00000000000000000000e+000	7.67360143611645895145e-002	0.00000000000000000000e+000	-9.49582505380597713396e-002	0.00000000000000000000e+000	3.38699990848544985056e+000	1	1
