Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
5.00078643800000008923e+002	0.00000000000000000000e+000	5.00000000000000000000e+002	8.02772939209999980559e-002	0.00000000000000000000e+000	1.94452571869999992771e+001	0.00000000000000000000e+000	7.56982767481574059243e-002	0.00000000000000000000e+000	2.67247977847914486293e-002	0.00000000000000000000e+000	9.12000015261583030224e-001	1	1
1.00011682129999996960e+003	0.00000000000000000000e+000	1.00000000000000000000e+003	8.03134888409999941894e-002	0.00000000000000000000e+000	1.95478763579999998967e+001	0.00000000000000000000e+000	7.56843988403731321446e-002	0.00000000000000000000e+000	2.68724442874993495189e-002	0.00000000000000000000e+000	1.16000001528300344944e+000	1	1
1.50012243650000004891e+003	0.00000000000000000000e+000	1.50000000000000000000e+003	8.04114192720000037218e-002	0.00000000000000000000e+000	1.96071929930000017350e+001	0.00000000000000000000e+000	7.57487900037704109391e-002	0.00000000000000000000e+000	2.69836462010245477228e-002	0.00000000000000000000e+000	1.41400001524016261101e+000	1	1
2.00022155760000009650e+003	0.00000000000000000000e+000	2.00000000000000000000e+003	8.04583281279999951163e-002	0.00000000000000000000e+000	1.96278800959999983888e+001	0.00000000000000000000e+000	7.57832255790797798545e-002	0.00000000000000000000e+000	2.70267513027967094807e-002	0.00000000000000000000e+000	1.66100001521408557892e+000	1	1
2.50011206050000009782e+003	0.00000000000000000000e+000	2.50000000000000000000e+003	8.05140808219999976059e-002	0.00000000000000000000e+000	1.96382865909999999587e+001	0.00000000000000000000e+000	7.58308252570661089909e-002	0.00000000000000000000e+000	2.70592526032012170578e-002	0.00000000000000000000e+000	1.91200001526158303022e+000	1	1
3.00006201169999985723e+003	0.00000000000000000000e+000	3.00000000000000000000e+003	7.95745402570000037734e-002	0.00000000000000000000e+000	1.96364936830000011980e+001	0.00000000000000000000e+000	7.49467716912869952317e-002	0.00000000000000000000e+000	2.67411456405109333734e-002	0.00000000000000000000e+000	2.15900001523550599813e+000	1	1
3.49997656250000000000e+003	0.00000000000000000000e+000	3.50000000000000000000e+003	7.96198323369999988453e-002	0.00000000000000000000e+000	1.96372680660000007435e+001	0.00000000000000000000e+000	7.49890681137023451530e-002	0.00000000000000000000e+000	2.67573796327387272709e-002	0.00000000000000000000e+000	2.40600001520942896605e+000	1	1
4.00017773440000019036e+003	0.00000000000000000000e+000	4.00000000000000000000e+003	7.32369571920000045351e-002	0.00000000000000000000e+000	1.96541576390000010122e+001	0.00000000000000000000e+000	6.89701687972522903269e-002	0.00000000000000000000e+000	2.46326554561494132090e-002	0.00000000000000000000e+000	2.65900001523550599813e+000	1	1
4.50002392580000014277e+003	0.00000000000000000000e+000	4.50000000000000000000e+003	7.97911658880000040917e-002	0.00000000000000000000e+000	1.96380405429999989053e+001	0.00000000000000000000e+000	7.51500752112109760006e-002	0.00000000000000000000e+000	2.68159719107040686592e-002	0.00000000000000000000e+000	2.90600001520942896605e+000	1	1
5.00027343750000000000e+003	0.00000000000000000000e+000	5.00000000000000000000e+003	7.28725045919999953048e-002	0.00000000000000000000e+000	1.96568088530000011360e+001	0.00000000000000000000e+000	6.86258150082298262751e-002	0.00000000000000000000e+000	2.45132502938161522810e-002	0.00000000000000000000e+000	3.14900001522619277239e+000	1	1
5.50006689449999976205e+003	0.00000000000000000000e+000	5.50000000000000000000e+003	7.23567381500000023076e-002	0.00000000000000000000e+000	1.96400566099999984715e+001	0.00000000000000000000e+000	6.81472187579752891606e-002	0.00000000000000000000e+000	2.43198300006461122502e-002	0.00000000000000000000e+000	3.39600001531653106213e+000	1	1
5.99997216800000023795e+003	0.00000000000000000000e+000	6.00000000000000000000e+003	7.47584179039999935368e-002	0.00000000000000000000e+000	1.96393775939999990499e+001	0.00000000000000000000e+000	7.04094730548509017964e-002	0.00000000000000000000e+000	2.51262243810591694160e-002	0.00000000000000000000e+000	3.63800001528579741716e+000	1	1
6.50025732419999985723e+003	0.00000000000000000000e+000	6.50000000000000000000e+003	7.49718770379999982501e-002	0.00000000000000000000e+000	1.96568946840000009502e+001	0.00000000000000000000e+000	7.06028074667823107857e-002	0.00000000000000000000e+000	2.52195544054501404052e-002	0.00000000000000000000e+000	3.88600001530721783638e+000	1	1
6.99992285160000028554e+003	0.00000000000000000000e+000	7.00000000000000000000e+003	7.49655142430000059894e-002	0.00000000000000000000e+000	1.96609630580000001032e+001	0.00000000000000000000e+000	7.05950246919496288145e-002	0.00000000000000000000e+000	2.52224268154445999124e-002	0.00000000000000000000e+000	4.13500001525972038507e+000	1	1
7.50030078119999961928e+003	0.00000000000000000000e+000	7.50000000000000000000e+003	7.49938264490000033868e-002	0.00000000000000000000e+000	1.96739292140000010534e+001	0.00000000000000000000e+000	7.06159744439042447173e-002	0.00000000000000000000e+000	2.52479337530934280776e-002	0.00000000000000000000e+000	4.38100001530256122351e+000	1	1
8.00017871089999971446e+003	0.00000000000000000000e+000	8.00000000000000000000e+003	7.49721452590000059235e-002	0.00000000000000000000e+000	1.96705055239999992978e+001	0.00000000000000000000e+000	7.05970670381779324964e-002	0.00000000000000000000e+000	2.52364159567797542716e-002	0.00000000000000000000e+000	4.62700001522898674011e+000	1	1
8.50000195309999980964e+003	0.00000000000000000000e+000	8.50000000000000000000e+003	7.49665796759999975007e-002	0.00000000000000000000e+000	1.96859683990000000620e+001	0.00000000000000000000e+000	7.05850134201649326293e-002	0.00000000000000000000e+000	2.52535927898030233829e-002	0.00000000000000000000e+000	4.87100001529324799776e+000	1	1
8.99999023440000019036e+003	0.00000000000000000000e+000	9.00000000000000000000e+003	7.49495923519999940332e-002	0.00000000000000000000e+000	1.96995391849999990086e+001	0.00000000000000000000e+000	7.05630368919961392660e-002	0.00000000000000000000e+000	2.52645842694822209129e-002	0.00000000000000000000e+000	5.11800001526717096567e+000	1	1
9.49974707029999990482e+003	0.00000000000000000000e+000	9.50000000000000000000e+003	7.49503821129999941997e-002	0.00000000000000000000e+000	1.97051792140000010534e+001	0.00000000000000000000e+000	7.05612930910211599844e-002	0.00000000000000000000e+000	2.52717964578642179108e-002	0.00000000000000000000e+000	5.36600001528859138489e+000	1	1
1.00003662110000004759e+004	0.00000000000000000000e+000	1.00000000000000000000e+004	7.50553309919999994682e-002	0.00000000000000000000e+000	1.97424907679999996901e+001	0.00000000000000000000e+000	7.06436009128260655743e-002	0.00000000000000000000e+000	2.53531923115815245595e-002	0.00000000000000000000e+000	5.61000001523643732071e+000	1	1
1.05000917969999991328e+004	0.00000000000000000000e+000	1.05000000000000000000e+004	7.50873163339999954990e-002	0.00000000000000000000e+000	1.97290077209999985541e+001	0.00000000000000000000e+000	7.06796729549999946940e-002	0.00000000000000000000e+000	2.53473648574447270321e-002	0.00000000000000000000e+000	5.85500001523178070784e+000	1	1
1.10001230469999991328e+004	0.00000000000000000000e+000	1.10000000000000000000e+004	7.12563320989999943178e-002	0.00000000000000000000e+000	1.97426471710000015491e+001	0.00000000000000000000e+000	6.70678403421715307875e-002	0.00000000000000000000e+000	2.40700987958081570606e-002	0.00000000000000000000e+000	6.10000001522712409496e+000	1	1
1.15004101559999999154e+004	0.00000000000000000000e+000	1.15000000000000000000e+004	7.00598135589999976292e-002	0.00000000000000000000e+000	1.97704067230000006816e+001	0.00000000000000000000e+000	6.59301801378080615246e-002	0.00000000000000000000e+000	2.36978653662733781959e-002	0.00000000000000000000e+000	6.34500001522246748209e+000	1	1
1.20000517579999996087e+004	0.00000000000000000000e+000	1.20000000000000000000e+004	7.04922378060000021094e-002	0.00000000000000000000e+000	1.97709312439999997935e+001	0.00000000000000000000e+000	6.63368971118635797346e-002	0.00000000000000000000e+000	2.38447409813501917664e-002	0.00000000000000000000e+000	6.58900001528672873974e+000	1	1
1.25000312500000000000e+004	0.00000000000000000000e+000	1.25000000000000000000e+004	7.13751092549999993642e-002	0.00000000000000000000e+000	1.97817401890000006404e+001	0.00000000000000000000e+000	6.71631696177216325205e-002	0.00000000000000000000e+000	2.41560524106141996659e-002	0.00000000000000000000e+000	6.83500001521315425634e+000	1	1
1.30005048829999996087e+004	0.00000000000000000000e+000	1.30000000000000000000e+004	7.12841376660000025645e-002	0.00000000000000000000e+000	1.97928714749999983269e+001	0.00000000000000000000e+000	6.70728781185904315842e-002	0.00000000000000000000e+000	2.41382953763092378274e-002	0.00000000000000000000e+000	7.08100001525599509478e+000	1	1
1.35004707030000008672e+004	0.00000000000000000000e+000	1.35000000000000000000e+004	7.30473473669999984192e-002	0.00000000000000000000e+000	1.98050479889999984096e+001	0.00000000000000000000e+000	6.87266642020701035154e-002	0.00000000000000000000e+000	2.47499613133244540653e-002	0.00000000000000000000e+000	7.32800001522991806269e+000	1	1
1.40001601559999999154e+004	0.00000000000000000000e+000	1.40000000000000000000e+004	7.24414438009999966939e-002	0.00000000000000000000e+000	1.98140106200000012393e+001	0.00000000000000000000e+000	6.81527589796804694755e-002	0.00000000000000000000e+000	2.45553298375530727748e-002	0.00000000000000000000e+000	7.57200001529417932034e+000	1	1
1.45002382809999999154e+004	0.00000000000000000000e+000	1.45000000000000000000e+004	7.47480466960000061727e-002	0.00000000000000000000e+000	1.98334198000000014872e+001	0.00000000000000000000e+000	7.03142190512395931501e-002	0.00000000000000000000e+000	2.53610150443883686222e-002	0.00000000000000000000e+000	7.81600001524202525616e+000	1	1
1.49999492190000000846e+004	0.00000000000000000000e+000	1.50000000000000000000e+004	7.44134709239999969643e-002	0.00000000000000000000e+000	1.98658046719999994423e+001	0.00000000000000000000e+000	6.99852076621284291402e-002	0.00000000000000000000e+000	2.52870592091242012145e-002	0.00000000000000000000e+000	8.06100001523736864328e+000	1	1
