Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
4.99963562009999975544e+002	0.00000000000000000000e+000	5.00000000000000000000e+002	4.21653568739999984327e-001	0.00000000000000000000e+000	1.94345703120000017350e+001	0.00000000000000000000e+000	3.97628622708044998646e-001	0.00000000000000000000e+000	1.40296865376533325120e-001	0.00000000000000000000e+000	9.08999912207946181297e-001	1	1
4.50007373050000023795e+003	0.00000000000000000000e+000	4.50000000000000000000e+003	3.85731965299999979280e-001	0.00000000000000000000e+000	1.96490802759999994009e+001	0.00000000000000000000e+000	3.63270699295942078866e-001	0.00000000000000000000e+000	1.29705620877576477401e-001	0.00000000000000000000e+000	1.15999991225544363260e+000	1	1
8.50004101559999980964e+003	0.00000000000000000000e+000	8.50000000000000000000e+003	4.04626846310000010121e-001	0.00000000000000000000e+000	1.96657104489999987607e+001	0.00000000000000000000e+000	3.81025819394856801736e-001	0.00000000000000000000e+000	1.36169782658467825032e-001	0.00000000000000000000e+000	1.40899991220794618130e+000	1	1
1.25004160159999992175e+004	0.00000000000000000000e+000	1.25000000000000000000e+004	3.89793932439999990525e-001	0.00000000000000000000e+000	1.97507553099999988433e+001	0.00000000000000000000e+000	3.66862964457354223669e-001	0.00000000000000000000e+000	1.31722720426664913207e-001	0.00000000000000000000e+000	1.65699991222936660051e+000	1	1
1.65002382810000017344e+004	0.00000000000000000000e+000	1.65000000000000000000e+004	3.91509920359999985529e-001	0.00000000000000000000e+000	1.98333873750000009295e+001	0.00000000000000000000e+000	3.68286813326119566447e-001	0.00000000000000000000e+000	1.32833884496334320158e-001	0.00000000000000000000e+000	1.90799991227686405182e+000	1	1
2.05003769529999990482e+004	0.00000000000000000000e+000	2.05000000000000000000e+004	3.91426265240000015311e-001	0.00000000000000000000e+000	1.99298877720000007230e+001	0.00000000000000000000e+000	3.67983920600267466750e-001	0.00000000000000000000e+000	1.33425467206942510723e-001	0.00000000000000000000e+000	2.15799991227686405182e+000	1	1
2.45005820310000017344e+004	0.00000000000000000000e+000	2.45000000000000000000e+004	3.97096544499999981603e-001	0.00000000000000000000e+000	1.99464092250000000206e+001	0.00000000000000000000e+000	3.73275562770309932148e-001	0.00000000000000000000e+000	1.35465936280486615173e-001	0.00000000000000000000e+000	2.40599991229828447104e+000	1	1
2.85006738279999990482e+004	0.00000000000000000000e+000	2.85000000000000000000e+004	3.92902463669999979512e-001	0.00000000000000000000e+000	2.00029106140000010328e+001	0.00000000000000000000e+000	3.69200719618212214179e-001	0.00000000000000000000e+000	1.34399310233906776890e-001	0.00000000000000000000e+000	2.64999991224613040686e+000	1	1
3.25007382810000017344e+004	0.00000000000000000000e+000	3.25000000000000000000e+004	3.90833139419999975317e-001	0.00000000000000000000e+000	2.00774040219999996282e+001	0.00000000000000000000e+000	3.67082096835209148455e-001	0.00000000000000000000e+000	1.34168837857228495647e-001	0.00000000000000000000e+000	2.89399991231039166451e+000	1	1
3.65005468750000000000e+004	0.00000000000000000000e+000	3.65000000000000000000e+004	3.88101130720000020435e-001	0.00000000000000000000e+000	2.01600761410000011153e+001	0.00000000000000000000e+000	3.64323494652864510179e-001	0.00000000000000000000e+000	1.33756790145647341816e-001	0.00000000000000000000e+000	3.14099991228431463242e+000	1	1
4.05002421879999965313e+004	0.00000000000000000000e+000	4.05000000000000000000e+004	3.88676196340000001950e-001	0.00000000000000000000e+000	2.02345619200000008675e+001	0.00000000000000000000e+000	3.64688875253530941922e-001	0.00000000000000000000e+000	1.34429200204586402068e-001	0.00000000000000000000e+000	3.38699991221074014902e+000	1	1
4.45008203120000034687e+004	0.00000000000000000000e+000	4.45000000000000000000e+004	3.92275094990000017248e-001	0.00000000000000000000e+000	2.03195667270000015492e+001	0.00000000000000000000e+000	3.67863973593003157347e-001	0.00000000000000000000e+000	1.36219848340026400413e-001	0.00000000000000000000e+000	3.63099991227500140667e+000	1	1
4.85006406250000000000e+004	0.00000000000000000000e+000	4.85000000000000000000e+004	3.88367712500000017428e-001	0.00000000000000000000e+000	2.04009227750000015078e+001	0.00000000000000000000e+000	3.64007882738588806060e-001	0.00000000000000000000e+000	1.35379988981578991414e-001	0.00000000000000000000e+000	3.87499991222284734249e+000	1	1
5.25005078120000034687e+004	0.00000000000000000000e+000	5.25000000000000000000e+004	3.85534614320000024179e-001	0.00000000000000000000e+000	2.05104656220000016731e+001	0.00000000000000000000e+000	3.61094883868404215033e-001	0.00000000000000000000e+000	1.35083025147258339871e-001	0.00000000000000000000e+000	4.11999991221819072962e+000	1	1
5.65006992190000019036e+004	0.00000000000000000000e+000	5.65000000000000000000e+004	3.79244416949999996191e-001	0.00000000000000000000e+000	2.06362743379999997728e+001	0.00000000000000000000e+000	3.54910804605115426380e-001	0.00000000000000000000e+000	1.33658701782918054590e-001	0.00000000000000000000e+000	4.36399991228245198727e+000	1	1
6.05010039059999980964e+004	0.00000000000000000000e+000	6.05000000000000000000e+004	3.79801750180000008417e-001	0.00000000000000000000e+000	2.06977634429999994836e+001	0.00000000000000000000e+000	3.55288521162159642852e-001	0.00000000000000000000e+000	1.34236493436757919895e-001	0.00000000000000000000e+000	4.61299991223495453596e+000	1	1
