Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.00008898929999998018e+003	0.00000000000000000000e+000	1.00000000000000000000e+003	8.80814611909999989336e-001	0.00000000000000000000e+000	8.51531124109999915106e+000	0.00000000000000000000e+000	8.71104801489126279179e-001	0.00000000000000000000e+000	1.30425478250047965911e-001	0.00000000000000000000e+000	9.11999990465119481087e-001	1	1
3.00012451169999985723e+003	0.00000000000000000000e+000	3.00000000000000000000e+003	7.74373173710000028969e-001	0.00000000000000000000e+000	-1.05650863650000008676e+001	0.00000000000000000000e+000	7.61245426195526819768e-001	0.00000000000000000000e+000	-1.41983144274553385600e-001	0.00000000000000000000e+000	1.15799999050796031952e+000	1	1
4.99991796880000038072e+003	0.00000000000000000000e+000	5.00000000000000000000e+003	6.42517805100000005680e-001	0.00000000000000000000e+000	-2.43687667849999982650e+001	0.00000000000000000000e+000	5.85275072046456679153e-001	0.00000000000000000000e+000	-2.65107940114091167327e-001	0.00000000000000000000e+000	1.40599999041296541691e+000	1	1
7.00016552729999966687e+003	0.00000000000000000000e+000	7.00000000000000000000e+003	5.30758082870000036380e-001	0.00000000000000000000e+000	-3.37327384949999995456e+001	0.00000000000000000000e+000	4.41398036856735509481e-001	0.00000000000000000000e+000	-2.94740420693968996346e-001	0.00000000000000000000e+000	1.65199999045580625534e+000	1	1
9.00042871089999971446e+003	0.00000000000000000000e+000	9.00000000000000000000e+003	4.45063620810000004635e-001	0.00000000000000000000e+000	-4.01966400149999998348e+001	0.00000000000000000000e+000	3.39954675219488966498e-001	0.00000000000000000000e+000	-2.87249796109447674830e-001	0.00000000000000000000e+000	1.90699999046046286821e+000	1	1
1.10000390619999998307e+004	0.00000000000000000000e+000	1.10000000000000000000e+004	3.80167156459999988627e-001	0.00000000000000000000e+000	-4.48022956849999971496e+001	0.00000000000000000000e+000	2.69744759403680423038e-001	0.00000000000000000000e+000	-2.67889588497075892271e-001	0.00000000000000000000e+000	2.15099999040830880404e+000	1	1
1.30002822269999996934e+004	0.00000000000000000000e+000	1.30000000000000000000e+004	3.30343157050000002517e-001	0.00000000000000000000e+000	-4.82029266360000008262e+001	0.00000000000000000000e+000	2.20171864776233933148e-001	0.00000000000000000000e+000	-2.46274138655922847363e-001	0.00000000000000000000e+000	2.39799999049864709377e+000	1	1
1.50001210940000000846e+004	0.00000000000000000000e+000	1.50000000000000000000e+004	2.91562259200000006842e-001	0.00000000000000000000e+000	-5.08085708620000033875e+001	0.00000000000000000000e+000	1.84242093728389316754e-001	0.00000000000000000000e+000	-2.25972126352759261625e-001	0.00000000000000000000e+000	2.64299999049399048090e+000	1	1
1.70003574220000009518e+004	0.00000000000000000000e+000	1.70000000000000000000e+004	2.60393917560000021094e-001	0.00000000000000000000e+000	-5.28227920530000005783e+001	0.00000000000000000000e+000	1.57351415321373255818e-001	0.00000000000000000000e+000	-2.07474153567630659190e-001	0.00000000000000000000e+000	2.88799999048933386803e+000	1	1
1.90003730470000009518e+004	0.00000000000000000000e+000	1.90000000000000000000e+004	2.35043302179999996637e-001	0.00000000000000000000e+000	-5.44406471249999981410e+001	0.00000000000000000000e+000	1.36688492668228828153e-001	0.00000000000000000000e+000	-1.91210904165443312808e-001	0.00000000000000000000e+000	3.13099999050609767437e+000	1	1
2.10001523439999982656e+004	0.00000000000000000000e+000	2.10000000000000000000e+004	2.14075759050000008488e-001	0.00000000000000000000e+000	-5.57836456300000023134e+001	0.00000000000000000000e+000	1.20378962783708395867e-001	0.00000000000000000000e+000	-1.77023546264196751654e-001	0.00000000000000000000e+000	3.37499999045394361019e+000	1	1
2.30003945310000017344e+004	0.00000000000000000000e+000	2.30000000000000000000e+004	1.96411788459999986367e-001	0.00000000000000000000e+000	-5.69156265259999969430e+001	0.00000000000000000000e+000	1.07215986529165016594e-001	0.00000000000000000000e+000	-1.64567077140701761850e-001	0.00000000000000000000e+000	3.61999999044928699732e+000	1	1
2.50006113279999990482e+004	0.00000000000000000000e+000	2.50000000000000000000e+004	1.81322291490000009340e-001	0.00000000000000000000e+000	-5.78686180110000023546e+001	0.00000000000000000000e+000	9.64385271082407319332e-002	0.00000000000000000000e+000	-1.53549288114200155331e-001	0.00000000000000000000e+000	3.86599999049212783575e+000	1	1
2.70003847659999992175e+004	0.00000000000000000000e+000	2.70000000000000000000e+004	1.68405696750000000161e-001	0.00000000000000000000e+000	-5.86876068119999985129e+001	0.00000000000000000000e+000	8.75211034038835683502e-002	0.00000000000000000000e+000	-1.43876805485872838464e-001	0.00000000000000000000e+000	4.11299999046605080366e+000	1	1
2.90007265619999998307e+004	0.00000000000000000000e+000	2.90000000000000000000e+004	1.57066836950000010553e-001	0.00000000000000000000e+000	-5.93702888489999978106e+001	0.00000000000000000000e+000	8.00236225491627317652e-002	0.00000000000000000000e+000	-1.35152547529031136220e-001	0.00000000000000000000e+000	4.35999999043997377157e+000	1	1
3.10008769529999990482e+004	0.00000000000000000000e+000	3.10000000000000000000e+004	1.47140309209999986528e-001	0.00000000000000000000e+000	-5.99636383060000000000e+001	0.00000000000000000000e+000	7.36510113744684863368e-002	0.00000000000000000000e+000	-1.27380528802216563822e-001	0.00000000000000000000e+000	4.60799999046139419079e+000	1	1
