Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
3.20005406250000000000e+005	0.00000000000000000000e+000	3.20000000000000000000e+005	9.27098153620000000686e-005	0.00000000000000000000e+000	1.13601150509999996530e+002	0.00000000000000000000e+000	-3.71179879367082547086e-005	0.00000000000000000000e+000	8.49550753986276648531e-005	0.00000000000000000000e+000	9.15999984717927873135e-001	1	1
3.20006500000000000000e+005	0.00000000000000000000e+000	3.20001000000000000000e+005	9.27271248659999945511e-005	0.00000000000000000000e+000	1.13537513730000000578e+002	0.00000000000000000000e+000	-3.70305204361966164620e-005	0.00000000000000000000e+000	8.50121182075777917769e-005	0.00000000000000000000e+000	1.16099998471327126026e+000	1	1
3.20007343750000000000e+005	0.00000000000000000000e+000	3.20002000000000000000e+005	9.27339424380000033237e-005	0.00000000000000000000e+000	1.13541641240000004132e+002	0.00000000000000000000e+000	-3.70393675407849998584e-005	0.00000000000000000000e+000	8.50157005045123456742e-005	0.00000000000000000000e+000	1.39999998477287590504e+000	1	1
3.20008968750000000000e+005	0.00000000000000000000e+000	3.20003000000000000000e+005	9.27351284190000015820e-005	0.00000000000000000000e+000	1.13542915339999993307e+002	0.00000000000000000000e+000	-3.70417317694200361427e-005	0.00000000000000000000e+000	8.50159640915208346043e-005	0.00000000000000000000e+000	1.64699998474679887295e+000	1	1
3.20009937500000000000e+005	0.00000000000000000000e+000	3.20004000000000000000e+005	9.27278742889999971731e-005	0.00000000000000000000e+000	1.13527450560000005453e+002	0.00000000000000000000e+000	-3.70158878846994218248e-005	0.00000000000000000000e+000	8.50193078909958411442e-005	0.00000000000000000000e+000	1.89699998474679887295e+000	1	1
3.20009750000000000000e+005	0.00000000000000000000e+000	3.20005000000000000000e+005	9.27425135160000004876e-005	0.00000000000000000000e+000	1.13538414000000003057e+002	0.00000000000000000000e+000	-3.70380018690592762321e-005	0.00000000000000000000e+000	8.50256445480597613596e-005	0.00000000000000000000e+000	2.14599998469930142164e+000	1	1
3.20011937500000000000e+005	0.00000000000000000000e+000	3.20006000000000000000e+005	9.27400033110000029859e-005	0.00000000000000000000e+000	1.13534667970000000992e+002	0.00000000000000000000e+000	-3.70314404314419935087e-005	0.00000000000000000000e+000	8.50257645287406693983e-005	0.00000000000000000000e+000	2.39199998474214226007e+000	1	1
3.20012218750000000000e+005	0.00000000000000000000e+000	3.20007000000000000000e+005	9.27414876059999955743e-005	0.00000000000000000000e+000	1.13536010739999994712e+002	0.00000000000000000000e+000	-3.70340257810462277323e-005	0.00000000000000000000e+000	8.50262574609905648912e-005	0.00000000000000000000e+000	2.64099998469464480877e+000	1	1
3.20012906250000000000e+005	0.00000000000000000000e+000	3.20008000000000000000e+005	9.27297369340000012536e-005	0.00000000000000000000e+000	1.13536750789999999256e+002	0.00000000000000000000e+000	-3.70304315231601439409e-005	0.00000000000000000000e+000	8.50150060463292071324e-005	0.00000000000000000000e+000	2.88599998468998819590e+000	1	1
3.20014125000000000000e+005	0.00000000000000000000e+000	3.20009000000000000000e+005	9.27534565559999941682e-005	0.00000000000000000000e+000	1.13539787290000006692e+002	0.00000000000000000000e+000	-3.70444102841836276404e-005	0.00000000000000000000e+000	8.50347891735073852740e-005	0.00000000000000000000e+000	3.13499998475890606642e+000	1	1
3.20015093750000000000e+005	0.00000000000000000000e+000	3.20010000000000000000e+005	9.27471046450000066643e-005	0.00000000000000000000e+000	1.13532791140000000496e+002	0.00000000000000000000e+000	-3.70314906110436986271e-005	0.00000000000000000000e+000	8.50334882452481971397e-005	0.00000000000000000000e+000	3.38399998471140861511e+000	1	1
3.20017031250000000000e+005	0.00000000000000000000e+000	3.20011000000000000000e+005	9.27548899199999958695e-005	0.00000000000000000000e+000	1.13525169370000000413e+002	0.00000000000000000000e+000	-3.70232862123802606538e-005	0.00000000000000000000e+000	8.50455518067082195856e-005	0.00000000000000000000e+000	3.62999998475424945354e+000	1	1
3.20017187500000000000e+005	0.00000000000000000000e+000	3.20012000000000000000e+005	9.27618093560000006115e-005	0.00000000000000000000e+000	1.13531944269999996777e+002	0.00000000000000000000e+000	-3.70361047619438801446e-005	0.00000000000000000000e+000	8.50475174185655270667e-005	0.00000000000000000000e+000	3.87799998477566987276e+000	1	1
3.20019062500000000000e+005	0.00000000000000000000e+000	3.20013000000000000000e+005	9.27280416359999970066e-005	0.00000000000000000000e+000	1.13528785709999993969e+002	0.00000000000000000000e+000	-3.70179358659902688284e-005	0.00000000000000000000e+000	8.50185987291556145981e-005	0.00000000000000000000e+000	4.12999998475424945354e+000	1	1
3.20019000000000000000e+005	0.00000000000000000000e+000	3.20014000000000000000e+005	9.27583314479999955721e-005	0.00000000000000000000e+000	1.13537124629999993886e+002	0.00000000000000000000e+000	-3.70424052466721996299e-005	0.00000000000000000000e+000	8.50409799247300364098e-005	0.00000000000000000000e+000	4.37999998475424945354e+000	1	1
3.20019625000000000000e+005	0.00000000000000000000e+000	3.20015000000000000000e+005	9.27465807760000012514e-005	0.00000000000000000000e+000	1.13541236879999999587e+002	0.00000000000000000000e+000	-3.70438154143745625602e-005	0.00000000000000000000e+000	8.50275483898297462781e-005	0.00000000000000000000e+000	4.61899998469743877649e+000	1	1
3.20021500000000000000e+005	0.00000000000000000000e+000	3.20016000000000000000e+005	9.27661967580000016180e-005	0.00000000000000000000e+000	1.13541160579999996116e+002	0.00000000000000000000e+000	-3.70515369593600609973e-005	0.00000000000000000000e+000	8.50455811309038385267e-005	0.00000000000000000000e+000	4.86599998478777706623e+000	1	1
3.20022812500000000000e+005	0.00000000000000000000e+000	3.20017000000000000000e+005	9.27536239029999940017e-005	0.00000000000000000000e+000	1.13544410709999993969e+002	0.00000000000000000000e+000	-3.70513388007602143892e-005	0.00000000000000000000e+000	8.50319530541928221773e-005	0.00000000000000000000e+000	5.10899998468812555075e+000	1	1
3.20023500000000000000e+005	0.00000000000000000000e+000	3.20018000000000000000e+005	9.27347718969999960026e-005	0.00000000000000000000e+000	1.13530914310000000000e+002	0.00000000000000000000e+000	-3.70237813879009582813e-005	0.00000000000000000000e+000	8.50233940191141726681e-005	0.00000000000000000000e+000	5.35599998477846384048e+000	1	1
3.20024218750000000000e+005	0.00000000000000000000e+000	3.20019000000000000000e+005	9.27550572669999957029e-005	0.00000000000000000000e+000	1.13543678279999994629e+002	0.00000000000000000000e+000	-3.70508243619248591664e-005	0.00000000000000000000e+000	8.50337407309959876110e-005	0.00000000000000000000e+000	5.59999998472630977631e+000	1	1
3.20025281250000000000e+005	0.00000000000000000000e+000	3.20020000000000000000e+005	9.27641012819999935188e-005	0.00000000000000000000e+000	1.13533050540000004958e+002	0.00000000000000000000e+000	-3.70386619726227611519e-005	0.00000000000000000000e+000	8.50489036139499035268e-005	0.00000000000000000000e+000	5.84699998470023274422e+000	1	1
3.20025781250000000000e+005	0.00000000000000000000e+000	3.20021000000000000000e+005	9.27488435989999956315e-005	0.00000000000000000000e+000	1.13531623839999994630e+002	0.00000000000000000000e+000	-3.70304524830356349792e-005	0.00000000000000000000e+000	8.50358370209490131101e-005	0.00000000000000000000e+000	6.09499998472165316343e+000	1	1
3.20027031250000000000e+005	0.00000000000000000000e+000	3.20022000000000000000e+005	9.27604196479999971829e-005	0.00000000000000000000e+000	1.13541015619999996034e+002	0.00000000000000000000e+000	-3.70490143823876594189e-005	0.00000000000000000000e+000	8.50403785655184772272e-005	0.00000000000000000000e+000	6.33899998478591442108e+000	1	1
3.20027656250000000000e+005	0.00000000000000000000e+000	3.20023000000000000000e+005	9.27530636549999971258e-005	0.00000000000000000000e+000	1.13533683780000004049e+002	0.00000000000000000000e+000	-3.70351947481483263986e-005	0.00000000000000000000e+000	8.50383746749384217918e-005	0.00000000000000000000e+000	6.58399998478125780821e+000	1	1
3.20028843750000000000e+005	0.00000000000000000000e+000	3.20024000000000000000e+005	9.27802902879999936070e-005	0.00000000000000000000e+000	1.13546661380000003305e+002	0.00000000000000000000e+000	-3.70653320710383492364e-005	0.00000000000000000000e+000	8.50549435623185992768e-005	0.00000000000000000000e+000	6.82899998477660119534e+000	1	1
3.20030187500000000000e+005	0.00000000000000000000e+000	3.20025000000000000000e+005	9.27719665919999995646e-005	0.00000000000000000000e+000	1.13529624940000005040e+002	0.00000000000000000000e+000	-3.70367170166190952385e-005	0.00000000000000000000e+000	8.50583292686732785146e-005	0.00000000000000000000e+000	7.07699998479802161455e+000	1	1
3.20031187500000000000e+005	0.00000000000000000000e+000	3.20026000000000000000e+005	9.27703149499999935902e-005	0.00000000000000000000e+000	1.13538650509999996530e+002	0.00000000000000000000e+000	-3.70494558355581327927e-005	0.00000000000000000000e+000	8.50509797604426243112e-005	0.00000000000000000000e+000	7.32399998477194458246e+000	1	1
3.20031937500000000000e+005	0.00000000000000000000e+000	3.20027000000000000000e+005	9.27658693399999948869e-005	0.00000000000000000000e+000	1.13542465210000003140e+002	0.00000000000000000000e+000	-3.70533426650567087224e-005	0.00000000000000000000e+000	8.50444372769426903133e-005	0.00000000000000000000e+000	7.56899998476728796959e+000	1	1
3.20033656250000000000e+005	0.00000000000000000000e+000	3.20028000000000000000e+005	9.27623696039999974874e-005	0.00000000000000000000e+000	1.13531021120000005453e+002	0.00000000000000000000e+000	-3.70349581474549433132e-005	0.00000000000000000000e+000	8.50486277935474021747e-005	0.00000000000000000000e+000	7.81299998471513390541e+000	1	1
3.20034000000000000000e+005	0.00000000000000000000e+000	3.20029000000000000000e+005	9.27521541600000008375e-005	0.00000000000000000000e+000	1.13544502260000001570e+002	0.00000000000000000000e+000	-3.70508875636113040172e-005	0.00000000000000000000e+000	8.50305464646031595836e-005	0.00000000000000000000e+000	8.06099998473655432463e+000	1	1
3.20036250000000000000e+005	0.00000000000000000000e+000	3.20030000000000000000e+005	9.27740984479999994481e-005	0.00000000000000000000e+000	1.13540588380000002644e+002	0.00000000000000000000e+000	-3.70538435503272112008e-005	0.00000000000000000000e+000	8.50531952426660425902e-005	0.00000000000000000000e+000	8.30199998477473855019e+000	1	1
3.20036406250000000000e+005	0.00000000000000000000e+000	3.20031000000000000000e+005	9.27723376660000045683e-005	0.00000000000000000000e+000	1.13534141539999993142e+002	0.00000000000000000000e+000	-3.70435701786282406737e-005	0.00000000000000000000e+000	8.50557496259680615022e-005	0.00000000000000000000e+000	8.54899998474866151810e+000	1	1
3.20036781250000000000e+005	0.00000000000000000000e+000	3.20032000000000000000e+005	9.27817018240000029481e-005	0.00000000000000000000e+000	1.13539482120000002396e+002	0.00000000000000000000e+000	-3.70552379896334563303e-005	0.00000000000000000000e+000	8.50608813197304536704e-005	0.00000000000000000000e+000	8.79599998472258448601e+000	1	1
3.20038093750000000000e+005	0.00000000000000000000e+000	3.20033000000000000000e+005	9.27724977369999979134e-005	0.00000000000000000000e+000	1.13529708859999999504e+002	0.00000000000000000000e+000	-3.70370536459320413175e-005	0.00000000000000000000e+000	8.50587620036291251020e-005	0.00000000000000000000e+000	9.04399998474400490522e+000	1	1
3.20038500000000000000e+005	0.00000000000000000000e+000	3.20034000000000000000e+005	9.27758883340000067288e-005	0.00000000000000000000e+000	1.13529670719999998596e+002	0.00000000000000000000e+000	-3.70383506322886931861e-005	0.00000000000000000000e+000	8.50618953386443068208e-005	0.00000000000000000000e+000	9.28899998473934829235e+000	1	1
3.20040656250000000000e+005	0.00000000000000000000e+000	3.20035000000000000000e+005	9.27811124709999933500e-005	0.00000000000000000000e+000	1.13526321409999994216e+002	0.00000000000000000000e+000	-3.70354634697753621860e-005	0.00000000000000000000e+000	8.50688502151950200073e-005	0.00000000000000000000e+000	9.53199998475611209869e+000	1	1
3.20041593750000000000e+005	0.00000000000000000000e+000	3.20036000000000000000e+005	9.27595756370000050798e-005	0.00000000000000000000e+000	1.13531211850000005370e+002	0.00000000000000000000e+000	-3.70341257755067612256e-005	0.00000000000000000000e+000	8.50459428803060005350e-005	0.00000000000000000000e+000	9.77799998479895293713e+000	1	1
3.20042187500000000000e+005	0.00000000000000000000e+000	3.20037000000000000000e+005	9.27856963240000065908e-005	0.00000000000000000000e+000	1.13537414549999994051e+002	0.00000000000000000000e+000	-3.70537636615466770083e-005	0.00000000000000000000e+000	8.50658805917142658761e-005	0.00000000000000000000e+000	1.00259999847039580345e+001	1	1
3.20043093750000000000e+005	0.00000000000000000000e+000	3.20038000000000000000e+005	9.27830478759999945516e-005	0.00000000000000000000e+000	1.13537765500000006114e+002	0.00000000000000000000e+000	-3.70532270424287206879e-005	0.00000000000000000000e+000	8.50632255378452986931e-005	0.00000000000000000000e+000	1.02699999847682192922e+001	1	1
3.20044718750000000000e+005	0.00000000000000000000e+000	3.20039000000000000000e+005	9.27776345630000018631e-005	0.00000000000000000000e+000	1.13532447809999993638e+002	0.00000000000000000000e+000	-3.70431706986152134691e-005	0.00000000000000000000e+000	8.50617010157851791315e-005	0.00000000000000000000e+000	1.05159999846946448088e+001	1	1
3.20044906250000000000e+005	0.00000000000000000000e+000	3.20040000000000000000e+005	9.27966539170000000170e-005	0.00000000000000000000e+000	1.13544631960000003801e+002	0.00000000000000000000e+000	-3.70688560655275934057e-005	0.00000000000000000000e+000	8.50712577089622558248e-005	0.00000000000000000000e+000	1.07629999847849830985e+001	1	1
3.20046625000000000000e+005	0.00000000000000000000e+000	3.20041000000000000000e+005	9.27847140699999999502e-005	0.00000000000000000000e+000	1.13542465210000003140e+002	0.00000000000000000000e+000	-3.70608697894515777592e-005	0.00000000000000000000e+000	8.50617134526513726063e-005	0.00000000000000000000e+000	1.10129999847849830985e+001	1	1
3.20046781250000000000e+005	0.00000000000000000000e+000	3.20042000000000000000e+005	9.27880028029999992436e-005	0.00000000000000000000e+000	1.13533851619999992977e+002	0.00000000000000000000e+000	-3.70493947359802142517e-005	0.00000000000000000000e+000	8.50702992463706812818e-005	0.00000000000000000000e+000	1.12579999847803264856e+001	1	1
3.20047625000000000000e+005	0.00000000000000000000e+000	3.20043000000000000000e+005	9.27743021750000046183e-005	0.00000000000000000000e+000	1.13530792239999996696e+002	0.00000000000000000000e+000	-3.70393823841052373435e-005	0.00000000000000000000e+000	8.50597160626712073652e-005	0.00000000000000000000e+000	1.15059999846853315830e+001	1	1
3.20048562500000000000e+005	0.00000000000000000000e+000	3.20044000000000000000e+005	9.27985311140000035217e-005	0.00000000000000000000e+000	1.13534637450000005288e+002	0.00000000000000000000e+000	-3.70547654889069976564e-005	0.00000000000000000000e+000	8.50794436481464889932e-005	0.00000000000000000000e+000	1.17509999847970902920e+001	1	1
3.20050500000000000000e+005	0.00000000000000000000e+000	3.20045000000000000000e+005	9.27726723600000042352e-005	0.00000000000000000000e+000	1.13545814509999999586e+002	0.00000000000000000000e+000	-3.70610316713011506574e-005	0.00000000000000000000e+000	8.50485077369069511185e-005	0.00000000000000000000e+000	1.19979999847710132599e+001	1	1
3.20050031250000000000e+005	0.00000000000000000000e+000	3.20046000000000000000e+005	9.28078588909999962434e-005	0.00000000000000000000e+000	1.13540481569999997191e+002	0.00000000000000000000e+000	-3.70671688107055970034e-005	0.00000000000000000000e+000	8.50842151535196347624e-005	0.00000000000000000000e+000	1.22419999847188591957e+001	1	1
3.20052062500000000000e+005	0.00000000000000000000e+000	3.20047000000000000000e+005	9.28184890649999961697e-005	0.00000000000000000000e+000	1.13544700620000000413e+002	0.00000000000000000000e+000	-3.70776803739529211591e-005	0.00000000000000000000e+000	8.50912306315786565744e-005	0.00000000000000000000e+000	1.24899999847402796149e+001	1	1
3.20053625000000000000e+005	0.00000000000000000000e+000	3.20048000000000000000e+005	9.28064837350000057916e-005	0.00000000000000000000e+000	1.13534797670000003222e+002	0.00000000000000000000e+000	-3.70581789307593387379e-005	0.00000000000000000000e+000	8.50866311331612544012e-005	0.00000000000000000000e+000	1.27379999847617000341e+001	1	1
3.20054156250000000000e+005	0.00000000000000000000e+000	3.20049000000000000000e+005	9.28104564080000038430e-005	0.00000000000000000000e+000	1.13535491940000000000e+002	0.00000000000000000000e+000	-3.70607963040399743119e-005	0.00000000000000000000e+000	8.50898242798263452482e-005	0.00000000000000000000e+000	1.29839999846881255507e+001	1	1
3.20056187500000000000e+005	0.00000000000000000000e+000	3.20050000000000000000e+005	9.27886067069999943922e-005	0.00000000000000000000e+000	1.13530860899999993308e+002	0.00000000000000000000e+000	-3.70451952980788785843e-005	0.00000000000000000000e+000	8.50727867179247750334e-005	0.00000000000000000000e+000	1.32289999846834689379e+001	1	1
3.20056875000000000000e+005	0.00000000000000000000e+000	3.20051000000000000000e+005	9.27840010260000023438e-005	0.00000000000000000000e+000	1.13534744259999996530e+002	0.00000000000000000000e+000	-3.70491221549360726312e-005	0.00000000000000000000e+000	8.50660531230960253232e-005	0.00000000000000000000e+000	1.34779999847523868084e+001	1	1
3.20057312500000000000e+005	0.00000000000000000000e+000	3.20052000000000000000e+005	9.27969595070000008354e-005	0.00000000000000000000e+000	1.13532142640000003553e+002	0.00000000000000000000e+000	-3.70504333842977678372e-005	0.00000000000000000000e+000	8.50796161238372687262e-005	0.00000000000000000000e+000	1.37199999847216531634e+001	1	1
3.20057937500000000000e+005	0.00000000000000000000e+000	3.20053000000000000000e+005	9.27895525819999960173e-005	0.00000000000000000000e+000	1.13540855410000006032e+002	0.00000000000000000000e+000	-3.70604123700838002358e-005	0.00000000000000000000e+000	8.50671905221224558319e-005	0.00000000000000000000e+000	1.39749999847263097763e+001	1	1
3.20059281250000000000e+005	0.00000000000000000000e+000	3.20054000000000000000e+005	9.28047738850000021203e-005	0.00000000000000000000e+000	1.13521087649999998348e+002	0.00000000000000000000e+000	-3.70371355386267270965e-005	0.00000000000000000000e+000	8.50939283788177845344e-005	0.00000000000000000000e+000	1.42239999847952276468e+001	1	1
3.20059656250000000000e+005	0.00000000000000000000e+000	3.20055000000000000000e+005	9.28163135539999983349e-005	0.00000000000000000000e+000	1.13523941039999996860e+002	0.00000000000000000000e+000	-3.70459791130715800252e-005	0.00000000000000000000e+000	8.51026644313108868124e-005	0.00000000000000000000e+000	1.44729999847477301955e+001	1	1
3.20061000000000000000e+005	0.00000000000000000000e+000	3.20056000000000000000e+005	9.27953296920000004523e-005	0.00000000000000000000e+000	1.13538894650000003139e+002	0.00000000000000000000e+000	-3.70598084160282236627e-005	0.00000000000000000000e+000	8.50737551352604912114e-005	0.00000000000000000000e+000	1.47169999846955761313e+001	1	1
3.20061562500000000000e+005	0.00000000000000000000e+000	3.20057000000000000000e+005	9.27850051080000013445e-005	0.00000000000000000000e+000	1.13539108279999993556e+002	0.00000000000000000000e+000	-3.70560022375357645983e-005	0.00000000000000000000e+000	8.50641515038111215756e-005	0.00000000000000000000e+000	1.49589999847812578082e+001	1	1
3.20063406250000000000e+005	0.00000000000000000000e+000	3.20058000000000000000e+005	9.28184890649999961697e-005	0.00000000000000000000e+000	1.13536643979999993803e+002	0.00000000000000000000e+000	-3.70657149132056190199e-005	0.00000000000000000000e+000	8.50964434643569107982e-005	0.00000000000000000000e+000	1.52039999847766011953e+001	1	1
