Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
2.00003046880000008969e+005	0.00000000000000000000e+000	2.00000000000000000000e+005	8.40244319990000019822e-005	0.00000000000000000000e+000	1.12332962039999998183e+002	0.00000000000000000000e+000	-3.19283040430001508738e-005	0.00000000000000000000e+000	7.77218667666462872728e-005	0.00000000000000000000e+000	9.25999961909838020802e-001	1	1
2.00053468750000000000e+005	0.00000000000000000000e+000	2.00050000000000000000e+005	8.40233624329999987963e-005	0.00000000000000000000e+000	1.12335556030000006444e+002	0.00000000000000000000e+000	-3.19314162966800535264e-005	0.00000000000000000000e+000	7.77194318548160193545e-005	0.00000000000000000000e+000	1.17699996184092015028e+000	1	1
2.00103484380000008969e+005	0.00000000000000000000e+000	2.00100000000000000000e+005	8.40426364450000065601e-005	0.00000000000000000000e+000	1.12341285709999993969e+002	0.00000000000000000000e+000	-3.19465147081532505231e-005	0.00000000000000000000e+000	7.77340654965902999986e-005	0.00000000000000000000e+000	1.43799996189773082733e+000	1	1
2.00153546880000008969e+005	0.00000000000000000000e+000	2.00150000000000000000e+005	8.40315042299999935809e-005	0.00000000000000000000e+000	1.12342185970000002726e+002	0.00000000000000000000e+000	-3.19435043312633380557e-005	0.00000000000000000000e+000	7.77232670067018514923e-005	0.00000000000000000000e+000	1.69199996185488998890e+000	1	1
2.00203515619999991031e+005	0.00000000000000000000e+000	2.00200000000000000000e+005	8.40502616480000020989e-005	0.00000000000000000000e+000	1.12342041019999996365e+002	0.00000000000000000000e+000	-3.19504380518586186409e-005	0.00000000000000000000e+000	7.77406971372884326738e-005	0.00000000000000000000e+000	1.93699996185023337603e+000	1	1
2.00253671880000008969e+005	0.00000000000000000000e+000	2.00250000000000000000e+005	8.40794527899999986301e-005	0.00000000000000000000e+000	1.12340614320000000248e+002	0.00000000000000000000e+000	-3.19595981506318933840e-005	0.00000000000000000000e+000	7.77684927687039928654e-005	0.00000000000000000000e+000	2.18699996185023337603e+000	1	1
2.00303437500000000000e+005	0.00000000000000000000e+000	2.00300000000000000000e+005	8.41129804030000052806e-005	0.00000000000000000000e+000	1.12342285160000002975e+002	0.00000000000000000000e+000	-3.19746111433429186489e-005	0.00000000000000000000e+000	7.77985714168806123453e-005	0.00000000000000000000e+000	2.44099996180739253759e+000	1	1
2.00353812500000000000e+005	0.00000000000000000000e+000	2.00350000000000000000e+005	8.41342625789999974933e-005	0.00000000000000000000e+000	1.12348571780000000331e+002	0.00000000000000000000e+000	-3.19912395240726129793e-005	0.00000000000000000000e+000	7.78147462466178960932e-005	0.00000000000000000000e+000	2.68999996187631040812e+000	1	1
2.00403796880000008969e+005	0.00000000000000000000e+000	2.00400000000000000000e+005	8.41598011899999962158e-005	0.00000000000000000000e+000	1.12354614260000005288e+002	0.00000000000000000000e+000	-3.20091590810483674805e-005	0.00000000000000000000e+000	7.78349913038118375232e-005	0.00000000000000000000e+000	2.93799996189773082733e+000	1	1
2.00453406250000000000e+005	0.00000000000000000000e+000	2.00450000000000000000e+005	8.41643559399999973769e-005	0.00000000000000000000e+000	1.12334976199999999835e+002	0.00000000000000000000e+000	-3.19842102515241756794e-005	0.00000000000000000000e+000	7.78501708757360952979e-005	0.00000000000000000000e+000	3.18599996180273592472e+000	1	1
2.00503140619999991031e+005	0.00000000000000000000e+000	2.00500000000000000000e+005	8.41900473459999965087e-005	0.00000000000000000000e+000	1.12346618649999996364e+002	0.00000000000000000000e+000	-3.20097967729763912561e-005	0.00000000000000000000e+000	7.78674321053061989709e-005	0.00000000000000000000e+000	3.43299996189307421446e+000	1	1
2.00553421880000008969e+005	0.00000000000000000000e+000	2.00550000000000000000e+005	8.42169611129999992356e-005	0.00000000000000000000e+000	1.12368537900000006857e+002	0.00000000000000000000e+000	-3.20498260074198227407e-005	0.00000000000000000000e+000	7.78800692860674769000e-005	0.00000000000000000000e+000	3.67999996186699718237e+000	1	1
2.00603796880000008969e+005	0.00000000000000000000e+000	2.00600000000000000000e+005	8.42378212839999955574e-005	0.00000000000000000000e+000	1.12359321589999993307e+002	0.00000000000000000000e+000	-3.20452336959701027910e-005	0.00000000000000000000e+000	7.79045154791799216798e-005	0.00000000000000000000e+000	3.92899996181949973106e+000	1	1
