TimeAll	TimeExperiment	R	Theta
8.567700e+001	8.000016e-002	9.219619e-005	1.061594e+002
8.580900e+001	2.120001e-001	9.213587e-005	1.060388e+002
8.591800e+001	3.210001e-001	9.207844e-005	1.059025e+002
8.601200e+001	4.150002e-001	9.207695e-005	1.058007e+002
8.610500e+001	5.080001e-001	9.203361e-005	1.056833e+002
8.621500e+001	6.180000e-001	9.201519e-005	1.055812e+002
8.632400e+001	7.270000e-001	9.199450e-005	1.054431e+002
8.643300e+001	8.360002e-001	9.194906e-005	1.053237e+002
8.652700e+001	9.300001e-001	9.193504e-005	1.051906e+002
8.663600e+001	1.039000e+000	9.192726e-005	1.050792e+002
8.672900e+001	1.132000e+000	9.192238e-005	1.049325e+002
8.682300e+001	1.226000e+000	9.189962e-005	1.048414e+002
8.691700e+001	1.320000e+000	9.190271e-005	1.047187e+002
8.702600e+001	1.429000e+000	9.191292e-005	1.046123e+002
8.713500e+001	1.538000e+000	9.187552e-005	1.044691e+002
8.724400e+001	1.647000e+000	9.190432e-005	1.043300e+002
8.735300e+001	1.756000e+000	9.190310e-005	1.041929e+002
8.744700e+001	1.850000e+000	9.191542e-005	1.040418e+002
8.754100e+001	1.944000e+000	9.190033e-005	1.039196e+002
8.765000e+001	2.053000e+000	9.193377e-005	1.037886e+002
8.774300e+001	2.146000e+000	9.194230e-005	1.036330e+002
8.783700e+001	2.240000e+000	9.196622e-005	1.035072e+002
8.794600e+001	2.349000e+000	9.201854e-005	1.033802e+002
8.804000e+001	2.443000e+000	9.203807e-005	1.032309e+002
8.814900e+001	2.552000e+000	9.208191e-005	1.031024e+002
8.825800e+001	2.661000e+000	9.210205e-005	1.029467e+002
8.835200e+001	2.755000e+000	9.216661e-005	1.028018e+002
8.846100e+001	2.864000e+000	9.222407e-005	1.026546e+002
8.855500e+001	2.958000e+000	9.227865e-005	1.024997e+002
8.864800e+001	3.051000e+000	9.233342e-005	1.023668e+002
8.875700e+001	3.160000e+000	9.240204e-005	1.022174e+002
8.886700e+001	3.270000e+000	9.247530e-005	1.020418e+002
8.896000e+001	3.363000e+000	9.254889e-005	1.018845e+002
8.906900e+001	3.472000e+000	9.261941e-005	1.017419e+002
8.917900e+001	3.582000e+000	9.275279e-005	1.015725e+002
8.928800e+001	3.691000e+000	9.284523e-005	1.014115e+002
8.938100e+001	3.784000e+000	9.291500e-005	1.012547e+002
8.947500e+001	3.878000e+000	9.304874e-005	1.011085e+002
8.956900e+001	3.972000e+000	9.316232e-005	1.009720e+002
8.966200e+001	4.065000e+000	9.325530e-005	1.008203e+002
8.977100e+001	4.174000e+000	9.338193e-005	1.006748e+002
8.986500e+001	4.268000e+000	9.351327e-005	1.005089e+002
8.995900e+001	4.362000e+000	9.366420e-005	1.003616e+002
9.005200e+001	4.455000e+000	9.381779e-005	1.002182e+002
9.014600e+001	4.549000e+000	9.393985e-005	1.000636e+002
9.025500e+001	4.658000e+000	9.410545e-005	9.991640e+001
9.034900e+001	4.752000e+000	9.430163e-005	9.975105e+001
9.044200e+001	4.845000e+000	9.448198e-005	9.961803e+001
9.053600e+001	4.939000e+000	9.463922e-005	9.946770e+001
9.063000e+001	5.033000e+000	9.484999e-005	9.932819e+001
9.073900e+001	5.142000e+000	9.500708e-005	9.919186e+001
9.084800e+001	5.251000e+000	9.525721e-005	9.901586e+001
9.094200e+001	5.345000e+000	9.547153e-005	9.888470e+001
9.105100e+001	5.454000e+000	9.567721e-005	9.874872e+001
9.114400e+001	5.547000e+000	9.592716e-005	9.860216e+001
9.123800e+001	5.641000e+000	9.608641e-005	9.848557e+001
9.133200e+001	5.735000e+000	9.629235e-005	9.836951e+001
9.144100e+001	5.844000e+000	9.652448e-005	9.825266e+001
9.155000e+001	5.953000e+000	9.674175e-005	9.810759e+001
9.164400e+001	6.047000e+000	9.700380e-005	9.795787e+001
9.173700e+001	6.140000e+000	9.724413e-005	9.782375e+001
9.183100e+001	6.234000e+000	9.750109e-005	9.769334e+001
9.192400e+001	6.327000e+000	9.775870e-005	9.758291e+001
9.203400e+001	6.437000e+000	9.807957e-005	9.747165e+001
9.214300e+001	6.546000e+000	9.839366e-005	9.733302e+001
9.223600e+001	6.639000e+000	9.872109e-005	9.721353e+001
9.234600e+001	6.749000e+000	9.903496e-005	9.709585e+001
9.245500e+001	6.858000e+000	9.940917e-005	9.697042e+001
9.256400e+001	6.967000e+000	9.977493e-005	9.685896e+001
9.267300e+001	7.076000e+000	1.001301e-004	9.673663e+001
9.276700e+001	7.170000e+000	1.005176e-004	9.664224e+001
9.286000e+001	7.263000e+000	1.008437e-004	9.655086e+001
9.297000e+001	7.373000e+000	1.011894e-004	9.645814e+001
9.307900e+001	7.482000e+000	1.016106e-004	9.637230e+001
9.317200e+001	7.575000e+000	1.019863e-004	9.627359e+001
9.326600e+001	7.669000e+000	1.023491e-004	9.620752e+001
9.336000e+001	7.763000e+000	1.026879e-004	9.614097e+001
9.345300e+001	7.856000e+000	1.030512e-004	9.608535e+001
9.354700e+001	7.950000e+000	1.034201e-004	9.602940e+001
9.365600e+001	8.059000e+000	1.037697e-004	9.598100e+001
9.375000e+001	8.153000e+000	1.042079e-004	9.591212e+001
9.385900e+001	8.262000e+000	1.046438e-004	9.588972e+001
9.395200e+001	8.355000e+000	1.050759e-004	9.583276e+001
9.404600e+001	8.449000e+000	1.054972e-004	9.579414e+001
9.414000e+001	8.543000e+000	1.059145e-004	9.577269e+001
9.423300e+001	8.636000e+000	1.063525e-004	9.575617e+001
9.432700e+001	8.730000e+000	1.067631e-004	9.574207e+001
9.442000e+001	8.823000e+000	1.071842e-004	9.574127e+001
9.451400e+001	8.917000e+000	1.076522e-004	9.572655e+001
9.460800e+001	9.011000e+000	1.080793e-004	9.572746e+001
9.471700e+001	9.120000e+000	1.085138e-004	9.574677e+001
9.481000e+001	9.213000e+000	1.089966e-004	9.574907e+001
9.490400e+001	9.307000e+000	1.094144e-004	9.575959e+001
9.499800e+001	9.401000e+000	1.098612e-004	9.579486e+001
9.509100e+001	9.494000e+000	1.103210e-004	9.582518e+001
9.520000e+001	9.603000e+000	1.107916e-004	9.587014e+001
9.531000e+001	9.713000e+000	1.113157e-004	9.593906e+001
9.540300e+001	9.806000e+000	1.118090e-004	9.598479e+001
9.549700e+001	9.900000e+000	1.122602e-004	9.604745e+001
9.560600e+001	1.000900e+001	1.126934e-004	9.611925e+001
9.570000e+001	1.010300e+001	1.131834e-004	9.619025e+001
9.579300e+001	1.019600e+001	1.136400e-004	9.627282e+001
9.588700e+001	1.029000e+001	1.141274e-004	9.635525e+001
9.598000e+001	1.038300e+001	1.145013e-004	9.644103e+001
9.607400e+001	1.047700e+001	1.149248e-004	9.654687e+001
9.616800e+001	1.057100e+001	1.153596e-004	9.663569e+001
9.626100e+001	1.066400e+001	1.157601e-004	9.673555e+001
9.635500e+001	1.075800e+001	1.161760e-004	9.682227e+001
9.644800e+001	1.085100e+001	1.165310e-004	9.693504e+001
9.655800e+001	1.096100e+001	1.169426e-004	9.704363e+001
9.666700e+001	1.107000e+001	1.174091e-004	9.717041e+001
9.677600e+001	1.117900e+001	1.178609e-004	9.730934e+001
9.687000e+001	1.127300e+001	1.183147e-004	9.745594e+001
9.696300e+001	1.136600e+001	1.186634e-004	9.758999e+001
9.707200e+001	1.147500e+001	1.190355e-004	9.771530e+001
9.716600e+001	1.156900e+001	1.194100e-004	9.786050e+001
9.723300e+001	1.163600e+001	1.197351e-004	9.799746e+001
9.732800e+001	1.173100e+001	1.200636e-004	9.815028e+001
