Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
3.19554406250000000000e+005	0.00000000000000000000e+000	3.19550000000000000000e+005	1.15503004049999995185e-004	0.00000000000000000000e+000	1.12606384280000000331e+002	0.00000000000000000000e+000	-4.43991421848862128415e-005	0.00000000000000000000e+000	1.06628608346074615627e-004	0.00000000000000000000e+000	6.29999940865673124790e-001	1	1
3.19556375000000000000e+005	0.00000000000000000000e+000	3.19552000000000000000e+005	1.15646660560000006193e-004	0.00000000000000000000e+000	1.12571350100000003636e+002	0.00000000000000000000e+000	-4.43890747663395679652e-005	0.00000000000000000000e+000	1.06788389537759099350e-004	0.00000000000000000000e+000	8.10999940847977995872e-001	1	1
3.19558843750000000000e+005	0.00000000000000000000e+000	3.19554000000000000000e+005	1.15796523459999996589e-004	0.00000000000000000000e+000	1.12532226559999998017e+002	0.00000000000000000000e+000	-4.43735735295138557536e-005	0.00000000000000000000e+000	1.06957098023661615433e-004	0.00000000000000000000e+000	9.90999940899200737476e-001	1	1
3.19561968750000000000e+005	0.00000000000000000000e+000	3.19556000000000000000e+005	1.15946910230000006271e-004	0.00000000000000000000e+000	1.12491233829999998761e+002	0.00000000000000000000e+000	-4.43545681198895681407e-005	0.00000000000000000000e+000	1.07127766142964804086e-004	0.00000000000000000000e+000	1.16299994091968983412e+000	1	1
3.19563593750000000000e+005	0.00000000000000000000e+000	3.19558000000000000000e+005	1.16083705509999996039e-004	0.00000000000000000000e+000	1.12452041629999996530e+002	0.00000000000000000000e+000	-4.43335223089154689875e-005	0.00000000000000000000e+000	1.07284507197532005059e-004	0.00000000000000000000e+000	1.34499994083307683468e+000	1	1
3.19565156250000000000e+005	0.00000000000000000000e+000	3.19560000000000000000e+005	1.16237904879999996233e-004	0.00000000000000000000e+000	1.12417594910000005370e+002	0.00000000000000000000e+000	-4.43278185090691410680e-005	0.00000000000000000000e+000	1.07453687871189210818e-004	0.00000000000000000000e+000	1.52499994088429957628e+000	1	1
3.19566406250000000000e+005	0.00000000000000000000e+000	3.19562000000000000000e+005	1.16385126600000005613e-004	0.00000000000000000000e+000	1.12374153140000004214e+002	0.00000000000000000000e+000	-4.43023746080586949174e-005	0.00000000000000000000e+000	1.07623404972084332396e-004	0.00000000000000000000e+000	1.70899994089268147945e+000	1	1
3.19568656250000000000e+005	0.00000000000000000000e+000	3.19564000000000000000e+005	1.16541421450000001639e-004	0.00000000000000000000e+000	1.12326698300000003883e+002	0.00000000000000000000e+000	-4.42725954851484203886e-005	0.00000000000000000000e+000	1.07804639058785110958e-004	0.00000000000000000000e+000	1.87999994086567312479e+000	1	1
3.19571406250000000000e+005	0.00000000000000000000e+000	3.19566000000000000000e+005	1.16729970610000006299e-004	0.00000000000000000000e+000	1.12268157959999996365e+002	0.00000000000000000000e+000	-4.42338752353616315792e-005	0.00000000000000000000e+000	1.08024304303586826280e-004	0.00000000000000000000e+000	2.06199994089547544718e+000	1	1
3.19572718750000000000e+005	0.00000000000000000000e+000	3.19568000000000000000e+005	1.16910508950000000331e-004	0.00000000000000000000e+000	1.12215301510000003304e+002	0.00000000000000000000e+000	-4.42024613277348915998e-005	0.00000000000000000000e+000	1.08232201841772262456e-004	0.00000000000000000000e+000	2.24399994092527776957e+000	1	1
