TimeAll	TimeExperiment	R	Theta
2.549000e+001	8.099985e-002	2.855479e-004	1.122445e+002
2.562300e+001	2.140000e-001	2.858423e-004	1.116020e+002
2.571600e+001	3.069999e-001	2.864087e-004	1.110235e+002
2.581000e+001	4.010000e-001	2.872254e-004	1.104029e+002
2.591900e+001	5.100000e-001	2.884060e-004	1.097481e+002
2.602800e+001	6.190000e-001	2.902676e-004	1.089803e+002
2.612200e+001	7.129998e-001	2.926742e-004	1.082210e+002
2.623100e+001	8.220000e-001	2.953952e-004	1.075478e+002
2.634000e+001	9.310000e-001	2.991201e-004	1.068309e+002
2.645000e+001	1.041000e+000	3.034365e-004	1.062026e+002
2.654300e+001	1.134000e+000	3.086009e-004	1.056532e+002
2.665200e+001	1.243000e+000	3.136112e-004	1.052823e+002
2.676100e+001	1.352000e+000	3.200503e-004	1.049921e+002
2.685500e+001	1.446000e+000	3.265219e-004	1.048877e+002
2.696400e+001	1.555000e+000	3.325910e-004	1.049381e+002
2.705800e+001	1.649000e+000	3.393925e-004	1.051629e+002
2.716700e+001	1.758000e+000	3.451197e-004	1.054875e+002
2.727600e+001	1.867000e+000	3.514834e-004	1.060114e+002
2.734100e+001	1.932000e+000	3.569338e-004	1.066341e+002
2.743500e+001	2.026000e+000	3.612828e-004	1.072679e+002
