Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
9.83516062500000000000e+005	0.00000000000000000000e+000	9.83500000000000000000e+005	3.48680361639999985158e-004	0.00000000000000000000e+000	1.19700752260000001570e+002	0.00000000000000000000e+000	-1.72760673446135086138e-004	0.00000000000000000000e+000	3.02872488522544828192e-004	0.00000000000000000000e+000	6.35000003851018846035e-001	1	1
9.83518062500000000000e+005	0.00000000000000000000e+000	9.83502000000000000000e+005	3.48806031979999981666e-004	0.00000000000000000000e+000	1.19686538699999999835e+002	0.00000000000000000000e+000	-1.72747772325058837443e-004	0.00000000000000000000e+000	3.03024512378722232168e-004	0.00000000000000000000e+000	8.12000003759749233723e-001	1	1
9.83519187500000000000e+005	0.00000000000000000000e+000	9.83504000000000000000e+005	3.49123438349999972927e-004	0.00000000000000000000e+000	1.19664520260000003304e+002	0.00000000000000000000e+000	-1.72788399956790478295e-004	0.00000000000000000000e+000	3.03366682491170141373e-004	0.00000000000000000000e+000	9.91000003763474524021e-001	1	1
9.83521312500000000000e+005	0.00000000000000000000e+000	9.83506000000000000000e+005	3.49422160070000009571e-004	0.00000000000000000000e+000	1.19642349240000001487e+002	0.00000000000000000000e+000	-1.72818740168563604034e-004	0.00000000000000000000e+000	3.03693149403366042735e-004	0.00000000000000000000e+000	1.16300000378396362066e+000	1	1
9.83523000000000000000e+005	0.00000000000000000000e+000	9.83508000000000000000e+005	3.49751237079999979275e-004	0.00000000000000000000e+000	1.19615257260000007022e+002	0.00000000000000000000e+000	-1.72837742387000763188e-004	0.00000000000000000000e+000	3.04060919299990121533e-004	0.00000000000000000000e+000	1.34600000386126339436e+000	1	1
9.83526062500000000000e+005	0.00000000000000000000e+000	9.83510000000000000000e+005	3.50034650179999998112e-004	0.00000000000000000000e+000	1.19590881350000003636e+002	0.00000000000000000000e+000	-1.72848317474248979733e-004	0.00000000000000000000e+000	3.04380872383525806837e-004	0.00000000000000000000e+000	1.52200000383891165257e+000	1	1
9.83527375000000000000e+005	0.00000000000000000000e+000	9.83512000000000000000e+005	3.50353569960000011448e-004	0.00000000000000000000e+000	1.19563186650000005784e+002	0.00000000000000000000e+000	-1.72858520245942046990e-004	0.00000000000000000000e+000	3.04741785717186925569e-004	0.00000000000000000000e+000	1.70100000384263694286e+000	1	1
9.83531250000000000000e+005	0.00000000000000000000e+000	9.83514000000000000000e+005	3.50724702000000025746e-004	0.00000000000000000000e+000	1.19537559509999994134e+002	0.00000000000000000000e+000	-1.72905164533617062726e-004	0.00000000000000000000e+000	3.05141968058462314823e-004	0.00000000000000000000e+000	1.87700000382028520107e+000	1	1
9.83531312500000000000e+005	0.00000000000000000000e+000	9.83516000000000000000e+005	3.51090973709999973514e-004	0.00000000000000000000e+000	1.19506690980000001900e+002	0.00000000000000000000e+000	-1.72921139966405334630e-004	0.00000000000000000000e+000	3.05553843329379115016e-004	0.00000000000000000000e+000	2.05300000379793345928e+000	1	1
9.83533125000000000000e+005	0.00000000000000000000e+000	9.83518000000000000000e+005	3.51402122759999981268e-004	0.00000000000000000000e+000	1.19477691649999997026e+002	0.00000000000000000000e+000	-1.72919578362882111512e-004	0.00000000000000000000e+000	3.05912195407501141808e-004	0.00000000000000000000e+000	2.22800000384449958801e+000	1	1
