TimeAll	TimeExperiment	R	Theta
1.686100e+001	7.900000e-002	1.525012e-004	1.029414e+002
1.699300e+001	2.110000e-001	1.524938e-004	1.021050e+002
1.708700e+001	3.049998e-001	1.526430e-004	1.012884e+002
1.719600e+001	4.139998e-001	1.529289e-004	1.004099e+002
1.730500e+001	5.229998e-001	1.534432e-004	9.938829e+001
1.741400e+001	6.320000e-001	1.542544e-004	9.831485e+001
1.752400e+001	7.419999e-001	1.553732e-004	9.718633e+001
1.761700e+001	8.349998e-001	1.567714e-004	9.609566e+001
1.771100e+001	9.289999e-001	1.582799e-004	9.513256e+001
1.780400e+001	1.022000e+000	1.601451e-004	9.418094e+001
1.789800e+001	1.116000e+000	1.623039e-004	9.324503e+001
1.799200e+001	1.210000e+000	1.648619e-004	9.233661e+001
1.808500e+001	1.303000e+000	1.676900e-004	9.152402e+001
1.819400e+001	1.412000e+000	1.709696e-004	9.075264e+001
1.828800e+001	1.506000e+000	1.750218e-004	9.001661e+001
1.839700e+001	1.615000e+000	1.790619e-004	8.946428e+001
1.849100e+001	1.709000e+000	1.839921e-004	8.899570e+001
1.858400e+001	1.802000e+000	1.885776e-004	8.873717e+001
1.867800e+001	1.896000e+000	1.934664e-004	8.861791e+001
1.877200e+001	1.990000e+000	1.983373e-004	8.864353e+001
1.886500e+001	2.083000e+000	2.034974e-004	8.883298e+001
1.895900e+001	2.177000e+000	2.085542e-004	8.915622e+001
1.905200e+001	2.270000e+000	2.133281e-004	8.959502e+001
1.916200e+001	2.380000e+000	2.183579e-004	9.020213e+001
1.923000e+001	2.448000e+000	2.236628e-004	9.101346e+001
1.933000e+001	2.548000e+000	2.281197e-004	9.186501e+001
