Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
5.78009250000000000000e+005	0.00000000000000000000e+000	5.78000000000000000000e+005	2.01817121710000011402e-004	0.00000000000000000000e+000	1.16241775509999996530e+002	0.00000000000000000000e+000	-8.92354410853064854885e-005	0.00000000000000000000e+000	1.81017089440803238907e-004	0.00000000000000000000e+000	6.32999994326382875443e-001	1	1
5.78011375000000000000e+005	0.00000000000000000000e+000	5.78002000000000000000e+005	2.02188821279999990333e-004	0.00000000000000000000e+000	1.16254867550000000165e+002	0.00000000000000000000e+000	-8.94412278404529113591e-005	0.00000000000000000000e+000	1.81330047738889556155e-004	0.00000000000000000000e+000	8.09999994235113263130e-001	1	1
5.78012625000000000000e+005	0.00000000000000000000e+000	5.78004000000000000000e+005	2.02255600020000001664e-004	0.00000000000000000000e+000	1.16247764590000002727e+002	0.00000000000000000000e+000	-8.94482808032280699061e-005	0.00000000000000000000e+000	1.81401027562682476413e-004	0.00000000000000000000e+000	9.88999994238838553429e-001	1	1
5.78014687500000000000e+005	0.00000000000000000000e+000	5.78006000000000000000e+005	2.02303970580000000998e-004	0.00000000000000000000e+000	1.16246147160000006693e+002	0.00000000000000000000e+000	-8.94645507440419067522e-005	0.00000000000000000000e+000	1.81446936244733145714e-004	0.00000000000000000000e+000	1.16499999433290213346e+000	1	1
5.78016812500000000000e+005	0.00000000000000000000e+000	5.78008000000000000000e+005	2.02347073350000002849e-004	0.00000000000000000000e+000	1.16241714479999998844e+002	0.00000000000000000000e+000	-8.94695711354898066741e-005	0.00000000000000000000e+000	1.81492517570675096278e-004	0.00000000000000000000e+000	1.34599999431520700455e+000	1	1
5.78019375000000000000e+005	0.00000000000000000000e+000	5.78010000000000000000e+005	2.02392198839999989859e-004	0.00000000000000000000e+000	1.16240371699999997190e+002	0.00000000000000000000e+000	-8.94852693557446327412e-005	0.00000000000000000000e+000	1.81535089499578351085e-004	0.00000000000000000000e+000	1.52399999427143484354e+000	1	1
5.78021875000000000000e+005	0.00000000000000000000e+000	5.78012000000000000000e+005	2.02423005250000002508e-004	0.00000000000000000000e+000	1.16237167360000000826e+002	0.00000000000000000000e+000	-8.94887357703431652592e-005	0.00000000000000000000e+000	1.81567726274983206160e-004	0.00000000000000000000e+000	1.70299999427516013384e+000	1	1
5.78024250000000000000e+005	0.00000000000000000000e+000	5.78014000000000000000e+005	2.02481925950000012353e-004	0.00000000000000000000e+000	1.16241699220000000992e+002	0.00000000000000000000e+000	-8.95291490501746442055e-005	0.00000000000000000000e+000	1.81613495662555064856e-004	0.00000000000000000000e+000	1.87799999432172626257e+000	1	1
5.78025750000000000000e+005	0.00000000000000000000e+000	5.78016000000000000000e+005	2.02510927919999990550e-004	0.00000000000000000000e+000	1.16237564090000006445e+002	0.00000000000000000000e+000	-8.95288630710767925408e-005	0.00000000000000000000e+000	1.81645970514679499022e-004	0.00000000000000000000e+000	2.05799999425653368235e+000	1	1
5.78027062500000000000e+005	0.00000000000000000000e+000	5.78018000000000000000e+005	2.02582479689999994405e-004	0.00000000000000000000e+000	1.16233795169999993391e+002	0.00000000000000000000e+000	-8.95485425794633637568e-005	0.00000000000000000000e+000	1.81716041117022174094e-004	0.00000000000000000000e+000	2.23699999426025897264e+000	1	1
5.78028187500000000000e+005	0.00000000000000000000e+000	5.78020000000000000000e+005	2.02634168089999992845e-004	0.00000000000000000000e+000	1.16235580440000006774e+002	0.00000000000000000000e+000	-8.95770541224281643174e-005	0.00000000000000000000e+000	1.81759614469975016486e-004	0.00000000000000000000e+000	2.41599999426398426294e+000	1	1
5.78031625000000000000e+005	0.00000000000000000000e+000	5.78022000000000000000e+005	2.02696042830000002638e-004	0.00000000000000000000e+000	1.16228477479999995126e+002	0.00000000000000000000e+000	-8.95818663363529791178e-005	0.00000000000000000000e+000	1.81826221988570677036e-004	0.00000000000000000000e+000	2.59199999424163252115e+000	1	1
5.78033562500000000000e+005	0.00000000000000000000e+000	5.78024000000000000000e+005	2.02765237189999995848e-004	0.00000000000000000000e+000	1.16231018070000004627e+002	0.00000000000000000000e+000	-8.96205120439511027878e-005	0.00000000000000000000e+000	1.81884318273173219843e-004	0.00000000000000000000e+000	2.76699999428819864988e+000	1	1
5.78035375000000000000e+005	0.00000000000000000000e+000	5.78026000000000000000e+005	2.02789000470000001231e-004	0.00000000000000000000e+000	1.16220802309999996282e+002	0.00000000000000000000e+000	-8.95985802592265509654e-005	0.00000000000000000000e+000	1.81921612589468309788e-004	0.00000000000000000000e+000	2.94399999431334435940e+000	1	1
5.78037250000000000000e+005	0.00000000000000000000e+000	5.78028000000000000000e+005	2.02829629419999998971e-004	0.00000000000000000000e+000	1.16224945070000003966e+002	0.00000000000000000000e+000	-8.96296876186355523852e-005	0.00000000000000000000e+000	1.81951580559335435085e-004	0.00000000000000000000e+000	3.12299999431706964970e+000	1	1
5.78039062500000000000e+005	0.00000000000000000000e+000	5.78030000000000000000e+005	2.02875220569999993375e-004	0.00000000000000000000e+000	1.16225112920000000827e+002	0.00000000000000000000e+000	-8.96503673376882999693e-005	0.00000000000000000000e+000	1.81992216200429021309e-004	0.00000000000000000000e+000	3.29699999431613832712e+000	1	1
5.78041062500000000000e+005	0.00000000000000000000e+000	5.78032000000000000000e+005	2.02944400369999998143e-004	0.00000000000000000000e+000	1.16219902039999993804e+002	0.00000000000000000000e+000	-8.96643801625365832741e-005	0.00000000000000000000e+000	1.82062430423212160769e-004	0.00000000000000000000e+000	3.47299999429378658533e+000	1	1
5.78043062500000000000e+005	0.00000000000000000000e+000	5.78034000000000000000e+005	2.03007366510000005410e-004	0.00000000000000000000e+000	1.16217681880000000660e+002	0.00000000000000000000e+000	-8.96851426910690903297e-005	0.00000000000000000000e+000	1.82122393015817917328e-004	0.00000000000000000000e+000	3.64999999431893229485e+000	1	1
