TimeAll	TimeExperiment	R	Theta
2.127900e+001	8.000016e-002	1.269624e-004	1.057262e+002
2.137200e+001	1.730001e-001	1.271245e-004	1.052989e+002
2.146700e+001	2.680001e-001	1.271995e-004	1.048625e+002
2.156200e+001	3.630002e-001	1.272397e-004	1.043692e+002
2.165700e+001	4.579999e-001	1.272597e-004	1.038870e+002
2.175300e+001	5.540001e-001	1.271933e-004	1.033484e+002
2.184600e+001	6.470001e-001	1.270280e-004	1.028263e+002
2.193900e+001	7.400000e-001	1.268282e-004	1.022584e+002
2.203500e+001	8.360000e-001	1.265054e-004	1.017136e+002
2.213000e+001	9.310000e-001	1.260770e-004	1.011327e+002
2.222500e+001	1.026000e+000	1.255542e-004	1.005322e+002
2.232100e+001	1.122000e+000	1.249105e-004	9.993265e+001
2.241500e+001	1.216000e+000	1.241698e-004	9.934421e+001
2.250700e+001	1.308000e+000	1.233546e-004	9.879936e+001
2.260100e+001	1.402000e+000	1.224144e-004	9.823475e+001
2.269500e+001	1.496000e+000	1.213875e-004	9.772594e+001
2.278700e+001	1.588000e+000	1.202628e-004	9.723627e+001
2.288100e+001	1.682000e+000	1.190637e-004	9.677914e+001
2.297600e+001	1.777000e+000	1.177626e-004	9.634049e+001
2.306900e+001	1.870000e+000	1.163568e-004	9.595887e+001
2.316200e+001	1.963000e+000	1.149753e-004	9.564365e+001
2.325700e+001	2.058000e+000	1.135525e-004	9.537609e+001
2.334800e+001	2.149000e+000	1.121251e-004	9.520084e+001
2.344100e+001	2.242000e+000	1.106822e-004	9.505299e+001
2.353600e+001	2.337000e+000	1.092208e-004	9.496545e+001
2.362800e+001	2.429000e+000	1.078309e-004	9.494321e+001
2.371800e+001	2.519000e+000	1.064849e-004	9.497794e+001
2.381000e+001	2.611000e+000	1.051603e-004	9.505223e+001
2.390100e+001	2.702000e+000	1.038876e-004	9.517905e+001
2.399200e+001	2.793000e+000	1.026535e-004	9.536669e+001
2.408300e+001	2.884000e+000	1.015357e-004	9.557855e+001
2.417400e+001	2.975000e+000	1.004870e-004	9.584666e+001
2.426200e+001	3.063000e+000	9.947441e-005	9.612224e+001
2.435500e+001	3.156000e+000	9.855074e-005	9.643701e+001
2.444700e+001	3.248000e+000	9.767597e-005	9.675255e+001
