Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
3.20705031250000000000e+005	0.00000000000000000000e+000	3.20700000000000000000e+005	1.11166984419999996959e-004	0.00000000000000000000e+000	1.13429000849999994216e+002	0.00000000000000000000e+000	-4.42013647757651145136e-005	0.00000000000000000000e+000	1.02001655756150702808e-004	0.00000000000000000000e+000	6.33000104920938611031e-001	1	1
3.20707125000000000000e+005	0.00000000000000000000e+000	3.20702000000000000000e+005	1.11431771070000002095e-004	0.00000000000000000000e+000	1.13433845520000005536e+002	0.00000000000000000000e+000	-4.43152923950557300426e-005	0.00000000000000000000e+000	1.02240864940285027451e-004	0.00000000000000000000e+000	8.11000104877166450024e-001	1	1
3.20709468750000000000e+005	0.00000000000000000000e+000	3.20704000000000000000e+005	1.11448985989999994829e-004	0.00000000000000000000e+000	1.13435897830000001818e+002	0.00000000000000000000e+000	-4.43258013560183267046e-005	0.00000000000000000000e+000	1.02255072306199157415e-004	0.00000000000000000000e+000	9.97000104864127933979e-001	1	1
3.20710531250000000000e+005	0.00000000000000000000e+000	3.20706000000000000000e+005	1.11466601080000002398e-004	0.00000000000000000000e+000	1.13439071659999996200e+002	0.00000000000000000000e+000	-4.43384724011941188629e-005	0.00000000000000000000e+000	1.02268778331690281215e-004	0.00000000000000000000e+000	1.17600010486785322428e+000	1	1
3.20712875000000000000e+005	0.00000000000000000000e+000	3.20708000000000000000e+005	1.11498127810000005589e-004	0.00000000000000000000e+000	1.13432495119999998678e+002	0.00000000000000000000e+000	-4.43392706472017225161e-005	0.00000000000000000000e+000	1.02302793625635136628e-004	0.00000000000000000000e+000	1.35500010487157851458e+000	1	1
3.20714562500000000000e+005	0.00000000000000000000e+000	3.20710000000000000000e+005	1.11529952850000001825e-004	0.00000000000000000000e+000	1.13430664059999998017e+002	0.00000000000000000000e+000	-4.43486561055746718058e-005	0.00000000000000000000e+000	1.02333411378457907366e-004	0.00000000000000000000e+000	1.53300010494422167540e+000	1	1
3.20717250000000000000e+005	0.00000000000000000000e+000	3.20712000000000000000e+005	1.11571687740000006161e-004	0.00000000000000000000e+000	1.13422584529999994629e+002	0.00000000000000000000e+000	-4.43508151990421614717e-005	0.00000000000000000000e+000	1.02377960012555818637e-004	0.00000000000000000000e+000	1.71100010490044951439e+000	1	1
3.20718500000000000000e+005	0.00000000000000000000e+000	3.20714000000000000000e+005	1.11608344010000003601e-004	0.00000000000000000000e+000	1.13429367069999997852e+002	0.00000000000000000000e+000	-4.43775093511117698546e-005	0.00000000000000000000e+000	1.02406343145561507446e-004	0.00000000000000000000e+000	1.88700010487809777260e+000	1	1
3.20720500000000000000e+005	0.00000000000000000000e+000	3.20716000000000000000e+005	1.11613393529999999380e-004	0.00000000000000000000e+000	1.13428108219999998596e+002	0.00000000000000000000e+000	-4.43772670420383019566e-005	0.00000000000000000000e+000	1.02411951378548918105e-004	0.00000000000000000000e+000	2.05800010485108941793e+000	1	1
3.20722687500000000000e+005	0.00000000000000000000e+000	3.20718000000000000000e+005	1.11635592479999995333e-004	0.00000000000000000000e+000	1.13418945309999998017e+002	0.00000000000000000000e+000	-4.43697114552284044438e-005	0.00000000000000000000e+000	1.02439417285244281273e-004	0.00000000000000000000e+000	2.22900010494049638510e+000	1	1
