TimeAll	TimeExperiment	R	Theta
1.731200e+001	7.900000e-002	3.680086e-004	1.136381e+002
1.744400e+001	2.110000e-001	3.676286e-004	1.129570e+002
1.753800e+001	3.050001e-001	3.668452e-004	1.123239e+002
1.763200e+001	3.989999e-001	3.655309e-004	1.116275e+002
1.772500e+001	4.919999e-001	3.636488e-004	1.109257e+002
1.781900e+001	5.860000e-001	3.610423e-004	1.102207e+002
1.791200e+001	6.789999e-001	3.578546e-004	1.095360e+002
1.800600e+001	7.730000e-001	3.538720e-004	1.088764e+002
1.811500e+001	8.820000e-001	3.490417e-004	1.082820e+002
1.820900e+001	9.760001e-001	3.429144e-004	1.077399e+002
1.831800e+001	1.085000e+000	3.370462e-004	1.073955e+002
1.842700e+001	1.194000e+000	3.299684e-004	1.072043e+002
1.852100e+001	1.288000e+000	3.231538e-004	1.072307e+002
1.861400e+001	1.381000e+000	3.173415e-004	1.074361e+002
1.870800e+001	1.475000e+000	3.122565e-004	1.077699e+002
1.880200e+001	1.569000e+000	3.077279e-004	1.082193e+002
1.889500e+001	1.662000e+000	3.037199e-004	1.087604e+002
1.896000e+001	1.727000e+000	3.003803e-004	1.093722e+002
