Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
9.86216750000000000000e+005	0.00000000000000000000e+000	9.86200000000000000000e+005	3.39268328390000025851e-004	0.00000000000000000000e+000	1.20204048159999999257e+002	0.00000000000000000000e+000	-1.70679442680316364230e-004	0.00000000000000000000e+000	2.93209015030031910909e-004	0.00000000000000000000e+000	6.33000064874067902565e-001	1	1
9.86218625000000000000e+005	0.00000000000000000000e+000	9.86202000000000000000e+005	3.39825695849999996276e-004	0.00000000000000000000e+000	1.20207786560000002396e+002	0.00000000000000000000e+000	-1.70979005835510789553e-004	0.00000000000000000000e+000	2.93679558572667914664e-004	0.00000000000000000000e+000	8.13000064808875322342e-001	1	1
9.86219000000000000000e+005	0.00000000000000000000e+000	9.86204000000000000000e+005	3.39966441970000017234e-004	0.00000000000000000000e+000	1.20204856870000000413e+002	0.00000000000000000000e+000	-1.71034797385424103787e-004	0.00000000000000000000e+000	2.93809938138702754235e-004	0.00000000000000000000e+000	9.94000064907595515251e-001	1	1
9.86221187500000000000e+005	0.00000000000000000000e+000	9.86206000000000000000e+005	3.40088212399999986670e-004	0.00000000000000000000e+000	1.20199150090000003388e+002	0.00000000000000000000e+000	-1.71066783840827279150e-004	0.00000000000000000000e+000	2.93932216131173997074e-004	0.00000000000000000000e+000	1.16500006488058716059e+000	1	1
9.86223562500000000000e+005	0.00000000000000000000e+000	9.86208000000000000000e+005	3.40225262329999997030e-004	0.00000000000000000000e+000	1.20188240050000004544e+002	0.00000000000000000000e+000	-1.71079725840011338464e-004	0.00000000000000000000e+000	2.94083247625606647967e-004	0.00000000000000000000e+000	1.34200006490573287010e+000	1	1
9.86225062500000000000e+005	0.00000000000000000000e+000	9.86210000000000000000e+005	3.40334168869999985525e-004	0.00000000000000000000e+000	1.20181900020000000495e+002	0.00000000000000000000e+000	-1.71101935609763058758e-004	0.00000000000000000000e+000	2.94196319030381743097e-004	0.00000000000000000000e+000	1.52000006486196070910e+000	1	1
9.86228937500000000000e+005	0.00000000000000000000e+000	9.86212000000000000000e+005	3.40461381709999998460e-004	0.00000000000000000000e+000	1.20175300599999999918e+002	0.00000000000000000000e+000	-1.71131991659992279808e-004	0.00000000000000000000e+000	2.94325999304116247418e-004	0.00000000000000000000e+000	1.70300006482284516096e+000	1	1
9.86230375000000000000e+005	0.00000000000000000000e+000	9.86214000000000000000e+005	3.40611179129999999508e-004	0.00000000000000000000e+000	1.20165016170000001239e+002	0.00000000000000000000e+000	-1.71154430243505097141e-004	0.00000000000000000000e+000	2.94486224391481631827e-004	0.00000000000000000000e+000	1.88100006489548832178e+000	1	1
9.86231500000000000000e+005	0.00000000000000000000e+000	9.86216000000000000000e+005	3.40715807400000000437e-004	0.00000000000000000000e+000	1.20161193850000003636e+002	0.00000000000000000000e+000	-1.71187352922987654283e-004	0.00000000000000000000e+000	2.94588105006726925280e-004	0.00000000000000000000e+000	2.05600006482563912868e+000	1	1
9.86233625000000000000e+005	0.00000000000000000000e+000	9.86218000000000000000e+005	3.40837141270000014252e-004	0.00000000000000000000e+000	1.20155151369999998678e+002	0.00000000000000000000e+000	-1.71217235615087753908e-004	0.00000000000000000000e+000	2.94711070537625834369e-004	0.00000000000000000000e+000	2.23200006480328738689e+000	1	1
9.86236312500000000000e+005	0.00000000000000000000e+000	9.86220000000000000000e+005	3.40993457939999986515e-004	0.00000000000000000000e+000	1.20143318179999994300e+002	0.00000000000000000000e+000	-1.71234862546596004187e-004	0.00000000000000000000e+000	2.94881603709907461758e-004	0.00000000000000000000e+000	2.40900006482843309641e+000	1	1
9.86237312500000000000e+005	0.00000000000000000000e+000	9.86222000000000000000e+005	3.41145350829999980183e-004	0.00000000000000000000e+000	1.20132797240000002148e+002	0.00000000000000000000e+000	-1.71256963133621333733e-004	0.00000000000000000000e+000	2.95044408472984389259e-004	0.00000000000000000000e+000	2.58700006490107625723e+000	1	1
9.86239687500000000000e+005	0.00000000000000000000e+000	9.86224000000000000000e+005	3.41257953550000003168e-004	0.00000000000000000000e+000	1.20121002200000006610e+002	0.00000000000000000000e+000	-1.71252728165865000017e-004	0.00000000000000000000e+000	2.95177055268329229746e-004	0.00000000000000000000e+000	2.76300006487872451544e+000	1	1
9.86241750000000000000e+005	0.00000000000000000000e+000	9.86226000000000000000e+005	3.41434817530000020262e-004	0.00000000000000000000e+000	1.20115325929999997356e+002	0.00000000000000000000e+000	-1.71312224358771025183e-004	0.00000000000000000000e+000	2.95347010154148141830e-004	0.00000000000000000000e+000	2.94800006481818854809e+000	1	1
