TimeAll	TimeExperiment	R	Theta
5.454000e+001	7.800007e-002	2.502013e-004	1.048093e+002
5.463400e+001	1.720002e-001	2.505114e-004	1.044143e+002
5.473100e+001	2.690001e-001	2.507806e-004	1.039993e+002
5.482700e+001	3.650000e-001	2.510031e-004	1.035610e+002
5.493200e+001	4.700000e-001	2.511843e-004	1.030678e+002
5.502500e+001	5.630000e-001	2.512815e-004	1.026078e+002
5.511800e+001	6.560001e-001	2.513352e-004	1.021331e+002
5.521000e+001	7.480001e-001	2.513003e-004	1.016576e+002
5.530600e+001	8.440001e-001	2.511812e-004	1.011454e+002
5.540200e+001	9.400001e-001	2.509952e-004	1.006150e+002
5.549800e+001	1.036000e+000	2.506836e-004	1.000741e+002
5.559400e+001	1.132000e+000	2.502990e-004	9.951153e+001
5.569000e+001	1.228000e+000	2.497656e-004	9.894742e+001
5.578500e+001	1.323000e+000	2.491329e-004	9.835194e+001
5.588000e+001	1.418000e+000	2.484016e-004	9.776593e+001
5.597500e+001	1.513000e+000	2.475237e-004	9.718137e+001
5.607000e+001	1.608000e+000	2.464845e-004	9.656856e+001
5.616800e+001	1.706000e+000	2.452477e-004	9.592668e+001
5.626300e+001	1.801000e+000	2.439175e-004	9.532852e+001
5.635400e+001	1.892000e+000	2.424994e-004	9.472633e+001
5.645000e+001	1.988000e+000	2.408611e-004	9.412883e+001
5.654500e+001	2.083000e+000	2.390820e-004	9.352375e+001
5.664700e+001	2.185000e+000	2.369657e-004	9.289133e+001
5.674000e+001	2.278000e+000	2.349277e-004	9.232590e+001
5.683400e+001	2.372000e+000	2.327063e-004	9.177401e+001
5.692800e+001	2.466000e+000	2.303448e-004	9.124277e+001
5.702200e+001	2.560000e+000	2.278941e-004	9.073748e+001
5.711800e+001	2.656000e+000	2.252760e-004	9.025477e+001
5.721200e+001	2.750000e+000	2.224978e-004	8.979485e+001
5.730700e+001	2.845000e+000	2.196941e-004	8.939260e+001
5.740100e+001	2.939000e+000	2.168543e-004	8.902705e+001
5.749600e+001	3.034000e+000	2.138772e-004	8.869059e+001
5.759000e+001	3.128000e+000	2.109161e-004	8.840922e+001
5.768300e+001	3.221000e+000	2.079205e-004	8.816706e+001
5.777600e+001	3.314000e+000	2.050348e-004	8.798389e+001
5.787200e+001	3.410000e+000	2.019613e-004	8.784033e+001
5.796500e+001	3.503000e+000	1.989121e-004	8.774647e+001
5.805900e+001	3.597000e+000	1.960678e-004	8.769478e+001
5.815200e+001	3.690000e+000	1.931725e-004	8.770847e+001
5.824600e+001	3.784000e+000	1.903520e-004	8.775614e+001
5.834000e+001	3.878000e+000	1.876441e-004	8.786063e+001
5.843500e+001	3.973000e+000	1.849005e-004	8.801351e+001
5.853000e+001	4.068000e+000	1.823139e-004	8.820775e+001
5.862500e+001	4.163000e+000	1.798116e-004	8.844994e+001
5.871800e+001	4.256000e+000	1.774925e-004	8.871921e+001
5.881500e+001	4.353000e+000	1.751479e-004	8.903984e+001
5.890700e+001	4.445000e+000	1.729864e-004	8.938625e+001
5.900200e+001	4.540000e+000	1.709826e-004	8.976620e+001
5.909500e+001	4.633000e+000	1.690936e-004	9.017175e+001
5.918800e+001	4.726000e+000	1.672940e-004	9.059786e+001
5.928100e+001	4.819000e+000	1.656488e-004	9.104810e+001
5.937600e+001	4.914000e+000	1.640580e-004	9.152393e+001
5.946900e+001	5.007000e+000	1.626098e-004	9.200436e+001
5.956400e+001	5.102000e+000	1.612875e-004	9.250974e+001
5.965700e+001	5.195000e+000	1.600789e-004	9.301689e+001
5.975200e+001	5.290000e+000	1.589202e-004	9.354420e+001
5.984500e+001	5.383000e+000	1.578596e-004	9.407205e+001
