Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
5.80209812500000000000e+005	0.00000000000000000000e+000	5.80200000000000000000e+005	2.14017898539999994623e-004	0.00000000000000000000e+000	1.15522277829999993060e+002	0.00000000000000000000e+000	-9.22121750428776712060e-005	0.00000000000000000000e+000	1.93133569503956047195e-004	0.00000000000000000000e+000	6.27000032458454370499e-001	1	1
5.80211312500000000000e+005	0.00000000000000000000e+000	5.80202000000000000000e+005	2.14199360930000012437e-004	0.00000000000000000000e+000	1.15505744930000005866e+002	0.00000000000000000000e+000	-9.22345798194466041280e-005	0.00000000000000000000e+000	1.93323947063861055658e-004	0.00000000000000000000e+000	8.05000032414682209492e-001	1	1
5.80213562500000000000e+005	0.00000000000000000000e+000	5.80204000000000000000e+005	2.14395433429999989882e-004	0.00000000000000000000e+000	1.15483993530000006444e+002	0.00000000000000000000e+000	-9.22455428579525144039e-005	0.00000000000000000000e+000	1.93535944202825568091e-004	0.00000000000000000000e+000	9.84000032418407499790e-001	1	1
5.80214875000000000000e+005	0.00000000000000000000e+000	5.80206000000000000000e+005	2.14617961320000012054e-004	0.00000000000000000000e+000	1.15465194699999997852e+002	0.00000000000000000000e+000	-9.22777171569086714824e-005	0.00000000000000000000e+000	1.93767108244569168053e-004	0.00000000000000000000e+000	1.15800003241747617722e+000	1	1
5.80216750000000000000e+005	0.00000000000000000000e+000	5.80208000000000000000e+005	2.14822619450000013193e-004	0.00000000000000000000e+000	1.15444206239999999752e+002	0.00000000000000000000e+000	-9.22946583097903277366e-005	0.00000000000000000000e+000	1.93985705336343212642e-004	0.00000000000000000000e+000	1.33700003242120146751e+000	1	1
5.80218375000000000000e+005	0.00000000000000000000e+000	5.80210000000000000000e+005	2.15046820810000006595e-004	0.00000000000000000000e+000	1.15422447199999993472e+002	0.00000000000000000000e+000	-9.23172294815180342117e-005	0.00000000000000000000e+000	1.94223233114231192981e-004	0.00000000000000000000e+000	1.51400003244634717703e+000	1	1
5.80221312500000000000e+005	0.00000000000000000000e+000	5.80212000000000000000e+005	2.15251333429999989599e-004	0.00000000000000000000e+000	1.15400924680000002809e+002	0.00000000000000000000e+000	-9.23319908049249833985e-005	0.00000000000000000000e+000	1.94442639401424188176e-004	0.00000000000000000000e+000	1.69800003245472908020e+000	1	1
5.80224312500000000000e+005	0.00000000000000000000e+000	5.80214000000000000000e+005	2.15492065760000000869e-004	0.00000000000000000000e+000	1.15374633790000004296e+002	0.00000000000000000000e+000	-9.23459208961156682817e-005	0.00000000000000000000e+000	1.94702494332662606703e-004	0.00000000000000000000e+000	1.87500003247987478971e+000	1	1
5.80225687500000000000e+005	0.00000000000000000000e+000	5.80216000000000000000e+005	2.15707899770000002598e-004	0.00000000000000000000e+000	1.15352462770000002479e+002	0.00000000000000000000e+000	-9.23629894224919836127e-005	0.00000000000000000000e+000	1.94933260907739910276e-004	0.00000000000000000000e+000	2.05400003236718475819e+000	1	1
5.80227312500000000000e+005	0.00000000000000000000e+000	5.80218000000000000000e+005	2.15964086239999998812e-004	0.00000000000000000000e+000	1.15327156070000000909e+002	0.00000000000000000000e+000	-9.23864743321919115694e-005	0.00000000000000000000e+000	1.95205599064026357175e-004	0.00000000000000000000e+000	2.23000003246124833822e+000	1	1
