TimeAll	TimeExperiment	R	Theta
6.884000e+000	7.900000e-002	9.725192e-005	1.112011e+002
7.032000e+000	2.270000e-001	9.701204e-005	1.110221e+002
7.156000e+000	3.510001e-001	9.671055e-005	1.108008e+002
7.250000e+000	4.449999e-001	9.639173e-005	1.105739e+002
7.344000e+000	5.390000e-001	9.616135e-005	1.103761e+002
7.437000e+000	6.320000e-001	9.587127e-005	1.101876e+002
7.531000e+000	7.260001e-001	9.560883e-005	1.099023e+002
7.640000e+000	8.350000e-001	9.537972e-005	1.096327e+002
7.734000e+000	9.289999e-001	9.506903e-005	1.092688e+002
7.827000e+000	1.022000e+000	9.481094e-005	1.089285e+002
7.921000e+000	1.116000e+000	9.459521e-005	1.085689e+002
8.014000e+000	1.209000e+000	9.436169e-005	1.081457e+002
8.108000e+000	1.303000e+000	9.418274e-005	1.076906e+002
8.217000e+000	1.412000e+000	9.403692e-005	1.072077e+002
8.326000e+000	1.521000e+000	9.394213e-005	1.065561e+002
8.420000e+000	1.615000e+000	9.388987e-005	1.058726e+002
8.529000e+000	1.724000e+000	9.399013e-005	1.052281e+002
8.638000e+000	1.833000e+000	9.423797e-005	1.044221e+002
8.732000e+000	1.927000e+000	9.464335e-005	1.035253e+002
8.826000e+000	2.021000e+000	9.519582e-005	1.027727e+002
8.935000e+000	2.130000e+000	9.596329e-005	1.019728e+002
9.044000e+000	2.239000e+000	9.717369e-005	1.010694e+002
9.137000e+000	2.332000e+000	9.868430e-005	1.002463e+002
9.231000e+000	2.426000e+000	1.002939e-004	9.962313e+001
9.340000e+000	2.535000e+000	1.021593e-004	9.910061e+001
9.434000e+000	2.629000e+000	1.045672e-004	9.874792e+001
9.527000e+000	2.722000e+000	1.068314e-004	9.862773e+001
9.621000e+000	2.816000e+000	1.092370e-004	9.872098e+001
9.715000e+000	2.910000e+000	1.116852e-004	9.903649e+001
9.824000e+000	3.019000e+000	1.139763e-004	9.952847e+001
9.933000e+000	3.128000e+000	1.164160e-004	1.003356e+002
1.002700e+001	3.222000e+000	1.183584e-004	1.012677e+002
1.013600e+001	3.331000e+000	1.198010e-004	1.021403e+002
1.020100e+001	3.396000e+000	1.209672e-004	1.031602e+002
