Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
3.17505343750000000000e+005	0.00000000000000000000e+000	3.17500000000000000000e+005	1.08231448390000003167e-004	0.00000000000000000000e+000	1.13540298460000002478e+002	0.00000000000000000000e+000	-4.32269851487493026940e-005	0.00000000000000000000e+000	9.92243628125020576914e-005	0.00000000000000000000e+000	6.30999910412356257439e-001	1	1
3.17507062500000000000e+005	0.00000000000000000000e+000	3.17502000000000000000e+005	1.08285290479999995778e-004	0.00000000000000000000e+000	1.13535858149999995703e+002	0.00000000000000000000e+000	-4.32407957057655587896e-005	0.00000000000000000000e+000	9.92770755062326732939e-005	0.00000000000000000000e+000	8.07999910321086645126e-001	1	1
3.17508843750000000000e+005	0.00000000000000000000e+000	3.17504000000000000000e+005	1.08290230860000002652e-004	0.00000000000000000000e+000	1.13536308289999993804e+002	0.00000000000000000000e+000	-4.32435485097550307014e-005	0.00000000000000000000e+000	9.92812651611398445765e-005	0.00000000000000000000e+000	9.83999910298734903336e-001	1	1
3.17510968750000000000e+005	0.00000000000000000000e+000	3.17506000000000000000e+005	1.08314081440000000724e-004	0.00000000000000000000e+000	1.13533271790000000578e+002	0.00000000000000000000e+000	-4.32478099431659088843e-005	0.00000000000000000000e+000	9.93054236852688337368e-005	0.00000000000000000000e+000	1.15299991040956228971e+000	1	1
3.17512812500000000000e+005	0.00000000000000000000e+000	3.17508000000000000000e+005	1.08322710729999996870e-004	0.00000000000000000000e+000	1.13537811279999999670e+002	0.00000000000000000000e+000	-4.32591238241052529175e-005	0.00000000000000000000e+000	9.93099081958390838979e-005	0.00000000000000000000e+000	1.32799991033971309662e+000	1	1
3.17515281250000000000e+005	0.00000000000000000000e+000	3.17510000000000000000e+005	1.08329943029999994724e-004	0.00000000000000000000e+000	1.13541358950000002892e+002	0.00000000000000000000e+000	-4.32681615233843959055e-005	0.00000000000000000000e+000	9.93138598347147291863e-005	0.00000000000000000000e+000	1.50199991033878177404e+000	1	1
3.17516437500000000000e+005	0.00000000000000000000e+000	3.17512000000000000000e+005	1.08337662820000006528e-004	0.00000000000000000000e+000	1.13533172609999994052e+002	0.00000000000000000000e+000	-4.32570536152516047705e-005	0.00000000000000000000e+000	9.93271186425301463255e-005	0.00000000000000000000e+000	1.67699991038534790277e+000	1	1
3.17519937500000000000e+005	0.00000000000000000000e+000	3.17514000000000000000e+005	1.08335494590000003235e-004	0.00000000000000000000e+000	1.13540534969999995951e+002	0.00000000000000000000e+000	-4.32689505504901667757e-005	0.00000000000000000000e+000	9.93195716176784455494e-005	0.00000000000000000000e+000	1.85099991038441658020e+000	1	1
3.17520843750000000000e+005	0.00000000000000000000e+000	3.17516000000000000000e+005	1.08334708780000006580e-004	0.00000000000000000000e+000	1.13543594360000000165e+002	0.00000000000000000000e+000	-4.32739399099313972472e-005	0.00000000000000000000e+000	9.93165406723324083096e-005	0.00000000000000000000e+000	2.02299991040490567684e+000	1	1
3.17522625000000000000e+005	0.00000000000000000000e+000	3.17518000000000000000e+005	1.08338914289999997025e-004	0.00000000000000000000e+000	1.13534889219999996612e+002	0.00000000000000000000e+000	-4.32605292067942607918e-005	0.00000000000000000000e+000	9.93269699642753935631e-005	0.00000000000000000000e+000	2.19599991035647690296e+000	1	1
3.17526000000000000000e+005	0.00000000000000000000e+000	3.17520000000000000000e+005	1.08386622740000004156e-004	0.00000000000000000000e+000	1.13537208559999996282e+002	0.00000000000000000000e+000	-4.32836020461703282623e-005	0.00000000000000000000e+000	9.93689578434424618681e-005	0.00000000000000000000e+000	2.37199991033412516117e+000	1	1
3.17527281250000000000e+005	0.00000000000000000000e+000	3.17522000000000000000e+005	1.08365391500000004437e-004	0.00000000000000000000e+000	1.13528709410000004709e+002	0.00000000000000000000e+000	-4.32603856712517596296e-005	0.00000000000000000000e+000	9.93559112812258807875e-005	0.00000000000000000000e+000	2.54499991040211170912e+000	1	1
