TimeAll	TimeExperiment	R	Theta
2.058300e+002	8.200002e-002	3.063093e-004	1.193475e+002
2.059250e+002	1.770000e-001	3.062574e-004	1.193368e+002
2.060230e+002	2.750001e-001	3.061928e-004	1.193314e+002
2.061220e+002	3.740001e-001	3.061532e-004	1.193246e+002
2.062160e+002	4.680002e-001	3.061267e-004	1.193208e+002
2.063090e+002	5.610001e-001	3.060652e-004	1.193144e+002
2.064060e+002	6.580000e-001	3.060041e-004	1.193038e+002
2.065020e+002	7.539999e-001	3.059644e-004	1.193032e+002
2.065960e+002	8.480000e-001	3.059358e-004	1.192950e+002
2.066880e+002	9.400001e-001	3.058494e-004	1.192915e+002
2.067820e+002	1.034000e+000	3.058101e-004	1.192820e+002
2.068770e+002	1.129000e+000	3.057900e-004	1.192757e+002
2.069700e+002	1.222000e+000	3.057377e-004	1.192657e+002
2.070640e+002	1.316000e+000	3.056806e-004	1.192628e+002
2.071560e+002	1.408000e+000	3.056634e-004	1.192576e+002
2.072510e+002	1.503000e+000	3.055874e-004	1.192500e+002
2.073460e+002	1.598000e+000	3.055275e-004	1.192491e+002
2.074370e+002	1.689000e+000	3.055026e-004	1.192362e+002
2.075310e+002	1.783000e+000	3.054463e-004	1.192307e+002
2.076260e+002	1.878000e+000	3.053910e-004	1.192234e+002
2.077220e+002	1.974000e+000	3.053495e-004	1.192125e+002
2.078160e+002	2.068000e+000	3.053167e-004	1.192085e+002
2.079110e+002	2.163000e+000	3.052711e-004	1.192047e+002
2.080120e+002	2.264000e+000	3.051968e-004	1.191924e+002
2.081070e+002	2.359000e+000	3.051273e-004	1.191910e+002
2.082010e+002	2.453000e+000	3.050896e-004	1.191810e+002
2.082960e+002	2.548000e+000	3.050638e-004	1.191701e+002
2.083920e+002	2.644000e+000	3.050044e-004	1.191666e+002
2.084890e+002	2.741000e+000	3.049249e-004	1.191582e+002
2.085860e+002	2.838000e+000	3.048735e-004	1.191490e+002
2.086790e+002	2.931000e+000	3.048296e-004	1.191442e+002
2.087720e+002	3.024000e+000	3.047958e-004	1.191349e+002
2.088650e+002	3.117000e+000	3.047267e-004	1.191302e+002
2.089600e+002	3.212000e+000	3.046838e-004	1.191223e+002
2.090520e+002	3.304000e+000	3.046378e-004	1.191113e+002
2.091470e+002	3.399000e+000	3.045551e-004	1.191049e+002
2.092420e+002	3.494000e+000	3.045378e-004	1.190994e+002
2.093370e+002	3.589000e+000	3.045080e-004	1.190900e+002
2.094320e+002	3.684000e+000	3.044354e-004	1.190811e+002
2.095270e+002	3.779000e+000	3.043715e-004	1.190757e+002
2.096230e+002	3.875000e+000	3.043436e-004	1.190695e+002
2.097160e+002	3.968000e+000	3.042925e-004	1.190594e+002
2.098100e+002	4.062000e+000	3.042113e-004	1.190539e+002
2.099070e+002	4.159000e+000	3.041553e-004	1.190411e+002
2.100050e+002	4.257000e+000	3.040981e-004	1.190328e+002
2.100990e+002	4.351000e+000	3.040765e-004	1.190298e+002
2.101990e+002	4.451000e+000	3.040084e-004	1.190191e+002
2.102930e+002	4.545000e+000	3.039673e-004	1.190075e+002
2.103890e+002	4.641000e+000	3.038971e-004	1.190011e+002
2.104820e+002	4.734000e+000	3.038313e-004	1.189925e+002
2.105740e+002	4.826000e+000	3.037806e-004	1.189822e+002
2.106700e+002	4.922000e+000	3.037131e-004	1.189770e+002
2.107670e+002	5.019000e+000	3.036834e-004	1.189658e+002
2.108580e+002	5.110000e+000	3.036375e-004	1.189565e+002
2.109500e+002	5.202000e+000	3.035614e-004	1.189496e+002
2.110460e+002	5.298000e+000	3.035079e-004	1.189426e+002
2.111400e+002	5.392000e+000	3.034964e-004	1.189326e+002
2.112350e+002	5.487000e+000	3.034197e-004	1.189228e+002
2.113310e+002	5.583000e+000	3.033566e-004	1.189165e+002
2.114250e+002	5.677000e+000	3.032902e-004	1.189045e+002
2.115210e+002	5.773000e+000	3.032512e-004	1.188972e+002
2.116150e+002	5.867000e+000	3.032121e-004	1.188861e+002
2.117070e+002	5.959000e+000	3.031344e-004	1.188782e+002
