Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
9.80015500000000000000e+005	0.00000000000000000000e+000	9.80000000000000000000e+005	3.34062293399999975154e-004	0.00000000000000000000e+000	1.20401733399999997687e+002	0.00000000000000000000e+000	-1.69055506425862711768e-004	0.00000000000000000000e+000	2.88128186088696931853e-004	0.00000000000000000000e+000	6.25999898882582783699e-001	1	1
9.80017625000000000000e+005	0.00000000000000000000e+000	9.80002000000000000000e+005	3.34429350910000024785e-004	0.00000000000000000000e+000	1.20401924129999997604e+002	0.00000000000000000000e+000	-1.69242219679076474036e-004	0.00000000000000000000e+000	2.88444209212428365283e-004	0.00000000000000000000e+000	8.01999898860231041908e-001	1	1
9.80019687500000000000e+005	0.00000000000000000000e+000	9.80004000000000000000e+005	3.34492593540000008202e-004	0.00000000000000000000e+000	1.20402229309999995621e+002	0.00000000000000000000e+000	-1.69275761071192512456e-004	0.00000000000000000000e+000	2.88497854146065046965e-004	0.00000000000000000000e+000	9.79999898932874202728e-001	1	1
9.80020625000000000000e+005	0.00000000000000000000e+000	9.80006000000000000000e+005	3.34580981869999976534e-004	0.00000000000000000000e+000	1.20401657099999994216e+002	0.00000000000000000000e+000	-1.69317609531057753107e-004	0.00000000000000000000e+000	2.88575779530752564439e-004	0.00000000000000000000e+000	1.15799989888910204172e+000	1	1
9.80023125000000000000e+005	0.00000000000000000000e+000	9.80008000000000000000e+005	3.34611657310000007275e-004	0.00000000000000000000e+000	1.20397422789999993142e+002	0.00000000000000000000e+000	-1.69311804171235901102e-004	0.00000000000000000000e+000	2.88614750447765532754e-004	0.00000000000000000000e+000	1.33399989886675029993e+000	1	1
9.80025625000000000000e+005	0.00000000000000000000e+000	9.80010000000000000000e+005	3.34666518029999983472e-004	0.00000000000000000000e+000	1.20399230959999997026e+002	0.00000000000000000000e+000	-1.69348673080950775944e-004	0.00000000000000000000e+000	2.88656725568703083178e-004	0.00000000000000000000e+000	1.51199989893939346075e+000	1	1
9.80026875000000000000e+005	0.00000000000000000000e+000	9.80012000000000000000e+005	3.34752548949999995370e-004	0.00000000000000000000e+000	1.20392517089999998348e+002	0.00000000000000000000e+000	-1.69358372229190789473e-004	0.00000000000000000000e+000	2.88750776249001599085e-004	0.00000000000000000000e+000	1.69099989894311875105e+000	1	1
9.80030312500000000000e+005	0.00000000000000000000e+000	9.80014000000000000000e+005	3.34765994920000007490e-004	0.00000000000000000000e+000	1.20395454409999999257e+002	0.00000000000000000000e+000	-1.69379978270589609144e-004	0.00000000000000000000e+000	2.88753691432390284001e-004	0.00000000000000000000e+000	1.86899989889934659004e+000	1	1
9.80031437500000000000e+005	0.00000000000000000000e+000	9.80016000000000000000e+005	3.34822543660000021461e-004	0.00000000000000000000e+000	1.20393569949999999835e+002	0.00000000000000000000e+000	-1.69399091157231701521e-004	0.00000000000000000000e+000	2.88808039462298382204e-004	0.00000000000000000000e+000	2.04899989895056933165e+000	1	1
9.80033937500000000000e+005	0.00000000000000000000e+000	9.80018000000000000000e+005	3.34874523110000011598e-004	0.00000000000000000000e+000	1.20394027710000003140e+002	0.00000000000000000000e+000	-1.69427697242050624487e-004	0.00000000000000000000e+000	2.88851521781357341214e-004	0.00000000000000000000e+000	2.22899989888537675142e+000	1	1
9.80035750000000000000e+005	0.00000000000000000000e+000	9.80020000000000000000e+005	3.34923272019999995319e-004	0.00000000000000000000e+000	1.20388481139999996117e+002	0.00000000000000000000e+000	-1.69424394053926258286e-004	0.00000000000000000000e+000	2.88909973590464387062e-004	0.00000000000000000000e+000	2.40499989886302500963e+000	1	1
9.80037687500000000000e+005	0.00000000000000000000e+000	9.80022000000000000000e+005	3.34958021989999990727e-004	0.00000000000000000000e+000	1.20388717650000003800e+002	0.00000000000000000000e+000	-1.69443165392380316794e-004	0.00000000000000000000e+000	2.88939250011596324933e-004	0.00000000000000000000e+000	2.58199989888817071915e+000	1	1
9.80038250000000000000e+005	0.00000000000000000000e+000	9.80024000000000000000e+005	3.35058895869999985931e-004	0.00000000000000000000e+000	1.20390686040000005619e+002	0.00000000000000000000e+000	-1.69504123209263953638e-004	0.00000000000000000000e+000	2.89020442039455353715e-004	0.00000000000000000000e+000	2.75699989893473684788e+000	1	1
9.80041875000000000000e+005	0.00000000000000000000e+000	9.80026000000000000000e+005	3.35106742570000009848e-004	0.00000000000000000000e+000	1.20388122559999999339e+002	0.00000000000000000000e+000	-1.69515395416908816635e-004	0.00000000000000000000e+000	2.89069299014138353290e-004	0.00000000000000000000e+000	2.93199989886488765478e+000	1	1
9.80044250000000000000e+005	0.00000000000000000000e+000	9.80028000000000000000e+005	3.35155898939999978732e-004	0.00000000000000000000e+000	1.20387580869999993638e+002	0.00000000000000000000e+000	-1.69537528059876763326e-004	0.00000000000000000000e+000	2.89113305078866921795e-004	0.00000000000000000000e+000	3.10699989891145378351e+000	1	1
9.80045000000000000000e+005	0.00000000000000000000e+000	9.80030000000000000000e+005	3.35206364980000001003e-004	0.00000000000000000000e+000	1.20383590699999999174e+002	0.00000000000000000000e+000	-1.69542918386162403841e-004	0.00000000000000000000e+000	2.89168646205303588904e-004	0.00000000000000000000e+000	3.28199989895801991224e+000	1	1
9.80047312500000000000e+005	0.00000000000000000000e+000	9.80032000000000000000e+005	3.35280754369999981022e-004	0.00000000000000000000e+000	1.20384727479999995126e+002	0.00000000000000000000e+000	-1.69586282055477226196e-004	0.00000000000000000000e+000	2.89229454221931502663e-004	0.00000000000000000000e+000	3.45699989888817071915e+000	1	1
9.80049625000000000000e+005	0.00000000000000000000e+000	9.80034000000000000000e+005	3.35351302060000013624e-004	0.00000000000000000000e+000	1.20381080629999999587e+002	0.00000000000000000000e+000	-1.69603551807165928243e-004	0.00000000000000000000e+000	2.89301107857767043213e-004	0.00000000000000000000e+000	3.63199989893473684788e+000	1	1
9.80051750000000000000e+005	0.00000000000000000000e+000	9.80036000000000000000e+005	3.35392920529999994175e-004	0.00000000000000000000e+000	1.20381263730000000578e+002	0.00000000000000000000e+000	-1.69625524935334095512e-004	0.00000000000000000000e+000	2.89336469239629800587e-004	0.00000000000000000000e+000	3.80699989886488765478e+000	1	1
9.80053750000000000000e+005	0.00000000000000000000e+000	9.80038000000000000000e+005	3.35422868370000026601e-004	0.00000000000000000000e+000	1.20378128050000000826e+002	0.00000000000000000000e+000	-1.69624834648304464741e-004	0.00000000000000000000e+000	2.89371588266874846772e-004	0.00000000000000000000e+000	3.98099989886395633221e+000	1	1
9.80056375000000000000e+005	0.00000000000000000000e+000	9.80040000000000000000e+005	3.35501856170000007339e-004	0.00000000000000000000e+000	1.20375541690000005701e+002	0.00000000000000000000e+000	-1.69651713503513832402e-004	0.00000000000000000000e+000	2.89447390036319074196e-004	0.00000000000000000000e+000	4.15699989895801991224e+000	1	1
