TimeAll	TimeExperiment	R	Theta
2.253300e+001	8.400011e-002	1.598090e-004	1.092273e+002
2.266600e+001	2.170000e-001	1.589955e-004	1.085018e+002
2.277500e+001	3.260000e-001	1.581881e-004	1.076344e+002
2.288400e+001	4.350002e-001	1.575459e-004	1.067337e+002
2.297800e+001	5.290000e-001	1.570949e-004	1.057188e+002
2.307100e+001	6.220000e-001	1.568525e-004	1.046851e+002
2.318100e+001	7.320001e-001	1.568822e-004	1.035214e+002
2.327400e+001	8.250000e-001	1.573239e-004	1.021205e+002
2.336800e+001	9.190001e-001	1.581716e-004	1.007835e+002
2.347700e+001	1.028000e+000	1.596947e-004	9.928432e+001
2.358600e+001	1.137000e+000	1.621591e-004	9.765807e+001
2.368000e+001	1.231000e+000	1.656938e-004	9.603624e+001
2.378900e+001	1.340000e+000	1.698362e-004	9.470528e+001
2.388300e+001	1.434000e+000	1.756474e-004	9.342921e+001
2.397600e+001	1.527000e+000	1.817043e-004	9.259840e+001
2.407000e+001	1.621000e+000	1.886768e-004	9.209810e+001
2.416300e+001	1.714000e+000	1.958946e-004	9.198106e+001
2.427300e+001	1.824000e+000	2.038591e-004	9.227087e+001
2.436600e+001	1.917000e+000	2.121128e-004	9.301562e+001
2.447500e+001	2.026000e+000	2.191923e-004	9.404991e+001
2.456900e+001	2.120000e+000	2.260858e-004	9.548650e+001
2.463500e+001	2.186000e+000	2.310482e-004	9.689429e+001
