Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
5.75508750000000000000e+005	0.00000000000000000000e+000	5.75500000000000000000e+005	2.02223323870000010367e-004	0.00000000000000000000e+000	1.16118919370000000413e+002	0.00000000000000000000e+000	-8.90259160831405473675e-005	0.00000000000000000000e+000	1.81572737443120961476e-004	0.00000000000000000000e+000	6.24000028590671718121e-001	1	1
5.75512375000000000000e+005	0.00000000000000000000e+000	5.75502000000000000000e+005	2.02624636589999996238e-004	0.00000000000000000000e+000	1.16118721010000001570e+002	0.00000000000000000000e+000	-8.92019583894011671571e-005	0.00000000000000000000e+000	1.81933377841244709383e-004	0.00000000000000000000e+000	8.00000028568319976330e-001	1	1
5.75513125000000000000e+005	0.00000000000000000000e+000	5.75504000000000000000e+005	2.02676150370000002872e-004	0.00000000000000000000e+000	1.16117912290000006692e+002	0.00000000000000000000e+000	-8.92220678117978645630e-005	0.00000000000000000000e+000	1.81980890601705192584e-004	0.00000000000000000000e+000	9.77000028593465685844e-001	1	1
5.75515125000000000000e+005	0.00000000000000000000e+000	5.75506000000000000000e+005	2.02721566890000002258e-004	0.00000000000000000000e+000	1.16112815859999997770e+002	0.00000000000000000000e+000	-8.92258699798959714101e-005	0.00000000000000000000e+000	1.82029606956306532492e-004	0.00000000000000000000e+000	1.15600002859719097614e+000	1	1
5.75517875000000000000e+005	0.00000000000000000000e+000	5.75508000000000000000e+005	2.02776660439999995705e-004	0.00000000000000000000e+000	1.16112525939999997604e+002	0.00000000000000000000e+000	-8.92491975229442479657e-005	0.00000000000000000000e+000	1.82079528670055462540e-004	0.00000000000000000000e+000	1.33400002855341881514e+000	1	1
5.75519000000000000000e+005	0.00000000000000000000e+000	5.75510000000000000000e+005	2.02844399609999995497e-004	0.00000000000000000000e+000	1.16111816410000002975e+002	0.00000000000000000000e+000	-8.92767563668902798492e-005	0.00000000000000000000e+000	1.82141459381844985667e-004	0.00000000000000000000e+000	1.51100002857856452465e+000	1	1
5.75521875000000000000e+005	0.00000000000000000000e+000	5.75512000000000000000e+005	2.02885741600000003111e-004	0.00000000000000000000e+000	1.16106285099999993804e+002	0.00000000000000000000e+000	-8.92773641247183931706e-005	0.00000000000000000000e+000	1.82187201525036915209e-004	0.00000000000000000000e+000	1.68700002855621278286e+000	1	1
5.75523062500000000000e+005	0.00000000000000000000e+000	5.75514000000000000000e+005	2.02948969669999998086e-004	0.00000000000000000000e+000	1.16101806640000006610e+002	0.00000000000000000000e+000	-8.92909416881202164891e-005	0.00000000000000000000e+000	1.82250958907116022067e-004	0.00000000000000000000e+000	1.86000002862419933081e+000	1	1
5.75524125000000000000e+005	0.00000000000000000000e+000	5.75516000000000000000e+005	2.03023999350000007623e-004	0.00000000000000000000e+000	1.16097892759999993473e+002	0.00000000000000000000e+000	-8.93114979148574287442e-005	0.00000000000000000000e+000	1.82324437891011277351e-004	0.00000000000000000000e+000	2.04000002855900675058e+000	1	1
5.75527062500000000000e+005	0.00000000000000000000e+000	5.75518000000000000000e+005	2.03064439119999998011e-004	0.00000000000000000000e+000	1.16095642089999998348e+002	0.00000000000000000000e+000	-8.93221241254377212220e-005	0.00000000000000000000e+000	1.82364263431298629812e-004	0.00000000000000000000e+000	2.21500002860557287931e+000	1	1
5.75529000000000000000e+005	0.00000000000000000000e+000	5.75520000000000000000e+005	2.03117902860000006235e-004	0.00000000000000000000e+000	1.16095214839999997025e+002	0.00000000000000000000e+000	-8.93442810292450177593e-005	0.00000000000000000000e+000	1.82412943371932045845e-004	0.00000000000000000000e+000	2.39000002865213900805e+000	1	1
