TimeAll	TimeExperiment	R	Theta
5.316500e+001	8.200002e-002	1.156145e-004	1.125734e+002
5.331200e+001	2.289999e-001	1.157282e-004	1.125339e+002
5.342100e+001	3.379998e-001	1.158864e-004	1.125043e+002
5.353100e+001	4.480000e-001	1.160196e-004	1.124679e+002
5.364000e+001	5.569999e-001	1.161409e-004	1.124206e+002
5.373300e+001	6.499999e-001	1.162915e-004	1.123822e+002
5.382700e+001	7.440000e-001	1.164222e-004	1.123577e+002
5.392000e+001	8.369999e-001	1.165754e-004	1.123126e+002
5.401400e+001	9.310000e-001	1.167043e-004	1.122720e+002
5.412300e+001	1.040000e+000	1.168123e-004	1.122324e+002
5.421700e+001	1.134000e+000	1.169818e-004	1.121787e+002
5.431000e+001	1.227000e+000	1.171427e-004	1.121419e+002
5.440400e+001	1.321000e+000	1.172877e-004	1.120986e+002
5.449800e+001	1.415000e+000	1.174404e-004	1.120379e+002
5.459100e+001	1.508000e+000	1.175883e-004	1.119860e+002
5.470000e+001	1.617000e+000	1.177463e-004	1.119294e+002
5.481000e+001	1.727000e+000	1.179671e-004	1.118634e+002
5.491900e+001	1.836000e+000	1.181490e-004	1.117891e+002
5.501200e+001	1.929000e+000	1.183418e-004	1.117145e+002
5.512200e+001	2.039000e+000	1.185134e-004	1.116435e+002
5.523100e+001	2.148000e+000	1.187421e-004	1.115674e+002
5.532400e+001	2.241000e+000	1.189514e-004	1.114747e+002
5.541800e+001	2.335000e+000	1.191483e-004	1.113906e+002
5.551200e+001	2.429000e+000	1.193454e-004	1.113089e+002
5.560500e+001	2.522000e+000	1.195454e-004	1.112217e+002
5.571400e+001	2.631000e+000	1.197771e-004	1.111142e+002
5.580800e+001	2.725000e+000	1.200173e-004	1.110130e+002
5.591700e+001	2.834000e+000	1.202345e-004	1.109105e+002
5.602600e+001	2.943000e+000	1.205032e-004	1.107694e+002
5.612000e+001	3.037000e+000	1.208067e-004	1.106348e+002
5.621400e+001	3.131000e+000	1.210090e-004	1.105156e+002
5.630700e+001	3.224000e+000	1.212438e-004	1.103756e+002
5.640100e+001	3.318000e+000	1.214911e-004	1.102206e+002
5.649400e+001	3.411000e+000	1.217244e-004	1.100719e+002
5.660400e+001	3.521000e+000	1.220103e-004	1.099060e+002
5.671300e+001	3.630000e+000	1.222900e-004	1.097093e+002
5.682200e+001	3.739000e+000	1.225945e-004	1.094982e+002
5.691600e+001	3.833000e+000	1.228903e-004	1.092722e+002
5.702500e+001	3.942000e+000	1.231549e-004	1.090471e+002
5.711800e+001	4.035000e+000	1.234608e-004	1.087885e+002
5.721200e+001	4.129000e+000	1.236985e-004	1.085578e+002
5.732100e+001	4.238000e+000	1.239682e-004	1.082720e+002
5.741500e+001	4.332000e+000	1.242805e-004	1.079414e+002
5.750800e+001	4.425000e+000	1.244855e-004	1.076261e+002
5.760200e+001	4.519000e+000	1.247212e-004	1.073003e+002
5.769600e+001	4.613000e+000	1.249382e-004	1.069485e+002
5.778900e+001	4.706000e+000	1.251144e-004	1.065820e+002
5.788300e+001	4.800000e+000	1.252771e-004	1.061905e+002
5.797600e+001	4.893000e+000	1.253908e-004	1.057674e+002
5.808600e+001	5.003000e+000	1.254544e-004	1.053239e+002
5.819500e+001	5.112000e+000	1.254952e-004	1.047750e+002
5.828800e+001	5.205000e+000	1.254240e-004	1.041927e+002
5.838200e+001	5.299000e+000	1.253333e-004	1.036947e+002
5.847600e+001	5.393000e+000	1.251241e-004	1.031374e+002
5.856900e+001	5.486000e+000	1.248536e-004	1.025950e+002
5.866300e+001	5.580000e+000	1.244706e-004	1.020235e+002
5.877200e+001	5.689000e+000	1.239952e-004	1.014225e+002
5.888100e+001	5.798000e+000	1.232355e-004	1.007152e+002
5.897500e+001	5.892000e+000	1.224122e-004	1.000529e+002
5.906800e+001	5.985000e+000	1.215613e-004	9.949055e+001
5.916200e+001	6.079000e+000	1.206248e-004	9.895784e+001
5.925600e+001	6.173000e+000	1.194800e-004	9.839315e+001
5.934900e+001	6.266000e+000	1.183106e-004	9.790350e+001
5.944300e+001	6.360000e+000	1.170161e-004	9.746275e+001
5.955200e+001	6.469000e+000	1.155433e-004	9.703693e+001
5.964600e+001	6.563000e+000	1.138306e-004	9.662777e+001
5.973900e+001	6.656000e+000	1.122474e-004	9.634640e+001
5.983300e+001	6.750000e+000	1.106644e-004	9.614283e+001
5.994200e+001	6.859000e+000	1.090503e-004	9.600445e+001
6.003500e+001	6.952000e+000	1.073532e-004	9.594067e+001
6.014500e+001	7.062000e+000	1.058508e-004	9.597419e+001
6.025400e+001	7.171000e+000	1.041210e-004	9.609924e+001
6.034700e+001	7.264000e+000	1.026006e-004	9.630074e+001
6.044100e+001	7.358000e+000	1.013610e-004	9.654146e+001
6.053500e+001	7.452000e+000	1.001850e-004	9.683107e+001
6.064400e+001	7.561000e+000	9.906132e-005	9.716846e+001
6.075300e+001	7.670000e+000	9.787794e-005	9.761221e+001
6.084700e+001	7.764000e+000	9.682211e-005	9.808913e+001
6.094000e+001	7.857000e+000	9.602060e-005	9.853738e+001
6.104900e+001	7.966000e+000	9.531461e-005	9.902423e+001
6.111900e+001	8.036000e+000	9.457990e-005	9.956405e+001
6.121300e+001	8.130000e+000	9.405009e-005	1.000310e+002
