Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
3.20804937500000000000e+005	0.00000000000000000000e+000	3.20800000000000000000e+005	1.13812013300000004399e-004	0.00000000000000000000e+000	1.13078834529999994629e+002	0.00000000000000000000e+000	-4.46139985343842345421e-005	0.00000000000000000000e+000	1.04703225863262395731e-004	0.00000000000000000000e+000	6.32000049576163291931e-001	1	1
3.20806656250000000000e+005	0.00000000000000000000e+000	3.20802000000000000000e+005	1.14128954010000001817e-004	0.00000000000000000000e+000	1.13083091740000000414e+002	0.00000000000000000000e+000	-4.47460396623755175924e-005	0.00000000000000000000e+000	1.04991476215690062411e-004	0.00000000000000000000e+000	8.10000049648806452751e-001	1	1
3.20808218750000000000e+005	0.00000000000000000000e+000	3.20804000000000000000e+005	1.14214388299999997306e-004	0.00000000000000000000e+000	1.13078521730000005618e+002	0.00000000000000000000e+000	-4.47711547986963718073e-005	0.00000000000000000000e+000	1.05073641760121473426e-004	0.00000000000000000000e+000	9.90000049583613872528e-001	1	1
3.20810500000000000000e+005	0.00000000000000000000e+000	3.20806000000000000000e+005	1.14282607680000003274e-004	0.00000000000000000000e+000	1.13055000309999996944e+002	0.00000000000000000000e+000	-4.47547312439568442167e-005	0.00000000000000000000e+000	1.05154783293115051805e-004	0.00000000000000000000e+000	1.16200004960410296917e+000	1	1
3.20812812500000000000e+005	0.00000000000000000000e+000	3.20808000000000000000e+005	1.14373637189999993280e-004	0.00000000000000000000e+000	1.13035636900000000082e+002	0.00000000000000000000e+000	-4.47548112486283313849e-005	0.00000000000000000000e+000	1.05253673352379486659e-004	0.00000000000000000000e+000	1.34000004956033080816e+000	1	1
3.20815187500000000000e+005	0.00000000000000000000e+000	3.20810000000000000000e+005	1.14470763950000000873e-004	0.00000000000000000000e+000	1.13031143189999994547e+002	0.00000000000000000000e+000	-4.47845550983053038727e-005	0.00000000000000000000e+000	1.05346568164053040815e-004	0.00000000000000000000e+000	1.51900004956405609846e+000	1	1
3.20817718750000000000e+005	0.00000000000000000000e+000	3.20812000000000000000e+005	1.14572190799999999375e-004	0.00000000000000000000e+000	1.13010231020000006197e+002	0.00000000000000000000e+000	-4.47857493664113973401e-005	0.00000000000000000000e+000	1.05456263722932016397e-004	0.00000000000000000000e+000	1.69500004954170435667e+000	1	1
3.20818375000000000000e+005	0.00000000000000000000e+000	3.20814000000000000000e+005	1.14649876199999999050e-004	0.00000000000000000000e+000	1.12993118289999998183e+002	0.00000000000000000000e+000	-4.47845958927548754643e-005	0.00000000000000000000e+000	1.05541148768610479293e-004	0.00000000000000000000e+000	1.87400004954542964697e+000	1	1
3.20821375000000000000e+005	0.00000000000000000000e+000	3.20816000000000000000e+005	1.14749229399999994722e-004	0.00000000000000000000e+000	1.12968406680000001074e+002	0.00000000000000000000e+000	-4.47778418920216137768e-005	0.00000000000000000000e+000	1.05651930996962555498e-004	0.00000000000000000000e+000	2.05100004957057535648e+000	1	1
3.20822500000000000000e+005	0.00000000000000000000e+000	3.20818000000000000000e+005	1.14821967139999993302e-004	0.00000000000000000000e+000	1.12962028500000002396e+002	0.00000000000000000000e+000	-4.47944569338649568467e-005	0.00000000000000000000e+000	1.05723889286666689015e-004	0.00000000000000000000e+000	2.22900004964321851730e+000	1	1
3.20824718750000000000e+005	0.00000000000000000000e+000	3.20820000000000000000e+005	1.14947622930000004581e-004	0.00000000000000000000e+000	1.12925407410000005370e+002	0.00000000000000000000e+000	-4.47758204553585636033e-005	0.00000000000000000000e+000	1.05868229038777049607e-004	0.00000000000000000000e+000	2.41600004956126213074e+000	1	1
