TimeAll	TimeExperiment	R	Theta
3.045000e+001	8.200002e-002	3.626334e-004	1.180418e+002
3.058200e+001	2.140000e-001	3.647030e-004	1.176803e+002
3.067500e+001	3.069999e-001	3.666008e-004	1.173092e+002
3.078500e+001	4.169998e-001	3.685868e-004	1.168597e+002
3.087800e+001	5.100000e-001	3.708902e-004	1.162625e+002
3.098700e+001	6.190000e-001	3.729096e-004	1.156180e+002
3.109700e+001	7.289999e-001	3.751690e-004	1.146671e+002
3.120600e+001	8.379998e-001	3.766461e-004	1.136252e+002
3.129900e+001	9.310000e-001	3.773021e-004	1.123316e+002
3.140900e+001	1.041000e+000	3.764845e-004	1.109576e+002
3.150200e+001	1.134000e+000	3.733525e-004	1.092993e+002
3.161100e+001	1.243000e+000	3.677921e-004	1.077211e+002
3.172100e+001	1.353000e+000	3.578704e-004	1.060286e+002
3.183000e+001	1.462000e+000	3.447919e-004	1.047654e+002
3.192300e+001	1.555000e+000	3.296586e-004	1.041912e+002
3.203300e+001	1.665000e+000	3.153985e-004	1.044285e+002
3.212600e+001	1.758000e+000	3.043509e-004	1.052663e+002
3.222000e+001	1.852000e+000	2.959194e-004	1.064806e+002
3.232900e+001	1.961000e+000	2.898007e-004	1.079479e+002
3.242300e+001	2.055000e+000	2.858839e-004	1.095336e+002
3.248700e+001	2.119000e+000	2.840294e-004	1.109008e+002
