Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
9.86015187500000000000e+005	0.00000000000000000000e+000	9.86000000000000000000e+005	3.33627278450000005344e-004	0.00000000000000000000e+000	1.20481727599999999256e+002	0.00000000000000000000e+000	-1.69236947980037829306e-004	0.00000000000000000000e+000	2.87516984479796976204e-004	0.00000000000000000000e+000	6.50000110617838799953e-001	1	1
9.86017875000000000000e+005	0.00000000000000000000e+000	9.86002000000000000000e+005	3.33588308419999993604e-004	0.00000000000000000000e+000	1.20485557560000003718e+002	0.00000000000000000000e+000	-1.69236396473415666138e-004	0.00000000000000000000e+000	2.87472088424615436746e-004	0.00000000000000000000e+000	8.28000110574066638947e-001	1	1
9.86020125000000000000e+005	0.00000000000000000000e+000	9.86004000000000000000e+005	3.33613716070000026863e-004	0.00000000000000000000e+000	1.20484199520000004213e+002	0.00000000000000000000e+000	-1.69242472003771086877e-004	0.00000000000000000000e+000	2.87497995158379044366e-004	0.00000000000000000000e+000	1.00500011059921234846e+000	1	1
9.86021062500000000000e+005	0.00000000000000000000e+000	9.86006000000000000000e+005	3.33629926900000004474e-004	0.00000000000000000000e+000	1.20483261110000000826e+002	0.00000000000000000000e+000	-1.69245986776636012398e-004	0.00000000000000000000e+000	2.87514737158466537024e-004	0.00000000000000000000e+000	1.17900011059828102589e+000	1	1
9.86023125000000000000e+005	0.00000000000000000000e+000	9.86008000000000000000e+005	3.33684118230000007800e-004	0.00000000000000000000e+000	1.20477203369999998017e+002	0.00000000000000000000e+000	-1.69243073211625285170e-004	0.00000000000000000000e+000	2.87579333278344367441e-004	0.00000000000000000000e+000	1.35400011064484715462e+000	1	1
9.86026062500000000000e+005	0.00000000000000000000e+000	9.86010000000000000000e+005	3.33702511850000004250e-004	0.00000000000000000000e+000	1.20478607179999997356e+002	0.00000000000000000000e+000	-1.69259448721734682714e-004	0.00000000000000000000e+000	2.87591038513744132969e-004	0.00000000000000000000e+000	1.53000011062249541283e+000	1	1
9.86027062500000000000e+005	0.00000000000000000000e+000	9.86012000000000000000e+005	3.33755655450000026426e-004	0.00000000000000000000e+000	1.20474960330000001818e+002	0.00000000000000000000e+000	-1.69268095742077033213e-004	0.00000000000000000000e+000	2.87647613076677836300e-004	0.00000000000000000000e+000	1.70900011062622070312e+000	1	1
9.86029937500000000000e+005	0.00000000000000000000e+000	9.86014000000000000000e+005	3.33794683679999979083e-004	0.00000000000000000000e+000	1.20477653500000002396e+002	0.00000000000000000000e+000	-1.69301411545662875086e-004	0.00000000000000000000e+000	2.87673291950569088964e-004	0.00000000000000000000e+000	1.88900011067744344473e+000	1	1
9.86032812500000000000e+005	0.00000000000000000000e+000	9.86016000000000000000e+005	3.33837320799999976752e-004	0.00000000000000000000e+000	1.20478271480000003635e+002	0.00000000000000000000e+000	-1.69326140357382832298e-004	0.00000000000000000000e+000	2.87708211475783245861e-004	0.00000000000000000000e+000	2.06400011060759425163e+000	1	1
9.86033250000000000000e+005	0.00000000000000000000e+000	9.86018000000000000000e+005	3.33881762340000002448e-004	0.00000000000000000000e+000	1.20476951600000006692e+002	0.00000000000000000000e+000	-1.69342052973252553709e-004	0.00000000000000000000e+000	2.87750413237007141368e-004	0.00000000000000000000e+000	2.24300011061131954193e+000	1	1
