TimeAll	TimeExperiment	R	Theta
1.531900e+001	8.000016e-002	2.436445e-004	1.090525e+002
1.545200e+001	2.130001e-001	2.461051e-004	1.079101e+002
1.556100e+001	3.220000e-001	2.482039e-004	1.066754e+002
1.567000e+001	4.310000e-001	2.501781e-004	1.049786e+002
1.576400e+001	5.250001e-001	2.513389e-004	1.030319e+002
1.585800e+001	6.190000e-001	2.512471e-004	1.009745e+002
1.595100e+001	7.120001e-001	2.496651e-004	9.869460e+001
1.606000e+001	8.210001e-001	2.459355e-004	9.621751e+001
1.615400e+001	9.150000e-001	2.386136e-004	9.331518e+001
1.624800e+001	1.009000e+000	2.293478e-004	9.096416e+001
1.635700e+001	1.118000e+000	2.170758e-004	8.897587e+001
1.645000e+001	1.211000e+000	2.029412e-004	8.778728e+001
1.656000e+001	1.321000e+000	1.900107e-004	8.766348e+001
1.666900e+001	1.430000e+000	1.762698e-004	8.873914e+001
1.676200e+001	1.523000e+000	1.666852e-004	9.059324e+001
1.685600e+001	1.617000e+000	1.601697e-004	9.276491e+001
1.692300e+001	1.684000e+000	1.556450e-004	9.518182e+001
